"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1979 - Stemmeberettigede";"EV1979 - Afgivne stemmer";"EV1979 - Blanke stemmer";"EV1979 - Andre ugyldige stemmer";"EV1979 - Gyldige stemmer";"EV1979 - A. Socialdemokratiet";"EV1979 - B. Det Radikale Venstre";"EV1979 - C. Det Konservative Folkeparti";"EV1979 - E. Danmarks Retsforbund";"EV1979 - F. Socialistisk Folkeparti";"EV1979 - M. Centrum-Demokraterne";"EV1979 - N. Folkebevægelsen mod EF";"EV1979 - Q. Kristeligt Folkeparti";"EV1979 - V. Venstre, Danmarks Liberale Parti";"EV1979 - Y. Venstresocialisterne";"EV1979 - Z. Fremskridtspartiet"
"101088";"101088";"14";"3";"1";"4766";"2390";"33";"9";"2348";"687";"42";"230";"92";"135";"78";"819";"17";"50";"121";"77"
"101090";"101090";"10";"2";"1";"8661";"4223";"55";"20";"4148";"1006";"84";"281";"178";"385";"107";"1528";"28";"85";"347";"119"
"101092";"101092";"11";"2";"1";"2266";"1349";"21";"6";"1322";"362";"36";"183";"58";"96";"68";"365";"14";"25";"78";"37"
"101094";"101094";"16";"3";"1";"10317";"4711";"61";"26";"4624";"1421";"39";"177";"207";"341";"101";"1946";"17";"68";"216";"91"
"101096";"101096";"13";"2";"1";"3639";"1980";"27";"7";"1946";"453";"46";"320";"80";"110";"113";"548";"20";"53";"106";"97"
"101098";"101098";"13";"2";"1";"4674";"2522";"41";"9";"2472";"443";"70";"424";"106";"141";"174";"729";"27";"81";"156";"121"
"101102";"101102";"2";"1";"1";"5558";"1687";"9";"16";"1662";"396";"92";"495";"16";"42";"83";"173";"18";"261";"40";"46"
"147001";"147001";"17";"3";"1";"7820";"4255";"42";"18";"4195";"521";"118";"1159";"132";"230";"271";"1033";"33";"170";"331";"197"
"147002";"147002";"17";"3";"1";"8665";"4849";"53";"8";"4788";"598";"127";"1475";"133";"281";"325";"1033";"28";"223";"323";"242"
"147003";"147003";"18";"3";"1";"12325";"6462";"98";"48";"6316";"1306";"151";"1412";"250";"365";"321";"1781";"69";"156";"246";"259"
"147004";"147004";"18";"3";"1";"10513";"5737";"71";"32";"5634";"819";"179";"1892";"160";"265";"351";"1161";"82";"216";"254";"255"
"147005";"147005";"18";"3";"1";"12152";"6249";"89";"42";"6118";"1210";"120";"1059";"252";"439";"240";"2025";"42";"132";"396";"203"
"147007";"147007";"19";"3";"1";"8484";"4570";"66";"15";"4489";"690";"111";"1157";"155";"272";"290";"1137";"44";"171";"272";"190"
