"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV2004 - Stemmeberettigede";"EV2004 - Afgivne stemmer";"EV2004 - Blanke stemmer";"EV2004 - Andre ugyldige stemmer";"EV2004 - Gyldige stemmer";"EV2004 - A. Socialdemokratiet";"EV2004 - B. Det Radikale Venstre";"EV2004 - C. Det Konservative Folkeparti";"EV2004 - F. Socialistisk Folkeparti";"EV2004 - J. JuniBevægelsen - Mod Union";"EV2004 - K. Kristendemokraterne";"EV2004 - N. Folkebevægelsen mod EU";"EV2004 - O. Dansk Folkeparti";"EV2004 - V. Venstre, Danmarks Liberale Parti"
"335002";"335002";"40";"7";"2";"4122";"2028";"22";"3";"2003";"640";"135";"299";"170";"161";"24";"95";"108";"371"
"335003";"335003";"40";"7";"2";"3425";"1858";"26";"3";"1829";"499";"143";"195";"219";"180";"21";"92";"89";"391"
"335004";"335004";"40";"7";"2";"2024";"869";"5";"2";"862";"274";"42";"105";"62";"79";"3";"28";"76";"193"
"335005";"335005";"40";"7";"2";"839";"386";"6";"1";"379";"94";"19";"27";"35";"35";"6";"13";"38";"112"
"337001";"337001";"39";"7";"2";"1767";"807";"15";"2";"790";"244";"31";"84";"67";"87";"1";"45";"54";"177"
"337003";"337003";"39";"7";"2";"235";"116";"3";"0";"113";"22";"4";"8";"13";"11";"1";"3";"13";"38"
"337004";"337004";"39";"7";"2";"977";"425";"4";"2";"419";"124";"20";"43";"34";"34";"6";"27";"34";"97"
"337005";"337005";"39";"7";"2";"594";"269";"9";"0";"260";"65";"21";"24";"17";"40";"3";"16";"25";"49"
"337007";"337007";"39";"7";"2";"527";"271";"4";"1";"266";"80";"11";"23";"25";"22";"2";"10";"22";"71"
"339001";"339001";"37";"7";"2";"454";"199";"3";"0";"196";"53";"12";"10";"15";"14";"2";"15";"20";"55"
"339002";"339002";"37";"7";"2";"2089";"911";"14";"3";"894";"285";"77";"123";"51";"87";"3";"36";"46";"186"
"339003";"339003";"37";"7";"2";"1279";"585";"6";"0";"579";"155";"49";"51";"31";"69";"0";"27";"44";"153"
"339004";"339004";"37";"7";"2";"1032";"476";"6";"0";"470";"170";"29";"35";"40";"62";"3";"20";"20";"91"
"341002";"341002";"36";"7";"2";"3490";"1597";"22";"3";"1572";"506";"99";"180";"125";"144";"12";"85";"82";"339"
"341004";"341004";"36";"7";"2";"798";"326";"6";"0";"320";"96";"22";"26";"19";"51";"0";"11";"29";"66"
"341006";"341006";"36";"7";"2";"2355";"932";"6";"1";"925";"312";"68";"61";"70";"87";"4";"40";"72";"211"
"343001";"343001";"37";"7";"2";"1192";"574";"4";"0";"570";"155";"42";"54";"43";"68";"1";"47";"39";"121"
"343002";"343002";"37";"7";"2";"2793";"1231";"16";"3";"1212";"402";"103";"114";"77";"130";"6";"76";"96";"208"
"343003";"343003";"37";"7";"2";"553";"292";"2";"0";"290";"75";"20";"17";"22";"31";"0";"22";"35";"68"
"343004";"343004";"37";"7";"2";"888";"396";"13";"2";"381";"141";"19";"25";"35";"52";"1";"17";"32";"59"
"343005";"343005";"37";"7";"2";"1123";"549";"8";"0";"541";"167";"32";"34";"31";"71";"2";"40";"78";"86"
"343006";"343006";"37";"7";"2";"2328";"975";"12";"2";"961";"279";"76";"122";"46";"100";"5";"48";"89";"196"
"345001";"345001";"36";"7";"2";"3275";"1658";"17";"3";"1638";"496";"166";"138";"161";"171";"13";"60";"110";"323"
"345003";"345003";"36";"7";"2";"1342";"732";"17";"0";"715";"189";"87";"67";"63";"84";"5";"39";"51";"130"
"345004";"345004";"36";"7";"2";"1402";"674";"11";"6";"657";"182";"51";"56";"44";"86";"5";"37";"69";"127"
"345005";"345005";"36";"7";"2";"1070";"445";"6";"0";"439";"136";"23";"42";"35";"32";"5";"18";"44";"104"
"351002";"351002";"42";"8";"2";"3545";"1481";"22";"2";"1457";"612";"49";"186";"61";"123";"4";"69";"116";"237"
"351003";"351003";"42";"8";"2";"2462";"1183";"13";"1";"1169";"391";"54";"170";"99";"133";"4";"75";"65";"178"
"351004";"351004";"42";"8";"2";"616";"308";"5";"2";"301";"71";"17";"35";"30";"45";"0";"22";"21";"60"
"351006";"351006";"42";"8";"2";"2094";"965";"17";"1";"947";"329";"46";"109";"42";"81";"7";"45";"84";"204"
"351008";"351008";"42";"8";"2";"595";"288";"4";"0";"284";"80";"8";"28";"20";"35";"1";"20";"29";"63"
"353001";"353001";"42";"8";"2";"812";"439";"7";"0";"432";"135";"14";"61";"30";"33";"2";"25";"26";"106"
"353002";"353002";"42";"8";"2";"1666";"895";"10";"1";"884";"296";"36";"127";"50";"71";"5";"25";"43";"231"
"353003";"353003";"42";"8";"2";"1873";"924";"12";"0";"912";"271";"29";"110";"64";"78";"5";"50";"73";"232"
"353004";"353004";"42";"8";"2";"1256";"615";"7";"0";"608";"163";"28";"48";"43";"56";"6";"27";"50";"187"
"355001";"355001";"46";"8";"2";"768";"425";"7";"1";"417";"132";"17";"41";"15";"48";"0";"21";"38";"105"
"355002";"355002";"46";"8";"2";"583";"299";"6";"2";"291";"106";"8";"29";"26";"25";"5";"15";"15";"62"
"355003";"355003";"46";"8";"2";"1580";"810";"17";"2";"791";"411";"28";"63";"47";"60";"3";"15";"46";"118"
"355004";"355004";"46";"8";"2";"217";"122";"0";"1";"121";"38";"1";"7";"13";"9";"2";"7";"12";"32"
"357001";"357001";"43";"8";"2";"3151";"1734";"39";"2";"1693";"768";"66";"238";"90";"152";"7";"72";"90";"210"
"357002";"357002";"43";"8";"2";"1078";"661";"13";"4";"644";"278";"21";"74";"27";"53";"2";"29";"46";"114"
"357003";"357003";"43";"8";"2";"1128";"624";"15";"3";"606";"209";"21";"66";"37";"47";"3";"26";"45";"152"
"359001";"359001";"45";"8";"2";"453";"227";"6";"1";"220";"70";"8";"23";"22";"19";"1";"14";"22";"41"
"359002";"359002";"45";"8";"2";"307";"130";"2";"0";"128";"41";"2";"12";"7";"14";"1";"10";"9";"32"
"359003";"359003";"45";"8";"2";"536";"254";"6";"0";"248";"100";"7";"19";"9";"12";"2";"20";"22";"57"
"359004";"359004";"45";"8";"2";"1436";"696";"11";"2";"683";"265";"26";"80";"43";"45";"5";"42";"55";"122"
"359006";"359006";"45";"8";"2";"393";"222";"8";"0";"214";"75";"7";"19";"13";"22";"1";"11";"22";"44"
"361001";"361001";"44";"8";"2";"1384";"752";"11";"1";"740";"231";"26";"95";"52";"85";"4";"49";"69";"129"
"361002";"361002";"44";"8";"2";"519";"271";"4";"1";"266";"104";"22";"34";"16";"17";"0";"18";"16";"39"
"361003";"361003";"44";"8";"2";"1302";"675";"8";"2";"665";"269";"29";"88";"43";"56";"3";"25";"42";"110"
"361004";"361004";"44";"8";"2";"853";"422";"9";"0";"413";"170";"9";"34";"13";"43";"1";"22";"34";"87"
"361005";"361005";"44";"8";"2";"269";"155";"3";"1";"151";"35";"11";"14";"8";"23";"0";"7";"17";"36"
"361006";"361006";"44";"8";"2";"477";"234";"3";"0";"231";"59";"19";"23";"23";"19";"1";"8";"14";"65"
"363001";"363001";"46";"8";"2";"4600";"2225";"37";"7";"2181";"959";"85";"259";"144";"201";"11";"104";"116";"302"
"363002";"363002";"46";"8";"2";"66";"39";"0";"0";"39";"13";"2";"2";"2";"1";"2";"1";"7";"9"
"363003";"363003";"46";"8";"2";"840";"372";"2";"1";"369";"168";"14";"37";"26";"45";"0";"12";"14";"53"
"363004";"363004";"46";"8";"2";"399";"192";"5";"0";"187";"80";"6";"13";"5";"19";"7";"9";"13";"35"
"363005";"363005";"46";"8";"2";"816";"431";"5";"0";"426";"190";"21";"40";"34";"35";"2";"19";"20";"65"
"363006";"363006";"46";"8";"2";"1041";"469";"4";"2";"463";"159";"20";"44";"33";"46";"5";"19";"40";"97"
"363007";"363007";"46";"8";"2";"877";"477";"9";"0";"468";"147";"14";"39";"25";"46";"1";"40";"22";"134"
"365001";"365001";"44";"8";"2";"2652";"1279";"13";"3";"1263";"397";"65";"187";"92";"108";"5";"66";"99";"244"
"365002";"365002";"44";"8";"2";"843";"524";"5";"1";"518";"154";"31";"45";"70";"63";"2";"25";"36";"92"
"365003";"365003";"44";"8";"2";"1125";"553";"8";"3";"542";"147";"30";"58";"39";"57";"1";"47";"58";"105"
"365004";"365004";"44";"8";"2";"790";"399";"5";"1";"393";"117";"19";"28";"36";"46";"0";"28";"20";"99"
"365005";"365005";"44";"8";"2";"869";"465";"3";"1";"461";"111";"29";"47";"22";"41";"4";"33";"40";"134"
"365006";"365006";"44";"8";"2";"1616";"754";"16";"3";"735";"253";"35";"68";"58";"76";"8";"45";"36";"156"
"365007";"365007";"44";"8";"2";"1218";"673";"14";"2";"657";"179";"27";"38";"82";"86";"3";"70";"39";"133"
"367001";"367001";"45";"8";"2";"2589";"1059";"8";"3";"1048";"480";"50";"124";"85";"73";"12";"53";"63";"108"
"367002";"367002";"45";"8";"2";"3126";"1278";"19";"4";"1255";"676";"27";"90";"112";"107";"5";"55";"86";"97"
"367003";"367003";"45";"8";"2";"3054";"1411";"20";"3";"1388";"672";"47";"120";"134";"117";"7";"70";"99";"122"
"367004";"367004";"45";"8";"2";"1474";"681";"10";"1";"670";"313";"24";"81";"50";"48";"1";"40";"54";"59"
"367005";"367005";"45";"8";"2";"815";"356";"4";"0";"352";"212";"2";"19";"30";"35";"0";"14";"24";"16"
"367006";"367006";"45";"8";"2";"346";"139";"2";"0";"137";"67";"3";"5";"17";"9";"0";"7";"9";"20"
"369001";"369001";"47";"8";"2";"2335";"995";"10";"2";"983";"404";"51";"127";"95";"66";"6";"56";"60";"118"
"369002";"369002";"47";"8";"2";"3206";"1431";"23";"7";"1401";"682";"68";"144";"96";"119";"17";"69";"74";"132"
"369003";"369003";"47";"8";"2";"3341";"1491";"14";"3";"1474";"677";"54";"204";"83";"95";"16";"56";"93";"196"
"369004";"369004";"47";"8";"2";"1979";"782";"8";"2";"772";"335";"44";"96";"70";"57";"11";"37";"39";"83"
"369005";"369005";"47";"8";"2";"2301";"1184";"14";"3";"1167";"525";"62";"158";"82";"72";"4";"48";"68";"148"
"369006";"369006";"47";"8";"2";"606";"313";"5";"3";"305";"123";"8";"27";"32";"23";"3";"13";"18";"58"
"369007";"369007";"47";"8";"2";"1174";"584";"6";"3";"575";"257";"29";"66";"42";"44";"4";"28";"39";"66"
"369008";"369008";"47";"8";"2";"765";"394";"7";"0";"387";"155";"22";"34";"29";"21";"5";"23";"23";"75"
"369009";"369009";"47";"8";"2";"971";"471";"9";"0";"462";"173";"26";"38";"47";"29";"1";"22";"37";"89"
"369010";"369010";"47";"8";"2";"496";"233";"4";"0";"229";"100";"7";"18";"17";"14";"1";"8";"29";"35"
"369011";"369011";"47";"8";"2";"2700";"1487";"22";"6";"1459";"587";"81";"202";"90";"90";"16";"53";"90";"250"
"371001";"371001";"46";"8";"2";"1590";"845";"18";"5";"822";"276";"30";"126";"43";"66";"3";"41";"77";"160"
"371002";"371002";"46";"8";"2";"1072";"578";"9";"1";"568";"237";"17";"58";"33";"56";"3";"21";"33";"110"
"371003";"371003";"46";"8";"2";"779";"389";"8";"5";"376";"128";"17";"19";"22";"27";"1";"18";"19";"125"
"371004";"371004";"46";"8";"2";"782";"398";"10";"0";"388";"126";"20";"27";"19";"30";"2";"22";"33";"109"
"373020";"373020";"43";"8";"2";"2777";"1393";"11";"6";"1376";"660";"53";"157";"72";"72";"9";"61";"88";"204"
"373021";"373021";"43";"8";"2";"2967";"1255";"13";"3";"1239";"497";"65";"156";"76";"99";"7";"53";"89";"197"
"373022";"373022";"43";"8";"2";"4059";"1741";"16";"8";"1717";"779";"82";"129";"130";"193";"10";"93";"112";"189"
"373023";"373023";"43";"8";"2";"4681";"2136";"23";"2";"2111";"848";"118";"241";"155";"163";"19";"98";"142";"327"
"373024";"373024";"43";"8";"2";"3289";"1559";"17";"9";"1533";"755";"59";"121";"111";"132";"10";"70";"115";"160"
"373025";"373025";"43";"8";"2";"2885";"1323";"16";"4";"1303";"636";"55";"105";"83";"120";"7";"68";"87";"142"
"373026";"373026";"43";"8";"2";"2765";"1539";"19";"6";"1514";"519";"105";"250";"94";"77";"9";"64";"87";"309"
"373027";"373027";"43";"8";"2";"3496";"1628";"17";"6";"1605";"627";"72";"230";"68";"109";"13";"43";"115";"328"
"373028";"373028";"43";"8";"2";"3913";"1614";"18";"9";"1587";"770";"69";"152";"86";"128";"22";"71";"124";"165"
"373029";"373029";"43";"8";"2";"622";"337";"2";"0";"335";"133";"22";"29";"19";"34";"3";"15";"25";"55"
"373030";"373030";"43";"8";"2";"569";"335";"3";"0";"332";"78";"20";"47";"25";"34";"2";"15";"23";"88"
"373031";"373031";"43";"8";"2";"588";"315";"7";"0";"308";"93";"11";"39";"15";"24";"2";"14";"24";"86"
"373032";"373032";"43";"8";"2";"1907";"1038";"7";"0";"1031";"347";"63";"139";"51";"88";"5";"32";"84";"222"
"373033";"373033";"43";"8";"2";"453";"240";"1";"1";"238";"56";"7";"24";"24";"21";"1";"12";"16";"77"
"373034";"373034";"43";"8";"2";"415";"195";"0";"0";"195";"58";"9";"10";"14";"14";"0";"9";"19";"62"
"373035";"373035";"43";"8";"2";"1541";"904";"10";"1";"893";"316";"63";"145";"55";"55";"0";"34";"69";"156"
"375001";"375001";"47";"8";"2";"508";"263";"6";"0";"257";"92";"10";"17";"23";"24";"1";"8";"19";"63"
"375002";"375002";"47";"8";"2";"1057";"486";"9";"3";"474";"158";"24";"35";"22";"46";"1";"21";"41";"126"
"375003";"375003";"47";"8";"2";"2135";"1109";"25";"6";"1078";"402";"48";"114";"60";"65";"3";"54";"81";"251"
"375005";"375005";"47";"8";"2";"454";"228";"2";"0";"226";"72";"10";"14";"17";"20";"0";"7";"21";"65"
"375006";"375006";"47";"8";"2";"559";"273";"5";"1";"267";"73";"9";"11";"16";"33";"3";"15";"24";"83"
"375007";"375007";"47";"8";"2";"358";"194";"2";"0";"192";"54";"10";"13";"8";"16";"0";"6";"22";"63"
"375008";"375008";"47";"8";"2";"623";"330";"4";"1";"325";"128";"17";"37";"24";"22";"2";"15";"27";"53"
"375009";"375009";"47";"8";"2";"651";"338";"2";"1";"335";"153";"13";"23";"19";"30";"4";"9";"33";"51"
"375010";"375010";"47";"8";"2";"1047";"541";"15";"2";"524";"225";"27";"40";"32";"38";"3";"27";"32";"100"
"377001";"377001";"42";"8";"2";"3517";"1778";"10";"3";"1765";"568";"87";"206";"157";"169";"6";"89";"127";"356"
"377002";"377002";"42";"8";"2";"633";"332";"6";"0";"326";"99";"9";"46";"39";"43";"0";"23";"20";"47"
"377003";"377003";"42";"8";"2";"630";"363";"7";"0";"356";"98";"19";"23";"43";"39";"2";"26";"17";"89"
"377004";"377004";"42";"8";"2";"909";"435";"6";"0";"429";"134";"14";"46";"27";"33";"1";"12";"32";"130"
"379001";"379001";"45";"8";"2";"573";"274";"3";"1";"270";"102";"10";"27";"14";"21";"2";"13";"19";"62"
"379002";"379002";"45";"8";"2";"506";"254";"1";"2";"251";"56";"22";"25";"25";"36";"2";"16";"13";"56"
"379003";"379003";"45";"8";"2";"137";"90";"0";"2";"88";"25";"8";"11";"2";"8";"0";"3";"6";"25"
"379005";"379005";"45";"8";"2";"1432";"631";"10";"1";"620";"242";"22";"55";"38";"60";"2";"47";"42";"112"
"379007";"379007";"45";"8";"2";"391";"217";"6";"0";"211";"88";"6";"20";"9";"20";"1";"9";"10";"48"
"379008";"379008";"45";"8";"2";"668";"290";"10";"0";"280";"90";"18";"29";"28";"30";"0";"10";"26";"49"
"379009";"379009";"45";"8";"2";"523";"256";"6";"0";"250";"118";"6";"16";"14";"22";"2";"10";"20";"42"
"379010";"379010";"45";"8";"2";"204";"101";"3";"0";"98";"31";"5";"12";"4";"10";"0";"8";"5";"23"
"381001";"381001";"45";"8";"2";"354";"207";"0";"1";"206";"73";"7";"17";"13";"25";"0";"13";"12";"46"
"381002";"381002";"45";"8";"2";"349";"210";"2";"0";"208";"77";"12";"18";"9";"16";"1";"4";"28";"43"
"381003";"381003";"45";"8";"2";"476";"229";"5";"2";"222";"99";"7";"21";"13";"17";"0";"13";"15";"37"
"381004";"381004";"45";"8";"2";"511";"272";"8";"0";"264";"95";"3";"30";"13";"20";"1";"5";"23";"74"
"381005";"381005";"45";"8";"2";"1073";"543";"3";"4";"536";"203";"15";"45";"35";"39";"0";"24";"53";"122"
"383001";"383001";"46";"8";"2";"2522";"1429";"54";"5";"1370";"583";"57";"113";"91";"93";"2";"40";"83";"308"
"383002";"383002";"46";"8";"2";"1638";"817";"21";"2";"794";"360";"20";"44";"84";"98";"0";"42";"67";"79"
"383003";"383003";"46";"8";"2";"930";"517";"16";"2";"499";"178";"17";"30";"22";"38";"4";"19";"38";"153"
"385001";"385001";"42";"8";"2";"2663";"1236";"18";"5";"1213";"361";"59";"127";"86";"109";"6";"45";"107";"313"
"385002";"385002";"42";"8";"2";"2719";"1239";"18";"2";"1219";"365";"48";"149";"61";"138";"5";"54";"99";"300"
"387001";"387001";"46";"8";"2";"3943";"1745";"26";"6";"1713";"795";"80";"204";"104";"102";"5";"74";"90";"259"
"387002";"387002";"46";"8";"2";"889";"434";"6";"2";"426";"127";"8";"57";"29";"43";"1";"17";"46";"98"
"387003";"387003";"46";"8";"2";"688";"318";"9";"1";"308";"120";"8";"20";"12";"20";"0";"11";"16";"101"
"387005";"387005";"46";"8";"2";"561";"285";"5";"0";"280";"108";"6";"20";"16";"21";"3";"11";"19";"76"
"387006";"387006";"46";"8";"2";"584";"309";"4";"0";"305";"91";"18";"22";"18";"30";"1";"13";"24";"88"
"387007";"387007";"46";"8";"2";"635";"305";"2";"1";"302";"101";"16";"29";"22";"29";"2";"11";"16";"76"
"389001";"389001";"42";"8";"2";"3840";"1937";"23";"4";"1910";"724";"73";"294";"94";"166";"3";"93";"136";"327"
"389002";"389002";"42";"8";"2";"2011";"1161";"17";"1";"1143";"361";"51";"164";"84";"129";"4";"64";"76";"210"
"389003";"389003";"42";"8";"2";"901";"454";"6";"1";"447";"127";"22";"52";"27";"52";"2";"21";"43";"101"
"389004";"389004";"42";"8";"2";"1018";"510";"6";"4";"500";"161";"26";"65";"29";"52";"4";"31";"42";"90"
"389005";"389005";"42";"8";"2";"904";"445";"8";"2";"435";"109";"21";"54";"30";"48";"2";"23";"34";"114"
"391001";"391001";"47";"8";"2";"2712";"1399";"14";"1";"1384";"507";"52";"150";"130";"106";"11";"70";"98";"260"
"391004";"391004";"47";"8";"2";"1024";"494";"7";"1";"486";"175";"25";"31";"41";"31";"0";"27";"44";"112"
"391005";"391005";"47";"8";"2";"1532";"837";"14";"3";"820";"283";"43";"66";"61";"58";"4";"42";"55";"208"
"393001";"393001";"43";"8";"2";"2189";"1162";"18";"3";"1141";"451";"45";"94";"86";"138";"5";"51";"61";"210"
"393002";"393002";"43";"8";"2";"439";"231";"4";"0";"227";"60";"13";"28";"16";"29";"2";"11";"16";"52"
"393003";"393003";"43";"8";"2";"509";"258";"4";"1";"253";"74";"15";"26";"9";"19";"1";"13";"26";"70"
"393004";"393004";"43";"8";"2";"2341";"1114";"21";"3";"1090";"377";"38";"95";"65";"122";"3";"52";"88";"250"
"393005";"393005";"43";"8";"2";"744";"359";"2";"1";"356";"84";"17";"24";"25";"60";"2";"18";"35";"91"
"395001";"395001";"47";"8";"2";"1622";"832";"6";"2";"824";"293";"35";"117";"49";"50";"3";"35";"44";"198"
"395002";"395002";"47";"8";"2";"2587";"1378";"18";"2";"1358";"465";"66";"234";"68";"98";"4";"47";"95";"281"
"395003";"395003";"47";"8";"2";"330";"180";"0";"0";"180";"48";"6";"16";"13";"20";"3";"15";"20";"39"
"395004";"395004";"47";"8";"2";"1046";"526";"8";"0";"518";"177";"16";"53";"34";"51";"2";"32";"90";"63"
"397001";"397001";"44";"8";"2";"4294";"2097";"34";"6";"2057";"792";"109";"313";"140";"162";"6";"101";"131";"303"
"397002";"397002";"44";"8";"2";"2964";"1393";"21";"2";"1370";"587";"66";"116";"124";"132";"5";"94";"86";"160"
"397003";"397003";"44";"8";"2";"2011";"1079";"9";"2";"1068";"328";"79";"164";"107";"74";"5";"57";"74";"180"
"397004";"397004";"44";"8";"2";"1945";"905";"11";"3";"891";"355";"34";"90";"58";"77";"2";"50";"66";"159"
"397005";"397005";"44";"8";"2";"751";"367";"3";"0";"364";"110";"19";"48";"29";"40";"1";"19";"35";"63"
"397006";"397006";"44";"8";"2";"1018";"484";"4";"3";"477";"130";"18";"63";"37";"57";"1";"26";"56";"89"
"397007";"397007";"44";"8";"2";"161";"72";"0";"0";"72";"13";"3";"9";"10";"4";"0";"7";"2";"24"
"397008";"397008";"44";"8";"2";"800";"367";"6";"0";"361";"128";"12";"24";"29";"45";"0";"28";"26";"69"
"397009";"397009";"44";"8";"2";"1618";"783";"19";"3";"761";"325";"27";"75";"38";"77";"4";"36";"38";"141"
"397010";"397010";"44";"8";"2";"265";"107";"1";"0";"106";"25";"4";"11";"5";"17";"0";"5";"4";"35"
"400001";"400001";"48";"9";"2";"1503";"732";"25";"3";"704";"319";"18";"42";"28";"55";"32";"36";"45";"129"
"400002";"400002";"48";"9";"2";"1373";"692";"30";"3";"659";"225";"21";"29";"23";"55";"41";"39";"50";"176"
"400003";"400003";"48";"9";"2";"1336";"707";"18";"3";"686";"272";"15";"50";"18";"55";"40";"27";"42";"167"
"400004";"400004";"48";"9";"2";"523";"302";"7";"0";"295";"91";"19";"13";"12";"31";"11";"17";"20";"81"
"400005";"400005";"49";"9";"2";"1529";"780";"25";"4";"751";"290";"38";"33";"35";"78";"37";"47";"60";"133"
"400006";"400006";"49";"9";"2";"1246";"560";"20";"1";"539";"157";"23";"26";"21";"68";"39";"35";"31";"139"
"400007";"400007";"49";"9";"2";"413";"228";"9";"0";"219";"54";"11";"10";"14";"17";"6";"14";"18";"75"
"400008";"400008";"49";"9";"2";"694";"373";"6";"1";"366";"107";"11";"19";"21";"31";"24";"28";"32";"93"
"400009";"400009";"49";"9";"2";"646";"339";"3";"2";"334";"110";"11";"20";"31";"45";"9";"18";"23";"67"
"400010";"400010";"49";"9";"2";"1266";"656";"14";"2";"640";"183";"16";"32";"39";"64";"55";"39";"40";"172"
"400011";"400011";"49";"9";"2";"2942";"1295";"30";"4";"1261";"543";"41";"59";"38";"113";"43";"63";"68";"293"
"400012";"400012";"49";"9";"2";"1125";"650";"6";"2";"642";"194";"57";"39";"41";"101";"16";"49";"31";"114"
"400013";"400013";"49";"9";"2";"800";"389";"5";"1";"383";"110";"19";"23";"21";"38";"8";"23";"24";"117"
"400014";"400014";"49";"9";"2";"729";"380";"11";"1";"368";"131";"18";"25";"21";"34";"11";"31";"24";"73"
"400015";"400015";"49";"9";"2";"919";"467";"9";"2";"456";"172";"18";"29";"18";"39";"22";"22";"29";"107"
"400016";"400016";"49";"9";"2";"2662";"1262";"31";"2";"1229";"461";"37";"56";"47";"83";"105";"39";"60";"341"
"400017";"400017";"49";"9";"2";"764";"409";"12";"1";"396";"174";"7";"37";"14";"28";"8";"21";"29";"78"
"400018";"400018";"49";"9";"2";"527";"313";"3";"1";"309";"99";"6";"8";"15";"24";"18";"22";"30";"87"
"400019";"400019";"49";"9";"2";"1072";"569";"23";"1";"545";"192";"16";"27";"19";"43";"30";"22";"42";"154"
"400020";"400020";"48";"9";"2";"11346";"5143";"118";"12";"5013";"2270";"204";"272";"233";"401";"180";"281";"305";"867"
"411001";"411001";"49";"9";"2";"73";"61";"4";"0";"57";"15";"1";"2";"4";"16";"0";"8";"1";"10"
"421001";"421001";"54";"10";"2";"5241";"2225";"39";"2";"2184";"811";"100";"342";"116";"186";"11";"91";"135";"392"
"421002";"421002";"54";"10";"2";"1335";"642";"6";"1";"635";"235";"37";"94";"33";"50";"4";"14";"31";"137"
"421003";"421003";"54";"10";"2";"693";"333";"8";"0";"325";"104";"9";"42";"28";"35";"1";"14";"20";"72"
"421004";"421004";"54";"10";"2";"725";"345";"5";"2";"338";"96";"14";"48";"23";"26";"1";"16";"18";"96"
"421005";"421005";"54";"10";"2";"204";"115";"1";"0";"114";"20";"5";"21";"10";"14";"0";"3";"6";"35"
"421006";"421006";"54";"10";"2";"34";"28";"0";"0";"28";"6";"0";"2";"1";"2";"0";"1";"4";"12"
"423001";"423001";"55";"10";"2";"2768";"1301";"12";"0";"1289";"478";"47";"185";"66";"126";"5";"43";"113";"226"
"423002";"423002";"55";"10";"2";"283";"120";"3";"0";"117";"30";"6";"21";"5";"9";"0";"5";"10";"31"
"423003";"423003";"55";"10";"2";"357";"178";"0";"0";"178";"54";"4";"23";"7";"16";"1";"6";"10";"57"
"423004";"423004";"55";"10";"2";"312";"185";"1";"0";"184";"31";"7";"24";"1";"19";"0";"11";"18";"73"
"423005";"423005";"55";"10";"2";"487";"236";"1";"0";"235";"59";"11";"26";"16";"21";"2";"15";"22";"63"
"423006";"423006";"55";"10";"2";"662";"268";"2";"0";"266";"91";"16";"26";"14";"29";"2";"8";"18";"62"
"425001";"425001";"58";"10";"2";"1513";"726";"15";"0";"711";"213";"28";"102";"35";"61";"5";"20";"52";"195"
"425002";"425002";"58";"10";"2";"1242";"620";"11";"1";"608";"211";"33";"77";"39";"47";"2";"14";"57";"128"
"425003";"425003";"58";"10";"2";"1079";"532";"18";"1";"513";"168";"18";"92";"27";"35";"0";"25";"40";"108"
"425004";"425004";"58";"10";"2";"890";"433";"8";"0";"425";"115";"35";"60";"30";"26";"2";"17";"27";"113"
"427001";"427001";"56";"10";"2";"435";"211";"1";"0";"210";"46";"14";"16";"21";"28";"0";"9";"10";"66"
"427002";"427002";"56";"10";"2";"1017";"464";"8";"1";"455";"161";"27";"28";"44";"55";"1";"24";"28";"87"
"427003";"427003";"56";"10";"2";"348";"139";"1";"0";"138";"34";"7";"7";"5";"21";"3";"9";"13";"39"
"427004";"427004";"56";"10";"2";"893";"524";"11";"1";"512";"123";"43";"24";"85";"87";"0";"38";"15";"97"
"427005";"427005";"56";"10";"2";"1565";"675";"6";"0";"669";"233";"28";"55";"48";"82";"8";"31";"44";"140"
"427006";"427006";"56";"10";"2";"763";"444";"3";"1";"440";"103";"22";"33";"54";"64";"1";"45";"36";"82"
"427007";"427007";"56";"10";"2";"907";"484";"7";"1";"476";"123";"28";"42";"55";"57";"3";"22";"25";"121"
"427008";"427008";"56";"10";"2";"600";"361";"5";"2";"354";"92";"16";"37";"44";"44";"0";"23";"20";"78"
"429001";"429001";"54";"10";"2";"220";"107";"1";"0";"106";"28";"3";"12";"6";"16";"0";"6";"7";"28"
"429002";"429002";"54";"10";"2";"1511";"691";"6";"0";"685";"243";"34";"97";"21";"64";"3";"26";"44";"153"
"429003";"429003";"54";"10";"2";"297";"161";"7";"0";"154";"28";"5";"16";"16";"29";"2";"4";"9";"45"
"429004";"429004";"54";"10";"2";"349";"189";"5";"1";"183";"56";"13";"25";"11";"17";"0";"9";"8";"44"
"429005";"429005";"54";"10";"2";"174";"88";"1";"0";"87";"19";"5";"3";"9";"5";"0";"9";"7";"30"
"429006";"429006";"54";"10";"2";"1725";"715";"9";"2";"704";"261";"29";"108";"40";"54";"0";"24";"47";"141"
"429007";"429007";"54";"10";"2";"1624";"731";"15";"2";"714";"216";"51";"92";"41";"59";"8";"34";"52";"161"
"429008";"429008";"54";"10";"2";"593";"286";"9";"0";"277";"103";"7";"32";"16";"24";"2";"7";"20";"66"
"429009";"429009";"54";"10";"2";"685";"338";"9";"1";"328";"115";"22";"31";"26";"31";"0";"8";"35";"60"
"429010";"429010";"54";"10";"2";"318";"161";"3";"0";"158";"28";"6";"14";"10";"10";"1";"12";"4";"73"
"431001";"431001";"58";"10";"2";"92";"66";"2";"0";"64";"7";"6";"5";"3";"12";"1";"5";"3";"22"
