"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV2014 - Personlige stemmer i alt";"EV2014 - A - personlige stemmer i alt";"EV2014 - B - personlige stemmer i alt";"EV2014 - C - personlige stemmer i alt";"EV2014 - F - personlige stemmer i alt";"EV2014 - I - personlige stemmer i alt";"EV2014 - N - personlige stemmer i alt";"EV2014 - O - personlige stemmer i alt";"EV2014 - V - personlige stemmer i alt";"EV2014 - A-01";"EV2014 - A-02";"EV2014 - A-03";"EV2014 - A-04";"EV2014 - A-05";"EV2014 - A-06";"EV2014 - A-07";"EV2014 - A-08";"EV2014 - B-01";"EV2014 - B-02";"EV2014 - B-03";"EV2014 - B-04";"EV2014 - B-05";"EV2014 - B-06";"EV2014 - B-07";"EV2014 - C-01";"EV2014 - C-02";"EV2014 - C-03";"EV2014 - C-04";"EV2014 - C-05";"EV2014 - C-06";"EV2014 - C-07";"EV2014 - C-08";"EV2014 - C-09";"EV2014 - C-10";"EV2014 - F-01";"EV2014 - F-02";"EV2014 - F-03";"EV2014 - F-04";"EV2014 - F-05";"EV2014 - F-06";"EV2014 - F-07";"EV2014 - F-08";"EV2014 - F-09";"EV2014 - F-10";"EV2014 - F-11";"EV2014 - F-12";"EV2014 - F-13";"EV2014 - F-14";"EV2014 - F-15";"EV2014 - F-16";"EV2014 - F-17";"EV2014 - F-18";"EV2014 - F-19";"EV2014 - F-20";"EV2014 - I-01";"EV2014 - I-02";"EV2014 - I-03";"EV2014 - I-04";"EV2014 - I-05";"EV2014 - I-06";"EV2014 - I-07";"EV2014 - I-08";"EV2014 - I-09";"EV2014 - N-01";"EV2014 - N-02";"EV2014 - N-03";"EV2014 - N-04";"EV2014 - N-05";"EV2014 - N-06";"EV2014 - N-07";"EV2014 - N-08";"EV2014 - N-09";"EV2014 - N-10";"EV2014 - N-11";"EV2014 - N-12";"EV2014 - N-13";"EV2014 - N-14";"EV2014 - N-15";"EV2014 - N-16";"EV2014 - N-17";"EV2014 - N-18";"EV2014 - N-19";"EV2014 - N-20";"EV2014 - O-01";"EV2014 - O-02";"EV2014 - O-03";"EV2014 - O-04";"EV2014 - O-05";"EV2014 - O-06";"EV2014 - O-07";"EV2014 - O-08";"EV2014 - O-09";"EV2014 - O-10";"EV2014 - V-01";"EV2014 - V-02";"EV2014 - V-03";"EV2014 - V-04";"EV2014 - V-05";"EV2014 - V-06";"EV2014 - V-07";"EV2014 - V-08";"EV2014 - V-09";"EV2014 - V-10";"EV2014 - V-11";"EV2014 - V-12";"EV2014 - V-13";"EV2014 - V-14";"EV2014 - V-15";"EV2014 - V-16"
"101012";"101012";"3";"1";"1";"2822";"514";"423";"268";"636";"102";"190";"328";"361";"280";"11";"113";"6";"75";"14";"13";"2";"284";"11";"6";"30";"83";"5";"4";"201";"35";"8";"6";"5";"0";"2";"0";"1";"10";"530";"6";"14";"15";"19";"1";"8";"4";"6";"2";"2";"6";"0";"8";"1";"0";"7";"3";"1";"3";"77";"5";"1";"0";"3";"9";"1";"1";"5";"141";"11";"3";"12";"3";"1";"1";"0";"0";"0";"3";"0";"1";"1";"2";"0";"4";"3";"4";"0";"317";"5";"2";"0";"1";"1";"0";"1";"0";"1";"116";"4";"1";"8";"3";"23";"1";"19";"112";"14";"3";"0";"52";"2";"0";"3"
"101013";"101013";"3";"1";"1";"3669";"697";"462";"180";"1059";"86";"503";"389";"293";"376";"11";"108";"11";"146";"21";"18";"6";"293";"11";"12";"38";"99";"3";"6";"139";"19";"3";"3";"1";"2";"2";"2";"7";"2";"856";"13";"24";"28";"46";"4";"18";"3";"7";"2";"2";"6";"1";"7";"7";"2";"10";"12";"6";"5";"70";"6";"6";"0";"1";"2";"0";"0";"1";"354";"45";"9";"35";"7";"1";"3";"4";"1";"2";"0";"5";"7";"2";"2";"5";"9";"4";"7";"1";"370";"5";"3";"2";"0";"2";"1";"2";"3";"1";"114";"7";"3";"6";"3";"16";"0";"8";"76";"12";"2";"0";"43";"1";"1";"1"
"101014";"101014";"3";"1";"1";"4670";"798";"689";"491";"944";"172";"354";"646";"576";"423";"19";"186";"11";"114";"25";"14";"6";"467";"19";"14";"59";"114";"4";"12";"342";"71";"8";"19";"23";"4";"4";"4";"11";"5";"747";"10";"27";"34";"41";"3";"9";"4";"9";"8";"3";"4";"0";"8";"2";"1";"7";"9";"9";"9";"132";"4";"10";"6";"3";"2";"6";"1";"8";"246";"42";"4";"16";"1";"1";"6";"2";"0";"1";"3";"6";"3";"4";"2";"3";"3";"6";"5";"0";"619";"5";"4";"3";"1";"3";"5";"5";"0";"1";"199";"7";"0";"16";"4";"33";"0";"35";"154";"32";"4";"1";"79";"6";"1";"5"
"101016";"101016";"4";"1";"1";"2988";"536";"269";"166";"632";"51";"329";"768";"237";"309";"15";"73";"15";"84";"21";"16";"3";"164";"4";"7";"30";"60";"1";"3";"124";"22";"5";"8";"2";"1";"0";"0";"0";"4";"448";"12";"20";"12";"46";"7";"12";"2";"8";"2";"0";"10";"1";"9";"8";"0";"9";"11";"12";"3";"42";"1";"2";"1";"0";"3";"1";"1";"0";"221";"27";"11";"8";"7";"3";"6";"2";"2";"2";"2";"5";"4";"2";"2";"6";"7";"8";"0";"4";"731";"8";"9";"6";"1";"3";"2";"4";"0";"4";"89";"3";"5";"5";"0";"28";"1";"6";"50";"5";"5";"0";"31";"5";"1";"3"
"101017";"101017";"4";"1";"1";"4446";"818";"564";"240";"960";"124";"501";"948";"291";"438";"32";"127";"27";"111";"46";"21";"16";"313";"18";"8";"77";"127";"4";"17";"172";"22";"10";"21";"0";"4";"2";"0";"4";"5";"708";"17";"29";"17";"57";"10";"12";"11";"9";"1";"1";"13";"1";"14";"8";"0";"15";"18";"11";"8";"81";"10";"11";"3";"2";"14";"0";"2";"1";"332";"43";"16";"24";"7";"3";"9";"4";"2";"0";"7";"6";"5";"1";"1";"6";"16";"11";"7";"1";"898";"16";"12";"3";"0";"0";"1";"12";"3";"3";"102";"4";"4";"2";"5";"21";"1";"7";"84";"8";"2";"1";"42";"0";"3";"5"
"101018";"101018";"4";"1";"1";"2827";"508";"263";"164";"547";"55";"300";"744";"246";"310";"21";"71";"20";"49";"16";"17";"4";"161";"7";"5";"36";"42";"3";"9";"120";"25";"4";"8";"2";"1";"1";"0";"1";"2";"423";"17";"12";"8";"29";"5";"2";"1";"7";"2";"0";"1";"0";"5";"5";"0";"8";"6";"12";"4";"42";"2";"3";"1";"2";"4";"1";"0";"0";"216";"18";"7";"15";"6";"3";"2";"2";"0";"3";"5";"1";"0";"2";"5";"1";"7";"3";"3";"1";"720";"5";"8";"0";"0";"1";"2";"5";"2";"1";"97";"4";"2";"5";"2";"18";"0";"4";"64";"5";"5";"3";"33";"0";"4";"0"
"101019";"101019";"4";"1";"1";"3122";"601";"340";"225";"648";"71";"253";"699";"285";"328";"23";"115";"4";"81";"29";"19";"2";"227";"6";"12";"33";"55";"1";"6";"179";"21";"6";"5";"3";"4";"2";"0";"3";"2";"532";"13";"16";"13";"18";"8";"4";"2";"4";"0";"1";"4";"0";"4";"3";"0";"12";"4";"9";"1";"49";"6";"2";"2";"1";"10";"0";"0";"1";"177";"20";"3";"15";"3";"1";"3";"1";"0";"3";"3";"2";"5";"1";"1";"0";"8";"3";"2";"2";"670";"5";"8";"4";"1";"4";"1";"3";"0";"3";"136";"2";"1";"1";"2";"15";"0";"3";"78";"2";"3";"1";"29";"4";"3";"5"
"101020";"101020";"5";"1";"1";"3617";"582";"509";"163";"1208";"65";"521";"394";"175";"325";"16";"96";"17";"64";"33";"20";"11";"274";"24";"15";"92";"85";"9";"10";"103";"28";"7";"12";"1";"5";"0";"1";"4";"2";"767";"24";"44";"20";"187";"12";"29";"4";"15";"9";"4";"9";"1";"23";"5";"1";"21";"14";"11";"8";"38";"8";"3";"1";"3";"7";"1";"1";"3";"344";"37";"8";"25";"9";"3";"5";"1";"3";"2";"4";"8";"3";"6";"6";"2";"23";"17";"13";"2";"377";"4";"0";"2";"1";"4";"1";"1";"3";"1";"46";"2";"3";"7";"7";"13";"0";"3";"46";"3";"6";"2";"31";"3";"1";"2"
"101021";"101021";"5";"1";"1";"4368";"741";"573";"185";"1374";"97";"625";"517";"256";"409";"26";"123";"26";"105";"22";"16";"14";"315";"15";"14";"108";"102";"4";"15";"120";"21";"13";"12";"6";"4";"2";"0";"5";"2";"922";"24";"46";"24";"138";"24";"51";"13";"16";"7";"1";"13";"3";"12";"11";"2";"22";"15";"14";"16";"64";"9";"5";"3";"0";"10";"3";"1";"2";"396";"38";"26";"31";"10";"2";"5";"3";"0";"2";"7";"2";"14";"3";"8";"8";"33";"19";"17";"1";"490";"9";"4";"2";"1";"1";"2";"5";"1";"2";"87";"6";"4";"6";"3";"14";"0";"7";"69";"6";"6";"0";"38";"1";"1";"8"
"101022";"101022";"5";"1";"1";"2224";"391";"292";"93";"665";"35";"385";"251";"112";"209";"16";"62";"9";"62";"18";"10";"5";"161";"6";"6";"46";"66";"2";"5";"58";"16";"7";"8";"0";"1";"1";"0";"2";"0";"508";"11";"25";"21";"40";"4";"14";"6";"7";"2";"1";"5";"0";"7";"2";"1";"6";"1";"3";"1";"30";"4";"0";"0";"0";"0";"0";"1";"0";"264";"17";"19";"34";"6";"1";"1";"9";"0";"1";"2";"1";"1";"1";"5";"2";"7";"3";"11";"0";"241";"1";"3";"1";"0";"1";"1";"3";"0";"0";"49";"1";"1";"1";"1";"6";"2";"0";"27";"7";"1";"0";"12";"2";"0";"2"
"101023";"101023";"5";"1";"1";"1970";"352";"285";"108";"628";"46";"261";"175";"115";"174";"10";"55";"10";"63";"22";"15";"3";"157";"12";"5";"31";"70";"2";"8";"70";"18";"3";"7";"1";"1";"1";"2";"1";"4";"461";"10";"23";"18";"58";"4";"10";"1";"5";"3";"1";"6";"0";"4";"0";"2";"12";"3";"5";"2";"33";"8";"1";"0";"0";"1";"1";"1";"1";"161";"15";"7";"12";"6";"0";"4";"0";"1";"2";"1";"2";"7";"0";"3";"1";"23";"7";"7";"2";"168";"0";"1";"1";"0";"0";"1";"3";"0";"1";"38";"2";"0";"4";"0";"5";"0";"1";"38";"3";"4";"0";"17";"0";"1";"2"
"101024";"101024";"5";"1";"1";"2546";"460";"318";"93";"795";"39";"388";"321";"132";"237";"11";"85";"19";"71";"20";"11";"6";"173";"7";"8";"49";"67";"2";"12";"66";"8";"5";"7";"1";"1";"0";"1";"3";"1";"566";"9";"27";"19";"81";"15";"8";"5";"11";"5";"3";"5";"1";"9";"4";"1";"8";"6";"5";"7";"30";"3";"1";"1";"1";"2";"1";"0";"0";"277";"12";"11";"12";"15";"4";"2";"0";"1";"0";"5";"3";"4";"0";"6";"1";"10";"13";"10";"2";"312";"2";"5";"1";"0";"0";"0";"0";"1";"0";"34";"4";"3";"3";"2";"12";"1";"4";"32";"4";"3";"0";"22";"6";"0";"2"
"101025";"101025";"5";"1";"1";"3468";"589";"528";"112";"1116";"62";"485";"402";"174";"306";"18";"101";"15";"86";"20";"27";"16";"288";"14";"17";"67";"126";"7";"9";"76";"21";"1";"5";"1";"1";"1";"0";"5";"1";"781";"6";"41";"27";"131";"12";"25";"11";"8";"9";"4";"5";"1";"13";"3";"1";"4";"12";"9";"13";"35";"11";"5";"1";"2";"4";"2";"2";"0";"319";"24";"7";"32";"9";"4";"5";"1";"3";"1";"2";"0";"4";"1";"6";"2";"28";"17";"18";"2";"384";"4";"5";"0";"2";"1";"1";"4";"1";"0";"58";"0";"2";"5";"2";"8";"0";"5";"41";"9";"3";"1";"27";"2";"3";"8"
"101026";"101026";"5";"1";"1";"1086";"170";"164";"53";"317";"29";"153";"116";"84";"75";"5";"31";"5";"35";"12";"5";"2";"90";"1";"2";"29";"38";"0";"4";"34";"12";"2";"1";"1";"0";"1";"0";"0";"2";"234";"2";"8";"4";"28";"4";"6";"1";"2";"4";"0";"2";"0";"3";"1";"1";"4";"7";"5";"1";"17";"3";"5";"1";"0";"1";"2";"0";"0";"108";"7";"2";"11";"4";"1";"1";"0";"0";"0";"1";"1";"2";"0";"3";"2";"6";"2";"1";"1";"114";"1";"0";"0";"0";"0";"1";"0";"0";"0";"29";"3";"2";"0";"0";"10";"0";"0";"21";"4";"0";"1";"11";"3";"0";"0"
"101027";"101027";"6";"1";"1";"4505";"781";"483";"255";"1021";"94";"584";"991";"296";"474";"29";"118";"29";"60";"50";"12";"9";"273";"17";"7";"91";"78";"1";"16";"167";"34";"21";"12";"3";"3";"0";"2";"10";"3";"714";"20";"33";"33";"66";"17";"24";"11";"9";"7";"1";"19";"1";"7";"7";"3";"17";"18";"11";"3";"72";"2";"7";"3";"0";"8";"0";"1";"1";"374";"26";"12";"33";"19";"6";"8";"2";"3";"2";"6";"6";"21";"1";"5";"7";"19";"23";"8";"3";"935";"9";"11";"4";"5";"7";"5";"9";"2";"4";"113";"3";"4";"8";"5";"22";"1";"4";"58";"6";"5";"5";"48";"8";"2";"4"
"101028";"101028";"6";"1";"1";"2534";"519";"243";"149";"526";"48";"271";"614";"164";"316";"8";"108";"6";"54";"15";"10";"2";"157";"6";"5";"34";"35";"3";"3";"108";"14";"16";"5";"1";"0";"1";"0";"4";"0";"416";"3";"20";"7";"27";"2";"5";"8";"4";"2";"0";"7";"0";"4";"3";"2";"6";"1";"4";"5";"38";"2";"4";"2";"0";"1";"0";"0";"1";"175";"6";"4";"24";"8";"1";"4";"3";"1";"0";"9";"1";"16";"0";"2";"1";"7";"5";"3";"1";"585";"1";"2";"3";"0";"1";"2";"3";"3";"14";"78";"2";"1";"3";"0";"7";"0";"2";"37";"5";"0";"0";"27";"1";"0";"1"
"101029";"101029";"6";"1";"1";"1415";"280";"108";"88";"262";"27";"177";"386";"87";"168";"7";"54";"4";"28";"13";"4";"2";"72";"5";"7";"10";"10";"0";"4";"63";"12";"9";"0";"1";"1";"1";"0";"0";"1";"203";"6";"7";"3";"8";"4";"4";"3";"2";"2";"0";"4";"3";"2";"3";"1";"3";"2";"0";"2";"21";"2";"0";"0";"1";"1";"0";"1";"1";"127";"11";"4";"7";"4";"2";"2";"1";"0";"2";"3";"0";"3";"2";"2";"1";"3";"1";"2";"0";"370";"4";"4";"0";"2";"1";"0";"3";"0";"2";"36";"1";"0";"2";"1";"11";"0";"0";"16";"5";"3";"0";"10";"1";"0";"1"
"101030";"101030";"6";"1";"1";"2857";"497";"308";"150";"726";"76";"418";"534";"148";"276";"21";"68";"11";"60";"30";"17";"14";"161";"13";"9";"55";"62";"1";"7";"90";"20";"12";"18";"0";"4";"0";"0";"4";"2";"510";"10";"21";"14";"68";"13";"10";"5";"8";"9";"3";"5";"0";"10";"8";"0";"12";"8";"7";"5";"46";"10";"5";"4";"2";"6";"3";"0";"0";"272";"25";"9";"20";"8";"2";"7";"4";"2";"1";"5";"3";"9";"1";"7";"3";"19";"11";"10";"0";"516";"2";"5";"0";"3";"2";"0";"3";"0";"3";"54";"3";"4";"5";"4";"12";"0";"5";"23";"4";"4";"0";"25";"0";"2";"3"
"101031";"101031";"7";"1";"1";"1546";"290";"148";"100";"336";"34";"146";"372";"120";"171";"5";"72";"4";"26";"4";"7";"1";"101";"6";"6";"9";"24";"0";"2";"81";"6";"1";"7";"2";"0";"0";"0";"1";"2";"276";"2";"7";"4";"9";"4";"2";"4";"7";"0";"1";"5";"0";"4";"0";"1";"3";"4";"2";"1";"29";"0";"1";"0";"0";"2";"1";"0";"1";"95";"15";"7";"7";"2";"1";"5";"0";"1";"0";"1";"2";"3";"2";"1";"0";"0";"1";"2";"1";"353";"3";"4";"0";"2";"1";"3";"3";"1";"2";"55";"1";"0";"1";"0";"11";"0";"2";"29";"4";"1";"0";"10";"4";"0";"2"
"101032";"101032";"7";"1";"1";"463";"111";"33";"8";"71";"3";"61";"158";"18";"65";"5";"9";"9";"12";"4";"1";"6";"15";"2";"0";"14";"2";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49";"2";"1";"1";"0";"3";"5";"3";"1";"0";"0";"1";"0";"1";"0";"0";"1";"1";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"45";"2";"4";"2";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"3";"0";"0";"0";"1";"145";"1";"5";"0";"1";"2";"1";"0";"1";"2";"8";"0";"0";"1";"0";"2";"0";"0";"4";"1";"0";"0";"1";"1";"0";"0"
"101033";"101033";"7";"1";"1";"2666";"534";"291";"131";"627";"54";"234";"603";"192";"306";"14";"107";"11";"44";"32";"12";"8";"186";"10";"7";"30";"53";"1";"4";"74";"21";"14";"12";"2";"2";"3";"1";"2";"0";"516";"8";"17";"10";"21";"6";"7";"2";"6";"1";"0";"9";"0";"4";"1";"0";"4";"5";"4";"6";"45";"0";"0";"2";"0";"4";"0";"0";"3";"171";"7";"3";"11";"3";"0";"3";"0";"0";"2";"5";"0";"6";"1";"3";"1";"6";"4";"6";"2";"575";"3";"10";"3";"3";"2";"1";"4";"1";"1";"78";"3";"1";"3";"2";"14";"0";"3";"36";"9";"2";"1";"34";"2";"0";"4"
"101034";"101034";"7";"1";"1";"3051";"621";"316";"172";"694";"47";"337";"635";"229";"373";"18";"108";"14";"67";"28";"10";"3";"211";"5";"7";"34";"47";"5";"7";"122";"11";"20";"15";"0";"3";"1";"0";"0";"0";"554";"13";"21";"19";"20";"2";"11";"7";"2";"1";"2";"9";"0";"10";"2";"0";"5";"5";"7";"4";"31";"5";"1";"1";"1";"4";"1";"1";"2";"232";"18";"9";"21";"7";"2";"1";"3";"1";"1";"6";"4";"2";"3";"2";"1";"10";"11";"1";"2";"607";"9";"3";"1";"3";"5";"3";"0";"1";"3";"82";"2";"6";"10";"0";"21";"1";"4";"52";"16";"4";"0";"26";"2";"2";"1"
