"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV1984 - Stemmeberettigede";"EV1984 - Afgivne stemmer";"EV1984 - Blanke stemmer";"EV1984 - Andre ugyldige stemmer";"EV1984 - Gyldige stemmer";"EV1984 - A. Socialdemokratiet";"EV1984 - B. Det Radikale Venstre";"EV1984 - C. Det Konservative Folkeparti";"EV1984 - F. Socialistisk Folkeparti";"EV1984 - M. Centrum-Demokraterne";"EV1984 - N. Folkebevægelsen mod EF";"EV1984 - Q. Kristeligt Folkeparti";"EV1984 - V. Venstre, Danmarks Liberale Parti";"EV1984 - Y. Venstresocialisterne";"EV1984 - Z. Fremskridtspartiet"
"101022";"101022";"2";"1";"1";"7094";"3798";"29";"12";"3757";"398";"121";"861";"463";"197";"1214";"62";"146";"183";"112"
"101024";"101024";"2";"1";"1";"6865";"3507";"16";"17";"3474";"367";"92";"846";"415";"234";"1104";"34";"137";"155";"90"
"101026";"101026";"5";"1";"1";"14595";"6991";"51";"24";"6916";"1655";"98";"720";"1281";"221";"2420";"57";"122";"174";"168"
"101028";"101028";"5";"1";"1";"10526";"5512";"43";"19";"5450";"1313";"100";"549";"1045";"169";"1874";"36";"94";"141";"129"
"101030";"101030";"9";"2";"1";"13382";"7053";"41";"17";"6995";"1095";"149";"1273";"1040";"304";"2324";"111";"184";"339";"176"
"101032";"101032";"10";"2";"1";"7364";"3866";"25";"14";"3827";"772";"89";"304";"719";"99";"1473";"35";"100";"151";"85"
"101034";"101034";"10";"2";"1";"3933";"1800";"21";"17";"1762";"495";"36";"154";"262";"30";"613";"22";"23";"100";"27"
"101036";"101036";"11";"2";"1";"10332";"5142";"27";"17";"5098";"1187";"56";"322";"898";"115";"2062";"52";"81";"196";"129"
"101038";"101038";"11";"2";"1";"5218";"2749";"13";"7";"2729";"617";"43";"249";"423";"91";"1094";"27";"24";"103";"58"
"101040";"101040";"11";"2";"1";"10884";"5562";"36";"20";"5506";"1587";"93";"461";"946";"161";"1885";"49";"84";"100";"140"
"101042";"101042";"15";"3";"1";"7143";"3591";"17";"20";"3554";"765";"47";"274";"633";"78";"1411";"21";"50";"174";"101"
"101044";"101044";"15";"3";"1";"6597";"3398";"28";"13";"3357";"662";"47";"185";"626";"69";"1395";"27";"34";"221";"91"
"101046";"101046";"16";"3";"1";"3606";"1959";"9";"6";"1944";"596";"45";"158";"341";"46";"615";"14";"44";"45";"40"
"101048";"101048";"16";"3";"1";"5583";"2827";"13";"9";"2805";"646";"36";"203";"490";"61";"1124";"20";"36";"129";"60"
"101050";"101050";"16";"3";"1";"4078";"2064";"16";"6";"2042";"468";"37";"294";"332";"81";"638";"38";"44";"59";"51"
"101052";"101052";"12";"2";"1";"17571";"9018";"54";"42";"8922";"2603";"142";"929";"1455";"281";"2906";"93";"141";"136";"236"
"101054";"101054";"12";"2";"1";"4880";"2868";"24";"7";"2837";"640";"64";"487";"405";"157";"851";"42";"63";"49";"79"
"101056";"101056";"8";"2";"1";"4822";"2829";"11";"16";"2802";"674";"57";"370";"398";"151";"929";"30";"62";"56";"75"
"101058";"101058";"8";"2";"1";"7020";"3786";"21";"16";"3749";"985";"85";"471";"550";"168";"1218";"44";"73";"40";"115"
"101060";"101060";"13";"2";"1";"5766";"3347";"24";"14";"3309";"735";"65";"517";"467";"191";"1017";"42";"86";"69";"120"
"101062";"101062";"8";"2";"1";"9116";"5169";"25";"16";"5128";"1145";"112";"762";"782";"273";"1692";"62";"95";"53";"152"
"101064";"101064";"13";"2";"1";"11521";"6237";"43";"13";"6181";"1271";"140";"1146";"891";"318";"1788";"120";"172";"133";"202"
"101066";"101066";"13";"2";"1";"5031";"2821";"15";"11";"2795";"592";"60";"557";"386";"166";"749";"49";"80";"63";"93"
"101068";"101068";"6";"2";"1";"9771";"5403";"37";"24";"5342";"1112";"122";"866";"790";"238";"1679";"81";"133";"185";"136"
"101070";"101070";"6";"2";"1";"4597";"2705";"6";"8";"2691";"834";"58";"392";"341";"130";"767";"42";"46";"33";"48"
"101072";"101072";"6";"2";"1";"16134";"7955";"36";"26";"7893";"1744";"173";"1280";"1163";"331";"2436";"118";"199";"232";"217"
"101074";"101074";"3";"1";"1";"9313";"4740";"19";"26";"4695";"1173";"92";"608";"782";"170";"1519";"54";"79";"99";"119"
"101076";"101076";"3";"1";"1";"4547";"2518";"14";"7";"2497";"514";"70";"483";"371";"113";"745";"33";"46";"43";"79"
"101078";"101078";"3";"1";"1";"14421";"7050";"32";"16";"7002";"1496";"133";"952";"1216";"320";"2301";"98";"142";"166";"178"
"101080";"101080";"14";"3";"1";"7093";"3912";"25";"10";"3877";"893";"84";"589";"538";"181";"1195";"59";"105";"130";"103"
"101082";"101082";"14";"3";"1";"5301";"2857";"19";"9";"2829";"745";"51";"363";"448";"116";"858";"38";"50";"58";"102"
"101084";"101084";"14";"3";"1";"5553";"2984";"15";"13";"2956";"817";"50";"340";"518";"108";"908";"30";"46";"48";"91"
"101086";"101086";"9";"2";"1";"5979";"3414";"20";"5";"3389";"489";"80";"1067";"305";"219";"819";"78";"125";"96";"111"
"101088";"101088";"14";"3";"1";"4839";"2467";"12";"11";"2444";"612";"57";"322";"358";"110";"785";"28";"49";"54";"69"
"101090";"101090";"10";"2";"1";"8148";"4153";"29";"26";"4098";"872";"81";"396";"699";"116";"1514";"43";"83";"189";"105"
"101092";"101092";"11";"2";"1";"2115";"1347";"7";"1";"1339";"315";"36";"219";"173";"70";"415";"24";"23";"28";"36"
"101094";"101094";"16";"3";"1";"9876";"4590";"24";"28";"4538";"1373";"51";"307";"886";"93";"1536";"34";"55";"97";"106"
"101096";"101096";"13";"2";"1";"3579";"2099";"14";"7";"2078";"413";"46";"403";"277";"108";"600";"37";"55";"58";"81"
"101098";"101098";"13";"2";"1";"4724";"2643";"20";"2";"2621";"435";"61";"531";"360";"148";"797";"50";"67";"71";"101"
"101102";"101102";"2";"1";"1";"4235";"1356";"7";"46";"1303";"277";"41";"518";"59";"69";"115";"18";"164";"13";"29"
"147001";"147001";"17";"3";"1";"8222";"4815";"33";"13";"4769";"506";"127";"1416";"454";"317";"1379";"52";"162";"195";"161"
"147002";"147002";"17";"3";"1";"8410";"5006";"30";"16";"4960";"460";"155";"1787";"458";"305";"1252";"63";"205";"134";"141"
"147003";"147003";"18";"3";"1";"12988";"7002";"37";"37";"6928";"1262";"145";"1793";"766";"379";"2004";"92";"168";"138";"181"
"147004";"147004";"18";"3";"1";"10516";"6013";"28";"33";"5952";"737";"182";"2274";"467";"396";"1255";"158";"203";"106";"174"
"147005";"147005";"18";"3";"1";"12258";"6639";"53";"21";"6565";"1010";"132";"1474";"890";"261";"2208";"84";"132";"193";"181"
"147007";"147007";"19";"3";"1";"8243";"4640";"24";"5";"4611";"548";"114";"1339";"490";"295";"1311";"61";"156";"154";"143"
"147008";"147008";"19";"3";"1";"12922";"7252";"47";"18";"7187";"1016";"209";"1973";"852";"407";"2034";"90";"258";"172";"176"
"151002";"151002";"22";"4";"2";"7378";"3850";"33";"6";"3811";"1062";"82";"560";"575";"156";"1099";"54";"91";"41";"91"
"151003";"151003";"22";"4";"2";"4924";"2809";"14";"1";"2794";"443";"106";"655";"339";"225";"775";"42";"94";"36";"79"
"151004";"151004";"22";"4";"2";"3066";"1429";"16";"6";"1407";"317";"19";"164";"300";"52";"467";"11";"18";"16";"43"
"151005";"151005";"22";"4";"2";"3961";"2445";"12";"2";"2431";"467";"95";"473";"292";"215";"637";"28";"110";"32";"82"
"151006";"151006";"22";"4";"2";"4793";"2534";"17";"6";"2511";"719";"24";"191";"500";"76";"866";"18";"33";"33";"51"
"151007";"151007";"22";"4";"2";"1598";"1019";"7";"0";"1012";"208";"36";"209";"97";"81";"263";"33";"25";"21";"39"
"151101";"151101";"22";"4";"2";"4882";"2637";"24";"6";"2607";"701";"41";"290";"513";"121";"791";"26";"46";"20";"58"
"151109";"151109";"22";"4";"2";"3867";"2064";"16";"4";"2044";"357";"51";"348";"324";"127";"647";"30";"62";"51";"47"
"153001";"153001";"26";"4";"2";"3988";"2186";"24";"7";"2155";"458";"44";"399";"267";"145";"623";"39";"81";"28";"71"
"153004";"153004";"26";"4";"2";"1920";"1018";"6";"2";"1010";"236";"26";"136";"170";"38";"342";"8";"21";"7";"26"
"153005";"153005";"26";"4";"2";"3492";"1903";"25";"4";"1874";"432";"32";"223";"325";"88";"651";"16";"32";"27";"48"
"153006";"153006";"26";"4";"2";"5118";"2353";"6";"4";"2343";"531";"44";"335";"331";"113";"791";"19";"42";"42";"95"
"153102";"153102";"26";"4";"2";"3436";"1536";"11";"4";"1521";"347";"28";"225";"233";"69";"486";"17";"42";"22";"52"
"153103";"153103";"26";"4";"2";"4628";"2369";"23";"4";"2342";"548";"55";"419";"347";"111";"683";"37";"62";"31";"49"
"153107";"153107";"26";"4";"2";"3296";"1446";"8";"3";"1435";"259";"27";"242";"219";"80";"484";"14";"29";"20";"61"
"155001";"155001";"27";"4";"2";"3206";"2056";"17";"2";"2037";"227";"64";"799";"119";"164";"487";"37";"72";"12";"56"
"155002";"155002";"27";"4";"2";"3086";"1647";"9";"1";"1637";"180";"45";"585";"193";"136";"352";"13";"59";"8";"66"
"155003";"155003";"27";"4";"2";"3029";"1796";"17";"2";"1777";"281";"55";"501";"210";"95";"496";"15";"41";"25";"58"
"157001";"157001";"20";"4";"2";"5719";"3729";"22";"8";"3699";"198";"139";"1801";"169";"373";"587";"53";"204";"45";"130"
"157002";"157002";"20";"4";"2";"4743";"2788";"22";"7";"2759";"347";"96";"866";"220";"257";"631";"57";"145";"37";"103"
"157003";"157003";"20";"4";"2";"4740";"2954";"15";"0";"2939";"159";"100";"1331";"159";"329";"491";"54";"167";"53";"96"
"157004";"157004";"20";"4";"2";"5989";"3227";"19";"6";"3202";"455";"107";"999";"289";"276";"755";"45";"123";"35";"118"
"157005";"157005";"20";"4";"2";"5131";"3199";"21";"1";"3177";"247";"113";"1349";"197";"320";"556";"50";"173";"46";"126"
"157006";"157006";"24";"4";"2";"6039";"3938";"27";"7";"3904";"198";"147";"1871";"169";"443";"572";"64";"243";"63";"134"
"157007";"157007";"24";"4";"2";"5845";"3584";"22";"3";"3559";"275";"91";"1430";"253";"318";"657";"88";"189";"100";"158"
"157008";"157008";"24";"4";"2";"4567";"2783";"14";"3";"2766";"180";"82";"1274";"150";"287";"446";"49";"144";"65";"89"
"157009";"157009";"24";"4";"2";"5412";"3359";"20";"8";"3331";"251";"118";"1546";"160";"359";"520";"33";"190";"34";"120"
"157010";"157010";"24";"4";"2";"5214";"3139";"25";"5";"3109";"215";"89";"1603";"121";"329";"382";"67";"191";"29";"83"
"159001";"159001";"25";"4";"2";"5382";"3219";"23";"12";"3184";"402";"104";"780";"336";"445";"790";"43";"132";"50";"102"
"159002";"159002";"25";"4";"2";"3536";"2005";"10";"3";"1992";"359";"52";"353";"255";"262";"528";"39";"38";"23";"83"
"159003";"159003";"25";"4";"2";"5771";"3205";"19";"2";"3184";"563";"73";"436";"443";"343";"1035";"37";"69";"76";"109"
"159004";"159004";"25";"4";"2";"3275";"1830";"14";"3";"1813";"446";"31";"173";"284";"130";"639";"40";"24";"10";"36"
"159005";"159005";"25";"4";"2";"3402";"1907";"8";"1";"1898";"437";"62";"291";"265";"164";"530";"29";"37";"38";"45"
"159006";"159006";"25";"4";"2";"3992";"2332";"13";"2";"2317";"314";"60";"447";"300";"293";"675";"52";"59";"44";"73"
"159007";"159007";"25";"4";"2";"5313";"3069";"17";"3";"3049";"704";"77";"342";"490";"260";"978";"28";"38";"36";"96"
"159008";"159008";"25";"4";"2";"6497";"3869";"27";"7";"3835";"527";"168";"841";"407";"419";"1124";"64";"130";"78";"77"
"159009";"159009";"25";"4";"2";"3770";"2183";"17";"7";"2159";"349";"70";"399";"237";"248";"635";"44";"53";"52";"72"
"159010";"159010";"25";"4";"2";"4684";"2457";"20";"5";"2432";"502";"65";"403";"296";"273";"687";"40";"62";"26";"78"
"159011";"159011";"25";"4";"2";"3019";"1624";"20";"10";"1594";"264";"55";"282";"181";"167";"511";"20";"57";"26";"31"
"161001";"161001";"23";"4";"2";"3328";"1921";"16";"4";"1901";"378";"43";"443";"225";"92";"527";"39";"70";"16";"68"
"161002";"161002";"23";"4";"2";"2301";"1302";"9";"3";"1290";"297";"42";"351";"120";"68";"284";"16";"48";"8";"56"
"161003";"161003";"23";"4";"2";"4351";"2171";"18";"11";"2142";"571";"43";"363";"281";"90";"602";"28";"72";"21";"71"
"161004";"161004";"23";"4";"2";"4018";"2178";"13";"5";"2160";"619";"47";"298";"367";"75";"632";"18";"33";"14";"57"
"161005";"161005";"23";"4";"2";"1332";"853";"5";"1";"847";"84";"41";"306";"85";"85";"163";"9";"39";"5";"30"
"163001";"163001";"28";"4";"2";"2012";"1096";"8";"1";"1087";"297";"29";"174";"129";"59";"318";"25";"22";"11";"23"
"163002";"163002";"28";"4";"2";"4837";"2643";"22";"9";"2612";"587";"72";"485";"345";"125";"758";"61";"72";"20";"87"
"163003";"163003";"28";"4";"2";"4193";"2266";"28";"3";"2235";"384";"68";"403";"343";"151";"667";"55";"62";"31";"71"
"163004";"163004";"28";"4";"2";"5709";"3276";"35";"2";"3239";"604";"113";"668";"386";"244";"923";"70";"92";"38";"101"
"163005";"163005";"28";"4";"2";"3801";"1866";"19";"4";"1843";"431";"41";"256";"314";"64";"591";"42";"32";"15";"57"
"165001";"165001";"23";"4";"2";"4710";"2738";"16";"6";"2716";"249";"68";"481";"348";"118";"1075";"23";"63";"221";"70"
"165002";"165002";"23";"4";"2";"3804";"2275";"18";"4";"2253";"288";"60";"451";"279";"121";"856";"14";"62";"76";"46"
"165003";"165003";"23";"4";"2";"3064";"1477";"10";"3";"1464";"338";"20";"138";"252";"47";"574";"10";"20";"24";"41"
"165004";"165004";"23";"4";"2";"4501";"2401";"17";"5";"2379";"426";"44";"134";"489";"41";"1052";"21";"28";"97";"47"
"165005";"165005";"23";"4";"2";"3141";"1775";"11";"1";"1763";"257";"51";"289";"219";"85";"717";"13";"44";"48";"40"
"167001";"167001";"26";"4";"2";"4206";"2284";"29";"4";"2251";"452";"54";"418";"287";"136";"701";"24";"77";"32";"70"
"167002";"167002";"26";"4";"2";"3370";"1742";"6";"2";"1734";"423";"24";"232";"281";"66";"592";"20";"30";"19";"47"
"167003";"167003";"26";"4";"2";"4794";"2673";"23";"3";"2647";"673";"40";"338";"447";"123";"846";"28";"52";"28";"72"
"167004";"167004";"26";"4";"2";"5091";"2846";"19";"3";"2824";"680";"50";"413";"459";"133";"867";"27";"52";"41";"102"
"167005";"167005";"26";"4";"2";"5263";"2736";"24";"10";"2702";"663";"71";"449";"398";"169";"718";"37";"62";"33";"102"
"167006";"167006";"26";"4";"2";"5838";"3010";"24";"4";"2982";"717";"70";"391";"502";"177";"900";"25";"66";"36";"98"
"167007";"167007";"26";"4";"2";"5337";"2747";"14";"8";"2725";"634";"78";"480";"389";"177";"741";"29";"60";"20";"117"
"167008";"167008";"26";"4";"2";"4561";"2207";"22";"3";"2182";"448";"34";"211";"493";"85";"747";"23";"41";"52";"48"
"169001";"169001";"23";"4";"2";"2913";"1349";"9";"2";"1338";"291";"36";"253";"192";"79";"394";"21";"34";"6";"32"
"169002";"169002";"23";"4";"2";"3477";"1917";"18";"4";"1895";"356";"62";"432";"235";"137";"481";"22";"80";"25";"65"
"169003";"169003";"23";"4";"2";"2649";"1482";"7";"1";"1474";"199";"41";"477";"152";"107";"344";"21";"69";"16";"48"
"169004";"169004";"23";"4";"2";"2197";"1191";"24";"2";"1165";"204";"32";"289";"112";"96";"331";"15";"51";"9";"26"
"169005";"169005";"23";"4";"2";"1678";"928";"11";"3";"914";"149";"27";"232";"126";"67";"222";"13";"47";"7";"24"
"169006";"169006";"23";"4";"2";"3852";"1554";"15";"6";"1533";"302";"36";"277";"215";"84";"482";"21";"58";"11";"47"
"169007";"169007";"23";"4";"2";"3586";"1732";"22";"7";"1703";"377";"47";"282";"226";"94";"544";"28";"57";"10";"38"
"169009";"169009";"23";"4";"2";"1617";"854";"5";"2";"847";"136";"25";"193";"70";"68";"203";"19";"90";"7";"36"
"169010";"169010";"23";"4";"2";"1911";"805";"7";"4";"794";"147";"18";"172";"97";"48";"258";"6";"21";"7";"20"
"169011";"169011";"23";"4";"2";"3001";"1482";"18";"4";"1460";"392";"42";"296";"148";"73";"337";"21";"82";"17";"52"
"169012";"169012";"23";"4";"2";"3101";"1576";"15";"2";"1559";"305";"57";"370";"151";"94";"411";"19";"102";"7";"43"
"169013";"169013";"23";"4";"2";"456";"276";"7";"0";"269";"37";"18";"63";"15";"19";"70";"1";"36";"0";"10"
"171001";"171001";"22";"4";"2";"661";"402";"4";"3";"395";"48";"15";"110";"37";"23";"79";"4";"63";"2";"14"
"171002";"171002";"22";"4";"2";"4785";"2589";"35";"5";"2549";"386";"78";"640";"342";"182";"649";"35";"125";"23";"89"
"171103";"171103";"22";"4";"2";"463";"279";"3";"0";"276";"41";"9";"77";"16";"10";"50";"3";"59";"2";"9"
"173001";"173001";"21";"4";"2";"3390";"1887";"16";"5";"1866";"381";"57";"549";"178";"89";"430";"27";"70";"25";"60"
"173002";"173002";"21";"4";"2";"5072";"2805";"16";"7";"2782";"604";"81";"657";"346";"121";"744";"31";"77";"25";"96"
"173003";"173003";"21";"4";"2";"5194";"2979";"30";"4";"2945";"378";"128";"834";"317";"233";"702";"33";"167";"42";"111"
"173004";"173004";"21";"4";"2";"3522";"2195";"19";"7";"2169";"307";"74";"701";"170";"162";"505";"35";"94";"36";"85"
"173005";"173005";"21";"4";"2";"1329";"866";"7";"1";"858";"91";"34";"336";"59";"65";"168";"4";"36";"22";"43"
"173006";"173006";"21";"4";"2";"4887";"3202";"26";"4";"3172";"261";"134";"1348";"149";"370";"498";"59";"198";"35";"120"
"173007";"173007";"21";"4";"2";"3887";"2659";"24";"2";"2633";"218";"132";"1082";"176";"275";"445";"45";"149";"30";"81"
"173008";"173008";"21";"4";"2";"3377";"2143";"15";"3";"2125";"296";"73";"765";"174";"163";"433";"30";"112";"26";"53"
"173009";"173009";"21";"4";"2";"2289";"1590";"17";"2";"1571";"140";"62";"586";"104";"159";"329";"24";"90";"23";"54"
"173010";"173010";"21";"4";"2";"4805";"2899";"16";"6";"2877";"533";"104";"828";"258";"167";"670";"48";"151";"26";"92"
"173105";"173105";"21";"4";"2";"3068";"1787";"12";"1";"1774";"332";"59";"586";"172";"141";"332";"28";"61";"18";"45"
"173111";"173111";"21";"4";"2";"62";"46";"0";"1";"45";"6";"0";"2";"7";"0";"29";"0";"0";"1";"0"
"175001";"175001";"28";"4";"2";"3123";"1765";"12";"6";"1747";"455";"42";"304";"219";"97";"474";"20";"52";"18";"66"
"175002";"175002";"28";"4";"2";"2348";"1362";"13";"2";"1347";"388";"22";"169";"239";"57";"401";"19";"20";"9";"23"
"175003";"175003";"28";"4";"2";"3700";"2006";"22";"3";"1981";"406";"36";"416";"289";"82";"567";"28";"54";"32";"71"
"175004";"175004";"28";"4";"2";"4315";"2161";"26";"7";"2128";"467";"52";"283";"417";"90";"674";"17";"41";"27";"60"
"175005";"175005";"28";"4";"2";"3024";"1557";"13";"3";"1541";"437";"26";"216";"218";"70";"480";"8";"27";"21";"38"
"175006";"175006";"28";"4";"2";"3561";"2097";"30";"6";"2061";"414";"66";"483";"240";"129";"525";"43";"60";"24";"77"
"175007";"175007";"28";"4";"2";"4358";"2503";"25";"8";"2470";"612";"56";"405";"386";"138";"690";"37";"70";"16";"60"
"175008";"175008";"28";"4";"2";"4475";"2561";"20";"2";"2539";"536";"52";"441";"391";"123";"763";"43";"54";"19";"117"
"181001";"181001";"21";"4";"2";"4066";"2621";"16";"1";"2604";"135";"105";"1152";"149";"262";"413";"39";"232";"25";"92"
"181003";"181003";"21";"4";"2";"4716";"2962";"22";"4";"2936";"168";"143";"1254";"170";"279";"510";"52";"214";"36";"110"
"181004";"181004";"21";"4";"2";"2154";"1400";"7";"2";"1391";"111";"60";"576";"88";"149";"244";"25";"92";"10";"36"
"181005";"181005";"21";"4";"2";"3935";"2329";"20";"8";"2301";"422";"75";"666";"170";"170";"530";"43";"138";"24";"63"
"181006";"181006";"21";"4";"2";"3797";"2327";"12";"1";"2314";"289";"95";"940";"137";"206";"379";"33";"154";"15";"66"
"181008";"181008";"21";"4";"2";"1475";"913";"6";"2";"905";"48";"26";"487";"27";"102";"87";"18";"64";"0";"46"
"181009";"181009";"21";"4";"2";"3569";"2239";"7";"1";"2231";"162";"98";"1005";"118";"216";"359";"27";"137";"29";"80"
"183001";"183001";"23";"4";"2";"946";"569";"4";"2";"563";"109";"27";"108";"55";"43";"130";"9";"43";"8";"31"
"183002";"183002";"23";"4";"2";"2840";"1355";"10";"2";"1343";"229";"29";"225";"223";"70";"455";"13";"29";"28";"42"
"183003";"183003";"23";"4";"2";"3099";"1366";"16";"1";"1349";"252";"31";"235";"243";"54";"421";"14";"23";"20";"56"
"183004";"183004";"23";"4";"2";"2445";"951";"6";"4";"941";"234";"10";"62";"219";"17";"331";"11";"11";"10";"36"
"183005";"183005";"23";"4";"2";"3565";"1750";"15";"4";"1731";"364";"39";"385";"185";"101";"506";"28";"41";"9";"73"
"185001";"185001";"27";"4";"2";"3711";"1701";"12";"3";"1686";"329";"28";"231";"367";"84";"532";"10";"29";"11";"65"
"185002";"185002";"27";"4";"2";"5172";"2898";"31";"6";"2861";"606";"67";"449";"465";"157";"895";"29";"59";"19";"115"
"185003";"185003";"27";"4";"2";"5474";"2786";"20";"8";"2758";"664";"63";"389";"503";"122";"819";"43";"51";"25";"79"
"185004";"185004";"27";"4";"2";"3835";"2200";"20";"4";"2176";"479";"57";"431";"288";"133";"598";"40";"56";"12";"82"
"185005";"185005";"27";"4";"2";"3749";"2050";"11";"6";"2033";"438";"50";"419";"280";"129";"543";"29";"52";"16";"77"
"185006";"185006";"27";"4";"2";"9280";"5109";"36";"19";"5054";"1283";"88";"741";"874";"227";"1548";"43";"86";"49";"115"
"187001";"187001";"23";"4";"2";"2210";"993";"14";"0";"979";"166";"27";"236";"123";"40";"278";"15";"44";"8";"42"
"187002";"187002";"23";"4";"2";"3141";"1676";"14";"5";"1657";"251";"52";"444";"196";"78";"486";"14";"41";"18";"77"
"187003";"187003";"23";"4";"2";"3197";"1761";"16";"2";"1743";"224";"61";"508";"205";"148";"442";"24";"70";"9";"52"
"189001";"189001";"22";"4";"2";"9346";"5832";"67";"9";"5756";"694";"247";"1822";"556";"499";"1361";"65";"290";"63";"159"
"189002";"189002";"22";"4";"2";"2542";"1716";"9";"2";"1705";"159";"80";"575";"141";"138";"417";"28";"84";"41";"42"
"189003";"189003";"22";"4";"2";"944";"570";"3";"0";"567";"47";"21";"178";"64";"46";"140";"11";"41";"8";"11"
"201001";"201001";"31";"5";"2";"2094";"1269";"18";"2";"1249";"118";"40";"508";"74";"129";"219";"17";"107";"11";"26"
"201002";"201002";"31";"5";"2";"2672";"1546";"13";"6";"1527";"253";"67";"348";"162";"86";"393";"27";"125";"12";"54"
"201003";"201003";"31";"5";"2";"2604";"1639";"14";"1";"1624";"286";"63";"454";"111";"124";"349";"41";"151";"13";"32"
"201004";"201004";"31";"5";"2";"3036";"1554";"11";"1";"1542";"176";"51";"408";"117";"163";"270";"25";"258";"20";"54"
"201005";"201005";"31";"5";"2";"2375";"1317";"5";"0";"1312";"146";"48";"446";"87";"110";"263";"27";"139";"6";"40"
"201006";"201006";"31";"5";"2";"1924";"1100";"10";"1";"1089";"142";"51";"357";"116";"86";"207";"16";"72";"14";"28"
"205001";"205001";"30";"5";"2";"5946";"3399";"17";"6";"3376";"352";"140";"1223";"229";"301";"734";"49";"226";"52";"70"
"205002";"205002";"30";"5";"2";"3173";"2014";"19";"9";"1986";"312";"76";"559";"151";"123";"472";"42";"149";"48";"54"
"205003";"205003";"30";"5";"2";"5683";"3104";"34";"12";"3058";"372";"135";"972";"229";"252";"703";"62";"194";"44";"95"
"205005";"205005";"30";"5";"2";"1134";"698";"6";"0";"692";"50";"27";"269";"35";"66";"112";"28";"73";"10";"22"
"207001";"207001";"31";"5";"2";"3811";"2400";"20";"2";"2378";"179";"92";"788";"208";"186";"564";"54";"205";"29";"73"
"207101";"207101";"31";"5";"2";"7494";"4132";"28";"9";"4095";"462";"166";"1028";"445";"274";"1227";"42";"225";"108";"118"
"208001";"208001";"30";"5";"2";"3181";"1735";"14";"3";"1718";"244";"61";"475";"134";"122";"357";"26";"220";"15";"64"
"208002";"208002";"30";"5";"2";"3422";"1912";"15";"2";"1895";"159";"70";"648";"120";"150";"395";"33";"238";"36";"46"
"208003";"208003";"30";"5";"2";"3651";"2037";"13";"2";"2022";"255";"89";"558";"239";"131";"499";"22";"140";"30";"59"
"208004";"208004";"30";"5";"2";"2896";"1613";"11";"2";"1600";"202";"70";"442";"189";"104";"396";"17";"111";"23";"46"
"209001";"209001";"32";"5";"2";"3778";"1973";"27";"6";"1940";"443";"40";"501";"172";"148";"409";"24";"135";"12";"56"
