"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"EV2009 - Stemmeberettigede";"EV2009 - Afgivne stemmer";"EV2009 - Blanke stemmer";"EV2009 - Andre ugyldige stemmer";"EV2009 - Gyldige stemmer";"EV2009 - A. Socialdemokratiet";"EV2009 - B. Det Radikale Venstre";"EV2009 - C. Det Konservative Folkeparti";"EV2009 - F. SF - Socialistisk Folkeparti";"EV2009 - I. Liberal Alliance";"EV2009 - J. JuniBevægelsen";"EV2009 - N. Folkebevægelsen mod EU";"EV2009 - O. Dansk Folkeparti";"EV2009 - V. Venstre, Danmarks Liberale Parti"
"101046";"101046";"8";"1";"1";"4823";"2337";"68";"10";"2259";"561";"107";"156";"508";"16";"69";"284";"378";"180"
"101047";"101047";"8";"1";"1";"3302";"1816";"38";"8";"1770";"375";"121";"112";"463";"15";"57";"251";"215";"161"
"101048";"101048";"8";"1";"1";"5294";"2986";"64";"11";"2911";"609";"194";"243";"691";"19";"86";"429";"352";"288"
"101049";"101049";"9";"1";"1";"6622";"4144";"84";"11";"4049";"764";"426";"191";"1376";"25";"133";"637";"263";"234"
"101050";"101050";"9";"1";"1";"7661";"4597";"104";"15";"4478";"860";"537";"240";"1492";"44";"175";"574";"262";"294"
"101051";"101051";"9";"1";"1";"8155";"3966";"93";"17";"3856";"864";"207";"200";"916";"31";"135";"664";"560";"279"
"101052";"101052";"9";"1";"1";"5912";"3646";"67";"6";"3573";"667";"483";"208";"1157";"36";"130";"451";"177";"264"
"101053";"101053";"9";"1";"1";"5154";"3195";"46";"5";"3144";"636";"297";"166";"1052";"17";"133";"459";"196";"188"
"101054";"101054";"9";"1";"1";"5298";"2823";"66";"7";"2750";"535";"271";"308";"583";"37";"100";"277";"248";"391"
"147001";"147001";"10";"1";"1";"7908";"5248";"91";"22";"5135";"933";"539";"693";"1175";"54";"127";"511";"420";"683"
"147002";"147002";"10";"1";"1";"8132";"5490";"94";"17";"5379";"994";"541";"824";"1077";"52";"143";"446";"501";"801"
"147003";"147003";"10";"1";"1";"10575";"6871";"129";"28";"6714";"1255";"654";"877";"1627";"67";"194";"644";"577";"819"
"147004";"147004";"10";"1";"1";"9612";"6219";"136";"25";"6058";"1161";"547";"857";"1260";"65";"157";"570";"597";"844"
"147005";"147005";"11";"1";"1";"9438";"5658";"138";"29";"5491";"1071";"416";"790";"1147";"48";"132";"546";"671";"670"
"147006";"147006";"11";"1";"1";"8789";"5454";"110";"29";"5315";"1005";"346";"911";"964";"34";"125";"445";"725";"760"
"147007";"147007";"11";"1";"1";"9617";"5846";"117";"16";"5713";"1115";"528";"842";"1197";"66";"144";"483";"529";"809"
"147008";"147008";"11";"1";"1";"7720";"5019";"102";"4";"4913";"997";"462";"599";"1149";"61";"113";"465";"464";"603"
"151001";"151001";"20";"2";"1";"4274";"2457";"75";"6";"2376";"683";"48";"169";"409";"6";"73";"260";"503";"225"
"151002";"151002";"20";"2";"1";"6292";"3317";"108";"11";"3198";"915";"96";"244";"518";"11";"85";"366";"651";"312"
"151003";"151003";"20";"2";"1";"2592";"1796";"56";"1";"1739";"406";"66";"201";"285";"8";"47";"152";"303";"271"
"151004";"151004";"20";"2";"1";"2833";"1474";"54";"5";"1415";"420";"33";"96";"238";"7";"37";"182";"285";"117"
"151005";"151005";"20";"2";"1";"3609";"2672";"77";"3";"2592";"589";"115";"288";"381";"17";"61";"211";"479";"451"
"151006";"151006";"20";"2";"1";"3965";"2068";"67";"10";"1991";"659";"34";"89";"318";"5";"54";"275";"444";"113"
"151007";"151007";"20";"2";"1";"1655";"1131";"37";"0";"1094";"237";"47";"149";"174";"15";"26";"96";"172";"178"
"151008";"151008";"20";"2";"1";"3753";"2553";"69";"4";"2480";"564";"109";"283";"440";"18";"59";"179";"403";"425"
"151009";"151009";"20";"2";"1";"3197";"2323";"63";"4";"2256";"484";"129";"259";"393";"11";"71";"162";"317";"430"
"151010";"151010";"20";"2";"1";"2059";"1485";"43";"3";"1439";"291";"68";"148";"338";"9";"37";"160";"181";"207"
"153001";"153001";"18";"2";"1";"3246";"2069";"56";"2";"2011";"473";"67";"192";"312";"9";"38";"160";"471";"289"
"153002";"153002";"18";"2";"1";"3419";"1736";"58";"5";"1673";"490";"36";"127";"231";"7";"34";"174";"394";"180"
"153003";"153003";"18";"2";"1";"3021";"1716";"37";"12";"1667";"389";"51";"134";"322";"5";"32";"190";"347";"197"
"153004";"153004";"18";"2";"1";"2083";"1060";"29";"1";"1030";"306";"23";"80";"175";"5";"25";"97";"242";"77"
"153005";"153005";"18";"2";"1";"3441";"2038";"39";"7";"1992";"498";"55";"191";"368";"3";"48";"233";"367";"229"
"153006";"153006";"18";"2";"1";"4266";"2035";"54";"7";"1974";"509";"59";"146";"325";"7";"38";"224";"463";"203"
"153007";"153007";"18";"2";"1";"4339";"2200";"65";"10";"2125";"567";"52";"176";"343";"12";"51";"254";"421";"249"
"155001";"155001";"12";"1";"1";"3124";"2233";"42";"4";"2187";"347";"152";"359";"303";"15";"42";"124";"320";"525"
"155002";"155002";"12";"1";"1";"3514";"2248";"41";"4";"2203";"304";"92";"351";"264";"21";"42";"127";"487";"515"
"155003";"155003";"12";"1";"1";"3165";"2077";"53";"4";"2020";"346";"102";"271";"336";"7";"45";"143";"401";"369"
"157001";"157001";"13";"2";"1";"5136";"3749";"58";"12";"3679";"446";"313";"864";"399";"37";"67";"157";"387";"1009"
"157002";"157002";"13";"2";"1";"4334";"3058";"68";"7";"2983";"551";"214";"416";"490";"28";"79";"289";"378";"538"
"157003";"157003";"13";"2";"1";"4754";"3314";"70";"6";"3238";"430";"309";"702";"427";"50";"58";"142";"312";"808"
"157004";"157004";"13";"2";"1";"5220";"3251";"73";"19";"3159";"526";"189";"536";"499";"27";"73";"258";"435";"616"
"157005";"157005";"13";"2";"1";"4896";"3499";"59";"7";"3433";"478";"321";"699";"484";"29";"67";"221";"319";"815"
"157006";"157006";"13";"2";"1";"5446";"3952";"62";"11";"3879";"455";"353";"816";"458";"50";"77";"181";"410";"1079"
"157007";"157007";"13";"2";"1";"5591";"3813";"66";"6";"3741";"452";"299";"744";"561";"50";"63";"191";"383";"998"
"157008";"157008";"13";"2";"1";"4301";"3020";"55";"12";"2953";"401";"215";"619";"349";"30";"53";"141";"360";"785"
"157009";"157009";"13";"2";"1";"4950";"3483";"49";"11";"3423";"355";"288";"779";"364";"43";"60";"156";"332";"1046"
"157010";"157010";"13";"2";"1";"4584";"3114";"67";"9";"3038";"321";"214";"735";"313";"29";"46";"122";"350";"908"
"159001";"159001";"15";"2";"1";"4838";"3214";"70";"9";"3135";"573";"229";"387";"541";"23";"63";"365";"418";"536"
"159002";"159002";"15";"2";"1";"3226";"2047";"62";"3";"1982";"404";"106";"236";"339";"21";"41";"278";"288";"269"
"159003";"159003";"15";"2";"1";"5830";"3355";"99";"6";"3250";"718";"144";"342";"491";"16";"89";"443";"556";"451"
"159004";"159004";"15";"2";"1";"2551";"1360";"34";"7";"1319";"376";"28";"67";"213";"2";"20";"246";"263";"104"
"159005";"159005";"15";"2";"1";"2869";"1766";"50";"7";"1709";"389";"89";"129";"311";"9";"24";"300";"282";"176"
"159006";"159006";"15";"2";"1";"3773";"2693";"59";"1";"2633";"525";"236";"240";"550";"9";"55";"377";"299";"342"
"159007";"159007";"15";"2";"1";"5766";"3502";"112";"13";"3377";"740";"151";"310";"585";"27";"67";"511";"610";"376"
"159008";"159008";"15";"2";"1";"5753";"4047";"109";"8";"3930";"819";"293";"447";"860";"33";"91";"414";"436";"537"
"159009";"159009";"15";"2";"1";"3724";"2520";"69";"6";"2445";"507";"154";"237";"487";"24";"63";"342";"338";"293"
"159010";"159010";"15";"2";"1";"4308";"2793";"80";"5";"2708";"554";"120";"279";"427";"20";"46";"459";"414";"389"
"159011";"159011";"15";"2";"1";"2501";"1448";"34";"2";"1412";"275";"83";"154";"228";"7";"33";"177";"208";"247"
"161001";"161001";"20";"2";"1";"2314";"1463";"46";"2";"1415";"296";"52";"185";"237";"5";"23";"120";"273";"224"
"161002";"161002";"20";"2";"1";"2472";"1458";"44";"3";"1411";"305";"57";"165";"202";"12";"40";"111";"301";"218"
"161003";"161003";"20";"2";"1";"4027";"2150";"43";"6";"2101";"501";"73";"215";"320";"7";"57";"189";"491";"248"
"161004";"161004";"20";"2";"1";"3269";"1599";"48";"7";"1544";"425";"29";"91";"263";"3";"38";"158";"449";"88"
"161005";"161005";"20";"2";"1";"1328";"962";"30";"1";"931";"155";"36";"125";"98";"7";"23";"49";"194";"244"
"161006";"161006";"20";"2";"1";"2372";"1329";"55";"2";"1272";"291";"20";"121";"201";"11";"31";"110";"290";"197"
"163001";"163001";"16";"2";"1";"1924";"981";"27";"5";"949";"311";"17";"89";"152";"6";"26";"76";"198";"74"
"163002";"163002";"16";"2";"1";"4273";"2478";"73";"7";"2398";"580";"86";"250";"431";"13";"58";"268";"441";"271"
"163003";"163003";"16";"2";"1";"4392";"2669";"68";"1";"2600";"577";"102";"289";"488";"6";"50";"275";"422";"391"
"163004";"163004";"16";"2";"1";"5137";"3467";"83";"8";"3376";"857";"99";"412";"560";"12";"83";"302";"582";"469"
"163005";"163005";"16";"2";"1";"3548";"1872";"80";"11";"1781";"460";"61";"156";"337";"15";"34";"224";"335";"159"
"165001";"165001";"19";"2";"1";"4161";"2679";"73";"5";"2601";"537";"101";"198";"585";"12";"138";"398";"362";"270"
"165002";"165002";"19";"2";"1";"3325";"2218";"52";"2";"2164";"495";"63";"190";"410";"10";"84";"272";"391";"249"
"165003";"165003";"19";"2";"1";"3041";"1531";"39";"4";"1488";"364";"68";"106";"328";"8";"47";"216";"262";"89"
"165004";"165004";"19";"2";"1";"3559";"1740";"54";"6";"1680";"457";"38";"74";"335";"3";"54";"297";"338";"84"
"165005";"165005";"19";"2";"1";"4102";"2463";"53";"3";"2407";"602";"109";"135";"623";"12";"124";"319";"304";"179"
"167001";"167001";"17";"2";"1";"3970";"2333";"57";"7";"2269";"501";"103";"187";"441";"14";"60";"258";"403";"302"
"167002";"167002";"17";"2";"1";"3160";"1746";"52";"3";"1691";"419";"60";"132";"270";"14";"40";"176";"370";"210"
"167003";"167003";"17";"2";"1";"4266";"2291";"69";"11";"2211";"553";"75";"135";"402";"8";"73";"261";"503";"201"
"167004";"167004";"17";"2";"1";"4533";"2681";"81";"8";"2592";"663";"91";"164";"498";"16";"56";"318";"542";"244"
"167005";"167005";"17";"2";"1";"4878";"3015";"73";"6";"2936";"678";"96";"252";"475";"12";"81";"316";"628";"398"
"167006";"167006";"17";"2";"1";"5141";"2980";"66";"3";"2911";"708";"84";"205";"489";"22";"77";"340";"631";"355"
"167007";"167007";"17";"2";"1";"5286";"2982";"57";"8";"2917";"672";"83";"252";"401";"13";"65";"272";"728";"431"
"167008";"167008";"17";"2";"1";"4422";"2144";"55";"6";"2083";"525";"71";"129";"351";"8";"42";"291";"448";"218"
"169001";"169001";"19";"2";"1";"2630";"1244";"42";"9";"1193";"270";"37";"122";"201";"4";"50";"111";"240";"158"
"169002";"169002";"19";"2";"1";"3211";"1976";"45";"9";"1922";"440";"79";"228";"256";"7";"59";"148";"384";"321"
"169003";"169003";"19";"2";"1";"2457";"1684";"37";"4";"1643";"313";"61";"243";"242";"14";"27";"99";"332";"312"
"169004";"169004";"19";"2";"1";"2107";"1365";"41";"4";"1320";"310";"30";"186";"192";"7";"24";"73";"298";"200"
"169005";"169005";"19";"2";"1";"1602";"1103";"27";"0";"1076";"239";"42";"123";"157";"3";"35";"92";"224";"161"
"169006";"169006";"19";"2";"1";"4176";"2110";"68";"14";"2028";"515";"64";"242";"280";"6";"47";"177";"389";"308"
"169007";"169007";"19";"2";"1";"3084";"1834";"72";"6";"1756";"445";"61";"181";"240";"8";"40";"158";"408";"215"
"169008";"169008";"19";"2";"1";"2727";"1490";"46";"8";"1436";"346";"53";"163";"215";"15";"45";"110";"311";"178"
"169009";"169009";"19";"2";"1";"1774";"1144";"20";"0";"1124";"173";"39";"174";"136";"7";"50";"81";"213";"251"
"169010";"169010";"19";"2";"1";"1921";"1019";"32";"2";"985";"272";"29";"95";"125";"4";"23";"67";"206";"164"
"169011";"169011";"19";"2";"1";"3344";"2035";"70";"6";"1959";"416";"74";"223";"273";"11";"41";"132";"436";"353"
"169012";"169012";"19";"2";"1";"3038";"2042";"65";"2";"1975";"450";"69";"285";"254";"14";"44";"127";"381";"351"
"169013";"169013";"19";"2";"1";"585";"399";"15";"1";"383";"71";"15";"58";"42";"1";"4";"30";"82";"80"
"173001";"173001";"14";"2";"1";"4779";"3037";"83";"9";"2945";"498";"224";"476";"460";"32";"65";"225";"408";"557"
"173002";"173002";"14";"2";"1";"4370";"2721";"77";"17";"2627";"516";"170";"287";"465";"26";"58";"233";"464";"408"
"173003";"173003";"14";"2";"1";"4479";"2940";"81";"10";"2849";"437";"193";"472";"478";"42";"66";"232";"346";"583"
"173004";"173004";"14";"2";"1";"4572";"3183";"60";"8";"3115";"530";"229";"489";"506";"41";"88";"185";"389";"658"
"173005";"173005";"14";"2";"1";"1048";"771";"11";"0";"760";"114";"53";"111";"157";"10";"19";"48";"67";"181"
"173006";"173006";"14";"2";"1";"4718";"3621";"65";"8";"3548";"543";"333";"678";"496";"37";"87";"181";"295";"898"
"173007";"173007";"14";"2";"1";"3404";"2596";"57";"8";"2531";"435";"232";"404";"441";"23";"43";"154";"272";"527"
"173008";"173008";"14";"2";"1";"3811";"2579";"45";"11";"2523";"453";"201";"430";"422";"18";"61";"175";"309";"454"
"173009";"173009";"14";"2";"1";"2109";"1668";"41";"4";"1623";"297";"156";"215";"315";"9";"45";"95";"178";"313"
"173010";"173010";"14";"2";"1";"4454";"3028";"66";"12";"2950";"530";"246";"426";"544";"22";"76";"213";"313";"580"
"175001";"175001";"16";"2";"1";"3043";"1887";"47";"4";"1836";"426";"68";"182";"341";"9";"45";"196";"344";"225"
"175002";"175002";"16";"2";"1";"1435";"756";"24";"7";"725";"258";"10";"32";"135";"2";"18";"96";"138";"36"
"175003";"175003";"16";"2";"1";"4225";"2477";"76";"8";"2393";"600";"109";"215";"480";"19";"54";"247";"384";"285"
"175004";"175004";"16";"2";"1";"3699";"1966";"62";"4";"1900";"538";"54";"122";"347";"5";"43";"187";"405";"199"
"175005";"175005";"16";"2";"1";"2598";"1479";"40";"1";"1438";"417";"34";"104";"225";"4";"29";"173";"323";"129"
"175006";"175006";"16";"2";"1";"3536";"2252";"71";"7";"2174";"499";"99";"240";"412";"12";"52";"221";"375";"264"
"175007";"175007";"16";"2";"1";"2752";"1697";"40";"9";"1648";"463";"57";"133";"267";"7";"32";"200";"307";"182"
"175008";"175008";"16";"2";"1";"4029";"2474";"72";"7";"2395";"552";"93";"244";"337";"15";"55";"274";"476";"349"
"175009";"175009";"16";"2";"1";"1313";"784";"30";"1";"753";"192";"37";"68";"144";"2";"20";"69";"143";"78"
"183001";"183001";"18";"2";"1";"1156";"763";"22";"2";"739";"141";"34";"101";"97";"5";"20";"58";"160";"123"
"183002";"183002";"18";"2";"1";"2657";"1600";"38";"4";"1558";"429";"45";"150";"201";"14";"26";"142";"360";"191"
"183003";"183003";"18";"2";"1";"3151";"1630";"47";"7";"1576";"447";"50";"103";"215";"6";"35";"151";"398";"171"
"183004";"183004";"18";"2";"1";"2446";"908";"18";"7";"883";"310";"32";"40";"152";"2";"9";"100";"193";"45"
"183005";"183005";"18";"2";"1";"3801";"2176";"45";"8";"2123";"526";"58";"189";"249";"11";"56";"173";"587";"274"
"185001";"185001";"12";"1";"1";"4305";"2402";"65";"5";"2332";"464";"72";"219";"313";"11";"47";"243";"636";"327"
"185002";"185002";"12";"1";"1";"4963";"3067";"91";"6";"2970";"589";"85";"291";"435";"15";"69";"306";"657";"523"
"185003";"185003";"12";"1";"1";"4816";"2617";"70";"9";"2538";"620";"90";"172";"407";"8";"59";"261";"586";"335"
"185004";"185004";"12";"1";"1";"3791";"2220";"68";"4";"2148";"506";"100";"183";"384";"9";"56";"213";"430";"267"
"185005";"185005";"12";"1";"1";"3534";"2068";"64";"4";"2000";"408";"74";"205";"345";"5";"57";"179";"451";"276"
"185006";"185006";"12";"1";"1";"8360";"4378";"139";"11";"4228";"1056";"138";"311";"726";"17";"86";"478";"987";"429"
"187001";"187001";"18";"2";"1";"2674";"1450";"31";"9";"1410";"292";"53";"246";"145";"6";"21";"96";"307";"244"
"187002";"187002";"18";"2";"1";"3050";"2092";"45";"13";"2034";"436";"67";"374";"228";"11";"37";"134";"407";"340"
"187003";"187003";"18";"2";"1";"3783";"2426";"61";"4";"2361";"483";"93";"464";"256";"17";"40";"151";"447";"410"
"190001";"190001";"25";"3";"1";"6901";"4969";"111";"19";"4839";"885";"342";"768";"780";"28";"103";"312";"649";"972"
"190002";"190002";"25";"3";"1";"2519";"2002";"39";"3";"1960";"305";"220";"251";"374";"16";"56";"164";"148";"426"
"190003";"190003";"25";"3";"1";"3213";"2556";"42";"4";"2510";"387";"219";"401";"402";"22";"54";"139";"281";"605"
"190004";"190004";"25";"3";"1";"943";"701";"14";"3";"684";"151";"50";"75";"155";"5";"13";"45";"78";"112"
"190005";"190005";"25";"3";"1";"4083";"3072";"65";"9";"2998";"471";"216";"422";"524";"22";"61";"211";"315";"756"
"190006";"190006";"25";"3";"1";"5082";"3548";"80";"4";"3464";"597";"222";"460";"627";"37";"77";"262";"416";"766"
"190007";"190007";"25";"3";"1";"3726";"2066";"48";"13";"2005";"387";"91";"191";"451";"18";"57";"226";"314";"270"
"201001";"201001";"26";"3";"1";"1935";"1489";"30";"3";"1456";"208";"107";"259";"196";"17";"37";"68";"150";"414"
"201002";"201002";"26";"3";"1";"3453";"2380";"44";"3";"2333";"423";"128";"376";"356";"23";"61";"248";"288";"430"
"201003";"201003";"26";"3";"1";"4041";"3032";"78";"9";"2945";"502";"189";"530";"446";"24";"60";"173";"323";"698"
"201004";"201004";"26";"3";"1";"3586";"2498";"70";"10";"2418";"347";"115";"389";"311";"25";"46";"158";"362";"665"
"201005";"201005";"26";"3";"1";"3798";"2825";"61";"6";"2758";"368";"163";"552";"366";"22";"46";"135";"374";"732"
"210001";"210001";"22";"3";"1";"4386";"2787";"72";"11";"2704";"414";"131";"444";"408";"22";"76";"161";"417";"631"
"210002";"210002";"22";"3";"1";"3336";"2452";"46";"1";"2405";"320";"166";"400";"358";"28";"44";"122";"317";"650"
"210003";"210003";"22";"3";"1";"3386";"2264";"43";"6";"2215";"366";"155";"353";"335";"11";"46";"152";"328";"469"
"210004";"210004";"22";"3";"1";"3395";"2265";"53";"3";"2209";"433";"140";"301";"393";"20";"58";"169";"319";"376"
"210005";"210005";"22";"3";"1";"3161";"2020";"51";"4";"1965";"339";"147";"338";"262";"17";"43";"129";"246";"444"
"210006";"210006";"22";"3";"1";"3448";"2124";"56";"10";"2058";"320";"70";"370";"246";"18";"34";"112";"400";"488"
"210007";"210007";"22";"3";"1";"2857";"1903";"52";"4";"1847";"363";"79";"278";"294";"13";"36";"135";"271";"378"
"210008";"210008";"22";"3";"1";"847";"605";"11";"0";"594";"53";"33";"119";"51";"7";"15";"30";"95";"191"
"210009";"210009";"22";"3";"1";"2737";"1774";"35";"2";"1737";"360";"120";"249";"283";"7";"35";"112";"230";"341"
"217001";"217001";"21";"3";"1";"6986";"3871";"114";"11";"3746";"731";"207";"471";"773";"31";"104";"417";"538";"474"
"217002";"217002";"21";"3";"1";"9340";"4963";"160";"14";"4789";"1217";"148";"482";"915";"17";"128";"566";"851";"465"
"217003";"217003";"21";"3";"1";"5374";"2956";"81";"6";"2869";"743";"93";"330";"483";"21";"82";"258";"484";"375"
"217004";"217004";"21";"3";"1";"4147";"2804";"82";"4";"2718";"468";"164";"432";"411";"21";"50";"187";"406";"579"
"217005";"217005";"21";"3";"1";"3732";"2292";"45";"4";"2243";"373";"113";"399";"329";"17";"47";"139";"334";"492"
"217006";"217006";"21";"3";"1";"1007";"605";"16";"0";"589";"86";"23";"79";"104";"5";"10";"53";"103";"126"
"217007";"217007";"21";"3";"1";"1218";"779";"20";"1";"758";"104";"45";"108";"105";"11";"20";"51";"149";"165"
"217008";"217008";"21";"3";"1";"738";"443";"15";"2";"426";"80";"16";"53";"74";"3";"8";"41";"93";"58"
"217009";"217009";"21";"3";"1";"3592";"2280";"55";"8";"2217";"388";"158";"368";"393";"17";"43";"147";"271";"432"
"217010";"217010";"21";"3";"1";"3292";"2197";"46";"6";"2145";"335";"157";"370";"378";"20";"58";"130";"278";"419"
"217011";"217011";"21";"3";"1";"4914";"3344";"84";"8";"3252";"553";"218";"538";"499";"20";"65";"235";"509";"615"
"219001";"219001";"23";"3";"1";"5782";"3570";"119";"6";"3445";"663";"180";"455";"676";"29";"69";"326";"435";"612"
"219002";"219002";"23";"3";"1";"4571";"3022";"97";"5";"2920";"685";"144";"400";"492";"14";"64";"237";"333";"551"
"219003";"219003";"23";"3";"1";"627";"475";"11";"0";"464";"73";"24";"64";"88";"3";"15";"20";"50";"127"
"219004";"219004";"23";"3";"1";"1140";"905";"16";"1";"888";"155";"52";"110";"217";"5";"27";"87";"85";"150"
"219005";"219005";"23";"3";"1";"1695";"1099";"38";"3";"1058";"151";"39";"170";"150";"10";"29";"77";"173";"259"
"219006";"219006";"23";"3";"1";"438";"323";"10";"0";"313";"38";"14";"49";"35";"2";"9";"25";"55";"86"
