"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1990 - Stemmeberettigede";"FV1990 - Afgivne stemmer";"FV1990 - Blanke stemmer";"FV1990 - Andre ugyldige stemmer";"FV1990 - Gyldige stemmer";"FV1990 - A. Socialdemokratiet";"FV1990 - B. Det Radikale Venstre";"FV1990 - C. Det Konservative Folkeparti";"FV1990 - D. Centrum-Demokraterne";"FV1990 - E. Danmarks Retsforbund";"FV1990 - F. Socialistisk Folkeparti";"FV1990 - G. De Grønne";"FV1990 - H. Det Humanistiske Parti";"FV1990 - P. Fælles Kurs";"FV1990 - Q. Kristeligt Folkeparti";"FV1990 - V. Venstre, Danmarks Liberale Parti";"FV1990 - Z. Fremskridtspartiet";"FV1990 - Ø. Enhedslisten";"FV1990 - 1. Uden for partierne";"FV1990 - 2. Uden for partierne"
"101058";"101058";"8";"2";"1";"6540";"5179";"26";"20";"5133";"2536";"140";"567";"211";"30";"656";"47";"2";"230";"42";"305";"196";"170";"0";"1"
"101060";"101060";"13";"2";"1";"5481";"4553";"16";"9";"4528";"1926";"141";"657";"218";"21";"563";"53";"3";"170";"49";"335";"173";"219";"0";"0"
"101062";"101062";"8";"2";"1";"8546";"6882";"40";"20";"6822";"3013";"170";"846";"413";"43";"953";"88";"1";"333";"74";"375";"275";"234";"1";"3"
"101064";"101064";"13";"2";"1";"11118";"8913";"64";"28";"8821";"3465";"332";"1423";"430";"61";"1137";"120";"4";"336";"141";"754";"324";"290";"2";"2"
"101066";"101066";"13";"2";"1";"4804";"3829";"22";"8";"3799";"1559";"122";"589";"198";"28";"509";"30";"4";"116";"55";"314";"131";"143";"0";"1"
"101068";"101068";"6";"2";"1";"9573";"7683";"58";"7";"7618";"2838";"323";"1159";"273";"39";"1135";"112";"2";"323";"102";"689";"211";"408";"2";"2"
"101070";"101070";"6";"2";"1";"4307";"3454";"11";"6";"3437";"1735";"85";"376";"148";"29";"378";"20";"0";"194";"46";"196";"100";"130";"0";"0"
"101072";"101072";"6";"2";"1";"16481";"12622";"62";"28";"12532";"4978";"490";"1710";"512";"71";"1930";"149";"5";"591";"225";"992";"365";"509";"2";"3"
"101074";"101074";"3";"1";"1";"8914";"6849";"28";"22";"6799";"3176";"171";"843";"306";"54";"948";"77";"0";"282";"90";"421";"250";"181";"0";"-"
"101076";"101076";"3";"1";"1";"4326";"3482";"20";"10";"3452";"1378";"108";"529";"219";"24";"444";"27";"0";"142";"48";"262";"153";"118";"0";"-"
"101078";"101078";"3";"1";"1";"13865";"10533";"63";"27";"10443";"4937";"227";"1324";"459";"59";"1372";"111";"2";"493";"123";"614";"341";"378";"3";"-"
"101080";"101080";"14";"3";"1";"6699";"5314";"37";"10";"5267";"2239";"160";"673";"209";"37";"795";"70";"6";"161";"66";"378";"199";"274";"-";"-"
"101082";"101082";"14";"3";"1";"5073";"3927";"22";"11";"3894";"1886";"75";"470";"139";"28";"534";"36";"4";"167";"34";"214";"149";"158";"-";"-"
"101084";"101084";"14";"3";"1";"5201";"4275";"10";"6";"4259";"2308";"83";"457";"179";"31";"474";"25";"2";"176";"42";"193";"193";"96";"-";"-"
"101086";"101086";"9";"2";"1";"5796";"4632";"31";"13";"4588";"1278";"219";"1114";"199";"28";"558";"44";"5";"130";"90";"602";"151";"167";"2";"1"
"101088";"101088";"14";"3";"1";"4550";"3621";"23";"10";"3588";"1688";"121";"420";"122";"19";"488";"32";"2";"112";"45";"274";"129";"136";"-";"-"
"101090";"101090";"10";"2";"1";"9040";"6978";"62";"29";"6887";"2642";"259";"772";"215";"43";"1274";"122";"4";"340";"81";"522";"218";"384";"1";"10"
"101092";"101092";"11";"2";"1";"2041";"1744";"9";"7";"1728";"738";"55";"224";"71";"19";"248";"19";"0";"75";"32";"114";"60";"73";"0";"0"
"101094";"101094";"16";"3";"1";"9001";"6688";"31";"14";"6643";"3710";"101";"478";"169";"34";"1021";"53";"3";"313";"36";"257";"206";"262";"-";"-"
"101096";"101096";"13";"2";"1";"3398";"2784";"15";"18";"2751";"1039";"110";"466";"151";"14";"365";"47";"2";"92";"39";"206";"102";"116";"2";"0"
"101098";"101098";"13";"2";"1";"4515";"3712";"23";"10";"3679";"1278";"130";"631";"239";"29";"584";"50";"1";"131";"53";"253";"141";"157";"0";"2"
"147001";"147001";"17";"3";"1";"7932";"6500";"52";"11";"6437";"1751";"329";"1728";"294";"40";"832";"86";"4";"106";"55";"710";"166";"336";"-";"-"
"147002";"147002";"17";"3";"1";"8198";"6847";"47";"20";"6780";"1668";"343";"2115";"321";"28";"775";"94";"2";"96";"86";"786";"218";"248";"-";"-"
"147003";"147003";"18";"3";"1";"13074";"10347";"49";"34";"10264";"3849";"376";"2376";"379";"45";"1149";"86";"5";"307";"134";"871";"372";"315";"-";"-"
"147004";"147004";"18";"3";"1";"10177";"8179";"56";"18";"8105";"2311";"329";"2702";"364";"62";"648";"72";"4";"148";"196";"808";"251";"210";"-";"-"
"147005";"147005";"18";"3";"1";"12010";"9389";"90";"23";"9276";"3029";"408";"2013";"331";"52";"1372";"159";"0";"250";"139";"891";"292";"340";"-";"-"
"147007";"147007";"19";"3";"1";"8078";"6483";"46";"18";"6419";"1880";"337";"1658";"265";"37";"760";"84";"1";"121";"70";"719";"225";"262";"-";"-"
"147008";"147008";"19";"3";"1";"12703";"10221";"80";"27";"10114";"3231";"495";"2465";"463";"69";"1190";"139";"5";"230";"131";"1027";"334";"335";"-";"-"
"151001";"151001";"22";"4";"2";"4709";"3931";"24";"7";"3900";"2094";"84";"439";"217";"21";"437";"23";"2";"129";"21";"240";"148";"45";"-";"-"
"151002";"151002";"22";"4";"2";"7232";"5877";"36";"8";"5833";"2931";"154";"762";"317";"36";"647";"47";"5";"235";"60";"336";"210";"93";"-";"-"
"151003";"151003";"22";"4";"2";"2714";"2347";"20";"4";"2323";"906";"86";"480";"181";"14";"234";"13";"2";"49";"23";"216";"76";"43";"-";"-"
"151004";"151004";"22";"4";"2";"2929";"2299";"13";"7";"2279";"1248";"44";"214";"74";"15";"306";"21";"0";"88";"14";"115";"106";"34";"-";"-"
"151005";"151005";"22";"4";"2";"3851";"3475";"23";"6";"3446";"1235";"140";"623";"360";"23";"327";"27";"1";"79";"43";"388";"145";"55";"-";"-"
"151006";"151006";"22";"4";"2";"4505";"3729";"14";"5";"3710";"2177";"79";"330";"124";"29";"488";"24";"1";"119";"14";"139";"113";"73";"-";"-"
"151007";"151007";"22";"4";"2";"1465";"1296";"5";"4";"1287";"447";"46";"271";"136";"5";"107";"9";"0";"27";"26";"99";"71";"43";"-";"-"
"151009";"151009";"22";"4";"2";"2732";"2364";"18";"2";"2344";"669";"133";"519";"269";"10";"198";"34";"1";"41";"33";"295";"98";"44";"-";"-"
"151109";"151109";"22";"4";"2";"4182";"3555";"30";"2";"3523";"1283";"150";"620";"288";"21";"441";"37";"1";"71";"37";"290";"147";"137";"-";"-"
"153001";"153001";"26";"4";"2";"3532";"3051";"15";"3";"3033";"1288";"113";"541";"256";"15";"271";"28";"0";"63";"25";"240";"141";"52";"-";"-"
"153002";"153002";"26";"4";"2";"3657";"2804";"12";"8";"2784";"1422";"80";"351";"167";"15";"303";"15";"0";"81";"24";"174";"99";"53";"-";"-"
"153003";"153003";"26";"4";"2";"3389";"2765";"15";"5";"2745";"1365";"98";"366";"163";"20";"303";"26";"1";"94";"21";"135";"92";"61";"-";"-"
"153004";"153004";"26";"4";"2";"2430";"1968";"14";"5";"1949";"1099";"32";"185";"91";"12";"244";"15";"0";"81";"12";"73";"76";"29";"-";"-"
"153005";"153005";"26";"4";"2";"3908";"3319";"17";"12";"3290";"1536";"122";"502";"213";"19";"337";"30";"0";"126";"20";"207";"118";"60";"-";"-"
"153006";"153006";"26";"4";"2";"3933";"3097";"17";"3";"3077";"1539";"76";"398";"154";"19";"362";"19";"0";"133";"21";"162";"144";"50";"-";"-"
"153007";"153007";"26";"4";"2";"4097";"3211";"12";"5";"3194";"1433";"94";"471";"236";"23";"346";"21";"0";"119";"38";"221";"140";"52";"-";"-"
"155001";"155001";"27";"4";"2";"3191";"2775";"9";"6";"2760";"643";"106";"912";"275";"13";"177";"18";"1";"49";"29";"405";"100";"32";"-";"-"
"155002";"155002";"27";"4";"2";"3290";"2771";"12";"9";"2750";"610";"91";"807";"365";"12";"154";"22";"0";"84";"15";"406";"159";"25";"-";"-"
"155003";"155003";"27";"4";"2";"2941";"2555";"21";"5";"2529";"911";"72";"573";"249";"11";"215";"12";"1";"74";"25";"247";"114";"25";"-";"-"
"157001";"157001";"20";"4";"2";"5491";"4753";"28";"11";"4714";"691";"289";"1861";"387";"15";"248";"35";"2";"42";"56";"846";"169";"73";"-";"-"
"157002";"157002";"20";"4";"2";"4677";"4000";"22";"11";"3967";"1033";"215";"1095";"376";"26";"314";"35";"1";"87";"94";"401";"205";"85";"-";"-"
"157003";"157003";"20";"4";"2";"4670";"4119";"9";"3";"4107";"627";"268";"1485";"313";"16";"265";"39";"0";"33";"68";"760";"143";"90";"-";"-"
"157004";"157004";"20";"4";"2";"5833";"4599";"36";"9";"4554";"1268";"245";"1203";"428";"16";"375";"58";"3";"78";"54";"566";"180";"80";"-";"-"
"157005";"157005";"20";"4";"2";"5127";"4402";"28";"7";"4367";"719";"266";"1549";"425";"16";"284";"39";"2";"57";"73";"678";"188";"71";"-";"-"
"157006";"157006";"24";"4";"2";"5915";"5156";"27";"4";"5125";"617";"335";"2068";"359";"22";"288";"49";"0";"40";"58";"1038";"148";"103";"-";"-"
"157007";"157007";"24";"4";"2";"5596";"4734";"27";"7";"4700";"850";"281";"1562";"345";"22";"365";"62";"0";"62";"119";"750";"151";"131";"-";"-"
"157008";"157008";"24";"4";"2";"4579";"3886";"26";"6";"3854";"641";"224";"1464";"269";"16";"243";"25";"0";"37";"41";"672";"141";"81";"-";"-"
"157009";"157009";"24";"4";"2";"5303";"4530";"22";"5";"4503";"646";"282";"1803";"265";"21";"224";"41";"1";"46";"54";"901";"162";"57";"-";"-"
"157010";"157010";"24";"4";"2";"5042";"4145";"29";"10";"4106";"594";"199";"1684";"298";"17";"167";"23";"2";"39";"67";"844";"136";"36";"-";"-"
"159001";"159001";"25";"4";"2";"5200";"4356";"33";"6";"4317";"1316";"221";"1021";"487";"26";"371";"29";"4";"71";"66";"444";"160";"101";"-";"-"
"159002";"159002";"25";"4";"2";"3181";"2625";"8";"2";"2615";"1002";"91";"442";"280";"14";"257";"32";"0";"74";"37";"223";"107";"56";"-";"-"
"159003";"159003";"25";"4";"2";"5840";"4777";"36";"7";"4734";"2001";"152";"706";"515";"47";"505";"36";"2";"106";"42";"322";"171";"129";"-";"-"
"159004";"159004";"25";"4";"2";"3020";"2516";"12";"3";"2501";"1382";"51";"206";"161";"10";"298";"15";"3";"123";"29";"91";"80";"52";"-";"-"
"159005";"159005";"25";"4";"2";"3225";"2654";"22";"1";"2631";"1130";"105";"408";"232";"16";"262";"24";"1";"90";"30";"178";"89";"66";"-";"-"
"159006";"159006";"25";"4";"2";"3973";"3385";"10";"4";"3371";"1102";"147";"576";"423";"20";"386";"22";"0";"90";"44";"332";"119";"110";"-";"-"
"159007";"159007";"25";"4";"2";"5163";"4313";"33";"8";"4272";"2014";"105";"508";"406";"38";"510";"36";"3";"154";"32";"201";"158";"107";"-";"-"
"159008";"159008";"25";"4";"2";"6190";"5302";"35";"3";"5264";"1589";"352";"998";"686";"32";"508";"69";"3";"76";"80";"571";"155";"145";"-";"-"
"159009";"159009";"25";"4";"2";"3762";"3141";"17";"4";"3120";"1103";"123";"534";"335";"25";"381";"36";"2";"75";"45";"235";"121";"105";"-";"-"
"159010";"159010";"25";"4";"2";"4812";"3916";"23";"4";"3889";"1522";"161";"631";"470";"30";"384";"32";"2";"88";"49";"294";"134";"92";"-";"-"
"159011";"159011";"25";"4";"2";"2864";"2278";"12";"3";"2263";"904";"91";"357";"192";"9";"249";"19";"1";"76";"20";"207";"72";"66";"-";"-"
"161001";"161001";"23";"4";"2";"2057";"1817";"8";"13";"1796";"730";"78";"351";"113";"16";"155";"10";"0";"49";"20";"141";"100";"33";"-";"-"
"161002";"161002";"23";"4";"2";"2338";"1934";"11";"2";"1921";"707";"108";"446";"126";"13";"155";"20";"1";"42";"21";"166";"98";"18";"-";"-"
"161003";"161003";"23";"4";"2";"4228";"3401";"16";"12";"3373";"1548";"130";"599";"207";"22";"307";"25";"2";"94";"29";"247";"122";"41";"-";"-"
"161004";"161004";"23";"4";"2";"3769";"3113";"11";"5";"3097";"1740";"86";"352";"125";"25";"287";"16";"0";"108";"31";"148";"139";"40";"-";"-"
"161005";"161005";"23";"4";"2";"1365";"1245";"8";"1";"1236";"279";"70";"391";"145";"5";"66";"4";"0";"15";"14";"183";"53";"11";"-";"-"
"161006";"161006";"23";"4";"2";"1969";"1655";"10";"9";"1636";"700";"50";"265";"128";"9";"219";"12";"0";"41";"13";"123";"56";"20";"-";"-"
"163001";"163001";"28";"4";"2";"1921";"1608";"15";"4";"1589";"846";"35";"224";"68";"12";"171";"14";"1";"65";"20";"54";"59";"20";"-";"-"
"163002";"163002";"28";"4";"2";"4649";"3869";"23";"2";"3844";"1718";"118";"639";"259";"34";"387";"44";"2";"119";"78";"264";"121";"61";"-";"-"
"163003";"163003";"28";"4";"2";"4365";"3649";"18";"4";"3627";"1365";"146";"700";"268";"18";"434";"44";"2";"105";"61";"256";"128";"100";"-";"-"
"163004";"163004";"28";"4";"2";"5454";"4672";"20";"6";"4646";"1812";"188";"938";"429";"23";"465";"27";"2";"96";"89";"291";"172";"114";"-";"-"
"163005";"163005";"28";"4";"2";"3658";"2889";"26";"6";"2857";"1393";"87";"427";"146";"14";"306";"32";"0";"79";"51";"185";"91";"46";"-";"-"
"165001";"165001";"23";"4";"2";"4717";"4033";"34";"12";"3987";"1236";"164";"655";"235";"21";"826";"44";"1";"54";"35";"284";"121";"311";"-";"-"
"165002";"165002";"23";"4";"2";"3743";"3211";"12";"3";"3196";"1159";"139";"587";"244";"18";"486";"23";"0";"52";"11";"244";"95";"138";"-";"-"
"165003";"165003";"23";"4";"2";"3002";"2397";"11";"7";"2379";"1389";"49";"185";"78";"18";"319";"26";"1";"79";"10";"98";"71";"56";"-";"-"
"165004";"165004";"23";"4";"2";"4501";"3614";"26";"8";"3580";"1847";"89";"243";"92";"28";"697";"48";"2";"130";"23";"122";"88";"171";"-";"-"
"165005";"165005";"23";"4";"2";"4162";"3578";"23";"12";"3543";"1381";"151";"484";"195";"24";"585";"46";"0";"73";"34";"223";"128";"219";"-";"-"
"167001";"167001";"26";"4";"2";"4202";"3448";"24";"7";"3417";"1323";"115";"634";"268";"23";"392";"39";"0";"80";"46";"251";"145";"101";"-";"-"
"167002";"167002";"26";"4";"2";"3386";"2702";"14";"8";"2680";"1287";"69";"394";"214";"16";"264";"22";"0";"104";"20";"137";"112";"41";"-";"-"
"167003";"167003";"26";"4";"2";"4574";"3847";"20";"3";"3824";"1929";"91";"468";"212";"36";"404";"38";"1";"166";"53";"201";"143";"82";"-";"-"
"167004";"167004";"26";"4";"2";"4915";"4137";"21";"6";"4110";"1960";"117";"537";"255";"36";"500";"30";"1";"131";"28";"198";"186";"131";"-";"-"
"167005";"167005";"26";"4";"2";"5114";"4316";"25";"6";"4285";"1867";"107";"728";"339";"41";"420";"22";"1";"133";"43";"274";"215";"95";"-";"-"
"167006";"167006";"26";"4";"2";"5569";"4648";"24";"13";"4611";"2249";"133";"637";"308";"32";"474";"26";"3";"169";"40";"246";"177";"117";"-";"-"
"167007";"167007";"26";"4";"2";"5451";"4478";"22";"6";"4450";"1875";"138";"709";"462";"41";"401";"40";"0";"131";"51";"316";"218";"68";"-";"-"
"167008";"167008";"26";"4";"2";"4181";"3293";"13";"5";"3275";"1660";"65";"316";"173";"15";"447";"28";"1";"181";"32";"143";"113";"101";"-";"-"
"169001";"169001";"23";"4";"2";"2918";"2217";"10";"1";"2206";"966";"54";"342";"138";"22";"238";"24";"1";"89";"25";"164";"103";"40";"-";"-"
"169002";"169002";"23";"4";"2";"3408";"2883";"18";"5";"2860";"1096";"95";"609";"235";"12";"226";"19";"1";"87";"46";"243";"153";"38";"-";"-"
"169003";"169003";"23";"4";"2";"2738";"2361";"7";"3";"2351";"716";"105";"612";"201";"5";"191";"18";"1";"44";"26";"298";"87";"47";"-";"-"
"169004";"169004";"23";"4";"2";"2125";"1805";"8";"4";"1793";"625";"74";"414";"166";"15";"124";"16";"1";"53";"16";"187";"79";"23";"-";"-"
"169005";"169005";"23";"4";"2";"1675";"1488";"7";"3";"1478";"499";"59";"344";"154";"6";"132";"9";"0";"25";"17";"140";"75";"18";"-";"-"
"169006";"169006";"23";"4";"2";"3872";"2949";"18";"4";"2927";"1259";"78";"532";"212";"16";"292";"22";"2";"86";"25";"224";"135";"44";"-";"-"
"169007";"169007";"23";"4";"2";"3465";"2866";"18";"12";"2836";"1230";"102";"488";"199";"10";"282";"22";"0";"62";"36";"219";"144";"42";"-";"-"
"169008";"169008";"23";"4";"2";"1199";"989";"10";"3";"976";"431";"28";"172";"53";"4";"125";"10";"0";"22";"15";"68";"35";"13";"-";"-"
"169009";"169009";"23";"4";"2";"1734";"1493";"13";"4";"1476";"410";"70";"335";"137";"12";"102";"13";"3";"21";"23";"233";"88";"29";"-";"-"
"169010";"169010";"23";"4";"2";"1834";"1432";"20";"7";"1405";"634";"44";"231";"107";"7";"133";"9";"2";"35";"11";"99";"78";"15";"-";"-"
"169011";"169011";"23";"4";"2";"3408";"2764";"21";"2";"2741";"1213";"77";"520";"224";"9";"179";"15";"0";"65";"23";"246";"148";"22";"-";"-"
"169012";"169012";"23";"4";"2";"3228";"2754";"22";"6";"2726";"1077";"114";"564";"265";"23";"155";"28";"0";"50";"19";"277";"125";"29";"-";"-"
"169013";"169013";"23";"4";"2";"525";"453";"1";"1";"451";"122";"23";"102";"33";"2";"35";"0";"0";"12";"2";"76";"37";"7";"-";"-"
"171001";"171001";"22";"4";"2";"681";"590";"6";"1";"583";"144";"21";"156";"48";"4";"53";"5";"0";"2";"5";"104";"26";"15";"-";"-"
"171002";"171002";"22";"4";"2";"5605";"4841";"41";"4";"4796";"1514";"214";"1115";"484";"24";"423";"42";"0";"64";"51";"590";"223";"52";"-";"-"
"171104";"171104";"22";"4";"2";"459";"391";"4";"1";"386";"105";"9";"71";"34";"3";"29";"6";"0";"8";"2";"81";"33";"5";"-";"-"
"173001";"173001";"21";"4";"2";"3377";"2759";"18";"3";"2738";"870";"174";"724";"176";"14";"247";"37";"1";"52";"37";"275";"81";"50";"-";"-"
"173002";"173002";"21";"4";"2";"4829";"4014";"18";"5";"3991";"1688";"169";"809";"222";"25";"365";"25";"1";"102";"47";"325";"143";"70";"-";"-"
"173003";"173003";"21";"4";"2";"5021";"4160";"33";"5";"4122";"1114";"271";"1132";"241";"17";"367";"41";"1";"55";"53";"643";"119";"68";"-";"-"
"173004";"173004";"21";"4";"2";"3394";"2917";"14";"5";"2898";"786";"186";"820";"254";"21";"209";"34";"1";"54";"41";"365";"80";"47";"-";"-"
"173005";"173005";"21";"4";"2";"1242";"1082";"5";"1";"1076";"241";"64";"366";"66";"6";"83";"9";"0";"14";"9";"162";"34";"22";"-";"-"
"173006";"173006";"21";"4";"2";"4744";"4186";"10";"6";"4170";"744";"341";"1475";"370";"22";"248";"42";"0";"33";"61";"666";"126";"42";"-";"-"
"173007";"173007";"21";"4";"2";"3655";"3248";"9";"5";"3234";"683";"262";"1123";"252";"11";"230";"30";"1";"41";"37";"430";"90";"44";"-";"-"
"173008";"173008";"21";"4";"2";"4041";"3457";"14";"4";"3439";"953";"245";"978";"301";"18";"286";"32";"1";"44";"42";"405";"100";"34";"-";"-"
"173009";"173009";"21";"4";"2";"2216";"1977";"15";"2";"1960";"413";"148";"629";"160";"9";"163";"30";"0";"23";"26";"260";"59";"40";"-";"-"
"173010";"173010";"21";"4";"2";"4784";"4063";"22";"7";"4034";"1270";"261";"1016";"261";"22";"431";"31";"2";"66";"51";"455";"117";"51";"-";"-"
"173105";"173105";"21";"4";"2";"2933";"2438";"5";"4";"2429";"786";"124";"635";"175";"10";"219";"20";"1";"51";"31";"268";"75";"34";"-";"-"
"175001";"175001";"28";"4";"2";"3102";"2599";"21";"3";"2575";"1072";"91";"458";"197";"13";"226";"19";"2";"91";"40";"191";"122";"53";"-";"-"
"175002";"175002";"28";"4";"2";"2084";"1737";"9";"1";"1727";"996";"32";"175";"64";"11";"176";"9";"0";"76";"18";"77";"59";"34";"-";"-"
"175003";"175003";"28";"4";"2";"4066";"3260";"24";"5";"3231";"1235";"116";"602";"237";"14";"388";"46";"0";"119";"36";"241";"128";"69";"-";"-"
"175004";"175004";"28";"4";"2";"4051";"3210";"17";"2";"3191";"1523";"92";"429";"188";"27";"405";"27";"1";"103";"25";"184";"117";"70";"-";"-"
"175005";"175005";"28";"4";"2";"2945";"2355";"13";"0";"2342";"1136";"52";"331";"135";"27";"270";"10";"1";"106";"21";"124";"76";"53";"-";"-"
"175006";"175006";"28";"4";"2";"3370";"2878";"14";"6";"2858";"1127";"91";"554";"246";"18";"254";"24";"1";"69";"62";"251";"114";"47";"-";"-"
"175007";"175007";"28";"4";"2";"2945";"2529";"17";"1";"2511";"1181";"70";"345";"182";"27";"281";"19";"0";"85";"27";"155";"87";"52";"-";"-"
"175008";"175008";"28";"4";"2";"4250";"3657";"18";"4";"3635";"1517";"105";"579";"368";"17";"364";"21";"2";"103";"45";"279";"157";"78";"-";"-"
