ValgId;StorKreds navn;A. Socialdemokratiet - K;A. Socialdemokratiet - T;A. Socialdemokratiet - I alt;B. Det Radikale Venstre - K;B. Det Radikale Venstre - T;B. Det Radikale Venstre - I alt;C. Det Konservative Folkeparti - K;C. Det Konservative Folkeparti - T;C. Det Konservative Folkeparti - I alt;D. Centrum-Demokraterne - K;D. Centrum-Demokraterne - T;D. Centrum-Demokraterne - I alt;F. Socialistisk Folkeparti - K;F. Socialistisk Folkeparti - T;F. Socialistisk Folkeparti - I alt;O. Dansk Folkeparti - K;O. Dansk Folkeparti - T;O. Dansk Folkeparti - I alt;Q. Kristeligt Folkeparti - K;Q. Kristeligt Folkeparti - T;Q. Kristeligt Folkeparti - I alt;V. Venstre, Danmarks Liberale Parti - K;V. Venstre, Danmarks Liberale Parti - T;V. Venstre, Danmarks Liberale Parti - I alt;Z. Fremskridtspartiet - K;Z. Fremskridtspartiet - T;Z. Fremskridtspartiet - I alt;Ø. Enhedslisten - De Rød-Grønne - K;Ø. Enhedslisten - De Rød-Grønne - T;Ø. Enhedslisten - De Rød-Grønne - I alt;1. Uden for partierne - K;1. Uden for partierne - T;1. Uden for partierne - I alt;Valgte kandidater
160;Sønderjyllands Amtskreds;3;0;3;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;3;1;4;0;0;0;0;0;0;0;0;0;A. Frode Sørensen (6441,7666,14107), A. P. Qvist Jørgensen (2789,4527,7316), A. Inger Bierbaum (3777,3270,7047), C. Kaj Ikast (2971,4238,7209), O. Søren Krarup (3802,7066,10868), V. Hans Chr. Schmidt (13293,9704,22997), V. Helga Moos (4773,5068,9841), V. Sven Buhrkall (3697,4005,7702), V. Peter Christensen (4079,2513,6592)
160;Ribe Amtskreds;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;A. Henrik Dam Kristensen (15350,9590,24940), A. Helge Mortensen (5945,5475,11420), O. Freddie H. Madsen (1918,3934,5852), V. Ulla Tørnæs (14538,6645,21183), V. Ivar Hansen (12841,5546,18387), V. Preben Rudiengaard (10122,3955,14077)
160;Vejle Amtskreds;3;0;3;0;1;1;1;0;1;0;0;0;0;1;1;1;1;2;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;A. Jan Trøjborg (9844,10919,20763), A. Karen J. Klint (6186,7621,13807), A. Lissa Mathiasen (4749,7098,11847), B. Elsebeth Gerner Nielsen (3007,3101,6108), C. Flemming Hansen (4815,5670,10485), F. Villy Søvndal (6525,4370,10895), O. Jørn Dohrmann (2364,5391,7755), O. Karina Sørensen (1692,4615,6307), V. Eva Kjer Hansen (13345,18058,31403), V. Troels Lund Poulsen (6938,6929,13867), V. Jens Vibjerg (6522,5642,12164), V. Irene Simonsen (4054,5902,9956)
160;Ringkøbing Amtskreds;2;0;2;0;0;0;0;1;1;0;0;0;0;1;1;1;0;1;0;1;1;4;0;4;0;0;0;0;0;0;0;0;0;A. Poul Nyrup Rasmussen (9774,4106,13880), A. Jens Peter Vernersen (2679,1105,3784), C. Knud Erik Kirkegaard (2036,1745,3781), F. Kristen Touborg (1226,786,2012), O. Bente Vejrsø Nielsen (1197,2489,3686), Q. Tove Videbæk (3204,1235,4439), V. Søren Gade (8072,6424,14496), V. Hanne Severinsen (5419,4027,9446), V. Kristian Jensen (3029,2287,5316), V. Jens Kirk (2334,1774,4108)
160;Århus Amtskreds;6;1;7;1;0;1;1;0;1;0;0;0;1;1;2;2;1;3;0;1;1;5;2;7;0;0;0;0;1;1;0;0;0;A. Svend Auken (47686,34305,81991), A. Nicolai Wammen (5078,3681,8759), A. Jan Petersen (4423,2880,7303), A. René Skau Björnsson (4108,2814,6922), A. Torben Hansen (3620,3092,6712), A. Anne-Marie Meldgaard (3499,2429,5928), A. Jørn Pedersen (3316,2603,5919), B. Elisabeth Arnold (4894,9219,14113), C. Henriette Kjær (6144,6238,12382), F. Aage Frandsen (P 2545,6255,8800), F. Morten Homann (P 867,7933,8800), O. Birthe Skaarup (4287,12361,16648), O. Per Dalgaard (1122,3440,4562), O. Uno Larsson (1050,2773,3823), Q. Jann Sjursen (5539,3385,8924), V. Jørgen Winther (19939,31418,51357), V. Kim Andersen (7038,9465,16503), V. Else Winther Andersen (6294,9832,16126), V. Leif Mikkelsen (7170,8671,15841), V. Freddy Dam (2845,6422,9267), V. Henrik Vestergaard (1399,3640,5039), V. Eyvind Vesselbo (1251,2878,4129), Ø. Keld Albrechtsen (P 2331,3197,5528)
160;Viborg Amtskreds;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;A. Pernille Blach Hansen (16503,11767,28270), A. Ole Vagn Christensen (4692,3201,7893), C. Else Theill Sørensen (2738,2165,4903), O. Jesper Langballe (2114,5155,7269), V. Inger Støjberg (9529,6737,16266), V. Svend Heiselberg (7653,5070,12723), V. Jens Rohde (6403,6295,12698)
160;Nordjyllands Amtskreds;5;0;5;0;1;1;1;0;1;0;0;0;0;1;1;2;0;2;0;1;1;5;1;6;0;0;0;0;0;0;0;0;0;A. Frank Jensen (19172,20024,39196), A. Arne Toft (7843,6010,13853), A. Ole Stavad (6182,7138,13320), A. Bjarne Laustsen (6522,6785,13307), A. Erik Mortensen (3273,3721,6994), B. Marianne Jelved (6941,4466,11407), C. Lene Espersen (22049,6276,28325), F. Lene Garsdal (1052,3160,4212), O. Anita Knakkergaard (2334,7818,10152), O. Bent Bøgsted (964,3644,4608), Q. Ole M. Nielsen (2022,1891,3913), V. Svend Aage Jensby (18190,17496,35686), V. Chr. Mejdahl (10342,7164,17506), V. Inge-Lene Ebdrup (6289,6192,12481), V. Tina Nedergaard (6280,4815,11095), V. Gudrun Laub (4219,4332,8551), V. Jens Chr. Larsen (3099,3507,6606)
160;I alt;50;2;52;3;6;9;10;6;16;0;0;0;5;7;12;18;4;22;0;4;4;49;7;56;0;0;0;0;4;4;0;0;0


