"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2015 - Stemmeberettigede";"FV2015 - Afgivne stemmer";"FV2015 - Blanke stemmer";"FV2015 - Andre ugyldige stemmer";"FV2015 - Gyldige stemmer";"FV2015 - A. Socialdemokratiet";"FV2015 - B. Radikale Venstre";"FV2015 - C. Det Konservative Folkeparti";"FV2015 - F. SF - Socialistisk Folkeparti";"FV2015 - I. Liberal Alliance";"FV2015 - K. Kristendemokraterne";"FV2015 - O. Dansk Folkeparti";"FV2015 - V. Venstre, Danmarks Liberale Parti";"FV2015 - Ø. Enhedslisten - De Rød-Grønne";"FV2015 - Å. Alternativet";"FV2015 - 1. Uden for partierne";"FV2015 - 2. Uden for partierne";"FV2015 - 3. Uden for partierne";"FV2015 - 4. Uden for partierne"
"157003";"157003";"13";"2";"1";"5201";"4426";"23";"7";"4396";"767";"457";"490";"147";"779";"12";"394";"941";"185";"221";"2";"1";"-";"-"
"157004";"157004";"13";"2";"1";"5277";"4415";"43";"17";"4355";"963";"316";"335";"177";"527";"20";"725";"696";"337";"259";"0";"0";"-";"-"
"157005";"157005";"13";"2";"1";"5017";"4550";"31";"5";"4514";"832";"538";"447";"170";"704";"9";"476";"845";"242";"248";"3";"0";"-";"-"
"157006";"157006";"13";"2";"1";"5617";"5174";"24";"10";"5140";"798";"518";"587";"134";"984";"6";"422";"1218";"208";"262";"0";"3";"-";"-"
"157007";"157007";"13";"2";"1";"6029";"5433";"31";"20";"5382";"917";"479";"461";"171";"1013";"23";"494";"1171";"299";"350";"3";"1";"-";"-"
"157008";"157008";"13";"2";"1";"4394";"3950";"23";"2";"3925";"617";"327";"415";"123";"741";"16";"407";"893";"191";"194";"1";"0";"-";"-"
"157009";"157009";"13";"2";"1";"5019";"4534";"23";"10";"4501";"619";"392";"499";"93";"1023";"12";"358";"1108";"185";"209";"3";"0";"-";"-"
"157010";"157010";"13";"2";"1";"4586";"4072";"22";"7";"4043";"605";"316";"493";"100";"760";"12";"479";"924";"147";"205";"0";"2";"-";"-"
"159001";"159001";"15";"2";"1";"4801";"4144";"35";"13";"4096";"1101";"328";"205";"211";"421";"26";"560";"647";"354";"243";"0";"0";"-";"-"
"159002";"159002";"15";"2";"1";"6226";"5278";"65";"17";"5196";"1595";"313";"147";"286";"338";"20";"968";"671";"545";"311";"2";"0";"-";"-"
"159003";"159003";"15";"2";"1";"5899";"4939";"37";"17";"4885";"1452";"236";"133";"237";"330";"18";"1079";"722";"476";"194";"7";"1";"-";"-"
"159004";"159004";"15";"2";"1";"6360";"5395";"50";"13";"5332";"1658";"369";"118";"325";"305";"36";"882";"569";"688";"371";"11";"0";"-";"-"
"159005";"159005";"15";"2";"1";"6273";"5292";"52";"13";"5227";"1694";"269";"118";"272";"351";"16";"1122";"636";"547";"198";"3";"1";"-";"-"
"159006";"159006";"15";"2";"1";"6097";"5479";"52";"8";"5419";"1605";"483";"207";"306";"521";"27";"655";"813";"438";"362";"2";"0";"-";"-"
"159007";"159007";"15";"2";"1";"3773";"3342";"29";"3";"3310";"941";"269";"107";"216";"251";"15";"511";"415";"330";"251";"3";"1";"-";"-"
"159008";"159008";"15";"2";"1";"4455";"3796";"22";"6";"3768";"1100";"223";"119";"170";"322";"22";"744";"600";"301";"165";"2";"0";"-";"-"
"159009";"159009";"15";"2";"1";"2377";"1848";"10";"8";"1830";"483";"142";"71";"104";"158";"6";"296";"260";"216";"92";"2";"0";"-";"-"
"161001";"161001";"20";"2";"1";"2286";"2072";"19";"4";"2049";"637";"76";"62";"84";"145";"6";"490";"373";"121";"53";"2";"0";"-";"-"
"161002";"161002";"20";"2";"1";"2520";"2089";"22";"3";"2064";"572";"89";"64";"76";"145";"6";"532";"339";"144";"90";"4";"3";"-";"-"
"161003";"161003";"20";"2";"1";"4194";"3380";"26";"10";"3344";"1064";"94";"86";"119";"221";"18";"915";"438";"261";"118";"9";"1";"-";"-"
"161004";"161004";"20";"2";"1";"3041";"2456";"15";"14";"2427";"945";"62";"23";"97";"86";"4";"720";"182";"236";"64";"2";"6";"-";"-"
"161005";"161005";"20";"2";"1";"1452";"1347";"14";"2";"1331";"279";"53";"41";"38";"122";"6";"295";"410";"55";"32";"0";"0";"-";"-"
"161006";"161006";"20";"2";"1";"2638";"2258";"9";"6";"2243";"712";"50";"58";"91";"140";"7";"607";"346";"165";"65";"2";"0";"-";"-"
"163001";"163001";"16";"2";"1";"6963";"5766";"68";"17";"5681";"1992";"191";"162";"257";"291";"37";"1368";"585";"572";"221";"3";"2";"-";"-"
"163002";"163002";"16";"2";"1";"6298";"5700";"37";"11";"5652";"2005";"203";"217";"246";"349";"67";"1117";"890";"393";"159";"5";"1";"-";"-"
"163003";"163003";"16";"2";"1";"6487";"5350";"61";"9";"5280";"1613";"210";"161";"312";"308";"37";"1142";"619";"604";"270";"4";"0";"-";"-"
"165001";"165001";"19";"2";"1";"4457";"3838";"45";"20";"3773";"1036";"133";"116";"247";"188";"18";"729";"382";"663";"258";"1";"2";"-";"-"
"165002";"165002";"19";"2";"1";"3218";"2842";"21";"16";"2805";"925";"106";"82";"189";"119";"8";"617";"309";"327";"116";"7";"0";"-";"-"
"165003";"165003";"19";"2";"1";"3077";"2413";"18";"21";"2374";"740";"146";"33";"225";"82";"10";"524";"168";"313";"122";"8";"3";"-";"-"
"165004";"165004";"19";"2";"1";"3267";"2555";"24";"22";"2509";"899";"74";"39";"188";"55";"9";"645";"128";"370";"92";"8";"2";"-";"-"
"165005";"165005";"19";"2";"1";"4282";"3593";"27";"20";"3546";"1236";"179";"69";"249";"153";"18";"601";"287";"528";"218";"8";"0";"-";"-"
"167001";"167001";"17";"2";"1";"4021";"3486";"30";"4";"3452";"966";"163";"113";"207";"233";"17";"772";"449";"316";"206";"6";"4";"-";"-"
"167002";"167002";"17";"2";"1";"3277";"2753";"16";"4";"2733";"870";"91";"61";"135";"165";"10";"738";"333";"232";"86";"12";"0";"-";"-"
"167003";"167003";"17";"2";"1";"4345";"3562";"37";"10";"3515";"1170";"94";"67";"193";"171";"8";"932";"366";"369";"131";"13";"1";"-";"-"
"167004";"167004";"17";"2";"1";"4629";"3904";"30";"11";"3863";"1279";"140";"78";"224";"197";"11";"977";"418";"393";"143";"3";"0";"-";"-"
"167005";"167005";"17";"2";"1";"5085";"4427";"37";"9";"4381";"1333";"187";"107";"212";"308";"33";"1014";"629";"375";"182";"1";"0";"-";"-"
"167006";"167006";"17";"2";"1";"5182";"4400";"37";"7";"4356";"1575";"151";"103";"182";"229";"12";"1056";"527";"364";"149";"8";"0";"-";"-"
"167007";"167007";"17";"2";"1";"5575";"4733";"31";"4";"4698";"1509";"144";"127";"209";"279";"29";"1257";"675";"326";"119";"23";"1";"-";"-"
"167008";"167008";"17";"2";"1";"4684";"3631";"35";"4";"3592";"1036";"142";"74";"188";"156";"16";"1018";"355";"452";"116";"38";"1";"-";"-"
"169001";"169001";"19";"2";"1";"2388";"1734";"15";"10";"1709";"488";"47";"80";"89";"120";"8";"433";"199";"164";"79";"2";"0";"-";"-"
"169002";"169002";"19";"2";"1";"3260";"2763";"31";"4";"2728";"832";"116";"164";"98";"144";"10";"622";"415";"218";"100";"8";"1";"-";"-"
"169003";"169003";"19";"2";"1";"2467";"2202";"19";"6";"2177";"589";"81";"162";"79";"170";"11";"513";"391";"129";"48";"4";"0";"-";"-"
"169004";"169004";"19";"2";"1";"2120";"1831";"20";"4";"1807";"567";"57";"106";"68";"104";"5";"469";"296";"89";"44";"2";"0";"-";"-"
"169005";"169005";"19";"2";"1";"1606";"1451";"8";"4";"1439";"472";"28";"80";"66";"72";"5";"329";"235";"99";"52";"1";"0";"-";"-"
"169006";"169006";"19";"2";"1";"4135";"3149";"27";"18";"3104";"862";"172";"145";"213";"190";"14";"695";"382";"301";"121";"7";"2";"-";"-"
"169007";"169007";"19";"2";"1";"3184";"2675";"36";"9";"2630";"899";"51";"90";"108";"136";"9";"724";"344";"180";"89";"0";"0";"-";"-"
"169008";"169008";"19";"2";"1";"2769";"2306";"23";"9";"2274";"672";"75";"83";"129";"132";"12";"623";"276";"195";"74";"2";"1";"-";"-"
"169009";"169009";"19";"2";"1";"1881";"1655";"13";"1";"1641";"368";"65";"88";"40";"128";"10";"426";"344";"105";"66";"1";"0";"-";"-"
"169010";"169010";"19";"2";"1";"1881";"1391";"16";"10";"1365";"405";"46";"55";"79";"41";"6";"390";"211";"94";"35";"3";"0";"-";"-"
"169011";"169011";"19";"2";"1";"3427";"2920";"30";"10";"2880";"815";"91";"101";"92";"175";"8";"855";"471";"190";"81";"0";"1";"-";"-"
"169012";"169012";"19";"2";"1";"2996";"2720";"27";"4";"2689";"760";"95";"156";"100";"168";"11";"702";"479";"123";"94";"1";"0";"-";"-"
