"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2015 - Stemmeberettigede";"FV2015 - Afgivne stemmer";"FV2015 - Blanke stemmer";"FV2015 - Andre ugyldige stemmer";"FV2015 - Gyldige stemmer";"FV2015 - A. Socialdemokratiet";"FV2015 - B. Radikale Venstre";"FV2015 - C. Det Konservative Folkeparti";"FV2015 - F. SF - Socialistisk Folkeparti";"FV2015 - I. Liberal Alliance";"FV2015 - K. Kristendemokraterne";"FV2015 - O. Dansk Folkeparti";"FV2015 - V. Venstre, Danmarks Liberale Parti";"FV2015 - Ø. Enhedslisten - De Rød-Grønne";"FV2015 - Å. Alternativet";"FV2015 - 1. Uden for partierne";"FV2015 - 2. Uden for partierne";"FV2015 - 3. Uden for partierne";"FV2015 - 4. Uden for partierne"
"326001";"326001";"38";"5";"2";"2717";"2278";"11";"11";"2256";"527";"46";"52";"79";"105";"1";"790";"379";"207";"70";"0";"0";"0";"-"
"326002";"326002";"38";"5";"2";"314";"277";"1";"0";"276";"87";"4";"4";"15";"3";"3";"66";"60";"21";"13";"0";"0";"0";"-"
"326003";"326003";"38";"5";"2";"3440";"2896";"27";"14";"2855";"797";"62";"50";"115";"102";"12";"899";"501";"223";"91";"0";"1";"2";"-"
"326004";"326004";"38";"5";"2";"2360";"1984";"6";"6";"1972";"564";"33";"29";"38";"88";"2";"618";"421";"125";"54";"0";"0";"0";"-"
"326005";"326005";"38";"5";"2";"1380";"1192";"7";"7";"1178";"262";"20";"35";"33";"67";"5";"359";"292";"71";"33";"0";"1";"0";"-"
"326006";"326006";"38";"5";"2";"522";"467";"2";"4";"461";"97";"7";"6";"15";"16";"1";"178";"91";"27";"23";"0";"0";"0";"-"
"326007";"326007";"38";"5";"2";"944";"843";"6";"3";"834";"189";"18";"14";"25";"46";"3";"265";"198";"56";"20";"0";"0";"0";"-"
"326008";"326008";"38";"5";"2";"2426";"2035";"15";"5";"2015";"479";"56";"36";"59";"96";"7";"657";"442";"127";"55";"0";"1";"0";"-"
"326009";"326009";"38";"5";"2";"3856";"3241";"31";"10";"3200";"855";"79";"98";"88";"134";"9";"1016";"662";"183";"76";"0";"0";"0";"-"
"326010";"326010";"38";"5";"2";"1402";"1215";"9";"1";"1205";"236";"16";"17";"41";"86";"1";"348";"274";"124";"62";"0";"0";"0";"-"
"326011";"326011";"38";"5";"2";"1065";"905";"8";"1";"896";"189";"25";"23";"29";"48";"3";"288";"213";"53";"25";"0";"0";"0";"-"
"326012";"326012";"38";"5";"2";"3037";"2435";"15";"11";"2409";"693";"91";"63";"89";"119";"11";"588";"472";"197";"83";"2";"1";"0";"-"
"326013";"326013";"38";"5";"2";"2723";"2161";"14";"18";"2129";"673";"55";"34";"91";"96";"7";"719";"265";"140";"49";"0";"0";"0";"-"
"326014";"326014";"38";"5";"2";"1237";"1082";"12";"5";"1065";"274";"19";"21";"34";"60";"4";"338";"234";"62";"19";"0";"0";"0";"-"
"326015";"326015";"38";"5";"2";"2644";"2294";"17";"9";"2268";"608";"51";"42";"53";"119";"8";"817";"418";"101";"51";"0";"0";"0";"-"
"326016";"326016";"38";"5";"2";"3403";"2995";"27";"11";"2957";"797";"85";"66";"89";"175";"9";"816";"640";"155";"125";"0";"0";"0";"-"
"326017";"326017";"38";"5";"2";"674";"573";"7";"2";"564";"141";"9";"13";"23";"20";"1";"170";"120";"37";"30";"0";"0";"0";"-"
"326018";"326018";"38";"5";"2";"3164";"2506";"11";"8";"2487";"770";"87";"44";"78";"108";"6";"642";"522";"170";"59";"1";"0";"0";"-"
"329001";"329001";"39";"5";"2";"7956";"6692";"59";"14";"6619";"1796";"252";"187";"231";"490";"31";"1590";"1387";"462";"192";"0";"0";"1";"-"
"329002";"329002";"39";"5";"2";"623";"555";"4";"2";"549";"100";"15";"11";"20";"52";"2";"168";"123";"35";"23";"0";"0";"0";"-"
"329003";"329003";"39";"5";"2";"587";"534";"6";"2";"526";"111";"21";"15";"25";"26";"3";"158";"109";"31";"27";"0";"0";"0";"-"
"329004";"329004";"39";"5";"2";"3844";"3388";"33";"15";"3340";"962";"99";"83";"97";"203";"13";"979";"701";"133";"70";"0";"0";"0";"-"
"329005";"329005";"39";"5";"2";"997";"896";"9";"0";"887";"169";"33";"20";"27";"65";"4";"255";"156";"58";"99";"1";"0";"0";"-"
"329006";"329006";"39";"5";"2";"4353";"3591";"28";"12";"3551";"1063";"145";"61";"132";"195";"10";"929";"562";"343";"108";"3";"0";"0";"-"
"329008";"329008";"39";"5";"2";"1075";"992";"10";"3";"979";"203";"78";"21";"60";"76";"0";"196";"129";"101";"115";"0";"0";"0";"-"
"329009";"329009";"39";"5";"2";"970";"867";"12";"0";"855";"215";"19";"37";"25";"80";"2";"228";"180";"44";"25";"0";"0";"0";"-"
"329010";"329010";"39";"5";"2";"977";"892";"6";"1";"885";"234";"33";"24";"35";"75";"2";"255";"179";"34";"14";"0";"0";"0";"-"
"329011";"329011";"39";"5";"2";"536";"469";"3";"1";"465";"103";"4";"12";"13";"25";"0";"149";"116";"33";"10";"0";"0";"0";"-"
"329012";"329012";"39";"5";"2";"845";"748";"6";"3";"739";"176";"24";"28";"22";"59";"1";"203";"145";"43";"38";"0";"0";"0";"-"
"329013";"329013";"39";"5";"2";"1004";"885";"10";"3";"872";"198";"23";"26";"38";"44";"5";"255";"180";"69";"34";"0";"0";"0";"-"
"329014";"329014";"39";"5";"2";"663";"585";"2";"4";"579";"144";"12";"9";"15";"30";"1";"221";"95";"35";"16";"0";"1";"0";"-"
"330001";"330001";"40";"5";"2";"1384";"1152";"8";"2";"1142";"295";"24";"31";"40";"52";"5";"378";"211";"70";"35";"0";"0";"1";"-"
"330002";"330002";"40";"5";"2";"977";"848";"5";"2";"841";"182";"22";"25";"23";"55";"1";"235";"192";"63";"43";"0";"0";"0";"-"
"330003";"330003";"40";"5";"2";"1250";"1109";"10";"1";"1098";"228";"48";"30";"32";"91";"3";"320";"258";"52";"36";"0";"0";"0";"-"
"330004";"330004";"40";"5";"2";"1419";"1266";"15";"2";"1249";"361";"24";"34";"26";"109";"9";"332";"243";"72";"39";"0";"0";"0";"-"
"330005";"330005";"40";"5";"2";"5840";"4960";"44";"12";"4904";"1609";"91";"130";"148";"284";"17";"1395";"745";"324";"157";"4";"0";"0";"-"
"330006";"330006";"40";"5";"2";"5523";"4329";"32";"24";"4273";"1427";"80";"91";"168";"238";"11";"1228";"533";"388";"109";"0";"0";"0";"-"
"330007";"330007";"40";"5";"2";"1914";"1709";"12";"2";"1695";"512";"34";"40";"49";"89";"7";"549";"277";"106";"30";"1";"1";"0";"-"
"330008";"330008";"40";"5";"2";"2559";"2244";"19";"2";"2223";"520";"41";"51";"63";"155";"4";"740";"523";"88";"38";"0";"0";"0";"-"
"330009";"330009";"40";"5";"2";"4792";"3952";"38";"8";"3906";"1091";"182";"89";"137";"218";"26";"1031";"739";"276";"113";"4";"0";"0";"-"
"330010";"330010";"40";"5";"2";"1329";"1167";"7";"3";"1157";"267";"25";"22";"55";"67";"3";"343";"227";"84";"64";"0";"0";"0";"-"
"330011";"330011";"40";"5";"2";"2899";"2415";"19";"6";"2390";"663";"75";"48";"75";"90";"8";"640";"511";"185";"95";"0";"0";"0";"-"
"330012";"330012";"40";"5";"2";"153";"135";"0";"0";"135";"37";"2";"1";"1";"6";"1";"41";"36";"5";"5";"0";"0";"0";"-"
"330013";"330013";"40";"5";"2";"1064";"921";"6";"1";"914";"175";"18";"14";"39";"54";"2";"332";"217";"38";"25";"0";"0";"0";"-"
"330014";"330014";"40";"5";"2";"463";"406";"0";"1";"405";"100";"10";"8";"8";"33";"1";"122";"83";"21";"19";"0";"0";"0";"-"
"330015";"330015";"40";"5";"2";"2157";"1802";"16";"3";"1783";"476";"37";"47";"61";"73";"4";"517";"387";"138";"43";"0";"0";"0";"-"
"330016";"330016";"40";"5";"2";"387";"343";"5";"1";"337";"78";"12";"3";"10";"14";"0";"107";"71";"31";"11";"0";"0";"0";"-"
"330017";"330017";"40";"5";"2";"141";"125";"0";"0";"125";"43";"0";"1";"5";"2";"0";"37";"15";"18";"4";"0";"0";"0";"-"
"330018";"330018";"40";"5";"2";"585";"523";"9";"0";"514";"99";"15";"12";"32";"34";"3";"163";"109";"28";"19";"0";"0";"0";"-"
"330019";"330019";"40";"5";"2";"5364";"4053";"57";"14";"3982";"963";"147";"97";"141";"364";"24";"999";"746";"328";"169";"2";"2";"0";"-"
"330020";"330020";"40";"5";"2";"4127";"3423";"35";"10";"3378";"948";"143";"112";"102";"217";"13";"842";"690";"215";"95";"1";"0";"0";"-"
"330021";"330021";"40";"5";"2";"4875";"4220";"32";"4";"4184";"1177";"131";"90";"106";"303";"8";"1139";"898";"218";"112";"1";"0";"1";"-"
"330022";"330022";"40";"5";"2";"5863";"4545";"37";"23";"4485";"1253";"194";"111";"169";"294";"14";"1161";"823";"360";"106";"0";"0";"0";"-"
"330024";"330024";"40";"5";"2";"1051";"941";"7";"1";"933";"179";"29";"23";"21";"91";"5";"276";"229";"45";"34";"0";"0";"1";"-"
"330025";"330025";"40";"5";"2";"2013";"1767";"22";"1";"1744";"424";"42";"29";"38";"103";"9";"534";"435";"78";"52";"0";"0";"0";"-"
"330026";"330026";"40";"5";"2";"447";"397";"6";"1";"390";"90";"6";"12";"13";"16";"4";"116";"100";"22";"11";"0";"0";"0";"-"
"336001";"336001";"33";"5";"2";"4288";"3715";"25";"18";"3672";"882";"71";"103";"152";"194";"16";"1066";"826";"244";"118";"0";"0";"0";"-"
"336002";"336002";"33";"5";"2";"5182";"4618";"24";"13";"4581";"1088";"146";"140";"194";"366";"17";"1236";"1025";"202";"164";"3";"0";"0";"-"
"336003";"336003";"33";"5";"2";"4493";"3849";"34";"15";"3800";"994";"92";"171";"159";"181";"12";"1110";"679";"271";"129";"0";"2";"0";"-"
"336004";"336004";"33";"5";"2";"2927";"2594";"27";"6";"2561";"667";"56";"112";"96";"138";"7";"732";"482";"161";"108";"2";"0";"0";"-"
"340001";"340001";"39";"5";"2";"4406";"3662";"20";"10";"3632";"922";"65";"142";"135";"162";"45";"1196";"647";"222";"96";"0";"0";"0";"-"
"340002";"340002";"39";"5";"2";"1522";"1263";"17";"5";"1241";"316";"17";"38";"41";"62";"14";"446";"173";"100";"33";"1";"0";"0";"-"
"340004";"340004";"39";"5";"2";"1429";"1257";"10";"3";"1244";"314";"36";"31";"36";"78";"3";"383";"271";"60";"31";"0";"0";"1";"-"
"340005";"340005";"39";"5";"2";"4055";"3522";"38";"10";"3474";"960";"171";"203";"153";"228";"21";"637";"659";"248";"189";"2";"1";"2";"-"
"340006";"340006";"39";"5";"2";"3504";"3188";"25";"4";"3159";"844";"193";"114";"180";"185";"12";"519";"645";"246";"221";"0";"0";"0";"-"
"340008";"340008";"39";"5";"2";"2950";"2531";"14";"4";"2513";"585";"87";"127";"108";"150";"7";"629";"586";"159";"72";"0";"1";"2";"-"
"340010";"340010";"39";"5";"2";"4261";"3633";"43";"9";"3581";"895";"75";"111";"139";"208";"17";"1116";"660";"228";"132";"0";"0";"0";"-"
"350001";"350001";"34";"5";"2";"2937";"2613";"20";"5";"2588";"574";"66";"64";"129";"190";"6";"645";"659";"157";"98";"0";"0";"0";"-"
"350002";"350002";"34";"5";"2";"1946";"1733";"15";"8";"1710";"434";"67";"43";"83";"102";"5";"434";"399";"85";"58";"0";"0";"0";"-"
"350003";"350003";"34";"5";"2";"1251";"1132";"8";"2";"1122";"252";"38";"25";"76";"77";"3";"278";"251";"71";"51";"0";"0";"0";"-"
"350004";"350004";"34";"5";"2";"1127";"1021";"10";"2";"1009";"241";"37";"29";"41";"55";"6";"262";"232";"68";"38";"0";"0";"0";"-"
"350005";"350005";"34";"5";"2";"951";"837";"11";"1";"825";"175";"25";"28";"45";"79";"1";"158";"206";"60";"44";"4";"0";"0";"-"
"350006";"350006";"34";"5";"2";"3275";"2953";"20";"12";"2921";"805";"169";"91";"236";"181";"9";"494";"509";"269";"157";"0";"1";"0";"-"
"350008";"350008";"34";"5";"2";"2199";"1987";"17";"4";"1966";"448";"56";"55";"133";"139";"5";"536";"391";"125";"77";"0";"0";"1";"-"
"350009";"350009";"34";"5";"2";"2125";"1980";"25";"15";"1940";"444";"78";"63";"101";"170";"4";"409";"482";"104";"85";"0";"0";"0";"-"
"350011";"350011";"34";"5";"2";"1910";"1785";"12";"2";"1771";"386";"150";"71";"126";"168";"3";"175";"438";"118";"136";"0";"0";"0";"-"
"350012";"350012";"34";"5";"2";"2315";"2082";"13";"6";"2063";"508";"101";"35";"100";"121";"27";"479";"484";"110";"95";"2";"1";"0";"-"
"360001";"360001";"29";"5";"2";"640";"565";"7";"1";"557";"161";"16";"17";"17";"18";"3";"161";"121";"31";"11";"0";"1";"0";"-"
"360003";"360003";"29";"5";"2";"2065";"1676";"10";"5";"1661";"624";"25";"44";"56";"42";"3";"435";"280";"125";"27";"0";"0";"0";"-"
"360008";"360008";"29";"5";"2";"808";"660";"6";"1";"653";"193";"8";"29";"25";"20";"0";"180";"130";"53";"15";"0";"0";"0";"-"
"360011";"360011";"29";"5";"2";"1731";"1423";"16";"5";"1402";"438";"13";"73";"44";"53";"6";"399";"226";"118";"30";"1";"1";"0";"-"
"360013";"360013";"29";"5";"2";"5297";"4418";"40";"12";"4366";"1585";"71";"159";"168";"143";"16";"970";"879";"278";"96";"0";"0";"1";"-"
"360014";"360014";"29";"5";"2";"41";"38";"0";"0";"38";"6";"1";"0";"1";"0";"2";"13";"12";"1";"2";"0";"0";"0";"-"
"360019";"360019";"29";"5";"2";"2722";"2192";"16";"4";"2172";"617";"23";"71";"69";"73";"8";"620";"437";"186";"68";"0";"0";"0";"-"
"360020";"360020";"29";"5";"2";"6868";"5448";"44";"49";"5355";"2292";"60";"174";"283";"123";"12";"1327";"560";"397";"120";"7";"0";"0";"-"
"360021";"360021";"29";"5";"2";"4309";"3570";"36";"9";"3525";"1371";"50";"144";"158";"90";"7";"901";"474";"245";"84";"0";"0";"1";"-"
"360026";"360026";"29";"5";"2";"434";"353";"0";"3";"350";"133";"6";"1";"11";"9";"1";"76";"77";"29";"7";"0";"0";"0";"-"
"360027";"360027";"29";"5";"2";"362";"330";"4";"0";"326";"84";"7";"12";"12";"11";"2";"75";"64";"32";"27";"0";"0";"0";"-"
"360028";"360028";"29";"5";"2";"110";"103";"1";"0";"102";"17";"1";"8";"7";"3";"0";"19";"32";"10";"5";"0";"0";"0";"-"
"360029";"360029";"29";"5";"2";"1833";"1458";"13";"10";"1435";"461";"23";"42";"60";"42";"4";"392";"247";"115";"49";"0";"0";"0";"-"
"360035";"360035";"29";"5";"2";"2283";"1854";"14";"1";"1839";"576";"14";"63";"55";"71";"4";"520";"355";"140";"40";"1";"0";"0";"-"
"360036";"360036";"29";"5";"2";"2983";"2432";"10";"4";"2418";"771";"34";"75";"93";"78";"10";"633";"481";"194";"49";"0";"0";"0";"-"
"360037";"360037";"29";"5";"2";"1349";"980";"7";"4";"969";"350";"13";"23";"52";"26";"2";"303";"119";"65";"16";"0";"0";"0";"-"
"370001";"370001";"32";"5";"2";"3407";"2882";"29";"4";"2849";"698";"63";"72";"106";"162";"14";"890";"542";"197";"102";"1";"2";"0";"-"
"370002";"370002";"32";"5";"2";"819";"697";"7";"4";"686";"181";"9";"19";"15";"36";"2";"181";"180";"35";"27";"0";"1";"0";"-"
"370003";"370003";"32";"5";"2";"1595";"1344";"17";"7";"1320";"294";"25";"33";"43";"86";"3";"461";"246";"91";"37";"1";"0";"0";"-"
"370004";"370004";"32";"5";"2";"1888";"1712";"10";"3";"1699";"506";"36";"57";"41";"123";"7";"367";"454";"71";"37";"0";"0";"0";"-"
"370005";"370005";"32";"5";"2";"733";"664";"8";"1";"655";"170";"19";"8";"21";"47";"1";"176";"150";"39";"24";"0";"0";"0";"-"
"370006";"370006";"32";"5";"2";"1965";"1698";"18";"4";"1676";"482";"39";"37";"48";"97";"8";"466";"353";"80";"66";"0";"0";"0";"-"
"370007";"370007";"32";"5";"2";"1271";"1107";"16";"2";"1089";"301";"17";"26";"26";"65";"10";"266";"273";"56";"48";"0";"1";"0";"-"
"370008";"370008";"32";"5";"2";"3668";"3264";"23";"5";"3236";"1112";"48";"121";"85";"214";"15";"846";"541";"174";"80";"0";"0";"0";"-"
"370009";"370009";"32";"5";"2";"1090";"1001";"7";"4";"990";"321";"12";"54";"27";"69";"4";"286";"147";"43";"27";"0";"0";"0";"-"
"370010";"370010";"32";"5";"2";"1281";"1111";"5";"0";"1106";"285";"18";"34";"38";"62";"1";"328";"218";"76";"46";"0";"0";"0";"-"
"370011";"370011";"32";"5";"2";"2415";"2178";"24";"3";"2151";"709";"39";"43";"94";"132";"8";"497";"378";"156";"95";"0";"0";"0";"-"
"370012";"370012";"32";"5";"2";"420";"369";"5";"0";"364";"67";"15";"12";"8";"29";"1";"115";"79";"27";"11";"0";"0";"0";"-"
"370013";"370013";"32";"5";"2";"521";"448";"3";"1";"444";"104";"11";"9";"9";"28";"1";"142";"103";"22";"15";"0";"0";"0";"-"
"370014";"370014";"32";"5";"2";"2457";"2142";"20";"5";"2117";"659";"48";"59";"66";"112";"8";"614";"405";"113";"33";"0";"0";"0";"-"
"370020";"370020";"32";"5";"2";"3635";"3152";"23";"12";"3117";"1108";"75";"95";"105";"237";"14";"647";"581";"174";"79";"2";"0";"0";"-"
"370021";"370021";"32";"5";"2";"3079";"2452";"26";"11";"2415";"739";"70";"74";"83";"250";"10";"525";"378";"201";"84";"0";"1";"0";"-"
"370022";"370022";"32";"5";"2";"4327";"3457";"35";"14";"3408";"1259";"86";"79";"141";"197";"13";"788";"414";"308";"121";"1";"1";"0";"-"
"370023";"370023";"32";"5";"2";"4637";"3944";"32";"10";"3902";"1444";"109";"128";"146";"287";"19";"814";"573";"271";"110";"0";"0";"1";"-"
"370024";"370024";"32";"5";"2";"5050";"4325";"24";"10";"4291";"1657";"87";"134";"136";"233";"20";"986";"642";"262";"132";"1";"1";"0";"-"
"370025";"370025";"32";"5";"2";"2741";"2326";"15";"11";"2300";"882";"67";"55";"89";"124";"7";"541";"303";"178";"53";"0";"1";"0";"-"
"370026";"370026";"32";"5";"2";"2661";"2379";"15";"1";"2363";"784";"75";"96";"74";"214";"10";"433";"472";"119";"85";"1";"0";"0";"-"
"370027";"370027";"32";"5";"2";"4352";"3657";"32";"12";"3613";"1206";"80";"132";"84";"278";"23";"819";"746";"157";"87";"1";"0";"0";"-"
"370028";"370028";"32";"5";"2";"3688";"2985";"29";"13";"2943";"1125";"66";"48";"108";"151";"18";"785";"361";"223";"56";"2";"0";"0";"-"
"370029";"370029";"32";"5";"2";"655";"592";"0";"0";"592";"213";"10";"14";"16";"26";"3";"145";"114";"36";"15";"0";"0";"0";"-"
"370031";"370031";"32";"5";"2";"1482";"1273";"5";"2";"1266";"337";"24";"34";"29";"78";"7";"341";"284";"86";"46";"0";"0";"0";"-"
"370032";"370032";"32";"5";"2";"2047";"1860";"12";"5";"1843";"587";"27";"53";"52";"101";"8";"455";"420";"83";"57";"0";"0";"0";"-"
"376001";"376001";"30";"5";"2";"3725";"2835";"22";"19";"2794";"876";"80";"67";"112";"142";"15";"727";"417";"258";"96";"2";"2";"0";"-"
"376002";"376002";"30";"5";"2";"3201";"2644";"38";"6";"2600";"887";"44";"56";"101";"134";"21";"691";"332";"247";"87";"0";"0";"0";"-"
"376003";"376003";"30";"5";"2";"2874";"2379";"24";"6";"2349";"878";"46";"67";"76";"74";"17";"599";"375";"173";"43";"1";"0";"0";"-"
"376004";"376004";"30";"5";"2";"3398";"2844";"19";"12";"2813";"987";"59";"57";"103";"122";"20";"724";"447";"214";"78";"0";"2";"0";"-"
"376005";"376005";"30";"5";"2";"2096";"1877";"19";"9";"1849";"616";"65";"28";"73";"97";"8";"476";"340";"95";"51";"0";"0";"0";"-"
"376006";"376006";"30";"5";"2";"1505";"1280";"8";"1";"1271";"357";"28";"25";"51";"41";"7";"424";"206";"99";"32";"1";"0";"0";"-"
"376007";"376007";"30";"5";"2";"2665";"2369";"17";"4";"2348";"816";"60";"63";"72";"94";"14";"628";"399";"136";"63";"2";"1";"0";"-"
"376008";"376008";"30";"5";"2";"2446";"2074";"12";"9";"2053";"672";"36";"45";"53";"78";"16";"605";"362";"120";"64";"0";"1";"1";"-"
"376009";"376009";"30";"5";"2";"1405";"1189";"7";"5";"1177";"308";"23";"26";"26";"46";"1";"349";"264";"95";"39";"0";"0";"0";"-"
"376010";"376010";"30";"5";"2";"2513";"2113";"23";"9";"2081";"661";"33";"59";"71";"63";"8";"610";"374";"159";"43";"0";"0";"0";"-"
"376011";"376011";"30";"5";"2";"1808";"1528";"14";"12";"1502";"454";"25";"34";"64";"62";"2";"435";"261";"123";"42";"0";"0";"0";"-"
"376012";"376012";"30";"5";"2";"2109";"1824";"18";"9";"1797";"561";"42";"41";"53";"55";"7";"567";"297";"120";"53";"1";"0";"0";"-"
"376013";"376013";"30";"5";"2";"4598";"3742";"44";"15";"3683";"1303";"52";"103";"133";"98";"10";"972";"686";"250";"76";"0";"0";"0";"-"
"376014";"376014";"30";"5";"2";"1328";"1129";"6";"2";"1121";"318";"16";"29";"28";"38";"2";"412";"185";"71";"22";"0";"0";"0";"-"
"376015";"376015";"30";"5";"2";"947";"781";"5";"5";"771";"210";"10";"22";"29";"28";"4";"219";"177";"48";"24";"0";"0";"0";"-"
"376016";"376016";"30";"5";"2";"3056";"2572";"26";"9";"2537";"765";"51";"47";"97";"74";"19";"751";"417";"239";"77";"0";"0";"0";"-"
"376017";"376017";"30";"5";"2";"2487";"2117";"18";"4";"2095";"576";"44";"32";"63";"75";"6";"687";"355";"158";"99";"0";"0";"0";"-"
"376018";"376018";"30";"5";"2";"1577";"1384";"15";"5";"1364";"402";"21";"27";"27";"53";"4";"475";"269";"61";"25";"0";"0";"0";"-"
"376019";"376019";"30";"5";"2";"2778";"2507";"12";"10";"2485";"733";"36";"83";"56";"95";"4";"822";"496";"106";"53";"1";"0";"0";"-"
"376020";"376020";"30";"5";"2";"1177";"968";"7";"1";"960";"277";"20";"22";"31";"32";"5";"361";"101";"81";"30";"0";"0";"0";"-"
"390001";"390001";"31";"5";"2";"4326";"3561";"32";"14";"3515";"1064";"101";"109";"157";"183";"11";"855";"578";"284";"169";"1";"3";"0";"-"
"390002";"390002";"31";"5";"2";"3245";"2777";"17";"8";"2752";"973";"71";"51";"127";"99";"4";"622";"394";"255";"154";"2";"0";"0";"-"
"390003";"390003";"31";"5";"2";"2258";"2015";"14";"4";"1997";"574";"70";"67";"89";"153";"6";"413";"403";"124";"97";"1";"0";"0";"-"
"390004";"390004";"31";"5";"2";"2076";"1792";"14";"4";"1774";"559";"33";"52";"57";"77";"5";"495";"299";"143";"54";"0";"0";"0";"-"
"390005";"390005";"31";"5";"2";"930";"799";"8";"0";"791";"180";"17";"27";"22";"37";"1";"231";"207";"39";"30";"0";"0";"0";"-"
"390006";"390006";"31";"5";"2";"2950";"2484";"13";"11";"2460";"584";"43";"71";"90";"143";"8";"751";"468";"192";"110";"0";"0";"0";"-"
"390007";"390007";"31";"5";"2";"1598";"1402";"16";"3";"1383";"441";"25";"29";"33";"56";"8";"413";"271";"83";"21";"2";"1";"0";"-"
"390008";"390008";"31";"5";"2";"4441";"3778";"40";"16";"3722";"1177";"100";"86";"109";"144";"9";"828";"795";"290";"183";"1";"0";"0";"-"
"390009";"390009";"31";"5";"2";"1324";"1130";"9";"8";"1113";"303";"18";"16";"36";"60";"3";"288";"222";"99";"68";"0";"0";"0";"-"
"390010";"390010";"31";"5";"2";"1815";"1585";"13";"4";"1568";"435";"46";"25";"53";"77";"9";"306";"311";"181";"125";"0";"0";"0";"-"
"390011";"390011";"31";"5";"2";"881";"793";"3";"2";"788";"258";"17";"13";"29";"25";"2";"174";"143";"73";"53";"0";"0";"1";"-"
"390012";"390012";"31";"5";"2";"3315";"2840";"26";"15";"2799";"879";"75";"74";"116";"146";"9";"658";"491";"220";"129";"2";"0";"0";"-"
"390013";"390013";"31";"5";"2";"925";"811";"7";"1";"803";"195";"21";"12";"26";"52";"3";"198";"180";"57";"59";"0";"0";"0";"-"
"390014";"390014";"31";"5";"2";"619";"563";"3";"2";"558";"156";"13";"7";"28";"28";"1";"133";"95";"44";"52";"0";"0";"1";"-"
"390015";"390015";"31";"5";"2";"1435";"1241";"10";"2";"1229";"320";"24";"27";"42";"52";"5";"370";"258";"84";"47";"0";"0";"0";"-"
"390016";"390016";"31";"5";"2";"1698";"1475";"13";"1";"1461";"452";"30";"31";"46";"62";"2";"401";"259";"102";"76";"0";"0";"0";"-"
"390017";"390017";"31";"5";"2";"1533";"1394";"14";"2";"1378";"425";"30";"35";"41";"60";"3";"390";"268";"76";"50";"0";"0";"0";"-"
"400001";"400001";"28";"4";"1";"2811";"2328";"17";"3";"2308";"665";"27";"31";"73";"104";"37";"510";"470";"239";"152";"-";"-";"-";"-"
"400002";"400002";"28";"4";"1";"2341";"1971";"15";"12";"1944";"458";"37";"39";"61";"91";"61";"377";"439";"235";"146";"-";"-";"-";"-"
"400003";"400003";"28";"4";"1";"1695";"1472";"13";"2";"1457";"402";"46";"28";"52";"83";"41";"165";"295";"201";"144";"-";"-";"-";"-"
"400004";"400004";"28";"4";"1";"3534";"2889";"22";"18";"2849";"1004";"36";"41";"71";"105";"88";"556";"604";"214";"130";"-";"-";"-";"-"
"400005";"400005";"28";"4";"1";"1335";"1158";"9";"0";"1149";"337";"17";"13";"31";"62";"38";"267";"273";"57";"54";"-";"-";"-";"-"
"400006";"400006";"28";"4";"1";"4236";"3503";"25";"5";"3473";"1119";"59";"44";"81";"136";"164";"706";"797";"245";"122";"-";"-";"-";"-"
"400007";"400007";"27";"4";"1";"1981";"1662";"16";"5";"1641";"454";"23";"48";"35";"59";"72";"399";"370";"127";"54";"-";"-";"-";"-"
"400008";"400008";"27";"4";"1";"11179";"9283";"87";"31";"9165";"3599";"153";"166";"267";"340";"203";"1729";"1616";"677";"415";"-";"-";"-";"-"
"400009";"400009";"27";"4";"1";"2268";"1939";"23";"5";"1911";"623";"28";"30";"40";"57";"45";"446";"389";"175";"78";"-";"-";"-";"-"
"410001";"410001";"45";"6";"2";"5098";"4435";"39";"12";"4384";"1453";"148";"141";"231";"262";"14";"917";"738";"314";"166";"-";"-";"-";"-"
"410002";"410002";"45";"6";"2";"5088";"4514";"32";"14";"4468";"1593";"163";"141";"151";"284";"26";"965";"781";"239";"125";"-";"-";"-";"-"
"410003";"410003";"45";"6";"2";"3351";"3088";"14";"3";"3071";"734";"168";"157";"110";"314";"17";"562";"721";"170";"118";"-";"-";"-";"-"
"410004";"410004";"45";"6";"2";"1962";"1717";"9";"1";"1707";"505";"54";"52";"69";"115";"3";"434";"353";"83";"39";"-";"-";"-";"-"
"410005";"410005";"45";"6";"2";"1071";"930";"12";"1";"917";"228";"28";"19";"40";"68";"4";"259";"193";"43";"35";"-";"-";"-";"-"
"410006";"410006";"45";"6";"2";"2809";"2463";"39";"7";"2417";"743";"74";"58";"95";"141";"11";"575";"491";"162";"67";"-";"-";"-";"-"
"410007";"410007";"45";"6";"2";"1461";"1314";"14";"3";"1297";"296";"47";"35";"58";"88";"5";"301";"318";"74";"75";"-";"-";"-";"-"
"410008";"410008";"45";"6";"2";"2253";"1909";"17";"3";"1889";"505";"50";"57";"86";"100";"13";"511";"431";"90";"46";"-";"-";"-";"-"
"410009";"410009";"45";"6";"2";"2062";"1755";"20";"2";"1733";"479";"27";"49";"80";"87";"4";"484";"361";"99";"63";"-";"-";"-";"-"
"410010";"410010";"45";"6";"2";"1994";"1712";"16";"1";"1695";"453";"57";"42";"49";"119";"10";"443";"376";"80";"66";"-";"-";"-";"-"
