"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2011 - Stemmeberettigede";"FV2011 - Afgivne stemmer";"FV2011 - Blanke stemmer";"FV2011 - Andre ugyldige stemmer";"FV2011 - Gyldige stemmer";"FV2011 - A. Socialdemokratiet";"FV2011 - B. Radikale Venstre";"FV2011 - C. Det Konservative Folkeparti";"FV2011 - F. SF - Socialistisk Folkeparti";"FV2011 - I. Liberal Alliance";"FV2011 - K. Kristendemokraterne";"FV2011 - O. Dansk Folkeparti";"FV2011 - V. Venstre, Danmarks Liberale Parti";"FV2011 - Ø. Enhedslisten - De Rød-Grønne";"FV2011 - 1. Uden for partierne";"FV2011 - 2. Uden for partierne";"FV2011 - 3. Uden for partierne";"FV2011 - 4. Uden for partierne";"FV2011 - 5. Uden for partierne";"FV2011 - 6. Uden for partierne"
"101019";"101019";"4";"1";"1";"7650";"6745";"43";"20";"6682";"1319";"1032";"292";"844";"400";"19";"669";"1234";"866";"2";"0";"0";"2";"3";"0"
"101020";"101020";"5";"1";"1";"9812";"8432";"42";"35";"8355";"1343";"1763";"256";"1302";"349";"23";"393";"649";"2269";"2";"3";"2";"1";"0";"0"
"101021";"101021";"5";"1";"1";"12648";"10749";"70";"117";"10562";"1818";"2034";"303";"1614";"500";"25";"505";"990";"2759";"5";"6";"1";"2";"0";"0"
"101022";"101022";"5";"1";"1";"5699";"4886";"18";"29";"4839";"775";"907";"147";"714";"187";"11";"210";"352";"1529";"3";"3";"0";"0";"1";"0"
"101023";"101023";"5";"1";"1";"5050";"4471";"40";"41";"4390";"653";"952";"191";"604";"254";"11";"163";"420";"1139";"0";"3";"0";"0";"0";"0"
"101024";"101024";"5";"1";"1";"6700";"5891";"27";"18";"5846";"998";"1073";"178";"910";"231";"17";"317";"476";"1637";"5";"3";"1";"0";"0";"0"
"101025";"101025";"5";"1";"1";"9511";"8275";"49";"27";"8199";"1249";"1665";"223";"1310";"343";"11";"416";"614";"2357";"6";"1";"0";"1";"2";"1"
"101026";"101026";"5";"1";"1";"3203";"2674";"22";"12";"2640";"413";"558";"106";"367";"139";"5";"108";"247";"692";"1";"3";"0";"1";"0";"0"
"101027";"101027";"6";"1";"1";"14680";"11799";"82";"101";"11616";"2363";"1728";"484";"1652";"563";"41";"1097";"1344";"2333";"3";"4";"1";"3";"0";"0"
"101028";"101028";"6";"1";"1";"7101";"5836";"40";"28";"5768";"1347";"816";"247";"781";"262";"40";"580";"648";"1041";"3";"0";"0";"2";"1";"0"
"101029";"101029";"6";"1";"1";"3919";"3265";"21";"28";"3216";"842";"344";"136";"422";"129";"4";"402";"383";"550";"2";"2";"0";"0";"0";"0"
"101030";"101030";"6";"1";"1";"8881";"7243";"53";"45";"7145";"1415";"1057";"243";"1036";"336";"22";"596";"720";"1706";"4";"7";"1";"1";"0";"1"
"101031";"101031";"7";"1";"1";"3781";"3380";"25";"10";"3345";"688";"479";"160";"463";"183";"8";"355";"529";"479";"0";"1";"0";"0";"0";"0"
"101032";"101032";"7";"1";"1";"2360";"1730";"9";"14";"1707";"601";"122";"25";"258";"16";"5";"258";"79";"340";"2";"0";"0";"0";"1";"0"
"101033";"101033";"7";"1";"1";"3428";"3047";"21";"12";"3014";"641";"434";"164";"425";"128";"6";"303";"422";"489";"0";"1";"0";"0";"1";"0"
"101034";"101034";"7";"1";"1";"2649";"2316";"17";"7";"2292";"456";"377";"94";"353";"91";"10";"217";"295";"398";"0";"0";"0";"0";"1";"0"
"101035";"101035";"7";"1";"1";"6081";"4813";"26";"30";"4757";"1223";"524";"174";"630";"185";"17";"634";"647";"721";"1";"1";"0";"0";"0";"0"
"101036";"101036";"7";"1";"1";"7769";"6703";"40";"21";"6642";"1598";"780";"280";"880";"272";"24";"949";"1000";"853";"2";"2";"0";"1";"0";"1"
"101037";"101037";"7";"1";"1";"5001";"4284";"38";"15";"4231";"984";"551";"181";"566";"156";"17";"482";"574";"717";"0";"3";"0";"0";"0";"0"
"101038";"101038";"7";"1";"1";"3323";"2919";"17";"11";"2891";"597";"460";"169";"344";"166";"14";"272";"431";"435";"1";"2";"0";"0";"0";"0"
"101039";"101039";"7";"1";"1";"4270";"3749";"27";"15";"3707";"804";"557";"218";"473";"188";"15";"352";"593";"504";"1";"1";"0";"1";"0";"0"
"101040";"101040";"7";"1";"1";"4874";"4373";"19";"14";"4340";"841";"662";"224";"588";"266";"27";"381";"694";"650";"2";"4";"1";"0";"0";"0"
"101041";"101041";"7";"1";"1";"9858";"8596";"52";"45";"8499";"1872";"1179";"430";"1132";"400";"33";"857";"1383";"1204";"3";"4";"0";"2";"0";"0"
"101042";"101042";"8";"1";"1";"7763";"6782";"51";"44";"6687";"1486";"1020";"332";"840";"323";"25";"604";"1068";"982";"2";"2";"0";"3";"0";"0"
"101043";"101043";"8";"1";"1";"5058";"4428";"40";"20";"4368";"904";"688";"201";"548";"273";"12";"403";"710";"623";"4";"1";"0";"1";"0";"0"
"101044";"101044";"8";"1";"1";"4473";"3620";"22";"8";"3590";"1024";"369";"146";"422";"143";"8";"494";"521";"460";"0";"3";"0";"0";"0";"0"
"101045";"101045";"8";"1";"1";"3185";"2824";"25";"14";"2785";"513";"479";"115";"382";"167";"5";"212";"444";"467";"1";"0";"0";"0";"0";"0"
"101046";"101046";"8";"1";"1";"4648";"3772";"26";"16";"3730";"994";"365";"137";"515";"159";"21";"506";"513";"518";"1";"0";"0";"1";"0";"0"
"101047";"101047";"8";"1";"1";"3333";"2786";"16";"10";"2760";"636";"368";"92";"413";"91";"4";"299";"367";"489";"0";"1";"0";"0";"0";"0"
"101048";"101048";"8";"1";"1";"5624";"4873";"37";"13";"4823";"1088";"723";"255";"624";"263";"10";"446";"715";"696";"1";"1";"0";"0";"0";"1"
"101049";"101049";"9";"1";"1";"6907";"6205";"39";"40";"6126";"983";"1332";"175";"987";"256";"9";"265";"496";"1615";"3";"2";"0";"1";"1";"1"
"101050";"101050";"9";"1";"1";"7960";"7012";"42";"22";"6948";"991";"1591";"249";"1008";"383";"12";"270";"705";"1735";"0";"2";"0";"1";"1";"0"
"101051";"101051";"9";"1";"1";"8289";"6691";"54";"22";"6615";"1703";"637";"186";"919";"257";"22";"812";"684";"1390";"1";"2";"0";"1";"1";"0"
"101052";"101052";"9";"1";"1";"6045";"5392";"23";"35";"5334";"746";"1294";"211";"754";"305";"16";"206";"513";"1285";"0";"2";"0";"1";"0";"1"
"101053";"101053";"9";"1";"1";"5201";"4648";"30";"28";"4590";"793";"920";"152";"694";"188";"12";"242";"383";"1200";"1";"4";"0";"0";"0";"1"
"101054";"101054";"9";"1";"1";"6235";"5277";"29";"32";"5216";"838";"945";"313";"518";"558";"17";"321";"982";"715";"3";"4";"1";"0";"0";"1"
"147001";"147001";"10";"1";"1";"8030";"7320";"32";"32";"7256";"1107";"1562";"693";"753";"531";"15";"401";"1226";"964";"2";"2";"0";"0";"0";"0"
"147002";"147002";"10";"1";"1";"8291";"7601";"40";"18";"7543";"1132";"1584";"849";"716";"544";"16";"453";"1419";"826";"1";"1";"0";"2";"0";"0"
"147003";"147003";"10";"1";"1";"10760";"9765";"36";"23";"9706";"1487";"2069";"872";"1085";"682";"24";"569";"1658";"1257";"1";"0";"0";"0";"2";"0"
"147004";"147004";"10";"1";"1";"9856";"8874";"52";"28";"8794";"1472";"1577";"894";"908";"640";"25";"599";"1586";"1092";"1";"0";"0";"0";"0";"0"
"147005";"147005";"11";"1";"1";"9965";"8617";"51";"33";"8533";"1557";"1339";"769";"967";"582";"20";"736";"1461";"1096";"0";"4";"0";"2";"0";"0"
"147006";"147006";"11";"1";"1";"8751";"7708";"49";"47";"7612";"1392";"1103";"833";"738";"438";"25";"747";"1552";"781";"0";"2";"0";"1";"0";"0"
"147007";"147007";"11";"1";"1";"9980";"8613";"47";"22";"8544";"1455";"1593";"810";"864";"618";"25";"605";"1557";"1012";"0";"4";"0";"1";"0";"0"
"147008";"147008";"11";"1";"1";"7813";"7064";"39";"25";"7000";"1195";"1407";"565";"821";"523";"25";"425";"1167";"869";"2";"0";"1";"0";"0";"0"
"151001";"151001";"20";"2";"1";"4269";"3695";"29";"13";"3653";"1393";"196";"116";"346";"134";"12";"651";"547";"257";"1";"-";"-";"-";"-";"-"
"151002";"151002";"20";"2";"1";"6313";"5287";"48";"17";"5222";"1882";"345";"174";"530";"166";"9";"845";"802";"460";"9";"-";"-";"-";"-";"-"
"151003";"151003";"20";"2";"1";"2580";"2374";"17";"7";"2350";"685";"223";"131";"160";"124";"8";"301";"561";"151";"6";"-";"-";"-";"-";"-"
"151004";"151004";"20";"2";"1";"2804";"2394";"15";"6";"2373";"956";"130";"57";"266";"58";"4";"401";"324";"173";"4";"-";"-";"-";"-";"-"
"151005";"151005";"20";"2";"1";"3665";"3436";"23";"9";"3404";"959";"337";"220";"211";"196";"22";"390";"930";"134";"5";"-";"-";"-";"-";"-"
"151006";"151006";"20";"2";"1";"3896";"3316";"18";"8";"3290";"1415";"158";"62";"289";"84";"7";"634";"377";"259";"5";"-";"-";"-";"-";"-"
"151007";"151007";"20";"2";"1";"1678";"1502";"11";"2";"1489";"390";"163";"93";"96";"82";"19";"182";"382";"78";"4";"-";"-";"-";"-";"-"
"151008";"151008";"20";"2";"1";"3823";"3490";"24";"4";"3462";"980";"378";"224";"266";"196";"18";"397";"802";"199";"2";"-";"-";"-";"-";"-"
"151009";"151009";"20";"2";"1";"3186";"2954";"23";"10";"2921";"767";"383";"192";"180";"151";"10";"292";"740";"205";"1";"-";"-";"-";"-";"-"
"151010";"151010";"20";"2";"1";"2049";"1907";"7";"3";"1897";"523";"235";"116";"190";"92";"3";"202";"354";"180";"2";"-";"-";"-";"-";"-"
"153001";"153001";"18";"2";"1";"3263";"2958";"21";"14";"2923";"838";"239";"128";"269";"122";"3";"493";"707";"122";"2";"-";"-";"-";"-";"-"
"153002";"153002";"18";"2";"1";"3406";"2817";"18";"13";"2786";"919";"175";"87";"277";"90";"7";"542";"497";"190";"2";"-";"-";"-";"-";"-"
"153003";"153003";"18";"2";"1";"3006";"2562";"9";"11";"2542";"852";"163";"91";"297";"72";"12";"465";"427";"159";"4";"-";"-";"-";"-";"-"
"153004";"153004";"18";"2";"1";"5467";"4632";"33";"19";"4580";"1644";"302";"150";"491";"135";"11";"753";"700";"389";"5";"-";"-";"-";"-";"-"
"153005";"153005";"18";"2";"1";"8531";"7012";"41";"37";"6934";"2202";"584";"222";"750";"229";"26";"1095";"1115";"709";"2";"-";"-";"-";"-";"-"
"155001";"155001";"12";"1";"1";"3173";"2928";"8";"1";"2919";"395";"357";"337";"172";"244";"5";"294";"973";"142";"0";"0";"0";"0";"0";"0"
"155002";"155002";"12";"1";"1";"3578";"3252";"9";"2";"3241";"441";"281";"335";"192";"234";"1";"550";"1094";"112";"0";"0";"0";"1";"0";"0"
"155003";"155003";"12";"1";"1";"3217";"2905";"8";"6";"2891";"568";"285";"212";"207";"178";"7";"423";"823";"187";"0";"1";"0";"0";"0";"0"
"157001";"157001";"13";"2";"1";"5209";"4855";"13";"30";"4812";"520";"686";"862";"182";"523";"11";"289";"1535";"203";"1";"-";"-";"-";"-";"-"
"157002";"157002";"13";"2";"1";"4402";"4027";"18";"6";"4003";"725";"656";"438";"299";"244";"15";"397";"941";"285";"3";"-";"-";"-";"-";"-"
"157003";"157003";"13";"2";"1";"4885";"4362";"11";"17";"4334";"476";"751";"677";"178";"491";"8";"206";"1356";"190";"1";"-";"-";"-";"-";"-"
"157004";"157004";"13";"2";"1";"5172";"4469";"33";"33";"4403";"797";"568";"499";"319";"349";"18";"472";"1042";"336";"3";"-";"-";"-";"-";"-"
"157005";"157005";"13";"2";"1";"4875";"4529";"24";"12";"4493";"561";"776";"669";"236";"398";"9";"298";"1299";"246";"1";"-";"-";"-";"-";"-"
"157006";"157006";"13";"2";"1";"5473";"5114";"12";"21";"5081";"454";"819";"799";"209";"552";"8";"278";"1745";"215";"2";"-";"-";"-";"-";"-"
"157007";"157007";"13";"2";"1";"5842";"5368";"26";"20";"5322";"579";"825";"729";"267";"585";"16";"310";"1710";"301";"0";"-";"-";"-";"-";"-"
"157008";"157008";"13";"2";"1";"4362";"3971";"17";"7";"3947";"425";"560";"619";"179";"404";"9";"299";"1282";"167";"3";"-";"-";"-";"-";"-"
"157009";"157009";"13";"2";"1";"4955";"4583";"21";"8";"4554";"397";"605";"750";"139";"575";"9";"237";"1644";"196";"2";"-";"-";"-";"-";"-"
"157010";"157010";"13";"2";"1";"4561";"4118";"26";"8";"4084";"408";"541";"713";"134";"478";"13";"313";"1323";"160";"1";"-";"-";"-";"-";"-"
"159001";"159001";"15";"2";"1";"4830";"4210";"24";"14";"4172";"911";"581";"325";"337";"267";"18";"393";"991";"348";"1";"-";"-";"-";"-";"-"
"159002";"159002";"15";"2";"1";"3307";"2858";"19";"6";"2833";"744";"340";"160";"257";"157";"15";"328";"612";"215";"5";"-";"-";"-";"-";"-"
"159003";"159003";"15";"2";"1";"5867";"5074";"41";"19";"5014";"1357";"491";"254";"477";"224";"17";"666";"1094";"432";"2";"-";"-";"-";"-";"-"
"159004";"159004";"15";"2";"1";"2486";"2050";"15";"12";"2023";"753";"164";"40";"208";"28";"10";"362";"204";"252";"2";"-";"-";"-";"-";"-"
"159005";"159005";"15";"2";"1";"2870";"2522";"19";"3";"2500";"737";"270";"101";"250";"95";"8";"353";"412";"272";"2";"-";"-";"-";"-";"-"
"159006";"159006";"15";"2";"1";"3797";"3538";"12";"7";"3519";"797";"615";"171";"380";"150";"18";"312";"692";"384";"0";"-";"-";"-";"-";"-"
"159007";"159007";"15";"2";"1";"5954";"5266";"54";"6";"5206";"1490";"533";"239";"506";"222";"12";"760";"970";"465";"9";"-";"-";"-";"-";"-"
"159008";"159008";"15";"2";"1";"5929";"5429";"52";"6";"5371";"1249";"910";"347";"529";"315";"18";"416";"1147";"439";"1";"-";"-";"-";"-";"-"
"159009";"159009";"15";"2";"1";"3755";"3365";"29";"6";"3330";"793";"481";"189";"344";"161";"5";"353";"664";"338";"2";"-";"-";"-";"-";"-"
"159010";"159010";"15";"2";"1";"4327";"3822";"34";"14";"3774";"997";"413";"207";"360";"174";"19";"447";"851";"300";"6";"-";"-";"-";"-";"-"
"159011";"159011";"15";"2";"1";"2475";"2081";"19";"6";"2056";"501";"245";"129";"207";"97";"8";"219";"427";"222";"1";"-";"-";"-";"-";"-"
"161001";"161001";"20";"2";"1";"2279";"2081";"5";"7";"2069";"533";"186";"116";"192";"99";"5";"287";"536";"113";"2";"-";"-";"-";"-";"-"
"161002";"161002";"20";"2";"1";"2482";"2158";"17";"18";"2123";"571";"184";"134";"165";"104";"7";"333";"505";"117";"3";"-";"-";"-";"-";"-"
"161003";"161003";"20";"2";"1";"4092";"3483";"29";"11";"3443";"989";"297";"151";"277";"152";"18";"600";"706";"251";"2";"-";"-";"-";"-";"-"
"161004";"161004";"20";"2";"1";"3206";"2676";"11";"12";"2653";"989";"154";"67";"245";"73";"7";"550";"352";"212";"4";"-";"-";"-";"-";"-"
"161005";"161005";"20";"2";"1";"1415";"1334";"7";"4";"1323";"220";"119";"86";"56";"85";"2";"155";"562";"38";"0";"-";"-";"-";"-";"-"
"161006";"161006";"20";"2";"1";"2427";"2150";"19";"8";"2123";"667";"118";"85";"192";"62";"5";"379";"479";"135";"1";"-";"-";"-";"-";"-"
"163001";"163001";"16";"2";"1";"1890";"1581";"16";"11";"1554";"568";"104";"44";"155";"36";"13";"279";"219";"136";"0";"-";"-";"-";"-";"-"
"163002";"163002";"16";"2";"1";"4299";"3730";"26";"15";"3689";"1129";"333";"205";"366";"118";"27";"525";"662";"318";"6";"-";"-";"-";"-";"-"
"163003";"163003";"16";"2";"1";"4418";"3981";"24";"8";"3949";"1056";"404";"227";"390";"214";"38";"500";"800";"316";"4";"-";"-";"-";"-";"-"
"163004";"163004";"16";"2";"1";"5104";"4658";"26";"13";"4619";"1447";"384";"286";"391";"177";"40";"582";"1009";"303";"0";"-";"-";"-";"-";"-"
"163005";"163005";"16";"2";"1";"3485";"2862";"46";"15";"2801";"943";"200";"110";"334";"103";"11";"401";"406";"291";"2";"-";"-";"-";"-";"-"
"165001";"165001";"19";"2";"1";"4263";"3799";"21";"16";"3762";"1013";"328";"171";"469";"140";"14";"409";"608";"602";"8";"-";"-";"-";"-";"-"
"165002";"165002";"19";"2";"1";"3302";"3035";"18";"14";"3003";"946";"234";"144";"367";"87";"6";"384";"525";"308";"2";"-";"-";"-";"-";"-"
"165003";"165003";"19";"2";"1";"2993";"2475";"16";"20";"2439";"759";"264";"72";"379";"67";"7";"345";"257";"289";"0";"-";"-";"-";"-";"-"
"165004";"165004";"19";"2";"1";"3502";"2893";"22";"27";"2844";"971";"174";"49";"417";"59";"5";"474";"244";"451";"0";"-";"-";"-";"-";"-"
"165005";"165005";"19";"2";"1";"4113";"3607";"20";"17";"3570";"1134";"433";"111";"516";"94";"11";"372";"468";"427";"4";"-";"-";"-";"-";"-"
"167001";"167001";"17";"2";"1";"3993";"3488";"20";"2";"3466";"864";"355";"193";"362";"149";"19";"513";"690";"318";"3";"-";"-";"-";"-";"-"
"167002";"167002";"17";"2";"1";"3169";"2711";"22";"4";"2685";"772";"234";"105";"272";"124";"8";"474";"499";"196";"1";"-";"-";"-";"-";"-"
"167003";"167003";"17";"2";"1";"4343";"3667";"24";"11";"3632";"1153";"248";"96";"429";"124";"10";"638";"561";"366";"7";"-";"-";"-";"-";"-"
"167004";"167004";"17";"2";"1";"4515";"3974";"30";"3";"3941";"1197";"313";"159";"465";"112";"7";"634";"709";"342";"3";"-";"-";"-";"-";"-"
"167005";"167005";"17";"2";"1";"4936";"4390";"28";"7";"4355";"1156";"406";"217";"377";"195";"19";"657";"961";"365";"2";"-";"-";"-";"-";"-"
"167006";"167006";"17";"2";"1";"5175";"4570";"41";"10";"4519";"1454";"360";"188";"426";"162";"10";"751";"807";"360";"1";"-";"-";"-";"-";"-"
"167007";"167007";"17";"2";"1";"5296";"4654";"32";"14";"4608";"1242";"383";"211";"395";"186";"19";"764";"1129";"273";"6";"-";"-";"-";"-";"-"
"167008";"167008";"17";"2";"1";"4601";"3845";"35";"14";"3796";"1048";"321";"129";"487";"152";"14";"690";"516";"432";"7";"-";"-";"-";"-";"-"
"169001";"169001";"19";"2";"1";"2541";"1971";"10";"11";"1950";"570";"181";"103";"213";"82";"5";"286";"339";"169";"2";"-";"-";"-";"-";"-"
"169002";"169002";"19";"2";"1";"3227";"2837";"21";"10";"2806";"797";"303";"195";"180";"113";"9";"390";"636";"179";"4";"-";"-";"-";"-";"-"
"169003";"169003";"19";"2";"1";"2465";"2268";"18";"3";"2247";"572";"195";"204";"150";"100";"9";"299";"616";"101";"1";"-";"-";"-";"-";"-"
"169004";"169004";"19";"2";"1";"2166";"1844";"4";"5";"1835";"505";"170";"132";"134";"70";"7";"268";"475";"74";"0";"-";"-";"-";"-";"-"
"169005";"169005";"19";"2";"1";"1594";"1473";"7";"6";"1460";"423";"137";"98";"114";"42";"5";"199";"363";"78";"1";"-";"-";"-";"-";"-"
"169006";"169006";"19";"2";"1";"4140";"3377";"22";"18";"3337";"927";"403";"199";"329";"141";"5";"478";"639";"209";"7";"-";"-";"-";"-";"-"
"169007";"169007";"19";"2";"1";"3096";"2732";"22";"4";"2706";"868";"182";"141";"214";"87";"10";"463";"571";"166";"4";"-";"-";"-";"-";"-"
"169008";"169008";"19";"2";"1";"2730";"2332";"14";"11";"2307";"660";"202";"121";"239";"97";"6";"348";"450";"180";"4";"-";"-";"-";"-";"-"
"169009";"169009";"19";"2";"1";"1790";"1602";"13";"4";"1585";"319";"123";"120";"83";"77";"3";"238";"530";"92";"0";"-";"-";"-";"-";"-"
"169010";"169010";"19";"2";"1";"1876";"1542";"7";"9";"1526";"499";"112";"65";"147";"50";"7";"239";"314";"92";"1";"-";"-";"-";"-";"-"
"169011";"169011";"19";"2";"1";"3361";"2971";"19";"12";"2940";"777";"220";"155";"225";"146";"13";"481";"792";"129";"2";"-";"-";"-";"-";"-"
"169012";"169012";"19";"2";"1";"2974";"2764";"17";"11";"2736";"697";"231";"221";"176";"116";"9";"393";"780";"110";"3";"-";"-";"-";"-";"-"
"169013";"169013";"19";"2";"1";"620";"569";"3";"1";"565";"114";"61";"44";"36";"29";"1";"89";"162";"28";"1";"-";"-";"-";"-";"-"
"173001";"173001";"14";"2";"1";"4765";"4181";"22";"12";"4147";"783";"605";"363";"325";"304";"11";"411";"1070";"274";"1";"-";"-";"-";"-";"-"
"173002";"173002";"14";"2";"1";"4354";"3801";"29";"8";"3764";"922";"449";"250";"368";"206";"14";"498";"765";"290";"2";"-";"-";"-";"-";"-"
"173003";"173003";"14";"2";"1";"4576";"4121";"36";"19";"4066";"650";"589";"355";"356";"404";"13";"343";"1077";"277";"2";"-";"-";"-";"-";"-"
"173004";"173004";"14";"2";"1";"4642";"4228";"33";"10";"4185";"653";"651";"404";"321";"329";"12";"341";"1225";"246";"3";"-";"-";"-";"-";"-"
"173005";"173005";"14";"2";"1";"1088";"1022";"4";"1";"1017";"157";"181";"106";"68";"109";"1";"57";"268";"69";"1";"-";"-";"-";"-";"-"
"173006";"173006";"14";"2";"1";"4704";"4388";"20";"8";"4360";"554";"792";"537";"230";"425";"17";"198";"1453";"153";"1";"-";"-";"-";"-";"-"
"173007";"173007";"14";"2";"1";"3495";"3257";"11";"5";"3241";"600";"580";"341";"232";"234";"9";"222";"862";"159";"2";"-";"-";"-";"-";"-"
"173008";"173008";"14";"2";"1";"3892";"3476";"28";"5";"3443";"684";"517";"329";"293";"209";"13";"318";"880";"200";"0";"-";"-";"-";"-";"-"
"173009";"173009";"14";"2";"1";"2123";"2011";"7";"3";"2001";"348";"426";"194";"160";"128";"4";"117";"512";"110";"2";"-";"-";"-";"-";"-"
"173010";"173010";"14";"2";"1";"4404";"3924";"22";"22";"3880";"790";"630";"396";"387";"243";"9";"310";"877";"237";"1";"-";"-";"-";"-";"-"
"175001";"175001";"16";"2";"1";"3076";"2734";"24";"6";"2704";"754";"287";"142";"263";"102";"9";"367";"582";"197";"1";"-";"-";"-";"-";"-"
"175002";"175002";"16";"2";"1";"1442";"1186";"7";"4";"1175";"504";"73";"22";"124";"15";"2";"187";"108";"139";"1";"-";"-";"-";"-";"-"
"175003";"175003";"16";"2";"1";"4237";"3618";"19";"7";"3592";"1048";"397";"173";"349";"166";"15";"446";"690";"306";"2";"-";"-";"-";"-";"-"
"175004";"175004";"16";"2";"1";"3720";"3115";"28";"8";"3079";"1038";"234";"87";"375";"68";"7";"491";"457";"317";"5";"-";"-";"-";"-";"-"
"175005";"175005";"16";"2";"1";"2615";"2206";"16";"5";"2185";"794";"152";"84";"243";"69";"7";"357";"304";"171";"4";"-";"-";"-";"-";"-"
"175006";"175006";"16";"2";"1";"3540";"3179";"19";"14";"3146";"886";"309";"176";"278";"144";"20";"391";"727";"215";"0";"-";"-";"-";"-";"-"
"175007";"175007";"16";"2";"1";"2728";"2400";"15";"7";"2378";"828";"186";"67";"237";"101";"12";"347";"432";"167";"1";"-";"-";"-";"-";"-"
"175008";"175008";"16";"2";"1";"4018";"3612";"32";"8";"3572";"1022";"311";"199";"289";"144";"17";"596";"748";"244";"2";"-";"-";"-";"-";"-"
"175009";"175009";"16";"2";"1";"1349";"1162";"9";"2";"1151";"396";"104";"62";"103";"29";"4";"180";"164";"106";"3";"-";"-";"-";"-";"-"
"183001";"183001";"18";"2";"1";"1174";"1080";"9";"6";"1065";"225";"89";"68";"71";"60";"4";"154";"335";"59";"0";"-";"-";"-";"-";"-"
"183002";"183002";"18";"2";"1";"2641";"2339";"16";"9";"2314";"739";"163";"84";"208";"86";"2";"384";"491";"155";"2";"-";"-";"-";"-";"-"
