"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2015 - Personlige stemmer i alt";"FV2015 - A - personlige stemmer i alt";"FV2015 - B - personlige stemmer i alt";"FV2015 - C - personlige stemmer i alt";"FV2015 - F - personlige stemmer i alt";"FV2015 - I - personlige stemmer i alt";"FV2015 - K - personlige stemmer i alt";"FV2015 - O - personlige stemmer i alt";"FV2015 - V - personlige stemmer i alt";"FV2015 - Ø - personlige stemmer i alt";"FV2015 - Å - personlige stemmer i alt";"FV2015 - A-01";"FV2015 - A-02";"FV2015 - A-03";"FV2015 - A-04";"FV2015 - A-05";"FV2015 - A-06";"FV2015 - A-07";"FV2015 - A-08";"FV2015 - A-09";"FV2015 - A-10";"FV2015 - A-11";"FV2015 - A-12";"FV2015 - A-13";"FV2015 - B-01";"FV2015 - B-02";"FV2015 - B-03";"FV2015 - B-04";"FV2015 - B-05";"FV2015 - B-06";"FV2015 - B-07";"FV2015 - B-08";"FV2015 - B-09";"FV2015 - B-10";"FV2015 - B-11";"FV2015 - B-12";"FV2015 - C-01";"FV2015 - C-02";"FV2015 - C-03";"FV2015 - C-04";"FV2015 - C-05";"FV2015 - C-06";"FV2015 - C-07";"FV2015 - C-08";"FV2015 - C-09";"FV2015 - F-01";"FV2015 - F-02";"FV2015 - F-03";"FV2015 - F-04";"FV2015 - F-05";"FV2015 - F-06";"FV2015 - F-07";"FV2015 - F-08";"FV2015 - F-09";"FV2015 - F-10";"FV2015 - F-11";"FV2015 - F-12";"FV2015 - F-13";"FV2015 - I-01";"FV2015 - I-02";"FV2015 - I-03";"FV2015 - I-04";"FV2015 - I-05";"FV2015 - I-06";"FV2015 - I-07";"FV2015 - I-08";"FV2015 - I-09";"FV2015 - I-10";"FV2015 - I-11";"FV2015 - K-01";"FV2015 - K-02";"FV2015 - K-03";"FV2015 - K-04";"FV2015 - K-05";"FV2015 - K-06";"FV2015 - K-07";"FV2015 - K-08";"FV2015 - K-09";"FV2015 - K-10";"FV2015 - K-11";"FV2015 - O-01";"FV2015 - O-02";"FV2015 - O-03";"FV2015 - O-04";"FV2015 - O-05";"FV2015 - O-06";"FV2015 - O-07";"FV2015 - O-08";"FV2015 - O-09";"FV2015 - O-10";"FV2015 - O-11";"FV2015 - O-12";"FV2015 - O-13";"FV2015 - V-01";"FV2015 - V-02";"FV2015 - V-03";"FV2015 - V-04";"FV2015 - V-05";"FV2015 - V-06";"FV2015 - V-07";"FV2015 - V-08";"FV2015 - V-09";"FV2015 - V-10";"FV2015 - V-11";"FV2015 - V-12";"FV2015 - V-13";"FV2015 - Ø-01";"FV2015 - Ø-02";"FV2015 - Ø-03";"FV2015 - Ø-04";"FV2015 - Ø-05";"FV2015 - Ø-06";"FV2015 - Ø-07";"FV2015 - Ø-08";"FV2015 - Ø-09";"FV2015 - Ø-10";"FV2015 - Ø-11";"FV2015 - Ø-12";"FV2015 - Å-01";"FV2015 - Å-02";"FV2015 - Å-03";"FV2015 - Å-04";"FV2015 - Å-05";"FV2015 - Å-06";"FV2015 - Å-07";"FV2015 - Å-08";"FV2015 - Å-09";"FV2015 - Å-10";"FV2015 - Å-11";"FV2015 - Å-12";"FV2015 - Å-13"
"101012";"101012";"3";"1";"1";"3183";"840";"406";"129";"271";"217";"2";"155";"288";"541";"334";"51";"62";"5";"6";"4";"1";"18";"31";"1";"7";"652";"2";"-";"3";"23";"191";"1";"6";"17";"2";"12";"22";"124";"4";"1";"13";"43";"42";"25";"6";"-";"-";"-";"-";"12";"3";"3";"102";"1";"136";"5";"2";"3";"3";"0";"1";"-";"146";"11";"6";"4";"0";"8";"38";"4";"-";"-";"-";"1";"0";"1";"0";"-";"-";"-";"-";"-";"-";"-";"19";"3";"0";"1";"2";"0";"4";"3";"25";"92";"3";"3";"-";"28";"5";"0";"13";"27";"6";"0";"177";"4";"0";"27";"1";"-";"8";"463";"9";"23";"14";"11";"1";"6";"1";"1";"2";"2";"279";"11";"5";"9";"0";"4";"4";"2";"13";"1";"4";"2";"-"
"101013";"101013";"3";"1";"1";"4519";"1027";"478";"71";"387";"214";"2";"178";"291";"1194";"677";"95";"79";"7";"6";"6";"0";"32";"28";"2";"20";"748";"4";"-";"4";"31";"226";"2";"7";"25";"2";"30";"19";"124";"2";"6";"11";"26";"16";"15";"3";"-";"-";"-";"-";"11";"4";"8";"154";"1";"191";"0";"10";"4";"1";"1";"2";"-";"136";"10";"5";"4";"6";"8";"33";"12";"-";"-";"-";"1";"0";"1";"0";"-";"-";"-";"-";"-";"-";"-";"12";"2";"4";"2";"1";"4";"6";"2";"32";"109";"2";"2";"-";"34";"5";"1";"13";"17";"5";"4";"191";"4";"3";"14";"0";"-";"16";"912";"27";"74";"33";"109";"2";"8";"0";"2";"8";"3";"547";"24";"8";"17";"2";"2";"5";"3";"21";"12";"25";"11";"-"
"101014";"101014";"3";"1";"1";"5047";"1259";"622";"231";"351";"432";"4";"250";"566";"796";"536";"62";"74";"1";"9";"9";"0";"30";"35";"5";"15";"1015";"4";"-";"6";"39";"302";"4";"10";"16";"3";"20";"30";"183";"5";"4";"30";"73";"65";"55";"8";"-";"-";"-";"-";"10";"5";"7";"112";"0";"201";"1";"4";"3";"0";"0";"8";"-";"277";"28";"4";"8";"8";"28";"52";"27";"-";"-";"-";"1";"0";"1";"2";"-";"-";"-";"-";"-";"-";"-";"26";"16";"6";"3";"1";"2";"11";"9";"23";"145";"7";"1";"-";"67";"7";"1";"23";"67";"16";"2";"360";"4";"1";"17";"1";"-";"5";"648";"17";"71";"18";"24";"1";"2";"4";"0";"4";"2";"439";"15";"2";"20";"4";"5";"3";"1";"26";"4";"12";"5";"-"
"101016";"101016";"4";"1";"1";"3348";"889";"280";"69";"318";"136";"2";"364";"191";"761";"338";"76";"61";"1";"7";"22";"0";"22";"45";"7";"5";"643";"0";"-";"2";"20";"135";"0";"10";"7";"0";"9";"9";"76";"5";"7";"14";"21";"17";"16";"1";"-";"-";"-";"-";"7";"7";"6";"105";"1";"165";"3";"14";"3";"4";"3";"0";"-";"73";"11";"4";"5";"0";"7";"32";"4";"-";"-";"-";"1";"0";"0";"1";"-";"-";"-";"-";"-";"-";"-";"64";"4";"9";"12";"3";"19";"1";"5";"50";"182";"7";"8";"-";"43";"4";"9";"15";"22";"9";"4";"78";"2";"0";"5";"0";"-";"14";"669";"18";"18";"19";"5";"3";"6";"7";"0";"2";"0";"265";"11";"5";"13";"3";"2";"5";"3";"10";"1";"11";"9";"-"
"101017";"101017";"4";"1";"1";"5925";"1431";"546";"124";"470";"285";"9";"513";"382";"1439";"726";"142";"115";"8";"7";"58";"1";"33";"71";"12";"11";"966";"7";"-";"17";"54";"210";"3";"25";"19";"2";"34";"22";"131";"22";"7";"35";"34";"26";"21";"8";"-";"-";"-";"-";"16";"10";"7";"157";"8";"238";"3";"20";"4";"2";"3";"2";"-";"159";"20";"3";"7";"7";"15";"58";"16";"-";"-";"-";"4";"2";"1";"2";"-";"-";"-";"-";"-";"-";"-";"69";"3";"18";"9";"7";"26";"5";"4";"58";"283";"15";"16";"-";"58";"5";"5";"41";"52";"23";"8";"164";"7";"4";"15";"0";"-";"31";"1233";"26";"46";"38";"17";"3";"6";"32";"2";"3";"2";"528";"25";"16";"44";"9";"5";"9";"6";"35";"6";"13";"30";"-"
"101018";"101018";"4";"1";"1";"3400";"923";"262";"82";"293";"160";"10";"428";"240";"703";"299";"118";"54";"10";"6";"25";"2";"22";"52";"7";"6";"617";"4";"-";"4";"20";"123";"2";"7";"4";"2";"7";"7";"80";"5";"1";"13";"27";"23";"18";"1";"-";"-";"-";"-";"6";"0";"1";"90";"2";"169";"1";"17";"3";"0";"2";"2";"-";"83";"12";"3";"8";"9";"9";"29";"7";"-";"-";"-";"1";"1";"7";"1";"-";"-";"-";"-";"-";"-";"-";"70";"5";"12";"12";"6";"35";"4";"10";"40";"214";"10";"10";"-";"51";"5";"6";"25";"26";"8";"4";"105";"1";"3";"6";"0";"-";"9";"623";"15";"20";"13";"9";"0";"1";"8";"2";"2";"1";"234";"13";"3";"10";"4";"3";"3";"1";"8";"4";"12";"4";"-"
"101019";"101019";"4";"1";"1";"3885";"1060";"378";"102";"348";"232";"8";"385";"342";"671";"359";"119";"78";"10";"9";"27";"2";"17";"48";"11";"5";"733";"1";"-";"9";"24";"162";"0";"10";"10";"1";"14";"16";"119";"11";"2";"18";"37";"28";"15";"4";"-";"-";"-";"-";"8";"3";"4";"98";"3";"209";"3";"11";"4";"1";"1";"3";"-";"132";"17";"4";"5";"2";"5";"50";"17";"-";"-";"-";"2";"2";"0";"4";"-";"-";"-";"-";"-";"-";"-";"48";"2";"14";"8";"1";"19";"4";"5";"48";"222";"7";"7";"-";"74";"6";"0";"41";"35";"18";"0";"159";"0";"1";"8";"0";"-";"15";"580";"14";"28";"11";"5";"1";"4";"9";"1";"2";"1";"276";"11";"3";"17";"2";"3";"2";"2";"12";"6";"17";"8";"-"
"101020";"101020";"5";"1";"1";"4689";"886";"540";"69";"429";"152";"13";"177";"143";"1528";"752";"71";"78";"4";"5";"22";"2";"39";"42";"6";"4";"609";"4";"-";"6";"50";"288";"5";"13";"15";"1";"16";"12";"111";"8";"15";"23";"16";"10";"19";"1";"-";"-";"-";"-";"29";"11";"11";"149";"5";"202";"2";"12";"4";"4";"0";"0";"-";"86";"7";"1";"3";"2";"6";"35";"12";"-";"-";"-";"4";"3";"5";"1";"-";"-";"-";"-";"-";"-";"-";"35";"6";"8";"3";"2";"3";"1";"4";"8";"96";"8";"3";"-";"16";"4";"3";"7";"21";"4";"1";"71";"3";"0";"12";"1";"-";"38";"1232";"26";"116";"66";"16";"5";"10";"8";"2";"5";"4";"534";"25";"16";"40";"8";"8";"11";"6";"49";"2";"25";"28";"-"
"101021";"101021";"5";"1";"1";"5827";"1103";"624";"64";"506";"185";"6";"209";"211";"1986";"933";"94";"111";"5";"3";"34";"1";"73";"41";"7";"2";"725";"7";"-";"20";"76";"238";"10";"10";"28";"3";"17";"15";"174";"19";"14";"12";"22";"10";"16";"4";"-";"-";"-";"-";"25";"11";"13";"194";"7";"226";"7";"6";"6";"5";"5";"1";"-";"110";"14";"3";"2";"5";"7";"30";"14";"-";"-";"-";"5";"1";"0";"0";"-";"-";"-";"-";"-";"-";"-";"30";"1";"3";"8";"4";"3";"2";"6";"10";"134";"5";"3";"-";"33";"6";"5";"10";"38";"11";"4";"85";"3";"2";"11";"3";"-";"43";"1642";"36";"135";"71";"20";"7";"14";"7";"1";"5";"5";"665";"64";"18";"58";"10";"6";"16";"5";"43";"3";"19";"26";"-"
"101022";"101022";"5";"1";"1";"2844";"511";"297";"43";"252";"79";"5";"97";"112";"1028";"420";"43";"42";"4";"1";"8";"0";"30";"17";"0";"5";"360";"1";"-";"2";"21";"155";"0";"7";"11";"1";"17";"8";"73";"1";"1";"7";"9";"7";"14";"6";"-";"-";"-";"-";"7";"5";"6";"81";"4";"137";"4";"3";"0";"0";"2";"3";"-";"47";"6";"3";"2";"3";"4";"11";"3";"-";"-";"-";"3";"1";"1";"0";"-";"-";"-";"-";"-";"-";"-";"17";"1";"3";"0";"2";"1";"0";"5";"9";"56";"3";"0";"-";"12";"4";"1";"2";"25";"3";"2";"55";"0";"1";"6";"1";"-";"20";"828";"29";"68";"59";"8";"3";"4";"4";"1";"3";"1";"318";"19";"6";"21";"5";"2";"5";"3";"13";"6";"14";"8";"-"
"101023";"101023";"5";"1";"1";"2539";"516";"367";"32";"190";"122";"2";"61";"98";"712";"439";"47";"47";"6";"1";"12";"0";"25";"21";"2";"4";"342";"9";"-";"7";"45";"154";"2";"8";"11";"2";"17";"10";"105";"2";"4";"4";"11";"5";"10";"2";"-";"-";"-";"-";"14";"0";"6";"60";"2";"100";"2";"2";"1";"1";"1";"1";"-";"75";"7";"1";"0";"2";"5";"23";"9";"-";"-";"-";"0";"0";"1";"1";"-";"-";"-";"-";"-";"-";"-";"7";"0";"2";"3";"0";"1";"1";"6";"2";"37";"2";"0";"-";"11";"3";"2";"4";"7";"3";"5";"57";"0";"0";"6";"0";"-";"14";"583";"10";"60";"22";"12";"4";"2";"2";"0";"1";"2";"325";"13";"8";"21";"4";"3";"7";"3";"22";"3";"18";"12";"-"
"101024";"101024";"5";"1";"1";"3308";"643";"377";"19";"317";"91";"4";"155";"101";"1096";"505";"47";"68";"3";"7";"12";"0";"34";"39";"2";"0";"428";"3";"-";"3";"33";"176";"11";"5";"9";"0";"15";"13";"102";"1";"9";"3";"8";"2";"6";"0";"-";"-";"-";"-";"15";"8";"6";"107";"6";"157";"1";"7";"5";"1";"3";"1";"-";"44";"10";"1";"1";"3";"5";"21";"6";"-";"-";"-";"4";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"15";"2";"5";"3";"0";"0";"1";"11";"6";"106";"6";"0";"-";"13";"2";"1";"7";"21";"5";"0";"47";"0";"0";"5";"0";"-";"32";"897";"26";"80";"32";"14";"2";"5";"2";"0";"1";"5";"382";"14";"9";"22";"9";"6";"8";"2";"25";"3";"16";"9";"-"
"101025";"101025";"5";"1";"1";"4512";"814";"486";"54";"377";"156";"2";"182";"138";"1488";"815";"52";"113";"7";"4";"27";"0";"41";"37";"1";"5";"522";"5";"-";"4";"38";"238";"4";"14";"15";"3";"23";"12";"125";"5";"5";"12";"15";"11";"16";"0";"-";"-";"-";"-";"18";"14";"10";"136";"2";"173";"1";"14";"4";"2";"0";"3";"-";"88";"20";"2";"2";"6";"4";"24";"10";"-";"-";"-";"0";"0";"2";"0";"-";"-";"-";"-";"-";"-";"-";"17";"5";"2";"7";"0";"4";"2";"13";"5";"121";"4";"2";"-";"20";"3";"0";"2";"22";"5";"5";"69";"0";"1";"10";"1";"-";"40";"1183";"25";"126";"67";"22";"3";"8";"4";"1";"2";"7";"599";"46";"9";"53";"5";"2";"14";"13";"33";"7";"25";"9";"-"
"101026";"101026";"5";"1";"1";"1361";"261";"152";"18";"121";"59";"0";"43";"52";"421";"234";"24";"22";"2";"1";"0";"0";"11";"10";"3";"3";"180";"5";"-";"1";"14";"77";"0";"5";"3";"1";"5";"2";"41";"0";"3";"4";"6";"6";"2";"0";"-";"-";"-";"-";"6";"3";"2";"34";"2";"69";"0";"2";"0";"1";"2";"0";"-";"31";"7";"1";"1";"2";"8";"3";"6";"-";"-";"-";"0";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"3";"1";"1";"1";"0";"0";"0";"2";"3";"30";"2";"0";"-";"6";"3";"0";"2";"9";"3";"1";"22";"1";"0";"3";"2";"-";"5";"343";"6";"38";"15";"3";"2";"5";"1";"1";"2";"0";"180";"9";"4";"11";"1";"0";"5";"1";"11";"3";"4";"5";"-"
"101027";"101027";"6";"1";"1";"5818";"1387";"473";"113";"463";"234";"23";"439";"273";"1759";"654";"116";"151";"20";"14";"46";"2";"45";"51";"9";"8";"918";"7";"-";"3";"73";"201";"7";"8";"12";"3";"8";"13";"133";"5";"7";"14";"38";"29";"28";"4";"-";"-";"-";"-";"24";"7";"7";"188";"0";"206";"6";"7";"3";"8";"0";"7";"-";"134";"9";"4";"1";"12";"14";"41";"19";"-";"-";"-";"4";"3";"10";"6";"-";"-";"-";"-";"-";"-";"-";"64";"5";"18";"8";"4";"10";"4";"7";"19";"265";"17";"18";"-";"28";"3";"8";"16";"48";"12";"15";"125";"3";"2";"10";"3";"-";"33";"1496";"31";"66";"62";"17";"5";"32";"7";"2";"4";"4";"457";"31";"9";"51";"5";"5";"14";"5";"31";"7";"25";"14";"-"
"101028";"101028";"6";"1";"1";"3048";"850";"241";"55";"298";"113";"13";"317";"158";"712";"291";"48";"43";"9";"4";"19";"0";"32";"35";"6";"5";"645";"4";"-";"2";"24";"113";"3";"2";"6";"2";"12";"4";"65";"3";"5";"10";"23";"8";"11";"3";"-";"-";"-";"-";"14";"3";"2";"118";"1";"147";"1";"4";"1";"5";"0";"2";"-";"63";"10";"2";"6";"1";"2";"18";"11";"-";"-";"-";"2";"0";"5";"6";"-";"-";"-";"-";"-";"-";"-";"31";"3";"9";"8";"2";"6";"5";"2";"21";"203";"6";"21";"-";"18";"6";"1";"7";"18";"3";"9";"85";"3";"0";"7";"1";"-";"11";"592";"24";"35";"18";"7";"3";"17";"2";"0";"1";"2";"232";"11";"4";"14";"3";"2";"4";"2";"10";"1";"5";"3";"-"
