"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1998 - Stemmeberettigede";"FV1998 - Afgivne stemmer";"FV1998 - Blanke stemmer";"FV1998 - Andre ugyldige stemmer";"FV1998 - Gyldige stemmer";"FV1998 - A. Socialdemokratiet";"FV1998 - B. Det Radikale Venstre";"FV1998 - C. Det Konservative Folkeparti";"FV1998 - D. Centrum-Demokraterne";"FV1998 - F. Socialistisk Folkeparti";"FV1998 - O. Dansk Folkeparti";"FV1998 - Q. Kristeligt Folkeparti";"FV1998 - U. Demokratisk Fornyelse";"FV1998 - V. Venstre, Danmarks Liberale Parti";"FV1998 - Z. Fremskridtspartiet";"FV1998 - Ø. Enhedslisten - De Rød-Grønne";"FV1998 - 1. Uden for partierne";"FV1998 - 2. Uden for partierne";"FV1998 - 3. Uden for partierne"
"101046";"101046";"16";"3";"1";"2907";"2280";"14";"5";"2261";"961";"140";"144";"65";"281";"191";"42";"10";"233";"47";"147";"-";"-";"-"
"101048";"101048";"16";"3";"1";"5186";"4254";"23";"11";"4220";"1404";"333";"185";"122";"745";"294";"44";"13";"342";"30";"708";"-";"-";"-"
"101050";"101050";"16";"3";"1";"3995";"3219";"19";"10";"3190";"1355";"142";"173";"107";"403";"300";"50";"12";"348";"44";"256";"-";"-";"-"
"101052";"101052";"12";"2";"1";"15036";"11542";"61";"46";"11435";"4816";"449";"729";"360";"1322";"1230";"181";"53";"1371";"188";"736";"-";"-";"-"
"101054";"101054";"12";"2";"1";"4488";"3715";"20";"16";"3679";"1319";"200";"326";"149";"447";"310";"81";"10";"533";"52";"252";"-";"-";"-"
"101056";"101056";"8";"2";"1";"4456";"3792";"21";"6";"3765";"1431";"192";"246";"164";"522";"363";"50";"18";"420";"55";"304";"-";"-";"-"
"101058";"101058";"8";"2";"1";"6622";"5310";"15";"42";"5253";"2299";"189";"319";"184";"648";"601";"68";"25";"558";"74";"288";"-";"-";"-"
"101060";"101060";"13";"2";"1";"5211";"4433";"23";"10";"4400";"1697";"199";"315";"162";"533";"459";"58";"11";"591";"76";"299";"-";"-";"-"
"101062";"101062";"8";"2";"1";"8237";"6998";"31";"17";"6950";"2819";"259";"474";"271";"870";"802";"93";"27";"817";"128";"390";"-";"-";"-"
"101064";"101064";"13";"2";"1";"11014";"9297";"56";"23";"9218";"3358";"535";"790";"365";"1030";"830";"183";"38";"1459";"119";"511";"-";"-";"-"
"101066";"101066";"13";"2";"1";"4724";"3972";"26";"13";"3933";"1406";"229";"351";"196";"431";"318";"92";"16";"612";"53";"229";"-";"-";"-"
"101068";"101068";"6";"2";"1";"9429";"7853";"45";"24";"7784";"2590";"475";"692";"310";"1027";"533";"138";"24";"1361";"76";"558";"-";"-";"-"
"101070";"101070";"6";"2";"1";"4049";"3382";"18";"7";"3357";"1524";"123";"188";"114";"370";"323";"44";"17";"377";"47";"230";"-";"-";"-"
"101072";"101072";"6";"2";"1";"16513";"13372";"60";"32";"13280";"4590";"926";"1091";"508";"1678";"1027";"253";"46";"2095";"177";"889";"-";"-";"-"
"101074";"101074";"3";"1";"1";"8664";"6871";"40";"24";"6807";"2846";"262";"441";"235";"784";"666";"101";"29";"943";"96";"404";"-";"-";"-"
"101076";"101076";"3";"1";"1";"4237";"3549";"19";"13";"3517";"1383";"128";"251";"125";"378";"337";"70";"9";"579";"62";"195";"-";"-";"-"
"101078";"101078";"3";"1";"1";"13637";"10635";"40";"42";"10553";"4618";"399";"606";"313";"1233";"1105";"149";"35";"1305";"163";"627";"-";"-";"-"
"101080";"101080";"14";"3";"1";"6777";"5733";"40";"17";"5676";"2108";"280";"424";"248";"720";"506";"79";"15";"798";"66";"432";"-";"-";"-"
"101082";"101082";"14";"3";"1";"4946";"3941";"29";"17";"3895";"1652";"171";"274";"133";"458";"314";"31";"16";"517";"53";"276";"-";"-";"-"
"101084";"101084";"14";"3";"1";"5062";"4181";"13";"17";"4151";"2006";"112";"250";"105";"388";"494";"35";"17";"499";"80";"165";"-";"-";"-"
"101086";"101086";"9";"2";"1";"5824";"4870";"34";"19";"4817";"1269";"362";"635";"262";"474";"370";"98";"18";"1000";"70";"259";"-";"-";"-"
"101088";"101088";"14";"3";"1";"4468";"3714";"34";"13";"3667";"1414";"161";"276";"136";"430";"322";"60";"9";"586";"48";"225";"-";"-";"-"
"101090";"101090";"10";"2";"1";"8963";"7260";"53";"22";"7185";"2300";"534";"521";"288";"1091";"528";"106";"26";"996";"76";"719";"-";"-";"-"
"101092";"101092";"11";"2";"1";"2014";"1790";"10";"8";"1772";"672";"93";"154";"61";"240";"142";"41";"10";"219";"19";"121";"-";"-";"-"
"101094";"101094";"16";"3";"1";"8545";"6605";"37";"56";"6512";"2953";"216";"283";"138";"843";"715";"51";"29";"615";"123";"546";"-";"-";"-"
"101096";"101096";"13";"2";"1";"3441";"2857";"15";"7";"2835";"1027";"143";"264";"131";"329";"244";"51";"10";"418";"37";"181";"-";"-";"-"
"101098";"101098";"13";"2";"1";"4447";"3866";"24";"8";"3834";"1336";"183";"323";"174";"508";"333";"72";"10";"583";"61";"251";"-";"-";"-"
"147001";"147001";"17";"3";"1";"8051";"7015";"39";"21";"6955";"1734";"635";"1172";"351";"759";"339";"103";"21";"1300";"65";"476";"-";"-";"-"
"147002";"147002";"17";"3";"1";"8301";"7241";"37";"14";"7190";"1749";"638";"1370";"334";"741";"423";"97";"17";"1370";"67";"384";"-";"-";"-"
"147003";"147003";"18";"3";"1";"9148";"7653";"34";"18";"7601";"2416";"506";"1177";"279";"734";"643";"103";"19";"1252";"85";"387";"-";"-";"-"
"147004";"147004";"18";"3";"1";"8840";"7484";"38";"23";"7423";"2099";"417";"1614";"320";"555";"608";"146";"24";"1296";"86";"258";"-";"-";"-"
"147005";"147005";"18";"3";"1";"9262";"7654";"45";"15";"7594";"2110";"622";"1247";"342";"798";"481";"135";"26";"1417";"71";"345";"-";"-";"-"
"147006";"147006";"18";"3";"1";"8088";"6984";"29";"10";"6945";"2044";"561";"893";"301";"837";"430";"163";"14";"1241";"57";"404";"-";"-";"-"
"147007";"147007";"19";"3";"1";"10986";"9448";"54";"9";"9385";"2531";"833";"1376";"442";"1026";"549";"159";"27";"1807";"89";"546";"-";"-";"-"
"147008";"147008";"19";"3";"1";"9791";"8447";"30";"33";"8384";"2301";"709";"1364";"394";"792";"559";"135";"19";"1603";"94";"414";"-";"-";"-"
"151001";"151001";"22";"4";"2";"4387";"3822";"28";"5";"3789";"1888";"100";"187";"127";"330";"436";"29";"12";"540";"56";"77";"0";"7";"0"
"151002";"151002";"22";"4";"2";"6789";"5675";"28";"10";"5637";"2611";"121";"332";"196";"564";"702";"66";"18";"752";"92";"160";"0";"22";"1"
"151003";"151003";"22";"4";"2";"2316";"2109";"10";"2";"2097";"745";"84";"208";"132";"175";"238";"34";"5";"379";"29";"63";"0";"5";"0"
"151004";"151004";"22";"4";"2";"2873";"2427";"6";"9";"2412";"1215";"55";"95";"66";"251";"319";"14";"6";"287";"33";"56";"0";"15";"0"
"151005";"151005";"22";"4";"2";"3676";"3428";"21";"3";"3404";"1250";"135";"301";"237";"281";"330";"48";"4";"692";"51";"68";"1";"6";"0"
"151006";"151006";"22";"4";"2";"4238";"3654";"19";"4";"3631";"1936";"75";"136";"116";"438";"407";"13";"17";"324";"44";"114";"0";"11";"0"
"151007";"151007";"22";"4";"2";"1545";"1432";"12";"3";"1417";"527";"44";"162";"85";"113";"140";"35";"3";"254";"19";"34";"0";"1";"0"
"151009";"151009";"22";"4";"2";"3292";"3001";"19";"5";"2977";"919";"138";"346";"249";"249";"232";"43";"13";"648";"40";"91";"0";"9";"0"
"151109";"151109";"22";"4";"2";"4616";"4105";"15";"5";"4085";"1379";"176";"346";"237";"510";"401";"55";"18";"760";"53";"142";"0";"8";"0"
"153001";"153001";"26";"4";"2";"3383";"3039";"8";"6";"3025";"1264";"70";"279";"147";"257";"310";"37";"8";"536";"48";"60";"0";"9";"0"
"153002";"153002";"26";"4";"2";"3497";"2892";"7";"10";"2875";"1344";"68";"202";"128";"277";"314";"19";"8";"402";"29";"72";"0";"12";"0"
"153003";"153003";"26";"4";"2";"3214";"2776";"16";"10";"2750";"1275";"90";"161";"130";"243";"276";"39";"11";"395";"39";"81";"1";"9";"0"
"153004";"153004";"26";"4";"2";"2223";"1838";"4";"6";"1828";"973";"36";"83";"45";"176";"237";"14";"4";"180";"31";"44";"0";"4";"1"
"153005";"153005";"26";"4";"2";"3623";"3244";"9";"6";"3229";"1462";"118";"261";"137";"295";"355";"29";"12";"412";"49";"91";"0";"8";"0"
"153006";"153006";"26";"4";"2";"3578";"2931";"12";"12";"2907";"1276";"59";"196";"129";"261";"467";"27";"8";"356";"47";"69";"2";"10";"0"
"153007";"153007";"26";"4";"2";"3610";"3002";"8";"15";"2979";"1191";"75";"204";"152";"238";"428";"35";"6";"484";"36";"123";"0";"7";"0"
"155001";"155001";"27";"4";"2";"3155";"2810";"5";"3";"2802";"754";"103";"483";"210";"154";"207";"38";"7";"733";"34";"76";"0";"3";"0"
"155002";"155002";"27";"4";"2";"3489";"3155";"12";"10";"3133";"745";"102";"494";"233";"149";"343";"37";"5";"910";"52";"56";"1";"6";"0"
"155003";"155003";"27";"4";"2";"2908";"2627";"10";"5";"2612";"900";"83";"320";"164";"243";"254";"23";"3";"510";"45";"63";"0";"4";"0"
"157001";"157001";"20";"4";"2";"5305";"4770";"14";"13";"4743";"686";"275";"1217";"339";"252";"261";"84";"12";"1463";"35";"108";"0";"10";"1"
"157002";"157002";"20";"4";"2";"4485";"4000";"20";"4";"3976";"1044";"226";"697";"286";"342";"347";"86";"10";"778";"41";"116";"0";"3";"0"
"157003";"157003";"20";"4";"2";"4882";"4468";"11";"9";"4448";"723";"296";"1030";"283";"278";"236";"90";"10";"1371";"20";"100";"1";"6";"4"
"157004";"157004";"20";"4";"2";"5506";"4608";"29";"4";"4575";"1170";"220";"784";"317";"374";"411";"77";"8";"1014";"49";"145";"1";"5";"0"
"157005";"157005";"20";"4";"2";"4967";"4403";"21";"1";"4381";"785";"275";"886";"377";"299";"305";"84";"11";"1216";"27";"108";"0";"8";"0"
"157006";"157006";"24";"4";"2";"5773";"5172";"23";"7";"5142";"695";"339";"1199";"355";"289";"231";"102";"16";"1734";"42";"133";"0";"7";"0"
"157007";"157007";"24";"4";"2";"5553";"4853";"18";"9";"4826";"818";"347";"964";"328";"363";"215";"111";"12";"1461";"47";"155";"0";"5";"0"
"157008";"157008";"24";"4";"2";"4420";"3876";"15";"0";"3861";"623";"238";"891";"241";"241";"225";"56";"14";"1181";"35";"109";"0";"4";"3"
"157009";"157009";"24";"4";"2";"5207";"4608";"21";"6";"4581";"635";"235";"1084";"325";"217";"247";"87";"17";"1577";"43";"106";"0";"8";"0"
"157010";"157010";"24";"4";"2";"4963";"4274";"16";"9";"4249";"539";"216";"1162";"270";"191";"299";"73";"6";"1384";"33";"67";"0";"9";"0"
"159001";"159001";"25";"4";"2";"4993";"4356";"27";"5";"4324";"1376";"227";"525";"364";"329";"370";"76";"6";"819";"52";"169";"1";"10";"0"
"159002";"159002";"25";"4";"2";"3166";"2661";"15";"6";"2640";"932";"96";"235";"196";"233";"263";"54";"5";"499";"36";"83";"0";"8";"0"
"159003";"159003";"25";"4";"2";"5939";"5136";"30";"6";"5100";"1999";"150";"382";"400";"496";"517";"62";"20";"761";"65";"231";"1";"15";"1"
"159004";"159004";"25";"4";"2";"2731";"2357";"11";"8";"2338";"1132";"65";"86";"108";"224";"331";"33";"0";"183";"38";"116";"0";"22";"0"
"159005";"159005";"25";"4";"2";"3089";"2685";"11";"5";"2669";"1084";"103";"180";"182";"266";"256";"38";"6";"400";"26";"120";"1";"7";"0"
"159006";"159006";"25";"4";"2";"3846";"3421";"8";"2";"3411";"1099";"169";"302";"252";"414";"317";"68";"5";"515";"47";"214";"1";"8";"0"
"159007";"159007";"25";"4";"2";"5033";"4399";"28";"9";"4362";"1938";"94";"230";"264";"451";"550";"58";"17";"495";"60";"193";"0";"12";"0"
"159008";"159008";"25";"4";"2";"6113";"5450";"19";"5";"5426";"1785";"327";"540";"518";"582";"344";"76";"18";"959";"51";"218";"2";"6";"0"
"159009";"159009";"25";"4";"2";"3800";"3321";"22";"8";"3291";"1158";"157";"260";"295";"345";"288";"44";"5";"510";"39";"184";"1";"5";"0"
"159010";"159010";"25";"4";"2";"4595";"3932";"21";"3";"3908";"1483";"147";"337";"309";"339";"364";"71";"16";"646";"50";"137";"1";"8";"0"
"159011";"159011";"25";"4";"2";"2663";"2220";"9";"5";"2206";"761";"104";"170";"140";"235";"214";"23";"7";"419";"23";"104";"0";"6";"0"
"161001";"161001";"23";"4";"2";"1985";"1838";"13";"4";"1821";"705";"53";"161";"93";"180";"217";"27";"8";"311";"24";"35";"0";"7";"0"
"161002";"161002";"23";"4";"2";"2301";"1947";"13";"5";"1929";"668";"59";"199";"114";"138";"229";"28";"5";"406";"34";"40";"0";"9";"0"
"161003";"161003";"23";"4";"2";"4088";"3438";"21";"7";"3410";"1471";"112";"275";"161";"264";"364";"43";"7";"584";"45";"66";"0";"17";"1"
"161004";"161004";"23";"4";"2";"3493";"2947";"14";"7";"2926";"1494";"74";"163";"85";"302";"350";"34";"8";"307";"33";"65";"0";"10";"1"
"161005";"161005";"23";"4";"2";"1390";"1318";"6";"6";"1306";"318";"39";"151";"111";"71";"123";"16";"0";"438";"21";"17";"0";"1";"0"
"161006";"161006";"23";"4";"2";"2289";"1990";"12";"9";"1969";"816";"50";"143";"84";"234";"210";"22";"1";"340";"23";"36";"0";"10";"0"
"163001";"163001";"28";"4";"2";"2025";"1711";"5";"3";"1703";"881";"33";"139";"55";"147";"194";"26";"6";"137";"24";"50";"0";"11";"0"
"163002";"163002";"28";"4";"2";"4497";"3909";"25";"1";"3883";"1600";"122";"356";"199";"347";"411";"92";"9";"571";"51";"117";"0";"8";"0"
"163003";"163003";"28";"4";"2";"4224";"3706";"15";"7";"3684";"1326";"149";"352";"233";"411";"375";"98";"4";"554";"39";"132";"0";"11";"0"
"163004";"163004";"28";"4";"2";"5312";"4785";"23";"2";"4760";"1911";"144";"469";"253";"467";"442";"120";"11";"726";"50";"159";"0";"8";"0"
"163005";"163005";"28";"4";"2";"3617";"2985";"18";"6";"2961";"1347";"67";"225";"126";"291";"310";"54";"10";"385";"41";"97";"0";"8";"0"
"165001";"165001";"23";"4";"2";"4749";"4229";"39";"12";"4178";"1440";"166";"326";"202";"641";"313";"44";"18";"561";"38";"418";"0";"11";"0"
"165002";"165002";"23";"4";"2";"3502";"3169";"10";"6";"3153";"1289";"93";"290";"162";"339";"308";"36";"5";"428";"26";"165";"0";"12";"0"
"165003";"165003";"23";"4";"2";"2875";"2378";"10";"4";"2364";"1201";"48";"95";"76";"287";"278";"18";"5";"198";"38";"111";"0";"9";"0"
"165004";"165004";"23";"4";"2";"4156";"3429";"18";"19";"3392";"1694";"85";"117";"66";"482";"403";"21";"14";"231";"45";"227";"0";"6";"1"
"165005";"165005";"23";"4";"2";"4128";"3604";"10";"9";"3585";"1557";"135";"218";"176";"470";"291";"39";"15";"414";"23";"240";"0";"7";"0"
"167001";"167001";"26";"4";"2";"4033";"3390";"24";"3";"3363";"1235";"132";"305";"181";"319";"334";"42";"11";"598";"59";"137";"1";"8";"1"
"167002";"167002";"26";"4";"2";"3358";"2872";"12";"13";"2847";"1256";"78";"189";"132";"227";"330";"32";"15";"434";"48";"98";"0";"8";"0"
"167003";"167003";"26";"4";"2";"4486";"3877";"15";"13";"3849";"1887";"100";"195";"163";"356";"415";"49";"16";"445";"45";"167";"0";"11";"0"
"167004";"167004";"26";"4";"2";"4729";"4144";"12";"7";"4125";"1886";"103";"232";"164";"455";"414";"40";"16";"519";"77";"211";"0";"8";"0"
"167005";"167005";"26";"4";"2";"4993";"4366";"15";"11";"4340";"1710";"133";"310";"212";"376";"504";"60";"17";"766";"75";"163";"0";"14";"0"
"167006";"167006";"26";"4";"2";"5279";"4549";"20";"8";"4521";"2050";"133";"282";"186";"406";"537";"43";"15";"590";"70";"195";"0";"12";"2"
"167007";"167007";"26";"4";"2";"5402";"4768";"12";"15";"4741";"1960";"119";"384";"279";"365";"568";"58";"10";"818";"64";"110";"0";"6";"0"
"167008";"167008";"26";"4";"2";"3919";"3188";"12";"13";"3163";"1409";"76";"152";"96";"328";"438";"34";"9";"367";"41";"200";"0";"13";"0"
"169001";"169001";"23";"4";"2";"2668";"2145";"9";"11";"2125";"841";"50";"211";"102";"165";"310";"32";"7";"315";"42";"46";"0";"4";"0"
"169002";"169002";"23";"4";"2";"3280";"2896";"13";"7";"2876";"1035";"82";"349";"187";"200";"331";"34";"7";"550";"28";"63";"1";"9";"0"
"169003";"169003";"23";"4";"2";"2571";"2332";"9";"5";"2318";"725";"82";"337";"155";"188";"242";"37";"2";"488";"18";"41";"0";"3";"0"
"169004";"169004";"23";"4";"2";"2159";"1826";"18";"1";"1807";"655";"57";"217";"95";"123";"211";"33";"5";"351";"17";"34";"0";"8";"1"
"169005";"169005";"23";"4";"2";"1622";"1458";"10";"4";"1444";"505";"52";"162";"84";"108";"172";"16";"4";"278";"19";"38";"0";"6";"0"
"169006";"169006";"23";"4";"2";"3695";"3051";"14";"10";"3027";"1199";"72";"258";"148";"257";"384";"42";"7";"520";"49";"69";"0";"22";"0"
"169007";"169007";"23";"4";"2";"3328";"2889";"17";"1";"2871";"1287";"88";"210";"131";"204";"356";"47";"5";"454";"39";"48";"0";"2";"0"
"169008";"169008";"23";"4";"2";"2094";"1738";"10";"4";"1724";"683";"53";"138";"100";"177";"192";"22";"5";"283";"20";"47";"1";"3";"0"
"169009";"169009";"23";"4";"2";"1796";"1607";"5";"2";"1600";"464";"48";"175";"122";"84";"192";"25";"3";"427";"17";"41";"0";"2";"0"
"169010";"169010";"23";"4";"2";"1782";"1447";"11";"2";"1434";"586";"33";"115";"60";"104";"198";"17";"7";"259";"24";"23";"0";"7";"1"
"169011";"169011";"23";"4";"2";"3353";"2882";"19";"1";"2862";"1090";"78";"229";"145";"213";"348";"38";"4";"628";"40";"41";"0";"8";"0"
"169012";"169012";"23";"4";"2";"3155";"2874";"20";"7";"2847";"1039";"102";"315";"203";"175";"288";"36";"4";"597";"31";"50";"2";"5";"0"
"169013";"169013";"23";"4";"2";"548";"514";"2";"1";"511";"144";"30";"46";"30";"46";"64";"7";"0";"133";"4";"7";"0";"0";"0"
"171001";"171001";"22";"4";"2";"771";"697";"2";"0";"695";"184";"19";"98";"39";"47";"62";"9";"2";"210";"6";"16";"0";"3";"0"
"171002";"171002";"22";"4";"2";"6610";"6045";"41";"10";"5994";"1831";"220";"582";"457";"473";"546";"120";"8";"1586";"69";"87";"2";"12";"1"
"173001";"173001";"21";"4";"2";"4972";"4227";"24";"13";"4190";"1138";"215";"623";"240";"371";"329";"64";"9";"1010";"47";"128";"0";"15";"1"
"173002";"173002";"21";"4";"2";"4662";"4017";"15";"13";"3989";"1521";"151";"491";"195";"363";"374";"52";"7";"655";"49";"114";"1";"16";"0"
"173003";"173003";"21";"4";"2";"4842";"4248";"34";"18";"4196";"1108";"185";"684";"253";"324";"335";"75";"12";"1058";"31";"114";"0";"16";"1"
"173004";"173004";"21";"4";"2";"4682";"4193";"14";"14";"4165";"1011";"222";"684";"284";"326";"318";"84";"11";"1055";"43";"114";"0";"13";"0"
"173005";"173005";"21";"4";"2";"1188";"1052";"5";"0";"1047";"232";"62";"188";"65";"81";"69";"11";"2";"278";"12";"45";"0";"2";"0"
"173006";"173006";"21";"4";"2";"4584";"4140";"4";"3";"4133";"750";"293";"896";"369";"247";"221";"96";"19";"1083";"41";"105";"0";"11";"2"
"173007";"173007";"21";"4";"2";"3538";"3256";"14";"6";"3236";"741";"214";"708";"270";"243";"178";"57";"2";"691";"26";"83";"0";"21";"2"
"173008";"173008";"21";"4";"2";"3891";"3413";"15";"17";"3381";"880";"225";"558";"257";"290";"222";"57";"16";"762";"29";"79";"0";"6";"0"
"173009";"173009";"21";"4";"2";"2128";"1987";"8";"5";"1974";"467";"167";"339";"165";"170";"105";"37";"2";"426";"24";"70";"0";"2";"0"
"173010";"173010";"21";"4";"2";"4760";"4219";"28";"10";"4181";"1282";"243";"655";"244";"350";"315";"74";"14";"797";"45";"145";"0";"17";"0"
"175001";"175001";"28";"4";"2";"2981";"2610";"11";"1";"2598";"1001";"70";"240";"150";"249";"293";"52";"2";"405";"35";"91";"1";"9";"0"
"175002";"175002";"28";"4";"2";"1882";"1573";"5";"6";"1562";"844";"37";"70";"42";"144";"199";"14";"4";"129";"21";"56";"0";"2";"0"
"175003";"175003";"28";"4";"2";"4188";"3538";"24";"7";"3507";"1412";"141";"302";"179";"345";"340";"43";"8";"567";"46";"117";"1";"6";"0"
"175004";"175004";"28";"4";"2";"3915";"3273";"19";"11";"3243";"1540";"81";"196";"125";"330";"375";"47";"13";"397";"42";"91";"0";"6";"0"
"175005";"175005";"28";"4";"2";"2706";"2291";"12";"4";"2275";"1066";"43";"143";"85";"260";"274";"19";"4";"264";"31";"77";"0";"9";"0"
"175006";"175006";"28";"4";"2";"3506";"3148";"15";"5";"3128";"1182";"126";"292";"178";"327";"282";"60";"6";"523";"43";"107";"0";"2";"0"
"175007";"175007";"28";"4";"2";"2779";"2414";"4";"8";"2402";"1136";"61";"139";"88";"248";"264";"37";"6";"320";"26";"72";"0";"5";"0"
"175008";"175008";"28";"4";"2";"4165";"3726";"17";"7";"3702";"1474";"132";"276";"225";"318";"512";"52";"13";"559";"47";"83";"1";"10";"0"
"175009";"175009";"28";"4";"2";"1170";"973";"8";"2";"963";"407";"25";"70";"42";"78";"111";"4";"3";"163";"20";"39";"0";"1";"0"
"181001";"181001";"21";"4";"2";"3184";"2862";"9";"2";"2851";"288";"163";"593";"212";"138";"120";"59";"7";"1205";"21";"40";"0";"5";"0"
"181002";"181002";"21";"4";"2";"2469";"2188";"12";"3";"2173";"394";"129";"430";"132";"109";"107";"43";"5";"765";"16";"38";"0";"5";"0"
"181003";"181003";"21";"4";"2";"2529";"2345";"4";"4";"2337";"325";"188";"451";"203";"133";"80";"50";"8";"829";"16";"48";"0";"6";"0"
"181004";"181004";"21";"4";"2";"2567";"2355";"4";"4";"2347";"353";"155";"486";"181";"121";"132";"39";"9";"803";"23";"43";"0";"2";"0"
"181005";"181005";"21";"4";"2";"3972";"3496";"13";"5";"3478";"963";"150";"553";"222";"225";"258";"63";"10";"889";"57";"81";"0";"7";"0"
"181006";"181006";"21";"4";"2";"4068";"3642";"13";"12";"3617";"772";"147";"643";"239";"185";"195";"57";"3";"1274";"38";"57";"0";"7";"0"
