"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2005 - Stemmeberettigede";"FV2005 - Afgivne stemmer";"FV2005 - Blanke stemmer";"FV2005 - Andre ugyldige stemmer";"FV2005 - Gyldige stemmer";"FV2005 - A. Socialdemokratiet";"FV2005 - B. Det Radikale Venstre";"FV2005 - C. Det Konservative Folkeparti";"FV2005 - D. Centrum-Demokraterne";"FV2005 - F. Socialistisk Folkeparti";"FV2005 - K. Kristendemokraterne";"FV2005 - M. Minoritetspartiet";"FV2005 - O. Dansk Folkeparti";"FV2005 - V. Venstre, Danmarks Liberale Parti";"FV2005 - Ø. Enhedslisten - De Rød-Grønne";"FV2005 - 1. Uden for partierne";"FV2005 - 2. Uden for partierne";"FV2005 - 3. Uden for partierne"
"101021";"101021";"8";"2";"1";"4276";"3567";"19";"8";"3540";"911";"505";"237";"39";"404";"47";"16";"495";"516";"369";"0";"0";"1"
"101022";"101022";"8";"2";"1";"6305";"4823";"40";"34";"4749";"1371";"520";"331";"53";"492";"44";"27";"801";"678";"432";"0";"0";"0"
"101023";"101023";"14";"3";"1";"6633";"5475";"32";"17";"5426";"1382";"876";"473";"63";"573";"37";"24";"657";"878";"463";"-";"-";"-"
"101024";"101024";"14";"3";"1";"4571";"3752";"33";"17";"3702";"897";"576";"337";"44";"387";"46";"17";"489";"646";"263";"-";"-";"-"
"101025";"101025";"14";"3";"1";"4807";"3744";"26";"10";"3708";"1155";"421";"256";"34";"328";"28";"16";"676";"599";"195";"-";"-";"-"
"101026";"101026";"14";"3";"1";"4915";"3917";"18";"5";"3894";"1093";"569";"301";"43";"447";"30";"9";"504";"580";"318";"-";"-";"-"
"101027";"101027";"14";"3";"1";"4942";"3713";"24";"11";"3678";"1220";"432";"253";"38";"319";"41";"13";"631";"498";"233";"-";"-";"-"
"101028";"101028";"5";"1";"1";"14059";"11095";"65";"32";"10998";"2918";"1772";"733";"148";"1319";"143";"55";"1209";"1799";"890";"12";"-";"-"
"101029";"101029";"5";"1";"1";"9908";"7847";"55";"19";"7773";"2083";"1115";"470";"104";"860";"84";"40";"1039";"1345";"625";"8";"-";"-"
"101030";"101030";"9";"2";"1";"13640";"11387";"49";"18";"11320";"2229";"2553";"1197";"120";"1057";"129";"38";"746";"2037";"1210";"3";"1";"0"
"101031";"101031";"9";"2";"1";"5657";"4696";"20";"15";"4661";"792";"829";"662";"55";"335";"53";"18";"476";"1113";"328";"0";"0";"0"
"101032";"101032";"10";"2";"1";"6886";"5655";"29";"22";"5604";"1167";"1477";"310";"65";"693";"39";"49";"424";"569";"810";"0";"0";"1"
"101033";"101033";"10";"2";"1";"9294";"7460";"41";"33";"7386";"1528";"1627";"550";"116";"873";"75";"91";"605";"998";"922";"0";"0";"1"
"101034";"101034";"10";"2";"1";"3203";"2482";"21";"11";"2450";"528";"597";"183";"40";"277";"17";"15";"135";"239";"419";"0";"0";"0"
"101035";"101035";"11";"2";"1";"9923";"8048";"37";"28";"7983";"1676";"1885";"496";"87";"974";"82";"61";"639";"952";"1125";"0";"1";"5"
"101036";"101036";"11";"2";"1";"9836";"7494";"47";"27";"7420";"1962";"1239";"526";"76";"721";"78";"58";"999";"1083";"675";"0";"2";"1"
"101037";"101037";"11";"2";"1";"5199";"4324";"24";"9";"4291";"989";"900";"267";"53";"480";"36";"27";"407";"486";"643";"0";"2";"1"
"101038";"101038";"11";"2";"1";"1957";"1735";"10";"1";"1724";"467";"268";"147";"17";"154";"26";"8";"216";"249";"171";"0";"0";"1"
"101039";"101039";"15";"3";"1";"6171";"5109";"23";"25";"5061";"1052";"1373";"315";"61";"644";"51";"27";"312";"550";"676";"-";"-";"-"
"101040";"101040";"15";"3";"1";"7250";"5985";"29";"9";"5947";"1150";"1662";"429";"68";"702";"44";"34";"300";"730";"828";"-";"-";"-"
"101041";"101041";"15";"3";"1";"7123";"5952";"43";"18";"5891";"1257";"1462";"355";"65";"851";"46";"38";"413";"650";"754";"-";"-";"-"
"101042";"101042";"16";"3";"1";"2907";"2293";"25";"4";"2264";"656";"367";"152";"37";"282";"39";"17";"252";"267";"195";"-";"-";"-"
"101043";"101043";"16";"3";"1";"5129";"4209";"24";"8";"4177";"984";"955";"251";"44";"541";"33";"42";"351";"385";"591";"-";"-";"-"
"101044";"101044";"16";"3";"1";"8619";"6494";"33";"25";"6436";"1985";"823";"393";"97";"638";"45";"38";"1014";"825";"578";"-";"-";"-"
"101045";"101045";"16";"3";"1";"3903";"3078";"22";"11";"3045";"826";"447";"211";"30";"338";"27";"19";"431";"425";"291";"-";"-";"-"
"101046";"101046";"16";"3";"1";"3092";"2586";"23";"4";"2559";"551";"469";"273";"25";"242";"37";"17";"242";"504";"199";"-";"-";"-"
"101047";"101047";"12";"2";"1";"15092";"11126";"71";"43";"11012";"3047";"1651";"758";"133";"1020";"157";"94";"1557";"1556";"1037";"1";"0";"1"
"101048";"101048";"12";"2";"1";"4382";"3578";"18";"12";"3548";"869";"536";"297";"44";"377";"65";"16";"487";"506";"348";"0";"2";"1"
"101049";"101049";"13";"2";"1";"4209";"3625";"29";"6";"3590";"828";"533";"314";"44";"348";"44";"14";"481";"625";"357";"0";"0";"2"
"101050";"101050";"13";"2";"1";"5078";"4231";"19";"13";"4199";"1114";"555";"351";"52";"391";"41";"17";"627";"651";"399";"1";"0";"0"
"101051";"101051";"13";"2";"1";"3415";"2816";"9";"6";"2801";"634";"475";"283";"33";"233";"33";"12";"315";"512";"271";"0";"0";"0"
"101052";"101052";"13";"2";"1";"4591";"3773";"28";"6";"3739";"912";"620";"334";"40";"310";"51";"7";"477";"697";"291";"0";"0";"0"
"101053";"101053";"13";"2";"1";"4509";"3872";"22";"8";"3842";"859";"606";"365";"46";"402";"66";"19";"431";"697";"349";"1";"1";"0"
"101054";"101054";"13";"2";"1";"10834";"9011";"57";"23";"8931";"2113";"1353";"890";"120";"762";"110";"32";"1108";"1616";"824";"0";"1";"2"
"147001";"147001";"17";"3";"1";"7966";"6845";"44";"17";"6784";"1241";"1438";"1092";"89";"572";"65";"27";"501";"1246";"513";"-";"-";"-"
"147002";"147002";"17";"3";"1";"8162";"7089";"38";"16";"7035";"1206";"1445";"1365";"55";"554";"51";"18";"526";"1387";"428";"-";"-";"-"
"147003";"147003";"18";"3";"1";"9155";"7655";"42";"37";"7576";"1724";"1250";"1186";"78";"554";"79";"29";"859";"1382";"435";"-";"-";"-"
"147004";"147004";"18";"3";"1";"8715";"7355";"34";"32";"7289";"1558";"1047";"1478";"69";"440";"86";"19";"838";"1427";"327";"-";"-";"-"
"147005";"147005";"18";"3";"1";"9190";"7515";"46";"28";"7441";"1521";"1415";"1275";"88";"582";"84";"37";"686";"1347";"406";"-";"-";"-"
"147006";"147006";"18";"3";"1";"7836";"6817";"39";"12";"6766";"1350";"1360";"958";"66";"601";"110";"28";"523";"1322";"448";"-";"-";"-"
"147007";"147007";"19";"3";"1";"10767";"9274";"39";"26";"9209";"1743";"1857";"1511";"96";"763";"96";"34";"739";"1781";"589";"-";"-";"-"
"147008";"147008";"19";"3";"1";"9845";"8430";"43";"31";"8356";"1623";"1568";"1485";"89";"608";"79";"32";"728";"1661";"483";"-";"-";"-"
"151001";"151001";"22";"4";"2";"4161";"3549";"22";"6";"3521";"1437";"200";"174";"36";"217";"15";"7";"729";"613";"91";"2";"-";"-"
"151002";"151002";"22";"4";"2";"6488";"5298";"28";"15";"5255";"2051";"299";"337";"51";"337";"31";"14";"991";"947";"195";"2";"-";"-"
"151003";"151003";"22";"4";"2";"2550";"2294";"4";"2";"2288";"698";"176";"254";"26";"117";"19";"3";"341";"588";"66";"0";"-";"-"
"151004";"151004";"22";"4";"2";"2810";"2290";"12";"6";"2272";"911";"111";"123";"16";"148";"14";"4";"461";"386";"98";"0";"-";"-"
"151005";"151005";"22";"4";"2";"3700";"3401";"13";"4";"3384";"979";"263";"391";"30";"179";"49";"2";"475";"927";"89";"0";"-";"-"
"151006";"151006";"22";"4";"2";"4045";"3386";"15";"12";"3359";"1502";"144";"159";"26";"248";"15";"8";"709";"432";"114";"2";"-";"-"
"151007";"151007";"22";"4";"2";"1525";"1375";"3";"2";"1370";"384";"102";"178";"21";"84";"48";"3";"181";"325";"44";"0";"-";"-"
"151008";"151008";"22";"4";"2";"3339";"2957";"15";"1";"2941";"842";"267";"355";"29";"193";"33";"2";"412";"732";"76";"0";"-";"-"
"151009";"151009";"22";"4";"2";"3199";"2917";"18";"6";"2893";"762";"299";"395";"49";"173";"46";"6";"347";"723";"93";"0";"-";"-"
"151010";"151010";"22";"4";"2";"2068";"1883";"13";"4";"1866";"486";"188";"189";"16";"202";"20";"3";"225";"417";"119";"1";"-";"-"
"153001";"153001";"26";"4";"2";"3300";"2939";"17";"7";"2915";"858";"200";"257";"31";"177";"24";"1";"552";"720";"94";"1";"-";"-"
"153002";"153002";"26";"4";"2";"3428";"2750";"23";"4";"2723";"956";"158";"189";"33";"188";"25";"5";"537";"537";"94";"1";"-";"-"
"153003";"153003";"26";"4";"2";"3152";"2582";"19";"10";"2553";"876";"166";"176";"22";"191";"26";"5";"498";"482";"111";"0";"-";"-"
"153004";"153004";"26";"4";"2";"2140";"1656";"9";"7";"1640";"684";"100";"91";"18";"112";"11";"4";"338";"217";"64";"1";"-";"-"
"153005";"153005";"26";"4";"2";"3478";"3033";"21";"2";"3010";"1106";"212";"228";"20";"162";"23";"6";"534";"586";"126";"7";"-";"-"
"153006";"153006";"26";"4";"2";"4289";"3445";"8";"11";"3426";"1074";"325";"203";"50";"225";"23";"16";"761";"605";"142";"2";"-";"-"
"153007";"153007";"26";"4";"2";"4402";"3541";"9";"15";"3517";"1129";"336";"253";"45";"237";"32";"8";"627";"704";"143";"3";"-";"-"
"155001";"155001";"27";"4";"2";"3133";"2821";"12";"3";"2806";"447";"322";"573";"23";"142";"15";"5";"304";"889";"86";"0";"-";"-"
"155002";"155002";"27";"4";"2";"3464";"3060";"3";"6";"3051";"488";"222";"543";"37";"113";"15";"2";"502";"1068";"61";"0";"-";"-"
"155003";"155003";"27";"4";"2";"2968";"2651";"13";"1";"2637";"591";"230";"365";"22";"156";"18";"2";"472";"704";"77";"0";"-";"-"
"157001";"157001";"20";"4";"2";"5155";"4642";"9";"5";"4628";"486";"564";"1466";"41";"196";"33";"3";"317";"1421";"101";"0";"-";"-"
"157002";"157002";"20";"4";"2";"4414";"3907";"21";"3";"3883";"668";"555";"806";"45";"267";"44";"9";"451";"873";"165";"0";"-";"-"
"157003";"157003";"20";"4";"2";"4896";"4203";"19";"11";"4173";"446";"618";"1253";"44";"193";"45";"7";"272";"1207";"87";"1";"-";"-"
"157004";"157004";"20";"4";"2";"5194";"4317";"24";"26";"4267";"811";"471";"877";"63";"247";"55";"13";"528";"1058";"144";"0";"-";"-"
"157005";"157005";"20";"4";"2";"4883";"4314";"13";"2";"4299";"490";"644";"1117";"53";"229";"36";"14";"348";"1221";"146";"1";"-";"-"
"157006";"157006";"24";"4";"2";"5612";"5041";"15";"6";"5020";"464";"698";"1502";"38";"208";"31";"7";"355";"1574";"142";"1";"-";"-"
"157007";"157007";"24";"4";"2";"5495";"4823";"12";"8";"4803";"574";"689";"1228";"53";"259";"77";"12";"330";"1437";"143";"1";"-";"-"
"157008";"157008";"24";"4";"2";"4343";"3813";"10";"6";"3797";"374";"494";"1032";"37";"179";"38";"10";"313";"1211";"106";"3";"-";"-"
"157009";"157009";"24";"4";"2";"4894";"4361";"12";"10";"4339";"417";"483";"1290";"48";"140";"46";"11";"317";"1484";"101";"2";"-";"-"
"157010";"157010";"24";"4";"2";"4687";"4013";"10";"9";"3994";"376";"423";"1209";"38";"128";"43";"9";"328";"1357";"82";"1";"-";"-"
"159001";"159001";"25";"4";"2";"4995";"4313";"35";"10";"4268";"930";"527";"620";"80";"316";"45";"17";"457";"1066";"209";"1";"-";"-"
"159002";"159002";"25";"4";"2";"3128";"2603";"13";"4";"2586";"646";"280";"291";"43";"193";"33";"5";"362";"616";"117";"0";"-";"-"
"159003";"159003";"25";"4";"2";"5715";"4786";"33";"8";"4745";"1363";"391";"453";"109";"340";"50";"10";"763";"1066";"200";"0";"-";"-"
"159004";"159004";"25";"4";"2";"2695";"2228";"11";"13";"2204";"842";"181";"95";"31";"170";"13";"10";"462";"251";"149";"0";"-";"-"
"159005";"159005";"25";"4";"2";"2983";"2522";"10";"5";"2507";"752";"270";"230";"44";"192";"26";"10";"360";"485";"138";"0";"-";"-"
"159006";"159006";"25";"4";"2";"3788";"3408";"20";"2";"3386";"753";"488";"382";"59";"324";"55";"9";"389";"697";"229";"1";"-";"-"
"159007";"159007";"25";"4";"2";"4970";"4214";"28";"10";"4176";"1288";"360";"318";"70";"301";"29";"16";"843";"718";"233";"0";"-";"-"
"159008";"159008";"25";"4";"2";"5987";"5267";"35";"5";"5227";"1206";"803";"657";"92";"467";"61";"13";"504";"1152";"272";"0";"-";"-"
"159009";"159009";"25";"4";"2";"3665";"3160";"18";"5";"3137";"783";"379";"342";"71";"270";"38";"19";"405";"673";"156";"1";"-";"-"
"159010";"159010";"25";"4";"2";"4400";"3718";"23";"12";"3683";"984";"399";"380";"80";"273";"35";"11";"498";"869";"154";"0";"-";"-"
"159011";"159011";"25";"4";"2";"2582";"2098";"9";"12";"2077";"532";"257";"221";"47";"186";"17";"14";"261";"458";"84";"0";"-";"-"
"161001";"161001";"23";"4";"2";"2257";"2055";"11";"3";"2041";"543";"148";"231";"17";"117";"17";"3";"325";"586";"52";"2";"-";"-"
"161002";"161002";"23";"4";"2";"2414";"2044";"9";"9";"2026";"509";"143";"232";"30";"86";"23";"8";"366";"573";"55";"1";"-";"-"
"161003";"161003";"23";"4";"2";"4024";"3308";"27";"14";"3267";"967";"240";"269";"36";"185";"32";"3";"629";"800";"104";"2";"-";"-"
"161004";"161004";"23";"4";"2";"3289";"2712";"10";"12";"2690";"1025";"143";"109";"16";"177";"23";"6";"649";"445";"95";"2";"-";"-"
"161005";"161005";"23";"4";"2";"1348";"1260";"12";"2";"1246";"204";"72";"158";"14";"51";"11";"3";"190";"520";"22";"1";"-";"-"
"161006";"161006";"23";"4";"2";"2367";"2057";"8";"12";"2037";"651";"102";"161";"25";"124";"13";"4";"394";"505";"58";"0";"-";"-"
"163001";"163001";"28";"4";"2";"1949";"1556";"9";"5";"1542";"635";"109";"102";"20";"116";"15";"8";"275";"212";"50";"0";"-";"-"
"163002";"163002";"28";"4";"2";"4362";"3678";"21";"8";"3649";"1189";"311";"324";"38";"257";"67";"12";"604";"711";"135";"1";"-";"-"
"163003";"163003";"28";"4";"2";"4381";"3749";"19";"8";"3722";"1058";"336";"387";"47";"283";"88";"8";"563";"798";"154";"0";"-";"-"
"163004";"163004";"28";"4";"2";"5235";"4640";"14";"11";"4615";"1532";"314";"523";"52";"301";"97";"11";"638";"989";"157";"1";"-";"-"
"163005";"163005";"28";"4";"2";"3602";"2861";"20";"7";"2834";"984";"254";"218";"39";"211";"27";"10";"487";"472";"131";"1";"-";"-"
"165001";"165001";"23";"4";"2";"4568";"3972";"24";"8";"3940";"1065";"399";"320";"58";"469";"35";"10";"437";"716";"430";"1";"-";"-"
"165002";"165002";"23";"4";"2";"3342";"3015";"10";"12";"2993";"886";"213";"287";"28";"275";"18";"5";"465";"602";"212";"2";"-";"-"
"165003";"165003";"23";"4";"2";"2781";"2211";"7";"11";"2193";"842";"216";"77";"19";"186";"7";"5";"412";"292";"135";"2";"-";"-"
"165004";"165004";"23";"4";"2";"3966";"3167";"12";"13";"3142";"1136";"216";"104";"36";"334";"22";"19";"658";"360";"255";"2";"-";"-"
"165005";"165005";"23";"4";"2";"4120";"3504";"8";"12";"3484";"1143";"423";"209";"42";"354";"45";"19";"421";"579";"248";"1";"-";"-"
"167001";"167001";"26";"4";"2";"4157";"3460";"19";"10";"3431";"928";"320";"332";"42";"232";"31";"9";"598";"772";"164";"3";"-";"-"
"167002";"167002";"26";"4";"2";"3261";"2663";"14";"6";"2643";"827";"186";"219";"28";"179";"22";"3";"500";"593";"82";"4";"-";"-"
"167003";"167003";"26";"4";"2";"4285";"3563";"17";"9";"3537";"1240";"256";"182";"39";"289";"28";"8";"720";"622";"149";"4";"-";"-"
"167004";"167004";"26";"4";"2";"4526";"3848";"15";"16";"3817";"1295";"296";"252";"37";"300";"26";"4";"704";"706";"190";"7";"-";"-"
"167005";"167005";"26";"4";"2";"4904";"4231";"33";"5";"4193";"1138";"381";"393";"62";"259";"36";"10";"756";"970";"188";"0";"-";"-"
"167006";"167006";"26";"4";"2";"5277";"4443";"35";"9";"4399";"1451";"326";"339";"44";"275";"27";"5";"884";"818";"230";"0";"-";"-"
"167007";"167007";"26";"4";"2";"5350";"4512";"20";"7";"4485";"1240";"321";"377";"56";"248";"32";"13";"872";"1177";"146";"3";"-";"-"
"167008";"167008";"26";"4";"2";"4406";"3460";"19";"11";"3430";"1019";"333";"201";"39";"239";"26";"26";"705";"625";"216";"1";"-";"-"
"169001";"169001";"23";"4";"2";"2693";"2006";"11";"9";"1986";"611";"172";"169";"25";"137";"18";"6";"369";"406";"73";"0";"-";"-"
"169002";"169002";"23";"4";"2";"3186";"2734";"14";"7";"2713";"700";"182";"323";"33";"164";"29";"12";"495";"692";"83";"0";"-";"-"
"169003";"169003";"23";"4";"2";"2515";"2268";"8";"2";"2258";"558";"166";"313";"23";"107";"21";"4";"369";"639";"57";"1";"-";"-"
"169004";"169004";"23";"4";"2";"2105";"1785";"10";"5";"1770";"462";"126";"207";"29";"76";"22";"5";"326";"463";"54";"0";"-";"-"
"169005";"169005";"23";"4";"2";"1555";"1401";"3";"4";"1394";"387";"105";"152";"13";"69";"13";"2";"233";"378";"42";"0";"-";"-"
"169006";"169006";"23";"4";"2";"3961";"3133";"13";"7";"3113";"898";"252";"265";"38";"191";"23";"16";"606";"708";"115";"1";"-";"-"
"169007";"169007";"23";"4";"2";"3183";"2714";"19";"5";"2690";"825";"169";"219";"32";"143";"25";"4";"562";"651";"60";"0";"-";"-"
"169008";"169008";"23";"4";"2";"2139";"1742";"9";"2";"1731";"483";"128";"145";"19";"106";"16";"7";"337";"431";"56";"3";"-";"-"
"169009";"169009";"23";"4";"2";"1702";"1532";"4";"2";"1526";"302";"112";"186";"21";"67";"21";"2";"272";"499";"44";"0";"-";"-"
"169010";"169010";"23";"4";"2";"1842";"1406";"8";"9";"1389";"430";"94";"109";"18";"69";"11";"3";"266";"339";"49";"1";"-";"-"
"169011";"169011";"23";"4";"2";"3386";"2842";"20";"4";"2818";"757";"168";"255";"28";"136";"20";"5";"536";"847";"64";"2";"-";"-"
"169012";"169012";"23";"4";"2";"3069";"2740";"14";"4";"2722";"686";"205";"311";"27";"108";"27";"3";"472";"844";"39";"0";"-";"-"
"169013";"169013";"23";"4";"2";"566";"524";"0";"2";"522";"99";"42";"49";"4";"33";"3";"2";"98";"181";"11";"0";"-";"-"
"171001";"171001";"22";"4";"2";"781";"699";"4";"1";"694";"99";"55";"173";"8";"51";"9";"1";"73";"200";"25";"0";"-";"-"
"171002";"171002";"22";"4";"2";"6584";"5998";"31";"11";"5956";"1237";"482";"1138";"88";"313";"62";"6";"743";"1783";"103";"1";"-";"-"
"173001";"173001";"21";"4";"2";"4922";"4154";"18";"16";"4120";"787";"527";"706";"51";"223";"42";"11";"510";"1119";"142";"2";"-";"-"
"173002";"173002";"21";"4";"2";"4492";"3808";"17";"4";"3787";"1035";"383";"491";"40";"263";"38";"14";"525";"846";"152";"0";"-";"-"
"173003";"173003";"21";"4";"2";"4503";"3842";"31";"14";"3797";"685";"507";"690";"48";"251";"51";"10";"405";"1023";"124";"3";"-";"-"
"173004";"173004";"21";"4";"2";"4607";"4028";"15";"4";"4009";"650";"525";"747";"50";"257";"49";"7";"398";"1196";"130";"0";"-";"-"
"173005";"173005";"21";"4";"2";"1104";"982";"2";"1";"979";"144";"132";"198";"17";"64";"10";"1";"75";"293";"45";"0";"-";"-"
"173006";"173006";"21";"4";"2";"4666";"4238";"11";"13";"4214";"524";"662";"1076";"40";"175";"48";"11";"283";"1267";"128";"0";"-";"-"
"173007";"173007";"21";"4";"2";"3404";"3110";"8";"8";"3094";"545";"476";"715";"47";"162";"47";"9";"240";"759";"94";"0";"-";"-"
"173008";"173008";"21";"4";"2";"3832";"3325";"16";"12";"3297";"595";"467";"608";"46";"198";"37";"9";"360";"873";"104";"0";"-";"-"
"173009";"173009";"21";"4";"2";"2076";"1924";"10";"2";"1912";"321";"324";"397";"22";"130";"28";"2";"146";"472";"70";"0";"-";"-"
"173010";"173010";"21";"4";"2";"4588";"3987";"18";"22";"3947";"844";"535";"704";"39";"262";"47";"19";"414";"942";"141";"0";"-";"-"
"175001";"175001";"28";"4";"2";"3065";"2597";"8";"6";"2583";"756";"228";"242";"32";"181";"29";"5";"438";"559";"111";"2";"-";"-"
"175002";"175002";"28";"4";"2";"1796";"1438";"5";"6";"1427";"641";"78";"67";"8";"96";"7";"6";"285";"151";"88";"0";"-";"-"
"175003";"175003";"28";"4";"2";"4166";"3422";"11";"8";"3403";"1060";"340";"263";"40";"248";"50";"10";"511";"712";"168";"1";"-";"-"
"175004";"175004";"28";"4";"2";"3789";"2966";"14";"3";"2949";"1092";"198";"175";"36";"218";"23";"12";"551";"533";"110";"1";"-";"-"
"175005";"175005";"28";"4";"2";"2621";"2161";"19";"7";"2135";"774";"132";"131";"33";"176";"18";"4";"417";"360";"90";"0";"-";"-"
"175006";"175006";"28";"4";"2";"3497";"3071";"13";"4";"3054";"902";"281";"350";"41";"189";"39";"9";"455";"680";"108";"0";"-";"-"
"175007";"175007";"28";"4";"2";"2758";"2346";"10";"10";"2326";"857";"160";"164";"27";"169";"26";"2";"422";"404";"95";"0";"-";"-"
"175008";"175008";"28";"4";"2";"4104";"3551";"28";"15";"3508";"1102";"263";"316";"45";"193";"35";"13";"663";"757";"120";"1";"-";"-"
"175009";"175009";"28";"4";"2";"1179";"962";"5";"4";"953";"295";"96";"92";"7";"58";"9";"0";"155";"192";"49";"0";"-";"-"
"181002";"181002";"21";"4";"2";"2339";"2072";"5";"9";"2058";"234";"244";"443";"25";"69";"21";"6";"163";"813";"40";"0";"-";"-"
"181003";"181003";"21";"4";"2";"2456";"2281";"4";"9";"2268";"193";"377";"532";"24";"88";"20";"5";"114";"860";"55";"0";"-";"-"
"181004";"181004";"21";"4";"2";"2467";"2266";"5";"3";"2258";"255";"311";"550";"29";"91";"34";"2";"146";"790";"50";"0";"-";"-"
"181005";"181005";"21";"4";"2";"3774";"3345";"17";"19";"3309";"599";"363";"521";"45";"142";"36";"5";"353";"1132";"113";"0";"-";"-"
"181006";"181006";"21";"4";"2";"3882";"3494";"9";"10";"3475";"511";"340";"722";"34";"129";"28";"4";"307";"1342";"57";"1";"-";"-"
"181008";"181008";"21";"4";"2";"1373";"1243";"4";"0";"1239";"88";"97";"339";"10";"25";"9";"2";"115";"541";"13";"0";"-";"-"
"181009";"181009";"21";"4";"2";"3707";"3352";"11";"10";"3331";"291";"358";"794";"44";"105";"27";"6";"239";"1412";"55";"0";"-";"-"
"181011";"181011";"21";"4";"2";"2836";"2645";"8";"2";"2635";"170";"319";"646";"25";"103";"20";"5";"131";"1164";"52";"0";"-";"-"
"183001";"183001";"23";"4";"2";"1096";"975";"2";"9";"964";"200";"72";"99";"11";"49";"14";"3";"175";"310";"31";"0";"-";"-"
"183002";"183002";"23";"4";"2";"2768";"2381";"12";"3";"2366";"713";"151";"157";"35";"132";"16";"11";"511";"560";"78";"2";"-";"-"
"183003";"183003";"23";"4";"2";"3295";"2656";"14";"9";"2633";"894";"177";"168";"28";"147";"22";"6";"578";"513";"100";"0";"-";"-"
"183004";"183004";"23";"4";"2";"2352";"1615";"8";"13";"1594";"668";"142";"51";"19";"122";"4";"18";"316";"150";"104";"0";"-";"-"
