"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2001 - Stemmeberettigede";"FV2001 - Afgivne stemmer";"FV2001 - Blanke stemmer";"FV2001 - Andre ugyldige stemmer";"FV2001 - Gyldige stemmer";"FV2001 - A. Socialdemokratiet";"FV2001 - B. Det Radikale Venstre";"FV2001 - C. Det Konservative Folkeparti";"FV2001 - D. Centrum-Demokraterne";"FV2001 - F. Socialistisk Folkeparti";"FV2001 - O. Dansk Folkeparti";"FV2001 - Q. Kristeligt Folkeparti";"FV2001 - V. Venstre, Danmarks Liberale Parti";"FV2001 - Z. Fremskridtspartiet";"FV2001 - Ø. Enhedslisten - De Rød-Grønne";"FV2001 - 1. Uden for partierne"
"147004";"147004";"18";"3";"1";"8752";"7529";"56";"33";"7440";"1792";"569";"1543";"147";"495";"770";"115";"1742";"18";"249";"-"
"147005";"147005";"18";"3";"1";"9318";"7906";"63";"21";"7822";"1858";"800";"1272";"172";"696";"688";"152";"1800";"18";"366";"-"
"147006";"147006";"18";"3";"1";"8002";"7147";"47";"12";"7088";"1716";"772";"957";"210";"715";"512";"153";"1653";"20";"380";"-"
"147007";"147007";"19";"3";"1";"10851";"9466";"57";"32";"9377";"2212";"1034";"1432";"256";"863";"725";"141";"2182";"26";"506";"-"
"147008";"147008";"19";"3";"1";"9876";"8728";"53";"33";"8642";"1976";"935";"1432";"278";"725";"737";"154";"2010";"27";"368";"-"
"151001";"151001";"22";"4";"2";"4353";"3821";"24";"11";"3786";"1593";"106";"158";"57";"244";"731";"38";"773";"12";"74";"-"
"151002";"151002";"22";"4";"2";"6684";"5709";"41";"14";"5654";"2287";"189";"274";"88";"404";"1017";"55";"1172";"17";"151";"-"
"151003";"151003";"22";"4";"2";"2573";"2367";"12";"8";"2347";"757";"116";"185";"52";"146";"326";"39";"670";"5";"51";"-"
"151004";"151004";"22";"4";"2";"2877";"2490";"17";"5";"2468";"1048";"59";"109";"38";"173";"456";"21";"493";"8";"63";"-"
"151005";"151005";"22";"4";"2";"3728";"3507";"25";"2";"3480";"1036";"179";"301";"80";"225";"450";"71";"1060";"6";"72";"-"
"151006";"151006";"22";"4";"2";"4175";"3652";"35";"17";"3600";"1653";"75";"142";"35";"281";"697";"36";"584";"8";"89";"-"
"151007";"151007";"22";"4";"2";"1544";"1426";"11";"0";"1415";"432";"59";"131";"29";"95";"204";"49";"389";"0";"27";"-"
"151008";"151008";"22";"4";"2";"3018";"2725";"14";"6";"2705";"837";"147";"208";"64";"194";"345";"57";"784";"3";"66";"-"
"151009";"151009";"22";"4";"2";"3253";"3024";"24";"3";"2997";"832";"208";"295";"97";"201";"303";"58";"915";"11";"77";"-"
"151010";"151010";"22";"4";"2";"1822";"1691";"8";"1";"1682";"470";"102";"108";"46";"228";"199";"27";"412";"3";"87";"-"
"153001";"153001";"26";"4";"2";"3325";"3037";"17";"3";"3017";"1046";"97";"218";"66";"182";"486";"32";"823";"6";"61";"-"
"153002";"153002";"26";"4";"2";"3486";"2922";"19";"4";"2899";"1156";"80";"173";"57";"221";"496";"38";"600";"10";"68";"-"
"153003";"153003";"26";"4";"2";"3141";"2742";"18";"4";"2720";"1036";"97";"158";"35";"209";"463";"35";"611";"3";"73";"-"
"153004";"153004";"26";"4";"2";"2214";"1850";"13";"8";"1829";"794";"55";"79";"20";"131";"386";"15";"297";"7";"45";"-"
"153005";"153005";"26";"4";"2";"3578";"3222";"20";"3";"3199";"1226";"120";"208";"50";"210";"551";"34";"683";"13";"104";"-"
"153006";"153006";"26";"4";"2";"3925";"3292";"11";"16";"3265";"1165";"145";"162";"95";"225";"675";"29";"667";"10";"92";"-"
"153007";"153007";"26";"4";"2";"4115";"3436";"11";"12";"3413";"1105";"167";"178";"70";"241";"612";"47";"837";"14";"142";"-"
"155001";"155001";"27";"4";"2";"3110";"2876";"11";"3";"2862";"637";"203";"346";"69";"157";"293";"28";"1060";"6";"63";"-"
"155002";"155002";"27";"4";"2";"3518";"3226";"11";"5";"3210";"615";"136";"407";"79";"128";"476";"33";"1293";"9";"34";"-"
"155003";"155003";"27";"4";"2";"2996";"2799";"6";"4";"2789";"856";"124";"234";"56";"184";"366";"27";"895";"7";"40";"-"
"157001";"157001";"20";"4";"2";"5259";"4795";"16";"22";"4757";"593";"394";"1035";"151";"234";"294";"97";"1859";"10";"90";"-"
"157002";"157002";"20";"4";"2";"4410";"3979";"18";"10";"3951";"844";"325";"541";"137";"286";"443";"87";"1158";"14";"116";"-"
"157003";"157003";"20";"4";"2";"5106";"4441";"18";"10";"4413";"613";"453";"844";"149";"232";"261";"98";"1658";"8";"97";"-"
"157004";"157004";"20";"4";"2";"5363";"4502";"35";"34";"4433";"917";"303";"629";"133";"295";"579";"72";"1373";"13";"119";"-"
"157005";"157005";"20";"4";"2";"4904";"4467";"22";"3";"4442";"654";"405";"779";"170";"272";"316";"78";"1649";"11";"108";"-"
"157006";"157006";"24";"4";"2";"5637";"5158";"17";"11";"5130";"593";"519";"1048";"159";"265";"308";"57";"2025";"14";"142";"-"
"157007";"157007";"24";"4";"2";"5512";"4901";"28";"6";"4867";"734";"496";"813";"212";"295";"287";"138";"1746";"7";"139";"-"
"157008";"157008";"24";"4";"2";"4375";"3910";"15";"7";"3888";"490";"352";"714";"128";"217";"282";"61";"1536";"12";"96";"-"
"157009";"157009";"24";"4";"2";"5080";"4610";"16";"7";"4587";"562";"373";"896";"136";"184";"337";"75";"1921";"9";"94";"-"
"157010";"157010";"24";"4";"2";"4836";"4243";"17";"18";"4208";"465";"319";"902";"122";"144";"350";"59";"1787";"10";"50";"-"
"159001";"159001";"25";"4";"2";"4934";"4291";"23";"3";"4265";"1076";"325";"453";"133";"359";"416";"79";"1234";"16";"174";"-"
"159002";"159002";"25";"4";"2";"3145";"2734";"22";"4";"2708";"731";"152";"231";"80";"219";"387";"51";"766";"8";"83";"-"
"159003";"159003";"25";"4";"2";"5843";"5094";"22";"6";"5066";"1651";"220";"369";"141";"448";"742";"95";"1205";"20";"175";"-"
"159004";"159004";"25";"4";"2";"2765";"2360";"24";"2";"2334";"919";"109";"99";"50";"203";"482";"31";"339";"11";"91";"-"
"159005";"159005";"25";"4";"2";"3033";"2702";"18";"2";"2682";"901";"160";"179";"79";"221";"391";"36";"602";"5";"108";"-"
"159006";"159006";"25";"4";"2";"3751";"3439";"14";"5";"3420";"895";"268";"243";"117";"380";"395";"78";"843";"6";"195";"-"
"159007";"159007";"25";"4";"2";"5027";"4432";"30";"4";"4398";"1599";"156";"278";"117";"371";"794";"58";"860";"16";"149";"-"
"159008";"159008";"25";"4";"2";"6085";"5413";"30";"9";"5374";"1473";"481";"512";"207";"523";"465";"93";"1412";"14";"194";"-"
"159009";"159009";"25";"4";"2";"3702";"3312";"16";"5";"3291";"915";"236";"251";"122";"305";"414";"57";"825";"12";"154";"-"
"159010";"159010";"25";"4";"2";"4435";"3884";"25";"5";"3854";"1174";"193";"316";"125";"300";"517";"66";"1015";"14";"134";"-"
"159011";"159011";"25";"4";"2";"2653";"2272";"15";"4";"2253";"689";"164";"140";"63";"194";"286";"30";"597";"8";"82";"-"
"161001";"161001";"23";"4";"2";"2003";"1846";"7";"6";"1833";"616";"66";"151";"43";"154";"261";"22";"488";"5";"27";"-"
"161002";"161002";"23";"4";"2";"2429";"2096";"15";"2";"2079";"548";"71";"195";"46";"133";"338";"34";"673";"5";"36";"-"
"161003";"161003";"23";"4";"2";"4087";"3476";"19";"13";"3444";"1172";"128";"245";"64";"209";"550";"50";"953";"8";"65";"-"
"161004";"161004";"23";"4";"2";"3439";"2959";"13";"16";"2930";"1252";"67";"133";"39";"212";"587";"31";"535";"12";"62";"-"
"161005";"161005";"23";"4";"2";"1351";"1293";"9";"2";"1282";"238";"40";"115";"37";"66";"171";"15";"580";"4";"16";"-"
"161006";"161006";"23";"4";"2";"2326";"2045";"7";"13";"2025";"678";"47";"126";"27";"167";"328";"27";"585";"5";"35";"-"
"163001";"163001";"28";"4";"2";"2021";"1734";"13";"4";"1717";"753";"49";"119";"16";"116";"301";"36";"277";"3";"47";"-"
"163002";"163002";"28";"4";"2";"4492";"3967";"30";"10";"3927";"1453";"187";"287";"78";"297";"575";"87";"851";"12";"100";"-"
"163003";"163003";"28";"4";"2";"4434";"3877";"20";"12";"3845";"1233";"193";"294";"108";"325";"517";"90";"961";"7";"117";"-"
"163004";"163004";"28";"4";"2";"5221";"4778";"14";"16";"4748";"1769";"187";"392";"74";"349";"575";"120";"1151";"6";"125";"-"
"163005";"163005";"28";"4";"2";"3573";"2989";"22";"16";"2951";"1174";"106";"173";"55";"219";"446";"60";"612";"11";"95";"-"
"165001";"165001";"23";"4";"2";"4731";"4274";"32";"15";"4227";"1257";"194";"281";"105";"581";"470";"46";"922";"13";"358";"-"
"165002";"165002";"23";"4";"2";"3466";"3167";"15";"6";"3146";"1037";"130";"221";"83";"313";"447";"30";"726";"5";"154";"-"
"165003";"165003";"23";"4";"2";"2892";"2417";"12";"8";"2397";"908";"118";"101";"42";"257";"457";"19";"367";"4";"124";"-"
"165004";"165004";"23";"4";"2";"4166";"3524";"27";"13";"3484";"1366";"130";"108";"49";"382";"633";"26";"566";"11";"213";"-"
"165005";"165005";"23";"4";"2";"4208";"3797";"21";"18";"3758";"1343";"245";"179";"90";"444";"437";"48";"740";"4";"228";"-"
"167001";"167001";"26";"4";"2";"4086";"3484";"26";"11";"3447";"1100";"183";"261";"69";"274";"536";"43";"850";"13";"118";"-"
"167002";"167002";"26";"4";"2";"3322";"2873";"10";"13";"2850";"985";"120";"189";"54";"205";"482";"35";"696";"7";"77";"-"
"167003";"167003";"26";"4";"2";"4427";"3794";"27";"9";"3758";"1514";"121";"178";"54";"310";"659";"45";"737";"18";"122";"-"
"167004";"167004";"26";"4";"2";"4691";"4126";"25";"6";"4095";"1510";"153";"197";"65";"346";"726";"52";"877";"16";"153";"-"
"167005";"167005";"26";"4";"2";"4950";"4405";"34";"15";"4356";"1387";"180";"289";"90";"318";"712";"77";"1158";"14";"131";"-"
"167006";"167006";"26";"4";"2";"5239";"4612";"33";"10";"4569";"1693";"167";"231";"84";"327";"817";"53";"1034";"13";"150";"-"
"167007";"167007";"26";"4";"2";"5376";"4691";"22";"16";"4653";"1524";"154";"362";"94";"280";"786";"57";"1294";"11";"91";"-"
"167008";"167008";"26";"4";"2";"4131";"3411";"19";"5";"3387";"1239";"154";"145";"47";"306";"617";"35";"672";"18";"154";"-"
"169001";"169001";"23";"4";"2";"2710";"2184";"15";"12";"2157";"735";"73";"172";"49";"160";"362";"29";"507";"7";"63";"-"
"169002";"169002";"23";"4";"2";"3278";"2890";"19";"14";"2857";"878";"103";"283";"60";"165";"424";"40";"844";"11";"49";"-"
"169003";"169003";"23";"4";"2";"2560";"2360";"16";"5";"2339";"633";"101";"249";"53";"120";"312";"32";"786";"8";"45";"-"
"169004";"169004";"23";"4";"2";"2121";"1856";"15";"7";"1834";"580";"81";"191";"38";"89";"291";"25";"503";"7";"29";"-"
"169005";"169005";"23";"4";"2";"1583";"1468";"8";"4";"1456";"472";"57";"128";"29";"60";"233";"14";"423";"5";"35";"-"
"169006";"169006";"23";"4";"2";"3910";"3213";"19";"6";"3188";"1025";"115";"217";"53";"211";"583";"49";"843";"11";"81";"-"
"169007";"169007";"23";"4";"2";"3329";"2946";"24";"5";"2917";"1009";"108";"186";"35";"168";"501";"42";"815";"10";"43";"-"
"169008";"169008";"23";"4";"2";"2262";"1932";"8";"12";"1912";"574";"81";"144";"32";"110";"327";"31";"562";"6";"45";"-"
"169009";"169009";"23";"4";"2";"1729";"1561";"14";"5";"1542";"383";"54";"143";"49";"62";"218";"29";"571";"2";"31";"-"
"169010";"169010";"23";"4";"2";"1793";"1495";"7";"13";"1475";"528";"38";"79";"36";"73";"262";"16";"418";"8";"17";"-"
"169011";"169011";"23";"4";"2";"3312";"2876";"13";"4";"2859";"939";"70";"172";"50";"128";"426";"27";"1002";"10";"35";"-"
"169012";"169012";"23";"4";"2";"3050";"2805";"12";"4";"2789";"802";"108";"249";"69";"128";"418";"27";"951";"9";"28";"-"
"169013";"169013";"23";"4";"2";"581";"546";"0";"1";"545";"147";"18";"37";"5";"24";"90";"7";"207";"2";"8";"-"
"171001";"171001";"22";"4";"2";"768";"711";"2";"1";"708";"144";"25";"109";"17";"40";"78";"13";"258";"3";"21";"-"
"171002";"171002";"22";"4";"2";"6552";"6081";"20";"17";"6044";"1446";"310";"657";"182";"359";"729";"92";"2176";"14";"79";"-"
"173001";"173001";"21";"4";"2";"5190";"4359";"24";"15";"4320";"937";"302";"558";"128";"285";"467";"77";"1445";"12";"109";"-"
"173002";"173002";"21";"4";"2";"4512";"3945";"25";"13";"3907";"1267";"220";"392";"84";"285";"486";"52";"1002";"11";"108";"-"
"173003";"173003";"21";"4";"2";"4687";"4142";"27";"15";"4100";"878";"293";"529";"152";"283";"417";"69";"1352";"14";"113";"-"
"173004";"173004";"21";"4";"2";"4609";"4151";"12";"19";"4120";"817";"344";"563";"131";"291";"386";"95";"1397";"9";"87";"-"
"173005";"173005";"21";"4";"2";"1129";"1034";"6";"2";"1026";"185";"110";"158";"37";"62";"82";"10";"338";"5";"39";"-"
"173006";"173006";"21";"4";"2";"4701";"4333";"11";"8";"4314";"680";"448";"751";"146";"235";"259";"92";"1602";"6";"95";"-"
"173007";"173007";"21";"4";"2";"3484";"3235";"7";"5";"3223";"618";"331";"517";"113";"224";"244";"67";"1034";"12";"63";"-"
"173008";"173008";"21";"4";"2";"3867";"3452";"16";"14";"3422";"806";"284";"466";"105";"255";"318";"50";"1071";"7";"60";"-"
"173009";"173009";"21";"4";"2";"2109";"1969";"8";"2";"1959";"391";"246";"293";"54";"150";"118";"35";"607";"9";"56";"-"
"173010";"173010";"21";"4";"2";"4700";"4183";"16";"17";"4150";"998";"377";"518";"82";"343";"405";"80";"1207";"14";"126";"-"
"175001";"175001";"28";"4";"2";"3122";"2758";"19";"3";"2736";"918";"117";"227";"65";"216";"412";"53";"645";"7";"76";"-"
"175002";"175002";"28";"4";"2";"1878";"1568";"7";"8";"1553";"699";"40";"64";"11";"127";"302";"13";"243";"9";"45";"-"
"175003";"175003";"28";"4";"2";"4189";"3552";"20";"14";"3518";"1178";"179";"248";"71";"323";"507";"50";"847";"12";"103";"-"
"175004";"175004";"28";"4";"2";"3888";"3302";"30";"2";"3270";"1290";"114";"180";"53";"261";"574";"29";"660";"17";"92";"-"
"175005";"175005";"28";"4";"2";"2653";"2276";"22";"7";"2247";"901";"69";"99";"34";"194";"422";"28";"435";"6";"59";"-"
"175006";"175006";"28";"4";"2";"3549";"3183";"19";"14";"3150";"1052";"155";"261";"67";"245";"392";"69";"806";"9";"94";"-"
"175007";"175007";"28";"4";"2";"2822";"2461";"16";"8";"2437";"1004";"89";"132";"34";"191";"419";"50";"456";"7";"55";"-"
"175008";"175008";"28";"4";"2";"4177";"3767";"34";"12";"3721";"1244";"149";"279";"90";"269";"663";"51";"890";"14";"72";"-"
"175009";"175009";"28";"4";"2";"1200";"1027";"22";"3";"1002";"358";"54";"76";"28";"77";"148";"13";"215";"5";"28";"-"
"181001";"181001";"21";"4";"2";"2995";"2830";"12";"8";"2810";"233";"240";"449";"101";"108";"136";"56";"1444";"4";"39";"-"
"181002";"181002";"21";"4";"2";"2393";"2161";"9";"6";"2146";"301";"187";"298";"43";"84";"133";"42";"1011";"3";"44";"-"
"181003";"181003";"21";"4";"2";"2478";"2316";"5";"5";"2306";"249";"269";"380";"87";"103";"104";"41";"1026";"6";"41";"-"
"181004";"181004";"21";"4";"2";"2527";"2368";"7";"4";"2357";"317";"220";"344";"72";"111";"146";"48";"1068";"0";"31";"-"
"181005";"181005";"21";"4";"2";"3896";"3478";"20";"9";"3449";"763";"257";"359";"79";"174";"308";"53";"1371";"14";"71";"-"
"181006";"181006";"21";"4";"2";"3981";"3665";"14";"1";"3650";"629";"247";"481";"116";"152";"291";"47";"1616";"8";"63";"-"
"181008";"181008";"21";"4";"2";"1378";"1250";"4";"3";"1243";"85";"72";"263";"31";"32";"106";"16";"622";"3";"13";"-"
"181009";"181009";"21";"4";"2";"3594";"3314";"11";"6";"3297";"351";"243";"474";"103";"124";"233";"52";"1672";"13";"32";"-"
"183001";"183001";"23";"4";"2";"1036";"951";"7";"2";"942";"237";"38";"87";"10";"67";"139";"20";"324";"2";"18";"-"
"183002";"183002";"23";"4";"2";"2848";"2534";"4";"10";"2520";"854";"88";"145";"53";"135";"470";"23";"684";"7";"61";"-"
"183003";"183003";"23";"4";"2";"3379";"2874";"15";"16";"2843";"1047";"81";"148";"55";"166";"543";"19";"714";"6";"64";"-"
"183004";"183004";"23";"4";"2";"2511";"1925";"12";"10";"1903";"800";"129";"47";"51";"179";"350";"8";"240";"7";"92";"-"
"183005";"183005";"23";"4";"2";"3765";"3312";"17";"14";"3281";"1091";"98";"222";"45";"137";"625";"35";"944";"14";"70";"-"
"185001";"185001";"27";"4";"2";"4151";"3716";"20";"11";"3685";"1149";"91";"234";"56";"193";"813";"40";"1041";"7";"61";"-"
"185002";"185002";"27";"4";"2";"5046";"4527";"24";"15";"4488";"1482";"138";"275";"105";"265";"753";"67";"1304";"12";"87";"-"
"185003";"185003";"27";"4";"2";"4681";"3991";"26";"12";"3953";"1549";"131";"219";"60";"308";"743";"30";"804";"19";"90";"-"
"185004";"185004";"27";"4";"2";"3832";"3303";"21";"14";"3268";"1242";"133";"208";"41";"203";"515";"54";"776";"12";"84";"-"
"185005";"185005";"27";"4";"2";"3630";"3210";"22";"9";"3179";"1022";"121";"214";"67";"193";"555";"49";"883";"9";"66";"-"
"185006";"185006";"27";"4";"2";"8722";"7538";"60";"24";"7454";"3010";"260";"362";"91";"521";"1316";"84";"1605";"28";"177";"-"
"187001";"187001";"23";"4";"2";"2339";"2039";"10";"8";"2021";"514";"51";"292";"40";"94";"337";"28";"630";"6";"29";"-"
"187002";"187002";"23";"4";"2";"3116";"2917";"16";"9";"2892";"781";"108";"445";"72";"118";"411";"24";"895";"7";"31";"-"
"187003";"187003";"23";"4";"2";"3587";"3329";"10";"3";"3316";"817";"148";"567";"69";"135";"410";"50";"1084";"9";"27";"-"
"189001";"189001";"22";"4";"2";"8705";"8093";"46";"20";"8027";"1695";"630";"1004";"253";"526";"856";"137";"2727";"20";"179";"-"
"189002";"189002";"22";"4";"2";"2480";"2332";"15";"3";"2314";"421";"253";"261";"96";"200";"150";"50";"778";"3";"102";"-"
"189003";"189003";"22";"4";"2";"1101";"1042";"6";"3";"1033";"188";"85";"105";"26";"70";"80";"26";"427";"2";"24";"-"
"189004";"189004";"22";"4";"2";"938";"869";"5";"1";"863";"194";"82";"102";"29";"100";"53";"17";"249";"3";"34";"-"
"201001";"201001";"31";"5";"2";"1963";"1889";"5";"4";"1880";"275";"146";"239";"64";"102";"165";"50";"808";"9";"22";"-"
"201002";"201002";"31";"5";"2";"2578";"2370";"12";"6";"2352";"587";"209";"256";"47";"220";"233";"45";"683";"8";"64";"-"
