"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1988 - Stemmeberettigede";"FV1988 - Afgivne stemmer";"FV1988 - Blanke stemmer";"FV1988 - Andre ugyldige stemmer";"FV1988 - Gyldige stemmer";"FV1988 - A. Socialdemokratiet";"FV1988 - B. Det Radikale Venstre";"FV1988 - C. Det Konservative Folkeparti";"FV1988 - F. Socialistisk Folkeparti";"FV1988 - G. De Grønne";"FV1988 - K. Danmarks Kommunistiske Parti";"FV1988 - M. Centrum-Demokraterne";"FV1988 - P. Fælles Kurs";"FV1988 - Q. Kristeligt Folkeparti";"FV1988 - V. Venstre, Danmarks Liberale Parti";"FV1988 - Y. Venstresocialisterne";"FV1988 - Z. Fremskridtspartiet";"FV1988 - 1. Uden for partierne";"FV1988 - 2. Uden for partierne";"FV1988 - 3. Uden for partierne"
"101014";"101014";"4";"1";"1";"4705";"3779";"28";"22";"3729";"936";"189";"436";"1204";"127";"112";"79";"131";"35";"126";"185";"169";"-";"-";"-"
"101016";"101016";"4";"1";"1";"6060";"4838";"26";"10";"4802";"1091";"245";"578";"1427";"135";"337";"106";"148";"45";"176";"276";"238";"-";"-";"-"
"101018";"101018";"7";"2";"1";"10863";"9218";"44";"19";"9155";"1774";"773";"1907";"2383";"281";"184";"284";"158";"116";"572";"257";"466";"-";"-";"-"
"101020";"101020";"7";"2";"1";"4664";"4043";"27";"8";"4008";"638";"391";"921";"935";"149";"86";"170";"53";"49";"294";"129";"193";"-";"-";"-"
"101022";"101022";"2";"1";"1";"6746";"5648";"26";"6";"5616";"949";"512";"1363";"1266";"225";"86";"199";"81";"72";"430";"150";"283";"-";"-";"-"
"101024";"101024";"2";"1";"1";"6472";"5289";"28";"10";"5251";"903";"433";"1395";"1052";"162";"98";"228";"100";"48";"448";"127";"257";"-";"-";"-"
"101026";"101026";"5";"1";"1";"14464";"11514";"53";"27";"11434";"3783";"529";"1584";"2981";"262";"216";"304";"464";"106";"354";"166";"685";"-";"-";"-"
"101028";"101028";"5";"1";"1";"9925";"7853";"35";"18";"7800";"2840";"291";"935";"1975";"126";"193";"194";"380";"66";"188";"116";"496";"-";"-";"-"
"101030";"101030";"9";"2";"1";"13063";"10842";"50";"24";"10768";"2451";"785";"2054";"2851";"333";"208";"326";"261";"133";"502";"290";"574";"-";"-";"-"
"101032";"101032";"10";"2";"1";"6973";"5640";"34";"5";"5601";"1510";"437";"596";"1823";"172";"129";"97";"217";"56";"195";"138";"231";"-";"-";"-"
"101034";"101034";"10";"2";"1";"3724";"2731";"33";"11";"2687";"873";"127";"276";"757";"95";"67";"50";"111";"22";"88";"121";"100";"-";"-";"-"
"101036";"101036";"11";"2";"1";"10264";"8051";"54";"21";"7976";"2448";"367";"748";"2566";"218";"212";"155";"346";"80";"243";"230";"363";"-";"-";"-"
"101038";"101038";"11";"2";"1";"5139";"4234";"19";"12";"4203";"1376";"184";"474";"1238";"99";"102";"81";"170";"41";"99";"109";"230";"-";"-";"-"
"101040";"101040";"11";"2";"1";"10415";"8268";"26";"19";"8223";"3159";"364";"881";"2071";"179";"175";"186";"364";"64";"204";"102";"474";"-";"-";"-"
"101042";"101042";"15";"3";"1";"6940";"5522";"25";"11";"5486";"1700";"264";"540";"1715";"148";"135";"94";"253";"37";"125";"165";"310";"-";"-";"-"
"101044";"101044";"15";"3";"1";"6064";"4887";"25";"17";"4845";"1442";"191";"412";"1613";"135";"161";"79";"228";"38";"115";"194";"237";"-";"-";"-"
"101046";"101046";"16";"3";"1";"3531";"2805";"9";"14";"2782";"1170";"122";"266";"583";"59";"60";"55";"200";"22";"89";"26";"130";"-";"-";"-"
"101048";"101048";"16";"3";"1";"5182";"4081";"15";"18";"4048";"1339";"151";"319";"1195";"136";"141";"50";"161";"44";"75";"170";"267";"-";"-";"-"
"101050";"101050";"16";"3";"1";"3974";"3266";"11";"11";"3244";"1091";"158";"471";"804";"56";"72";"114";"77";"35";"112";"62";"192";"-";"-";"-"
"101052";"101052";"12";"2";"1";"16899";"13539";"54";"29";"13456";"5400";"510";"1798";"3077";"205";"256";"353";"532";"117";"324";"111";"773";"-";"-";"-"
"101054";"101054";"12";"2";"1";"4747";"4058";"11";"8";"4039";"1315";"247";"694";"822";"94";"65";"189";"89";"76";"135";"49";"264";"-";"-";"-"
"101056";"101056";"8";"2";"1";"4711";"3979";"15";"12";"3952";"1355";"231";"592";"890";"69";"89";"176";"108";"56";"94";"66";"226";"-";"-";"-"
"101058";"101058";"8";"2";"1";"6712";"5572";"28";"27";"5517";"2129";"241";"834";"1150";"85";"104";"189";"191";"44";"130";"59";"361";"-";"-";"-"
"101060";"101060";"13";"2";"1";"5609";"4794";"23";"3";"4768";"1515";"265";"836";"980";"96";"110";"219";"133";"48";"161";"76";"329";"-";"-";"-"
"101062";"101062";"8";"2";"1";"8720";"7340";"36";"12";"7292";"2569";"335";"1104";"1611";"117";"142";"330";"226";"61";"185";"58";"554";"-";"-";"-"
"101064";"101064";"13";"2";"1";"11066";"9258";"44";"17";"9197";"2706";"586";"1848";"1885";"155";"129";"396";"218";"125";"397";"108";"644";"-";"-";"-"
"101066";"101066";"13";"2";"1";"4894";"4073";"18";"11";"4044";"1284";"226";"827";"827";"64";"63";"142";"86";"45";"178";"49";"253";"-";"-";"-"
"101068";"101068";"6";"2";"1";"9632";"7923";"44";"23";"7856";"2135";"461";"1533";"1896";"167";"160";"254";"238";"94";"363";"151";"404";"-";"-";"-"
"101070";"101070";"6";"2";"1";"4399";"3715";"14";"9";"3692";"1512";"199";"571";"632";"43";"63";"150";"133";"46";"117";"32";"194";"-";"-";"-"
"101072";"101072";"6";"2";"1";"16514";"13246";"47";"25";"13174";"3892";"808";"2261";"3187";"273";"255";"403";"362";"180";"548";"221";"784";"-";"-";"-"
"101074";"101074";"3";"1";"1";"8962";"7262";"33";"13";"7216";"2611";"349";"1107";"1589";"134";"118";"217";"261";"84";"196";"58";"492";"-";"-";"-"
"101076";"101076";"3";"1";"1";"4437";"3685";"8";"13";"3664";"1154";"211";"688";"716";"60";"52";"196";"98";"53";"114";"44";"278";"-";"-";"-"
"101078";"101078";"3";"1";"1";"14164";"11335";"45";"35";"11255";"3973";"495";"1726";"2619";"187";"208";"341";"433";"139";"279";"146";"709";"-";"-";"-"
"101080";"101080";"14";"3";"1";"6882";"5770";"35";"19";"5716";"1893";"281";"1000";"1289";"120";"99";"181";"134";"65";"200";"94";"360";"-";"-";"-"
"101082";"101082";"14";"3";"1";"5110";"4179";"17";"3";"4159";"1568";"177";"625";"882";"64";"87";"131";"147";"44";"120";"51";"263";"-";"-";"-"
"101084";"101084";"14";"3";"1";"5314";"4544";"11";"6";"4527";"1919";"180";"630";"867";"58";"77";"137";"174";"56";"91";"28";"310";"-";"-";"-"
"101086";"101086";"9";"2";"1";"5910";"4927";"14";"10";"4903";"977";"326";"1468";"901";"99";"68";"197";"96";"60";"322";"84";"305";"-";"-";"-"
"101088";"101088";"14";"3";"1";"4676";"3817";"23";"2";"3792";"1379";"221";"595";"827";"55";"70";"90";"116";"39";"135";"54";"211";"-";"-";"-"
"101090";"101090";"10";"2";"1";"8989";"7193";"41";"15";"7137";"1920";"416";"919";"2161";"178";"180";"161";"260";"78";"251";"188";"425";"-";"-";"-"
"101092";"101092";"11";"2";"1";"2059";"1818";"12";"2";"1804";"597";"111";"315";"396";"36";"43";"61";"47";"34";"55";"17";"92";"-";"-";"-"
"101094";"101094";"16";"3";"1";"9450";"7377";"21";"15";"7341";"3148";"215";"642";"1871";"139";"125";"129";"341";"41";"123";"144";"423";"-";"-";"-"
"101096";"101096";"13";"2";"1";"3506";"2983";"19";"3";"2961";"821";"174";"601";"659";"65";"46";"153";"68";"30";"117";"39";"188";"-";"-";"-"
"101098";"101098";"13";"2";"1";"4562";"3905";"19";"2";"3884";"1003";"232";"795";"871";"86";"58";"200";"66";"72";"145";"66";"290";"-";"-";"-"
"101102";"101102";"2";"1";"1";"2568";"1056";"5";"9";"1042";"154";"51";"423";"110";"10";"8";"62";"22";"4";"165";"7";"26";"-";"-";"-"
"147001";"147001";"17";"3";"1";"7943";"6776";"26";"12";"6738";"1267";"539";"2133";"1287";"184";"108";"212";"57";"54";"378";"133";"386";"-";"-";"-"
"147002";"147002";"17";"3";"1";"8305";"7171";"36";"17";"7118";"1175";"563";"2583";"1167";"169";"88";"275";"68";"77";"460";"100";"393";"-";"-";"-"
"147003";"147003";"18";"3";"1";"12710";"10438";"36";"32";"10370";"2906";"602";"2861";"1888";"171";"141";"301";"270";"114";"350";"100";"666";"-";"-";"-"
"147004";"147004";"18";"3";"1";"10227";"8624";"37";"16";"8571";"1750";"594";"3238";"1078";"159";"90";"332";"111";"138";"440";"71";"570";"-";"-";"-"
"147005";"147005";"18";"3";"1";"11912";"9817";"48";"15";"9754";"2356";"672";"2366";"2203";"267";"133";"262";"215";"113";"442";"136";"589";"-";"-";"-"
"147007";"147007";"19";"3";"1";"8105";"6841";"23";"13";"6805";"1356";"520";"2069";"1261";"162";"97";"233";"102";"88";"363";"98";"456";"-";"-";"-"
"147008";"147008";"19";"3";"1";"12789";"10736";"34";"32";"10670";"2483";"829";"2977";"1929";"245";"150";"379";"173";"118";"623";"143";"621";"-";"-";"-"
"151002";"151002";"22";"4";"2";"7304";"6212";"24";"10";"6178";"2552";"242";"944";"1152";"88";"62";"274";"168";"43";"215";"34";"404";"0";"-";"-"
"151003";"151003";"22";"4";"2";"2805";"2488";"13";"1";"2474";"732";"167";"562";"419";"32";"37";"181";"44";"20";"109";"13";"158";"0";"-";"-"
"151004";"151004";"22";"4";"2";"3005";"2486";"8";"5";"2473";"1032";"75";"299";"591";"46";"29";"56";"100";"10";"48";"15";"172";"0";"-";"-"
"151005";"151005";"22";"4";"2";"3937";"3599";"20";"6";"3573";"1050";"268";"755";"502";"56";"32";"325";"61";"31";"200";"22";"270";"1";"-";"-"
"151006";"151006";"22";"4";"2";"4612";"3961";"20";"9";"3932";"1822";"160";"376";"902";"46";"73";"111";"96";"14";"66";"19";"246";"1";"-";"-"
"151007";"151007";"22";"4";"2";"1511";"1374";"14";"0";"1360";"401";"81";"305";"195";"15";"19";"116";"28";"23";"58";"7";"112";"0";"-";"-"
"151009";"151009";"22";"4";"2";"2384";"2147";"10";"1";"2136";"449";"193";"589";"246";"36";"10";"233";"31";"20";"157";"12";"160";"0";"-";"-"
"151101";"151101";"22";"4";"2";"4853";"4180";"21";"4";"4155";"1862";"193";"515";"767";"55";"73";"187";"99";"31";"118";"15";"240";"0";"-";"-"
"151109";"151109";"22";"4";"2";"4008";"3542";"11";"4";"3527";"1058";"230";"668";"648";"85";"59";"243";"86";"33";"138";"43";"236";"0";"-";"-"
"153001";"153001";"26";"4";"2";"3876";"3417";"16";"1";"3400";"1218";"187";"598";"536";"45";"36";"207";"77";"28";"162";"11";"295";"0";"-";"-"
"153004";"153004";"26";"4";"2";"1918";"1619";"4";"5";"1610";"682";"67";"203";"374";"21";"14";"41";"58";"8";"27";"9";"106";"0";"-";"-"
"153005";"153005";"26";"4";"2";"3423";"2910";"16";"3";"2891";"1102";"158";"338";"682";"45";"39";"125";"94";"16";"81";"23";"187";"1";"-";"-"
"153006";"153006";"26";"4";"2";"4976";"4026";"27";"8";"3991";"1403";"191";"625";"844";"46";"57";"168";"160";"24";"107";"28";"337";"1";"-";"-"
"153102";"153102";"26";"4";"2";"3310";"2753";"11";"5";"2737";"1002";"144";"446";"531";"36";"42";"135";"72";"10";"86";"15";"218";"0";"-";"-"
"153103";"153103";"26";"4";"2";"4600";"3831";"17";"6";"3808";"1355";"255";"673";"729";"55";"50";"198";"88";"33";"124";"20";"228";"0";"-";"-"
"153107";"153107";"26";"4";"2";"3230";"2632";"16";"6";"2610";"804";"138";"447";"548";"33";"58";"165";"79";"30";"73";"16";"219";"0";"-";"-"
"155001";"155001";"27";"4";"2";"3121";"2741";"9";"6";"2726";"439";"220";"1123";"279";"48";"20";"188";"30";"36";"168";"6";"169";"0";"-";"-"
"155002";"155002";"27";"4";"2";"3292";"2816";"13";"4";"2799";"468";"205";"994";"289";"46";"7";"265";"62";"15";"165";"4";"279";"0";"-";"-"
"155003";"155003";"27";"4";"2";"3004";"2648";"16";"2";"2630";"650";"159";"748";"422";"40";"20";"191";"63";"29";"92";"12";"201";"3";"-";"-"
"157001";"157001";"20";"4";"2";"5487";"4938";"15";"10";"4913";"442";"448";"2112";"373";"112";"16";"451";"24";"40";"605";"26";"264";"0";"-";"-"
"157002";"157002";"20";"4";"2";"4676";"4115";"9";"6";"4100";"812";"316";"1250";"458";"90";"36";"394";"50";"74";"255";"28";"337";"0";"-";"-"
"157003";"157003";"20";"4";"2";"4643";"4193";"12";"5";"4176";"439";"374";"1636";"343";"95";"24";"350";"28";"64";"540";"45";"236";"2";"-";"-"
"157004";"157004";"20";"4";"2";"5827";"4836";"28";"13";"4795";"1001";"340";"1448";"594";"128";"39";"395";"86";"44";"333";"32";"355";"0";"-";"-"
"157005";"157005";"20";"4";"2";"5115";"4532";"13";"4";"4515";"495";"396";"1730";"416";"102";"17";"455";"34";"63";"496";"28";"283";"0";"-";"-"
"157006";"157006";"24";"4";"2";"5871";"5267";"21";"8";"5238";"410";"487";"2299";"408";"98";"25";"420";"27";"58";"692";"45";"269";"0";"-";"-"
"157007";"157007";"24";"4";"2";"5651";"4905";"13";"9";"4883";"663";"417";"1809";"523";"123";"45";"353";"32";"101";"472";"48";"297";"0";"-";"-"
"157008";"157008";"24";"4";"2";"4466";"3895";"12";"3";"3880";"427";"292";"1615";"371";"75";"25";"296";"23";"40";"441";"31";"244";"0";"-";"-"
"157009";"157009";"24";"4";"2";"5261";"4636";"9";"5";"4622";"479";"368";"1938";"356";"93";"17";"339";"32";"39";"658";"20";"283";"0";"-";"-"
"157010";"157010";"24";"4";"2";"5070";"4385";"17";"14";"4354";"434";"328";"1953";"266";"90";"11";"361";"37";"50";"549";"18";"257";"0";"-";"-"
"159001";"159001";"25";"4";"2";"5404";"4612";"15";"20";"4577";"1069";"370";"1173";"604";"95";"41";"534";"60";"40";"285";"37";"269";"0";"-";"-"
"159002";"159002";"25";"4";"2";"3220";"2768";"10";"2";"2756";"801";"167";"542";"440";"51";"21";"288";"62";"38";"95";"14";"237";"0";"-";"-"
"159003";"159003";"25";"4";"2";"5907";"5100";"19";"8";"5073";"1622";"290";"856";"1029";"84";"67";"484";"101";"44";"138";"37";"320";"1";"-";"-"
"159004";"159004";"25";"4";"2";"3155";"2675";"15";"2";"2658";"1120";"109";"305";"539";"27";"32";"159";"99";"28";"60";"20";"160";"0";"-";"-"
"159005";"159005";"25";"4";"2";"3312";"2875";"14";"4";"2857";"977";"190";"478";"493";"46";"43";"225";"66";"34";"91";"25";"189";"0";"-";"-"
"159006";"159006";"25";"4";"2";"3993";"3533";"14";"4";"3515";"881";"269";"660";"593";"68";"47";"405";"78";"56";"177";"39";"242";"0";"-";"-"
"159007";"159007";"25";"4";"2";"5270";"4574";"25";"3";"4546";"1628";"231";"627";"925";"71";"69";"372";"133";"28";"108";"30";"324";"0";"-";"-"
"159008";"159008";"25";"4";"2";"6274";"5580";"33";"9";"5538";"1252";"564";"1190";"858";"162";"51";"623";"60";"73";"322";"62";"320";"1";"-";"-"
"159009";"159009";"25";"4";"2";"3838";"3312";"17";"4";"3291";"850";"228";"656";"613";"83";"35";"320";"52";"45";"146";"48";"214";"1";"-";"-"
"159010";"159010";"25";"4";"2";"4848";"4049";"15";"8";"4026";"1288";"256";"709";"650";"66";"31";"409";"96";"51";"163";"27";"280";"0";"-";"-"
"159011";"159011";"25";"4";"2";"2957";"2442";"19";"4";"2419";"700";"159";"452";"495";"37";"34";"178";"75";"21";"105";"21";"142";"0";"-";"-"
"161001";"161001";"23";"4";"2";"3853";"3363";"17";"13";"3333";"1090";"195";"638";"562";"35";"34";"221";"79";"40";"145";"11";"283";"0";"-";"-"
"161002";"161002";"23";"4";"2";"2279";"1937";"8";"4";"1925";"587";"125";"500";"224";"31";"17";"125";"31";"21";"82";"14";"168";"0";"-";"-"
"161003";"161003";"23";"4";"2";"4332";"3602";"19";"21";"3562";"1350";"196";"665";"557";"41";"29";"153";"95";"34";"169";"14";"259";"0";"-";"-"
"161004";"161004";"23";"4";"2";"3843";"3280";"15";"13";"3252";"1484";"168";"430";"579";"35";"31";"90";"86";"23";"74";"10";"240";"2";"-";"-"
"161005";"161005";"23";"4";"2";"1369";"1263";"6";"1";"1256";"245";"104";"428";"105";"10";"2";"121";"11";"15";"103";"3";"109";"0";"-";"-"
"163001";"163001";"28";"4";"2";"1925";"1690";"10";"2";"1678";"668";"80";"284";"312";"14";"11";"66";"55";"21";"36";"9";"122";"0";"-";"-"
"163002";"163002";"28";"4";"2";"4797";"4169";"23";"6";"4140";"1410";"214";"776";"752";"74";"50";"237";"112";"68";"150";"12";"285";"0";"-";"-"
"163003";"163003";"28";"4";"2";"4270";"3682";"10";"2";"3670";"1015";"241";"756";"743";"91";"38";"223";"93";"77";"136";"32";"225";"0";"-";"-"
"163004";"163004";"28";"4";"2";"5525";"4880";"20";"5";"4855";"1445";"364";"1074";"773";"89";"77";"348";"94";"79";"154";"34";"324";"0";"-";"-"
"163005";"163005";"28";"4";"2";"3743";"3056";"12";"5";"3039";"1078";"174";"499";"628";"53";"33";"123";"96";"46";"103";"15";"191";"0";"-";"-"
"165001";"165001";"23";"4";"2";"4652";"4142";"23";"7";"4112";"805";"239";"775";"1237";"88";"129";"216";"79";"24";"123";"153";"243";"1";"-";"-"
"165002";"165002";"23";"4";"2";"3811";"3376";"11";"5";"3360";"892";"254";"708";"746";"62";"76";"229";"53";"14";"106";"47";"172";"1";"-";"-"
"165003";"165003";"23";"4";"2";"3062";"2442";"6";"9";"2427";"995";"99";"252";"658";"43";"42";"62";"61";"24";"45";"19";"127";"0";"-";"-"
"165004";"165004";"23";"4";"2";"4510";"3757";"17";"20";"3720";"1269";"151";"321";"1275";"95";"88";"79";"105";"20";"51";"67";"199";"0";"-";"-"
"165005";"165005";"23";"4";"2";"3538";"3068";"13";"11";"3044";"835";"234";"465";"791";"74";"105";"128";"50";"37";"90";"50";"185";"0";"-";"-"
"167001";"167001";"26";"4";"2";"4233";"3560";"14";"5";"3541";"1063";"230";"723";"657";"58";"55";"208";"80";"35";"144";"27";"260";"1";"-";"-"
"167002";"167002";"26";"4";"2";"3468";"2918";"15";"3";"2900";"1144";"129";"446";"571";"34";"23";"136";"77";"24";"61";"21";"234";"0";"-";"-"
"167003";"167003";"26";"4";"2";"4641";"4023";"15";"3";"4005";"1541";"214";"556";"855";"40";"54";"155";"144";"36";"125";"29";"256";"0";"-";"-"
"167004";"167004";"26";"4";"2";"4942";"4283";"12";"5";"4266";"1594";"231";"647";"865";"61";"52";"184";"113";"35";"110";"44";"329";"1";"-";"-"
"167005";"167005";"26";"4";"2";"5197";"4551";"20";"6";"4525";"1594";"227";"850";"797";"48";"48";"277";"104";"34";"156";"36";"354";"0";"-";"-"
"167006";"167006";"26";"4";"2";"5663";"4858";"24";"4";"4830";"1798";"277";"713";"979";"58";"64";"245";"155";"35";"117";"33";"356";"0";"-";"-"
"167007";"167007";"26";"4";"2";"5331";"4618";"19";"4";"4595";"1545";"312";"863";"726";"48";"28";"338";"129";"42";"128";"19";"415";"2";"-";"-"
"167008";"167008";"26";"4";"2";"4240";"3451";"13";"9";"3429";"1243";"136";"418";"896";"36";"46";"154";"155";"33";"75";"45";"192";"0";"-";"-"
"169001";"169001";"23";"4";"2";"2951";"2345";"12";"7";"2326";"761";"124";"441";"463";"31";"24";"108";"89";"28";"74";"8";"174";"1";"-";"-"
"169002";"169002";"23";"4";"2";"3391";"2970";"14";"4";"2952";"880";"183";"723";"403";"48";"17";"191";"66";"35";"134";"13";"259";"0";"-";"-"
"169003";"169003";"23";"4";"2";"2703";"2427";"9";"4";"2414";"534";"157";"722";"342";"29";"24";"191";"51";"18";"135";"18";"193";"0";"-";"-"
"169004";"169004";"23";"4";"2";"2143";"1866";"17";"7";"1842";"548";"134";"487";"199";"25";"24";"131";"40";"14";"120";"8";"112";"0";"-";"-"
"169005";"169005";"23";"4";"2";"1696";"1513";"5";"1";"1507";"412";"112";"393";"202";"13";"15";"120";"25";"18";"73";"10";"114";"0";"-";"-"
"169006";"169006";"23";"4";"2";"3945";"3176";"23";"8";"3145";"922";"143";"653";"619";"39";"19";"182";"107";"34";"115";"11";"301";"0";"-";"-"
"169007";"169007";"23";"4";"2";"3539";"2995";"18";"11";"2966";"998";"182";"572";"543";"38";"28";"145";"53";"22";"110";"11";"264";"0";"-";"-"
"169008";"169008";"23";"4";"2";"935";"795";"8";"3";"784";"242";"46";"133";"178";"12";"8";"46";"34";"5";"25";"1";"53";"1";"-";"-"
"169009";"169009";"23";"4";"2";"1703";"1499";"8";"6";"1485";"327";"97";"394";"132";"42";"14";"116";"27";"22";"145";"13";"156";"0";"-";"-"
"169010";"169010";"23";"4";"2";"1895";"1529";"17";"3";"1509";"486";"85";"299";"261";"26";"13";"71";"61";"16";"56";"1";"133";"1";"-";"-"
"169011";"169011";"23";"4";"2";"3379";"2847";"19";"0";"2828";"1001";"166";"604";"385";"31";"11";"149";"99";"23";"143";"5";"211";"0";"-";"-"
"169012";"169012";"23";"4";"2";"3199";"2835";"17";"6";"2812";"895";"212";"651";"329";"34";"15";"215";"29";"16";"176";"3";"237";"0";"-";"-"
"169013";"169013";"23";"4";"2";"504";"458";"3";"1";"454";"107";"30";"133";"42";"8";"2";"16";"10";"3";"49";"6";"48";"0";"-";"-"
"171001";"171001";"22";"4";"2";"659";"584";"2";"1";"581";"120";"30";"148";"87";"9";"4";"38";"7";"4";"86";"3";"45";"0";"-";"-"
"171002";"171002";"22";"4";"2";"5124";"4529";"38";"3";"4488";"1154";"352";"1106";"627";"85";"22";"392";"69";"46";"265";"13";"356";"1";"-";"-"
"171104";"171104";"22";"4";"2";"459";"403";"4";"0";"399";"88";"20";"97";"34";"10";"4";"29";"8";"1";"64";"5";"39";"0";"-";"-"
"173001";"173001";"21";"4";"2";"3199";"2751";"14";"3";"2734";"675";"210";"825";"361";"55";"24";"141";"51";"32";"165";"8";"187";"0";"-";"-"
"173002";"173002";"21";"4";"2";"4879";"4196";"12";"10";"4174";"1385";"304";"949";"643";"70";"27";"206";"74";"37";"142";"25";"312";"0";"-";"-"
"173003";"173003";"21";"4";"2";"5065";"4435";"23";"6";"4406";"922";"423";"1290";"579";"94";"39";"245";"58";"51";"431";"18";"255";"1";"-";"-"
"173004";"173004";"21";"4";"2";"3468";"3109";"11";"3";"3095";"661";"258";"963";"354";"71";"22";"261";"28";"35";"213";"23";"206";"0";"-";"-"
"173005";"173005";"21";"4";"2";"1283";"1152";"8";"0";"1144";"176";"85";"419";"153";"31";"9";"68";"15";"4";"93";"14";"77";"0";"-";"-"
"173006";"173006";"21";"4";"2";"4770";"4374";"12";"6";"4356";"558";"422";"1733";"317";"92";"22";"395";"27";"47";"465";"23";"255";"0";"-";"-"
"173007";"173007";"21";"4";"2";"3756";"3436";"10";"3";"3423";"492";"405";"1282";"331";"64";"4";"275";"26";"27";"327";"14";"176";"0";"-";"-"
"173008";"173008";"21";"4";"2";"3885";"3482";"9";"8";"3465";"698";"342";"1144";"415";"81";"14";"260";"32";"40";"232";"17";"188";"2";"-";"-"
"173009";"173009";"21";"4";"2";"2192";"2030";"10";"0";"2020";"269";"213";"720";"234";"42";"15";"188";"12";"30";"166";"12";"119";"0";"-";"-"
"173010";"173010";"21";"4";"2";"4689";"4156";"21";"5";"4130";"1049";"378";"1140";"496";"78";"31";"304";"51";"38";"289";"20";"256";"0";"-";"-"
"173105";"173105";"21";"4";"2";"2980";"2605";"2";"5";"2598";"648";"200";"803";"308";"43";"12";"171";"47";"29";"180";"14";"143";"0";"-";"-"
"173111";"173111";"21";"4";"2";"58";"51";"0";"1";"50";"11";"2";"2";"27";"2";"4";"0";"0";"1";"0";"0";"1";"0";"-";"-"
"175001";"175001";"28";"4";"2";"3142";"2692";"9";"5";"2678";"919";"157";"537";"408";"48";"23";"160";"73";"29";"95";"16";"213";"0";"-";"-"
"175002";"175002";"28";"4";"2";"2170";"1866";"6";"4";"1856";"823";"99";"243";"351";"16";"32";"55";"55";"12";"34";"2";"134";"0";"-";"-"
"175003";"175003";"28";"4";"2";"3838";"3245";"26";"1";"3218";"986";"201";"661";"617";"53";"51";"156";"97";"33";"131";"15";"217";"0";"-";"-"
"175004";"175004";"28";"4";"2";"4142";"3474";"25";"5";"3444";"1233";"182";"535";"776";"57";"41";"148";"102";"13";"84";"20";"253";"0";"-";"-"
"175005";"175005";"28";"4";"2";"2970";"2470";"12";"2";"2456";"970";"116";"391";"472";"52";"37";"99";"68";"18";"64";"5";"164";"0";"-";"-"
"175006";"175006";"28";"4";"2";"3635";"3217";"11";"9";"3197";"925";"232";"720";"460";"63";"42";"228";"69";"47";"136";"23";"252";"0";"-";"-"
"175007";"175007";"28";"4";"2";"4185";"3607";"25";"5";"3577";"1345";"207";"625";"629";"43";"44";"162";"78";"44";"114";"22";"264";"0";"-";"-"
