"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2011 - Personlige stemmer i alt";"FV2011 - A - personlige stemmer i alt";"FV2011 - B - personlige stemmer i alt";"FV2011 - C - personlige stemmer i alt";"FV2011 - F - personlige stemmer i alt";"FV2011 - I - personlige stemmer i alt";"FV2011 - K - personlige stemmer i alt";"FV2011 - O - personlige stemmer i alt";"FV2011 - V - personlige stemmer i alt";"FV2011 - Ø - personlige stemmer i alt";"FV2011 - UP - personlige stemmer i alt";"FV2011 - A-01";"FV2011 - A-02";"FV2011 - A-03";"FV2011 - A-04";"FV2011 - A-05";"FV2011 - A-06";"FV2011 - A-07";"FV2011 - A-08";"FV2011 - A-09";"FV2011 - A-10";"FV2011 - A-11";"FV2011 - A-12";"FV2011 - A-13";"FV2011 - B-01";"FV2011 - B-02";"FV2011 - B-03";"FV2011 - B-04";"FV2011 - B-05";"FV2011 - B-06";"FV2011 - B-07";"FV2011 - B-08";"FV2011 - B-09";"FV2011 - B-10";"FV2011 - B-11";"FV2011 - B-12";"FV2011 - C-01";"FV2011 - C-02";"FV2011 - C-03";"FV2011 - C-04";"FV2011 - C-05";"FV2011 - C-06";"FV2011 - C-07";"FV2011 - C-08";"FV2011 - C-09";"FV2011 - C-10";"FV2011 - C-11";"FV2011 - C-12";"FV2011 - C-13";"FV2011 - F-01";"FV2011 - F-02";"FV2011 - F-03";"FV2011 - F-04";"FV2011 - F-05";"FV2011 - F-06";"FV2011 - F-07";"FV2011 - F-08";"FV2011 - F-09";"FV2011 - F-10";"FV2011 - F-11";"FV2011 - F-12";"FV2011 - F-13";"FV2011 - I-01";"FV2011 - I-02";"FV2011 - I-03";"FV2011 - I-04";"FV2011 - I-05";"FV2011 - I-06";"FV2011 - I-07";"FV2011 - I-08";"FV2011 - I-09";"FV2011 - I-10";"FV2011 - I-11";"FV2011 - I-12";"FV2011 - K-01";"FV2011 - K-02";"FV2011 - K-03";"FV2011 - K-04";"FV2011 - K-05";"FV2011 - K-06";"FV2011 - K-07";"FV2011 - K-08";"FV2011 - K-09";"FV2011 - K-10";"FV2011 - K-11";"FV2011 - K-12";"FV2011 - K-13";"FV2011 - O-01";"FV2011 - O-02";"FV2011 - O-03";"FV2011 - O-04";"FV2011 - O-05";"FV2011 - O-06";"FV2011 - O-07";"FV2011 - O-08";"FV2011 - O-09";"FV2011 - O-10";"FV2011 - O-11";"FV2011 - O-12";"FV2011 - O-13";"FV2011 - V-01";"FV2011 - V-02";"FV2011 - V-03";"FV2011 - V-04";"FV2011 - V-05";"FV2011 - V-06";"FV2011 - V-07";"FV2011 - V-08";"FV2011 - V-09";"FV2011 - V-10";"FV2011 - V-11";"FV2011 - V-12";"FV2011 - V-13";"FV2011 - Ø-01";"FV2011 - Ø-02";"FV2011 - Ø-03";"FV2011 - Ø-04";"FV2011 - Ø-05";"FV2011 - Ø-06";"FV2011 - Ø-07";"FV2011 - Ø-08";"FV2011 - Ø-09";"FV2011 - Ø-10";"FV2011 - Ø-11";"FV2011 - Ø-12";"FV2011 - UP-01";"FV2011 - UP-02";"FV2011 - UP-03";"FV2011 - UP-04";"FV2011 - UP-05";"FV2011 - UP-06"
"265016";"265016";"36";"5";"2";"692";"129";"35";"42";"51";"19";"3";"133";"262";"18";"0";"1";"1";"90";"1";"0";"0";"7";"7";"0";"21";"1";"0";"-";"0";"0";"0";"0";"2";"0";"0";"13";"17";"0";"3";"-";"2";"0";"0";"4";"0";"16";"0";"4";"3";"1";"0";"12";"-";"1";"1";"0";"1";"0";"0";"37";"0";"1";"10";"0";"0";"-";"3";"9";"0";"0";"6";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"3";"1";"1";"0";"0";"0";"0";"104";"23";"1";"0";"0";"-";"7";"2";"2";"18";"28";"5";"54";"7";"125";"7";"1";"6";"-";"11";"2";"0";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"0";"0";"-";"-";"-"
"265017";"265017";"36";"5";"2";"1309";"303";"69";"70";"88";"23";"3";"279";"441";"32";"1";"2";"2";"212";"6";"2";"1";"21";"10";"1";"45";"0";"1";"-";"1";"0";"1";"0";"1";"6";"2";"25";"32";"0";"1";"-";"0";"0";"0";"1";"1";"25";"1";"4";"7";"1";"1";"29";"-";"1";"1";"0";"1";"1";"0";"72";"0";"1";"10";"1";"0";"-";"2";"9";"1";"2";"5";"1";"1";"0";"0";"0";"0";"2";"1";"0";"0";"2";"0";"0";"0";"0";"0";"-";"-";"-";"-";"5";"0";"1";"0";"1";"1";"1";"218";"49";"0";"1";"2";"-";"10";"9";"4";"37";"39";"10";"103";"9";"196";"11";"3";"10";"-";"22";"1";"0";"2";"0";"4";"0";"0";"0";"0";"2";"1";"1";"0";"0";"-";"-";"-"
"265018";"265018";"36";"5";"2";"358";"56";"17";"15";"26";"10";"0";"83";"142";"9";"0";"0";"1";"45";"1";"0";"1";"2";"0";"1";"5";"0";"0";"-";"2";"1";"0";"0";"1";"2";"0";"1";"7";"0";"3";"-";"0";"0";"0";"2";"0";"5";"0";"0";"0";"0";"1";"7";"-";"1";"0";"0";"0";"0";"1";"19";"0";"1";"4";"0";"0";"-";"0";"3";"1";"0";"3";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"2";"0";"0";"0";"1";"0";"0";"68";"12";"0";"0";"0";"-";"1";"3";"2";"12";"17";"7";"29";"2";"58";"4";"0";"7";"-";"5";"1";"0";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-"
"265020";"265020";"36";"5";"2";"489";"101";"33";"24";"36";"15";"2";"93";"166";"16";"3";"1";"0";"77";"1";"0";"0";"5";"5";"0";"12";"0";"0";"-";"0";"0";"0";"0";"0";"4";"0";"11";"18";"0";"0";"-";"0";"0";"0";"0";"1";"11";"1";"0";"2";"0";"1";"8";"-";"1";"1";"1";"0";"1";"1";"24";"1";"1";"3";"0";"2";"-";"1";"5";"0";"1";"4";"0";"0";"1";"2";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"75";"17";"0";"0";"1";"-";"1";"0";"2";"14";"14";"4";"37";"2";"84";"3";"0";"5";"-";"10";"1";"1";"1";"0";"0";"0";"0";"0";"0";"3";"0";"2";"0";"1";"-";"-";"-"
"265021";"265021";"36";"5";"2";"686";"125";"143";"42";"122";"20";"0";"58";"117";"56";"3";"1";"1";"87";"1";"1";"5";"8";"3";"0";"18";"0";"0";"-";"0";"0";"0";"0";"4";"1";"0";"35";"85";"0";"18";"-";"0";"1";"1";"1";"0";"19";"0";"1";"2";"0";"1";"16";"-";"0";"3";"0";"0";"0";"4";"57";"2";"46";"10";"0";"0";"-";"4";"10";"0";"0";"3";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"1";"0";"0";"0";"0";"0";"0";"45";"12";"0";"0";"0";"-";"1";"1";"0";"16";"8";"1";"46";"0";"30";"7";"0";"7";"-";"32";"4";"2";"9";"1";"5";"0";"1";"1";"0";"1";"0";"3";"0";"0";"-";"-";"-"
"269001";"269001";"35";"5";"2";"1107";"182";"71";"96";"94";"29";"0";"278";"317";"40";"0";"1";"1";"23";"2";"1";"0";"21";"82";"0";"50";"0";"1";"-";"1";"0";"0";"0";"0";"2";"8";"36";"22";"0";"2";"-";"0";"1";"2";"17";"1";"45";"0";"4";"10";"0";"0";"16";"-";"0";"5";"1";"0";"0";"4";"37";"1";"31";"11";"2";"2";"-";"2";"11";"0";"3";"5";"0";"2";"3";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"17";"2";"1";"0";"1";"0";"2";"245";"7";"1";"2";"0";"-";"12";"0";"8";"31";"29";"4";"201";"0";"22";"2";"0";"8";"-";"2";"0";"1";"4";"0";"29";"0";"1";"0";"0";"2";"1";"0";"0";"0";"-";"-";"-"
"269004";"269004";"35";"5";"2";"1660";"275";"92";"145";"77";"44";"2";"423";"567";"35";"0";"1";"0";"11";"5";"4";"2";"31";"134";"1";"81";"0";"5";"-";"0";"3";"1";"0";"1";"2";"2";"51";"28";"0";"4";"-";"3";"1";"6";"36";"1";"67";"0";"5";"18";"0";"0";"8";"-";"1";"4";"1";"2";"0";"1";"31";"1";"21";"15";"0";"0";"-";"3";"18";"2";"6";"8";"1";"4";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"-";"-";"-";"-";"36";"2";"4";"1";"2";"1";"1";"371";"1";"1";"3";"0";"-";"9";"4";"27";"29";"58";"9";"403";"5";"9";"0";"4";"10";"-";"5";"3";"0";"1";"1";"22";"0";"1";"1";"0";"1";"0";"0";"0";"0";"-";"-";"-"
"269005";"269005";"35";"5";"2";"2509";"463";"117";"188";"148";"77";"1";"618";"849";"47";"1";"2";"4";"17";"4";"5";"7";"57";"231";"3";"122";"1";"10";"-";"2";"2";"1";"1";"0";"8";"1";"62";"34";"1";"5";"-";"3";"1";"3";"40";"5";"85";"0";"14";"22";"2";"0";"13";"-";"3";"10";"1";"1";"0";"0";"51";"4";"41";"35";"1";"1";"-";"3";"27";"2";"2";"24";"0";"10";"5";"0";"1";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"62";"3";"5";"1";"0";"0";"2";"538";"3";"1";"1";"2";"-";"17";"10";"56";"70";"75";"5";"574";"8";"20";"0";"2";"12";"-";"5";"2";"0";"8";"1";"29";"0";"0";"0";"1";"1";"0";"1";"0";"0";"-";"-";"-"
"270001";"270001";"23";"3";"1";"1955";"305";"181";"60";"65";"109";"9";"133";"1046";"46";"1";"238";"10";"18";"36";"2";"1";"-";"-";"-";"-";"-";"-";"-";"9";"1";"3";"168";"-";"-";"-";"-";"-";"-";"-";"-";"8";"7";"43";"0";"0";"2";"-";"-";"-";"-";"-";"-";"-";"4";"1";"40";"1";"14";"5";"-";"-";"-";"-";"-";"-";"-";"1";"1";"2";"0";"2";"98";"5";"-";"-";"-";"-";"-";"4";"0";"2";"0";"3";"-";"-";"-";"-";"-";"-";"-";"-";"25";"5";"7";"6";"67";"23";"-";"-";"-";"-";"-";"-";"-";"8";"10";"18";"37";"36";"937";"-";"-";"-";"-";"-";"-";"-";"16";"25";"0";"2";"2";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"270002";"270002";"23";"3";"1";"1226";"202";"167";"55";"65";"76";"5";"80";"540";"35";"1";"137";"8";"16";"33";"3";"5";"-";"-";"-";"-";"-";"-";"-";"11";"0";"5";"151";"-";"-";"-";"-";"-";"-";"-";"-";"4";"10";"38";"1";"0";"2";"-";"-";"-";"-";"-";"-";"-";"4";"2";"39";"3";"15";"2";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"1";"1";"67";"7";"-";"-";"-";"-";"-";"1";"0";"2";"0";"2";"-";"-";"-";"-";"-";"-";"-";"-";"9";"2";"4";"3";"44";"18";"-";"-";"-";"-";"-";"-";"-";"0";"2";"15";"16";"4";"503";"-";"-";"-";"-";"-";"-";"-";"12";"13";"0";"1";"6";"3";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"270003";"270003";"23";"3";"1";"235";"22";"31";"7";"4";"13";"2";"16";"134";"6";"0";"16";"1";"0";"3";"1";"1";"-";"-";"-";"-";"-";"-";"-";"0";"1";"1";"29";"-";"-";"-";"-";"-";"-";"-";"-";"1";"2";"4";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"0";"0";"4";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"0";"0";"12";"0";"-";"-";"-";"-";"-";"0";"0";"2";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"5";"0";"0";"0";"10";"1";"-";"-";"-";"-";"-";"-";"-";"0";"0";"4";"10";"1";"119";"-";"-";"-";"-";"-";"-";"-";"1";"4";"0";"0";"1";"0";"-";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-"
"270004";"270004";"23";"3";"1";"1917";"274";"164";"42";"63";"75";"40";"104";"1122";"32";"1";"183";"7";"17";"56";"6";"5";"-";"-";"-";"-";"-";"-";"-";"7";"0";"1";"156";"-";"-";"-";"-";"-";"-";"-";"-";"6";"7";"29";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"5";"2";"37";"1";"14";"4";"-";"-";"-";"-";"-";"-";"-";"0";"3";"0";"2";"0";"68";"2";"-";"-";"-";"-";"-";"9";"3";"17";"0";"11";"-";"-";"-";"-";"-";"-";"-";"-";"18";"1";"8";"3";"67";"7";"-";"-";"-";"-";"-";"-";"-";"11";"0";"13";"34";"28";"1036";"-";"-";"-";"-";"-";"-";"-";"17";"5";"1";"3";"5";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"270005";"270005";"23";"3";"1";"985";"145";"130";"46";"23";"67";"0";"41";"522";"9";"2";"112";"1";"5";"23";"1";"3";"-";"-";"-";"-";"-";"-";"-";"3";"2";"1";"124";"-";"-";"-";"-";"-";"-";"-";"-";"4";"11";"28";"0";"0";"3";"-";"-";"-";"-";"-";"-";"-";"3";"0";"16";"0";"3";"1";"-";"-";"-";"-";"-";"-";"-";"2";"1";"1";"0";"1";"59";"3";"-";"-";"-";"-";"-";"0";"0";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"9";"2";"1";"1";"18";"10";"-";"-";"-";"-";"-";"-";"-";"2";"0";"5";"28";"32";"455";"-";"-";"-";"-";"-";"-";"-";"1";"7";"0";"0";"0";"1";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-"
"270006";"270006";"23";"3";"1";"2668";"419";"253";"108";"119";"151";"23";"148";"1398";"49";"0";"306";"13";"25";"64";"4";"7";"-";"-";"-";"-";"-";"-";"-";"25";"2";"4";"222";"-";"-";"-";"-";"-";"-";"-";"-";"10";"31";"64";"0";"1";"2";"-";"-";"-";"-";"-";"-";"-";"11";"4";"75";"1";"25";"3";"-";"-";"-";"-";"-";"-";"-";"3";"3";"0";"7";"5";"129";"4";"-";"-";"-";"-";"-";"4";"1";"14";"0";"4";"-";"-";"-";"-";"-";"-";"-";"-";"33";"6";"2";"0";"82";"25";"-";"-";"-";"-";"-";"-";"-";"9";"6";"28";"64";"26";"1265";"-";"-";"-";"-";"-";"-";"-";"14";"19";"1";"4";"9";"2";"-";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-"
"270007";"270007";"23";"3";"1";"637";"79";"81";"26";"33";"37";"1";"30";"335";"15";"0";"57";"5";"6";"7";"2";"2";"-";"-";"-";"-";"-";"-";"-";"4";"0";"2";"75";"-";"-";"-";"-";"-";"-";"-";"-";"1";"5";"20";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"5";"0";"20";"0";"5";"3";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"1";"0";"34";"1";"-";"-";"-";"-";"-";"0";"0";"0";"0";"1";"-";"-";"-";"-";"-";"-";"-";"-";"3";"0";"1";"1";"22";"3";"-";"-";"-";"-";"-";"-";"-";"2";"1";"6";"13";"5";"308";"-";"-";"-";"-";"-";"-";"-";"4";"3";"0";"1";"7";"0";"-";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-"
"270008";"270008";"23";"3";"1";"2854";"506";"285";"138";"103";"120";"32";"190";"1440";"39";"1";"380";"7";"27";"78";"8";"6";"-";"-";"-";"-";"-";"-";"-";"10";"1";"7";"267";"-";"-";"-";"-";"-";"-";"-";"-";"21";"30";"84";"2";"1";"0";"-";"-";"-";"-";"-";"-";"-";"3";"3";"60";"3";"25";"9";"-";"-";"-";"-";"-";"-";"-";"4";"1";"5";"1";"0";"105";"4";"-";"-";"-";"-";"-";"3";"3";"23";"0";"3";"-";"-";"-";"-";"-";"-";"-";"-";"32";"5";"3";"4";"119";"27";"-";"-";"-";"-";"-";"-";"-";"8";"4";"25";"94";"53";"1256";"-";"-";"-";"-";"-";"-";"-";"6";"21";"3";"1";"7";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"270009";"270009";"23";"3";"1";"443";"70";"55";"17";"26";"33";"4";"22";"204";"12";"0";"47";"1";"3";"13";"2";"4";"-";"-";"-";"-";"-";"-";"-";"4";"0";"1";"50";"-";"-";"-";"-";"-";"-";"-";"-";"0";"2";"13";"0";"0";"2";"-";"-";"-";"-";"-";"-";"-";"0";"0";"18";"0";"6";"2";"-";"-";"-";"-";"-";"-";"-";"2";"0";"0";"2";"0";"28";"1";"-";"-";"-";"-";"-";"1";"1";"2";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"3";"0";"0";"0";"15";"4";"-";"-";"-";"-";"-";"-";"-";"3";"1";"2";"3";"11";"184";"-";"-";"-";"-";"-";"-";"-";"4";"6";"1";"0";"0";"1";"-";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"-"
"270010";"270010";"23";"3";"1";"1227";"174";"183";"46";"35";"79";"1";"65";"622";"21";"1";"116";"2";"9";"42";"4";"1";"-";"-";"-";"-";"-";"-";"-";"12";"0";"0";"171";"-";"-";"-";"-";"-";"-";"-";"-";"8";"7";"31";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"5";"1";"17";"2";"9";"1";"-";"-";"-";"-";"-";"-";"-";"0";"1";"0";"1";"1";"74";"2";"-";"-";"-";"-";"-";"0";"0";"1";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"13";"9";"2";"4";"29";"8";"-";"-";"-";"-";"-";"-";"-";"6";"1";"11";"50";"40";"514";"-";"-";"-";"-";"-";"-";"-";"8";"9";"1";"1";"2";"0";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"270011";"270011";"23";"3";"1";"1130";"215";"129";"65";"50";"54";"3";"107";"480";"26";"1";"143";"4";"12";"47";"5";"4";"-";"-";"-";"-";"-";"-";"-";"10";"2";"0";"117";"-";"-";"-";"-";"-";"-";"-";"-";"8";"12";"43";"0";"0";"2";"-";"-";"-";"-";"-";"-";"-";"2";"2";"31";"0";"12";"3";"-";"-";"-";"-";"-";"-";"-";"2";"0";"1";"0";"0";"51";"0";"-";"-";"-";"-";"-";"0";"0";"1";"0";"2";"-";"-";"-";"-";"-";"-";"-";"-";"20";"2";"4";"5";"53";"23";"-";"-";"-";"-";"-";"-";"-";"3";"4";"14";"27";"13";"419";"-";"-";"-";"-";"-";"-";"-";"9";"14";"0";"0";"3";"0";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"270012";"270012";"23";"3";"1";"806";"141";"174";"38";"38";"62";"4";"40";"278";"30";"1";"103";"3";"10";"21";"2";"2";"-";"-";"-";"-";"-";"-";"-";"16";"1";"6";"151";"-";"-";"-";"-";"-";"-";"-";"-";"5";"9";"24";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"4";"1";"23";"0";"7";"3";"-";"-";"-";"-";"-";"-";"-";"0";"2";"0";"0";"0";"58";"2";"-";"-";"-";"-";"-";"3";"0";"0";"0";"1";"-";"-";"-";"-";"-";"-";"-";"-";"7";"1";"0";"0";"24";"8";"-";"-";"-";"-";"-";"-";"-";"2";"2";"7";"16";"5";"246";"-";"-";"-";"-";"-";"-";"-";"11";"13";"0";"2";"3";"1";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-"
"306001";"306001";"38";"5";"2";"1406";"343";"78";"68";"89";"24";"4";"380";"393";"25";"2";"3";"27";"11";"1";"1";"9";"21";"2";"252";"15";"0";"1";"-";"0";"1";"0";"28";"1";"7";"0";"31";"8";"0";"2";"-";"2";"17";"1";"0";"3";"40";"0";"0";"5";"0";"0";"0";"-";"0";"33";"3";"0";"0";"0";"30";"1";"2";"20";"0";"0";"-";"1";"11";"5";"0";"4";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"-";"-";"-";"-";"2";"1";"0";"1";"0";"3";"2";"370";"0";"1";"0";"0";"-";"0";"2";"7";"11";"7";"11";"29";"320";"2";"1";"0";"3";"-";"0";"7";"2";"3";"0";"3";"0";"0";"0";"0";"0";"10";"2";"0";"0";"-";"-";"-"
"306002";"306002";"38";"5";"2";"1359";"324";"78";"38";"103";"32";"0";"383";"364";"35";"2";"2";"31";"8";"4";"1";"10";"18";"0";"233";"13";"0";"4";"-";"1";"4";"0";"15";"1";"4";"0";"37";"13";"0";"3";"-";"1";"4";"0";"0";"0";"26";"0";"1";"6";"0";"0";"0";"-";"1";"66";"2";"0";"3";"1";"14";"0";"0";"16";"0";"0";"-";"1";"15";"10";"0";"3";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"0";"1";"1";"0";"0";"2";"2";"371";"1";"0";"2";"3";"-";"1";"2";"6";"11";"13";"6";"30";"285";"2";"0";"1";"7";"-";"5";"4";"0";"6";"0";"7";"0";"1";"1";"1";"0";"10";"0";"1";"1";"-";"-";"-"
"306003";"306003";"38";"5";"2";"853";"184";"18";"25";"77";"21";"1";"274";"222";"31";"0";"0";"17";"9";"2";"0";"4";"8";"1";"133";"9";"0";"1";"-";"1";"0";"0";"5";"0";"1";"0";"10";"1";"0";"0";"-";"1";"8";"0";"0";"0";"11";"0";"2";"2";"0";"0";"1";"-";"1";"27";"2";"3";"0";"3";"24";"0";"0";"16";"0";"1";"-";"1";"9";"8";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"-";"-";"-";"-";"7";"2";"0";"1";"0";"1";"0";"261";"1";"1";"0";"0";"-";"1";"1";"5";"9";"2";"7";"17";"170";"4";"1";"1";"4";"-";"4";"6";"0";"3";"0";"4";"1";"0";"0";"1";"0";"12";"0";"0";"0";"-";"-";"-"
"306004";"306004";"38";"5";"2";"1085";"225";"45";"49";"77";"23";"8";"313";"319";"25";"1";"1";"27";"8";"3";"6";"6";"7";"2";"152";"10";"1";"2";"-";"0";"0";"0";"12";"1";"5";"1";"17";"8";"1";"0";"-";"0";"14";"0";"0";"0";"27";"0";"2";"5";"0";"0";"1";"-";"0";"32";"0";"1";"4";"1";"19";"0";"0";"18";"1";"1";"-";"0";"13";"4";"0";"2";"0";"0";"0";"2";"1";"1";"0";"1";"4";"1";"2";"0";"0";"0";"0";"0";"-";"-";"-";"-";"2";"1";"0";"1";"0";"0";"5";"300";"0";"0";"4";"0";"-";"0";"2";"7";"11";"4";"17";"14";"255";"3";"1";"1";"4";"-";"3";"8";"0";"3";"1";"3";"0";"0";"0";"0";"1";"6";"0";"0";"1";"-";"-";"-"
"306005";"306005";"38";"5";"2";"524";"119";"16";"7";"47";"5";"1";"181";"132";"16";"0";"1";"10";"5";"1";"1";"4";"1";"0";"86";"8";"0";"2";"-";"0";"0";"0";"8";"0";"2";"0";"5";"1";"0";"0";"-";"0";"2";"1";"1";"0";"3";"0";"0";"0";"0";"0";"0";"-";"0";"20";"0";"0";"0";"2";"11";"0";"0";"14";"0";"0";"-";"1";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"-";"-";"-";"-";"0";"1";"0";"0";"0";"0";"0";"178";"1";"0";"0";"1";"-";"0";"0";"2";"7";"1";"1";"11";"100";"4";"0";"1";"5";"-";"1";"2";"0";"2";"0";"3";"0";"0";"1";"0";"0";"7";"0";"0";"0";"-";"-";"-"
"306006";"306006";"38";"5";"2";"1080";"239";"38";"46";"68";"26";"1";"299";"339";"24";"0";"0";"14";"5";"3";"2";"9";"10";"1";"175";"19";"1";"0";"-";"0";"0";"1";"14";"0";"0";"0";"16";"7";"0";"0";"-";"2";"6";"1";"0";"1";"28";"2";"0";"5";"1";"0";"0";"-";"1";"34";"1";"1";"0";"1";"13";"0";"1";"15";"0";"1";"-";"0";"14";"6";"0";"2";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"-";"-";"-";"-";"3";"1";"0";"0";"0";"1";"3";"290";"0";"0";"1";"0";"-";"3";"1";"1";"8";"6";"3";"8";"301";"4";"0";"0";"4";"-";"6";"2";"0";"2";"0";"4";"0";"0";"0";"0";"0";"10";"0";"0";"0";"-";"-";"-"
"306007";"306007";"38";"5";"2";"2088";"639";"85";"79";"174";"28";"4";"468";"543";"68";"0";"2";"29";"21";"3";"5";"11";"22";"3";"518";"20";"0";"5";"-";"1";"2";"2";"18";"2";"5";"0";"43";"9";"0";"3";"-";"0";"11";"0";"1";"2";"50";"0";"1";"9";"0";"0";"5";"-";"0";"100";"0";"0";"0";"4";"36";"0";"3";"29";"0";"2";"-";"1";"13";"1";"2";"6";"2";"0";"0";"0";"1";"2";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"-";"-";"-";"-";"2";"1";"1";"0";"1";"0";"1";"456";"0";"0";"6";"0";"-";"2";"2";"1";"7";"15";"3";"33";"474";"2";"0";"0";"4";"-";"16";"4";"1";"6";"0";"10";"1";"0";"0";"0";"1";"29";"0";"0";"0";"-";"-";"-"
"306008";"306008";"38";"5";"2";"582";"108";"39";"25";"57";"8";"1";"124";"193";"27";"0";"1";"6";"2";"1";"2";"1";"8";"0";"81";"6";"0";"0";"-";"0";"0";"0";"6";"0";"3";"0";"24";"4";"0";"2";"-";"0";"2";"1";"0";"1";"15";"0";"0";"4";"0";"0";"2";"-";"0";"30";"0";"0";"0";"0";"13";"0";"0";"12";"0";"2";"-";"0";"4";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"0";"0";"0";"1";"0";"0";"0";"123";"0";"0";"0";"0";"-";"2";"2";"0";"4";"7";"2";"10";"161";"1";"1";"0";"3";"-";"7";"2";"0";"6";"1";"2";"0";"0";"0";"0";"0";"9";"0";"0";"0";"-";"-";"-"
"306010";"306010";"38";"5";"2";"521";"103";"26";"23";"34";"15";"1";"146";"142";"31";"0";"1";"9";"5";"2";"1";"1";"4";"2";"70";"8";"0";"0";"-";"0";"0";"0";"11";"0";"3";"0";"8";"4";"0";"0";"-";"0";"3";"0";"0";"1";"11";"0";"0";"6";"0";"0";"2";"-";"0";"15";"1";"0";"1";"2";"9";"0";"0";"5";"1";"0";"-";"1";"5";"4";"0";"3";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"-";"-";"-";"-";"1";"0";"0";"0";"1";"0";"0";"141";"1";"0";"2";"0";"-";"1";"1";"0";"5";"6";"1";"8";"116";"1";"0";"2";"1";"-";"6";"5";"0";"3";"0";"5";"0";"0";"0";"0";"0";"12";"0";"0";"0";"-";"-";"-"
"306011";"306011";"38";"5";"2";"1290";"337";"42";"34";"99";"23";"3";"368";"336";"47";"1";"2";"24";"15";"3";"3";"4";"17";"6";"239";"21";"2";"1";"-";"1";"2";"0";"11";"0";"3";"0";"22";"3";"0";"0";"-";"1";"7";"0";"0";"0";"15";"0";"0";"11";"0";"0";"0";"-";"2";"45";"0";"2";"3";"1";"21";"0";"1";"24";"0";"0";"-";"0";"10";"3";"0";"9";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"-";"-";"-";"-";"0";"0";"2";"0";"0";"1";"2";"361";"1";"0";"1";"0";"-";"3";"0";"2";"8";"10";"4";"22";"280";"4";"0";"0";"3";"-";"5";"6";"1";"9";"0";"8";"0";"0";"0";"1";"2";"15";"1";"0";"0";"-";"-";"-"
