"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2001 - Personlige stemmer i alt";"FV2001 - A - personlige stemmer i alt";"FV2001 - B - personlige stemmer i alt";"FV2001 - C - personlige stemmer i alt";"FV2001 - D - personlige stemmer i alt";"FV2001 - F - personlige stemmer i alt";"FV2001 - O - personlige stemmer i alt";"FV2001 - Q - personlige stemmer i alt";"FV2001 - V - personlige stemmer i alt";"FV2001 - Z - personlige stemmer i alt";"FV2001 - Ø - personlige stemmer i alt";"FV2001 - UP - personlige stemmer i alt";"FV2001 - A-01";"FV2001 - A-02";"FV2001 - A-03";"FV2001 - A-04";"FV2001 - A-05";"FV2001 - A-06";"FV2001 - A-07";"FV2001 - A-08";"FV2001 - A-09";"FV2001 - A-10";"FV2001 - B-01";"FV2001 - B-02";"FV2001 - B-03";"FV2001 - B-04";"FV2001 - B-05";"FV2001 - B-06";"FV2001 - B-07";"FV2001 - B-08";"FV2001 - B-09";"FV2001 - C-01";"FV2001 - C-02";"FV2001 - C-03";"FV2001 - C-04";"FV2001 - C-05";"FV2001 - C-06";"FV2001 - C-07";"FV2001 - C-08";"FV2001 - C-09";"FV2001 - C-10";"FV2001 - D-01";"FV2001 - D-02";"FV2001 - D-03";"FV2001 - D-04";"FV2001 - D-05";"FV2001 - D-06";"FV2001 - D-07";"FV2001 - D-08";"FV2001 - D-09";"FV2001 - F-01";"FV2001 - F-02";"FV2001 - F-03";"FV2001 - F-04";"FV2001 - F-05";"FV2001 - F-06";"FV2001 - F-07";"FV2001 - F-08";"FV2001 - F-09";"FV2001 - F-10";"FV2001 - O-01";"FV2001 - O-02";"FV2001 - O-03";"FV2001 - O-04";"FV2001 - O-05";"FV2001 - O-06";"FV2001 - O-07";"FV2001 - O-08";"FV2001 - O-09";"FV2001 - O-10";"FV2001 - Q-01";"FV2001 - Q-02";"FV2001 - Q-03";"FV2001 - Q-04";"FV2001 - Q-05";"FV2001 - Q-06";"FV2001 - Q-07";"FV2001 - Q-08";"FV2001 - Q-09";"FV2001 - Q-10";"FV2001 - Q-11";"FV2001 - V-01";"FV2001 - V-02";"FV2001 - V-03";"FV2001 - V-04";"FV2001 - V-05";"FV2001 - V-06";"FV2001 - V-07";"FV2001 - V-08";"FV2001 - V-09";"FV2001 - V-10";"FV2001 - Z-01";"FV2001 - Z-02";"FV2001 - Z-03";"FV2001 - Z-04";"FV2001 - Z-05";"FV2001 - Z-06";"FV2001 - Z-07";"FV2001 - Z-08";"FV2001 - Z-09";"FV2001 - Ø-01";"FV2001 - Ø-02";"FV2001 - Ø-03";"FV2001 - Ø-04";"FV2001 - Ø-05";"FV2001 - Ø-06";"FV2001 - Ø-07";"FV2001 - Ø-08";"FV2001 - Ø-09";"FV2001 - Ø-10";"FV2001 - UP-01"
"253008";"253008";"34";"6";"2";"944";"280";"22";"107";"3";"33";"120";"3";"367";"1";"8";"-";"141";"25";"114";"-";"-";"-";"-";"-";"-";"-";"8";"3";"1";"10";"-";"-";"-";"-";"-";"99";"2";"6";"-";"-";"-";"-";"-";"-";"-";"0";"2";"1";"-";"-";"-";"-";"-";"-";"30";"3";"0";"-";"-";"-";"-";"-";"-";"-";"4";"59";"57";"-";"-";"-";"-";"-";"-";"-";"0";"1";"2";"-";"-";"-";"-";"-";"-";"-";"-";"285";"53";"29";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"-";"-";"-";"-";"-";"-";"5";"0";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"253009";"253009";"34";"6";"2";"1021";"364";"29";"73";"5";"58";"194";"5";"278";"6";"9";"-";"192";"22";"150";"-";"-";"-";"-";"-";"-";"-";"4";"4";"4";"17";"-";"-";"-";"-";"-";"69";"2";"2";"-";"-";"-";"-";"-";"-";"-";"0";"5";"0";"-";"-";"-";"-";"-";"-";"51";"6";"1";"-";"-";"-";"-";"-";"-";"-";"5";"90";"99";"-";"-";"-";"-";"-";"-";"-";"2";"1";"2";"-";"-";"-";"-";"-";"-";"-";"-";"229";"38";"11";"-";"-";"-";"-";"-";"-";"-";"2";"1";"3";"-";"-";"-";"-";"-";"-";"5";"0";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"253010";"253010";"34";"6";"2";"1327";"488";"30";"122";"10";"64";"219";"7";"348";"5";"34";"-";"264";"32";"192";"-";"-";"-";"-";"-";"-";"-";"8";"14";"2";"6";"-";"-";"-";"-";"-";"114";"5";"3";"-";"-";"-";"-";"-";"-";"-";"2";"6";"2";"-";"-";"-";"-";"-";"-";"54";"7";"3";"-";"-";"-";"-";"-";"-";"-";"12";"96";"111";"-";"-";"-";"-";"-";"-";"-";"3";"1";"3";"-";"-";"-";"-";"-";"-";"-";"-";"278";"48";"22";"-";"-";"-";"-";"-";"-";"-";"3";"1";"1";"-";"-";"-";"-";"-";"-";"8";"2";"24";"-";"-";"-";"-";"-";"-";"-";"-"
"253011";"253011";"34";"6";"2";"1970";"602";"34";"289";"12";"70";"230";"9";"697";"5";"22";"-";"317";"41";"244";"-";"-";"-";"-";"-";"-";"-";"6";"15";"1";"12";"-";"-";"-";"-";"-";"270";"5";"14";"-";"-";"-";"-";"-";"-";"-";"1";"10";"1";"-";"-";"-";"-";"-";"-";"66";"1";"3";"-";"-";"-";"-";"-";"-";"-";"8";"107";"115";"-";"-";"-";"-";"-";"-";"-";"2";"1";"6";"-";"-";"-";"-";"-";"-";"-";"-";"561";"100";"36";"-";"-";"-";"-";"-";"-";"-";"3";"1";"1";"-";"-";"-";"-";"-";"-";"12";"0";"10";"-";"-";"-";"-";"-";"-";"-";"-"
"255001";"255001";"33";"6";"2";"844";"255";"26";"73";"5";"44";"68";"5";"340";"1";"27";"-";"146";"103";"6";"-";"-";"-";"-";"-";"-";"-";"8";"8";"10";"0";"-";"-";"-";"-";"-";"49";"2";"22";"-";"-";"-";"-";"-";"-";"-";"3";"2";"0";"-";"-";"-";"-";"-";"-";"26";"18";"0";"-";"-";"-";"-";"-";"-";"-";"23";"8";"37";"-";"-";"-";"-";"-";"-";"-";"2";"3";"0";"-";"-";"-";"-";"-";"-";"-";"-";"183";"91";"66";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"-";"-";"-";"-";"-";"-";"25";"0";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"255002";"255002";"33";"6";"2";"180";"42";"5";"16";"2";"3";"16";"1";"91";"2";"2";"-";"27";"15";"0";"-";"-";"-";"-";"-";"-";"-";"2";"2";"1";"0";"-";"-";"-";"-";"-";"10";"1";"5";"-";"-";"-";"-";"-";"-";"-";"2";"0";"0";"-";"-";"-";"-";"-";"-";"3";"0";"0";"-";"-";"-";"-";"-";"-";"-";"4";"5";"7";"-";"-";"-";"-";"-";"-";"-";"0";"1";"0";"-";"-";"-";"-";"-";"-";"-";"-";"52";"23";"16";"-";"-";"-";"-";"-";"-";"-";"1";"0";"1";"-";"-";"-";"-";"-";"-";"1";"1";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"255003";"255003";"33";"6";"2";"2706";"665";"91";"313";"19";"92";"380";"23";"1091";"10";"22";"-";"381";"253";"31";"-";"-";"-";"-";"-";"-";"-";"26";"40";"21";"4";"-";"-";"-";"-";"-";"240";"12";"61";"-";"-";"-";"-";"-";"-";"-";"14";"3";"2";"-";"-";"-";"-";"-";"-";"49";"39";"4";"-";"-";"-";"-";"-";"-";"-";"234";"19";"127";"-";"-";"-";"-";"-";"-";"-";"5";"11";"7";"-";"-";"-";"-";"-";"-";"-";"-";"604";"329";"158";"-";"-";"-";"-";"-";"-";"-";"5";"1";"4";"-";"-";"-";"-";"-";"-";"21";"1";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"255004";"255004";"33";"6";"2";"804";"239";"16";"82";"4";"27";"88";"8";"328";"3";"9";"-";"127";"103";"9";"-";"-";"-";"-";"-";"-";"-";"10";"2";"4";"0";"-";"-";"-";"-";"-";"64";"1";"17";"-";"-";"-";"-";"-";"-";"-";"4";"0";"0";"-";"-";"-";"-";"-";"-";"16";"9";"2";"-";"-";"-";"-";"-";"-";"-";"42";"14";"32";"-";"-";"-";"-";"-";"-";"-";"2";"6";"0";"-";"-";"-";"-";"-";"-";"-";"-";"185";"104";"39";"-";"-";"-";"-";"-";"-";"-";"1";"0";"2";"-";"-";"-";"-";"-";"-";"8";"0";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"257001";"257001";"35";"6";"2";"1045";"453";"53";"78";"7";"52";"84";"4";"292";"1";"21";"-";"383";"54";"16";"-";"-";"-";"-";"-";"-";"-";"30";"19";"3";"1";"-";"-";"-";"-";"-";"58";"9";"11";"-";"-";"-";"-";"-";"-";"-";"1";"1";"5";"-";"-";"-";"-";"-";"-";"24";"9";"19";"-";"-";"-";"-";"-";"-";"-";"3";"3";"78";"-";"-";"-";"-";"-";"-";"-";"3";"1";"0";"-";"-";"-";"-";"-";"-";"-";"-";"161";"20";"111";"-";"-";"-";"-";"-";"-";"-";"0";"0";"1";"-";"-";"-";"-";"-";"-";"8";"10";"3";"-";"-";"-";"-";"-";"-";"-";"-"
"257002";"257002";"35";"6";"2";"170";"58";"9";"16";"1";"7";"8";"3";"66";"1";"1";"-";"52";"6";"0";"-";"-";"-";"-";"-";"-";"-";"6";"2";"1";"0";"-";"-";"-";"-";"-";"9";"1";"6";"-";"-";"-";"-";"-";"-";"-";"0";"0";"1";"-";"-";"-";"-";"-";"-";"5";"1";"1";"-";"-";"-";"-";"-";"-";"-";"0";"0";"8";"-";"-";"-";"-";"-";"-";"-";"1";"2";"0";"-";"-";"-";"-";"-";"-";"-";"-";"39";"7";"20";"-";"-";"-";"-";"-";"-";"-";"0";"1";"0";"-";"-";"-";"-";"-";"-";"0";"1";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"257003";"257003";"35";"6";"2";"816";"308";"33";"75";"7";"24";"87";"0";"270";"3";"9";"-";"244";"51";"13";"-";"-";"-";"-";"-";"-";"-";"23";"7";"3";"0";"-";"-";"-";"-";"-";"45";"7";"23";"-";"-";"-";"-";"-";"-";"-";"3";"0";"4";"-";"-";"-";"-";"-";"-";"14";"5";"5";"-";"-";"-";"-";"-";"-";"-";"6";"3";"78";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"118";"44";"108";"-";"-";"-";"-";"-";"-";"-";"2";"1";"0";"-";"-";"-";"-";"-";"-";"4";"5";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"259001";"259001";"34";"6";"2";"1223";"480";"25";"144";"4";"44";"89";"13";"400";"4";"20";"-";"167";"26";"287";"-";"-";"-";"-";"-";"-";"-";"9";"4";"5";"7";"-";"-";"-";"-";"-";"125";"3";"16";"-";"-";"-";"-";"-";"-";"-";"0";"3";"1";"-";"-";"-";"-";"-";"-";"39";"5";"0";"-";"-";"-";"-";"-";"-";"-";"8";"44";"37";"-";"-";"-";"-";"-";"-";"-";"0";"0";"13";"-";"-";"-";"-";"-";"-";"-";"-";"335";"37";"28";"-";"-";"-";"-";"-";"-";"-";"4";"0";"0";"-";"-";"-";"-";"-";"-";"4";"0";"16";"-";"-";"-";"-";"-";"-";"-";"-"
"259002";"259002";"34";"6";"2";"1663";"715";"40";"187";"5";"65";"152";"11";"452";"7";"29";"-";"234";"38";"443";"-";"-";"-";"-";"-";"-";"-";"13";"10";"4";"13";"-";"-";"-";"-";"-";"167";"4";"16";"-";"-";"-";"-";"-";"-";"-";"2";"2";"1";"-";"-";"-";"-";"-";"-";"58";"3";"4";"-";"-";"-";"-";"-";"-";"-";"6";"51";"95";"-";"-";"-";"-";"-";"-";"-";"1";"0";"10";"-";"-";"-";"-";"-";"-";"-";"-";"366";"44";"42";"-";"-";"-";"-";"-";"-";"-";"4";"2";"1";"-";"-";"-";"-";"-";"-";"9";"2";"18";"-";"-";"-";"-";"-";"-";"-";"-"
"259003";"259003";"34";"6";"2";"257";"84";"3";"43";"2";"9";"20";"4";"89";"0";"3";"-";"34";"8";"42";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"3";"-";"-";"-";"-";"-";"34";"3";"6";"-";"-";"-";"-";"-";"-";"-";"0";"1";"1";"-";"-";"-";"-";"-";"-";"8";"0";"1";"-";"-";"-";"-";"-";"-";"-";"2";"8";"10";"-";"-";"-";"-";"-";"-";"-";"1";"0";"3";"-";"-";"-";"-";"-";"-";"-";"-";"73";"7";"9";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"259004";"259004";"34";"6";"2";"551";"163";"21";"54";"1";"14";"61";"5";"221";"3";"8";"-";"69";"15";"79";"-";"-";"-";"-";"-";"-";"-";"9";"4";"1";"7";"-";"-";"-";"-";"-";"50";"0";"4";"-";"-";"-";"-";"-";"-";"-";"0";"1";"0";"-";"-";"-";"-";"-";"-";"12";"1";"1";"-";"-";"-";"-";"-";"-";"-";"6";"20";"35";"-";"-";"-";"-";"-";"-";"-";"1";"1";"3";"-";"-";"-";"-";"-";"-";"-";"-";"182";"27";"12";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"-";"3";"0";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"259005";"259005";"34";"6";"2";"1219";"520";"17";"118";"11";"53";"149";"6";"318";"4";"23";"-";"229";"32";"259";"-";"-";"-";"-";"-";"-";"-";"4";"2";"2";"9";"-";"-";"-";"-";"-";"96";"12";"10";"-";"-";"-";"-";"-";"-";"-";"4";"6";"1";"-";"-";"-";"-";"-";"-";"43";"7";"3";"-";"-";"-";"-";"-";"-";"-";"3";"50";"96";"-";"-";"-";"-";"-";"-";"-";"1";"0";"5";"-";"-";"-";"-";"-";"-";"-";"-";"234";"56";"28";"-";"-";"-";"-";"-";"-";"-";"1";"3";"0";"-";"-";"-";"-";"-";"-";"9";"1";"13";"-";"-";"-";"-";"-";"-";"-";"-"
"259006";"259006";"34";"6";"2";"1147";"423";"21";"119";"8";"36";"127";"2";"390";"0";"21";"-";"161";"25";"237";"-";"-";"-";"-";"-";"-";"-";"6";"7";"2";"6";"-";"-";"-";"-";"-";"103";"6";"10";"-";"-";"-";"-";"-";"-";"-";"1";"7";"0";"-";"-";"-";"-";"-";"-";"34";"1";"1";"-";"-";"-";"-";"-";"-";"-";"5";"40";"82";"-";"-";"-";"-";"-";"-";"-";"1";"0";"1";"-";"-";"-";"-";"-";"-";"-";"-";"303";"50";"37";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"7";"1";"13";"-";"-";"-";"-";"-";"-";"-";"-"
"259007";"259007";"34";"6";"2";"1651";"646";"33";"141";"13";"84";"151";"36";"510";"7";"30";"-";"232";"35";"379";"-";"-";"-";"-";"-";"-";"-";"8";"17";"0";"8";"-";"-";"-";"-";"-";"124";"6";"11";"-";"-";"-";"-";"-";"-";"-";"4";"9";"0";"-";"-";"-";"-";"-";"-";"76";"7";"1";"-";"-";"-";"-";"-";"-";"-";"9";"48";"94";"-";"-";"-";"-";"-";"-";"-";"6";"1";"29";"-";"-";"-";"-";"-";"-";"-";"-";"413";"67";"30";"-";"-";"-";"-";"-";"-";"-";"2";"3";"2";"-";"-";"-";"-";"-";"-";"7";"1";"22";"-";"-";"-";"-";"-";"-";"-";"-"
"259008";"259008";"34";"6";"2";"379";"131";"8";"49";"4";"14";"42";"5";"112";"2";"12";"-";"55";"11";"65";"-";"-";"-";"-";"-";"-";"-";"3";"2";"2";"1";"-";"-";"-";"-";"-";"40";"1";"8";"-";"-";"-";"-";"-";"-";"-";"2";"1";"1";"-";"-";"-";"-";"-";"-";"14";"0";"0";"-";"-";"-";"-";"-";"-";"-";"2";"15";"25";"-";"-";"-";"-";"-";"-";"-";"2";"0";"3";"-";"-";"-";"-";"-";"-";"-";"-";"88";"12";"12";"-";"-";"-";"-";"-";"-";"-";"2";"0";"0";"-";"-";"-";"-";"-";"-";"1";"0";"11";"-";"-";"-";"-";"-";"-";"-";"-"
"259009";"259009";"34";"6";"2";"1288";"561";"16";"150";"5";"57";"95";"7";"374";"3";"20";"-";"199";"37";"325";"-";"-";"-";"-";"-";"-";"-";"6";"5";"2";"3";"-";"-";"-";"-";"-";"143";"3";"4";"-";"-";"-";"-";"-";"-";"-";"1";"3";"1";"-";"-";"-";"-";"-";"-";"53";"3";"1";"-";"-";"-";"-";"-";"-";"-";"11";"34";"50";"-";"-";"-";"-";"-";"-";"-";"0";"0";"7";"-";"-";"-";"-";"-";"-";"-";"-";"300";"42";"32";"-";"-";"-";"-";"-";"-";"-";"0";"2";"1";"-";"-";"-";"-";"-";"-";"5";"0";"15";"-";"-";"-";"-";"-";"-";"-";"-"
"259010";"259010";"34";"6";"2";"1393";"533";"30";"193";"6";"40";"116";"16";"433";"5";"21";"-";"169";"27";"337";"-";"-";"-";"-";"-";"-";"-";"12";"8";"1";"9";"-";"-";"-";"-";"-";"172";"5";"16";"-";"-";"-";"-";"-";"-";"-";"3";"3";"0";"-";"-";"-";"-";"-";"-";"37";"3";"0";"-";"-";"-";"-";"-";"-";"-";"5";"49";"62";"-";"-";"-";"-";"-";"-";"-";"4";"0";"12";"-";"-";"-";"-";"-";"-";"-";"-";"340";"40";"53";"-";"-";"-";"-";"-";"-";"-";"4";"1";"0";"-";"-";"-";"-";"-";"-";"4";"1";"16";"-";"-";"-";"-";"-";"-";"-";"-"
"261001";"261001";"35";"6";"2";"688";"203";"30";"73";"0";"21";"43";"2";"312";"1";"3";"-";"161";"35";"7";"-";"-";"-";"-";"-";"-";"-";"21";"7";"1";"1";"-";"-";"-";"-";"-";"48";"10";"15";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"10";"6";"5";"-";"-";"-";"-";"-";"-";"-";"9";"1";"33";"-";"-";"-";"-";"-";"-";"-";"2";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"104";"38";"170";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"-";"-";"-";"-";"-";"-";"0";"3";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"261002";"261002";"35";"6";"2";"182";"57";"4";"15";"0";"15";"11";"0";"78";"0";"2";"-";"42";"14";"1";"-";"-";"-";"-";"-";"-";"-";"3";"0";"0";"1";"-";"-";"-";"-";"-";"11";"2";"2";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"7";"5";"3";"-";"-";"-";"-";"-";"-";"-";"1";"0";"10";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"27";"7";"44";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"1";"1";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"261003";"261003";"35";"6";"2";"754";"210";"56";"76";"1";"28";"22";"10";"324";"1";"26";"-";"183";"25";"2";"-";"-";"-";"-";"-";"-";"-";"34";"16";"3";"3";"-";"-";"-";"-";"-";"58";"5";"13";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"-";"-";"-";"-";"-";"-";"19";"5";"4";"-";"-";"-";"-";"-";"-";"-";"3";"1";"18";"-";"-";"-";"-";"-";"-";"-";"4";"5";"1";"-";"-";"-";"-";"-";"-";"-";"-";"137";"26";"161";"-";"-";"-";"-";"-";"-";"-";"0";"1";"0";"-";"-";"-";"-";"-";"-";"2";"22";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"261004";"261004";"35";"6";"2";"804";"230";"34";"71";"4";"11";"51";"25";"369";"2";"7";"-";"187";"40";"3";"-";"-";"-";"-";"-";"-";"-";"25";"7";"2";"0";"-";"-";"-";"-";"-";"48";"9";"14";"-";"-";"-";"-";"-";"-";"-";"4";"0";"0";"-";"-";"-";"-";"-";"-";"5";"2";"4";"-";"-";"-";"-";"-";"-";"-";"2";"2";"47";"-";"-";"-";"-";"-";"-";"-";"10";"12";"3";"-";"-";"-";"-";"-";"-";"-";"-";"85";"28";"256";"-";"-";"-";"-";"-";"-";"-";"1";"1";"0";"-";"-";"-";"-";"-";"-";"2";"5";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"261005";"261005";"35";"6";"2";"363";"94";"15";"25";"0";"17";"25";"1";"173";"4";"9";"-";"74";"18";"2";"-";"-";"-";"-";"-";"-";"-";"5";"5";"4";"1";"-";"-";"-";"-";"-";"12";"5";"8";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"12";"1";"4";"-";"-";"-";"-";"-";"-";"-";"1";"1";"23";"-";"-";"-";"-";"-";"-";"-";"0";"1";"0";"-";"-";"-";"-";"-";"-";"-";"-";"69";"15";"89";"-";"-";"-";"-";"-";"-";"-";"0";"4";"0";"-";"-";"-";"-";"-";"-";"1";"8";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"263001";"263001";"35";"6";"2";"611";"212";"14";"74";"0";"17";"48";"4";"234";"3";"5";"-";"162";"42";"8";"-";"-";"-";"-";"-";"-";"-";"10";"4";"0";"0";"-";"-";"-";"-";"-";"46";"9";"19";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"7";"3";"7";"-";"-";"-";"-";"-";"-";"-";"1";"1";"46";"-";"-";"-";"-";"-";"-";"-";"2";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"121";"15";"98";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"-";"1";"3";"1";"-";"-";"-";"-";"-";"-";"-";"-"
"263002";"263002";"35";"6";"2";"1049";"406";"53";"102";"7";"27";"96";"13";"338";"1";"6";"-";"336";"58";"12";"-";"-";"-";"-";"-";"-";"-";"40";"7";"2";"4";"-";"-";"-";"-";"-";"66";"13";"23";"-";"-";"-";"-";"-";"-";"-";"3";"2";"2";"-";"-";"-";"-";"-";"-";"15";"2";"10";"-";"-";"-";"-";"-";"-";"-";"8";"8";"80";"-";"-";"-";"-";"-";"-";"-";"7";"3";"3";"-";"-";"-";"-";"-";"-";"-";"-";"188";"32";"118";"-";"-";"-";"-";"-";"-";"-";"1";"0";"0";"-";"-";"-";"-";"-";"-";"5";"1";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"263003";"263003";"35";"6";"2";"302";"100";"4";"27";"2";"10";"26";"2";"125";"0";"6";"-";"78";"16";"6";"-";"-";"-";"-";"-";"-";"-";"1";"3";"0";"0";"-";"-";"-";"-";"-";"17";"1";"9";"-";"-";"-";"-";"-";"-";"-";"0";"1";"1";"-";"-";"-";"-";"-";"-";"7";"2";"1";"-";"-";"-";"-";"-";"-";"-";"1";"2";"23";"-";"-";"-";"-";"-";"-";"-";"2";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"65";"7";"53";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"5";"1";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"263004";"263004";"35";"6";"2";"124";"35";"5";"4";"2";"7";"13";"0";"58";"0";"0";"-";"29";"4";"2";"-";"-";"-";"-";"-";"-";"-";"4";"0";"0";"1";"-";"-";"-";"-";"-";"3";"0";"1";"-";"-";"-";"-";"-";"-";"-";"1";"0";"1";"-";"-";"-";"-";"-";"-";"2";"3";"2";"-";"-";"-";"-";"-";"-";"-";"0";"0";"13";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"24";"3";"31";"-";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"0";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"263005";"263005";"35";"6";"2";"454";"161";"15";"26";"1";"21";"35";"5";"179";"4";"7";"-";"133";"25";"3";"-";"-";"-";"-";"-";"-";"-";"12";"2";"0";"1";"-";"-";"-";"-";"-";"19";"2";"5";"-";"-";"-";"-";"-";"-";"-";"0";"0";"1";"-";"-";"-";"-";"-";"-";"8";"9";"4";"-";"-";"-";"-";"-";"-";"-";"2";"0";"33";"-";"-";"-";"-";"-";"-";"-";"2";"3";"0";"-";"-";"-";"-";"-";"-";"-";"-";"91";"17";"71";"-";"-";"-";"-";"-";"-";"-";"2";"2";"0";"-";"-";"-";"-";"-";"-";"2";"5";"0";"-";"-";"-";"-";"-";"-";"-";"-"
"265001";"265001";"33";"6";"2";"1694";"541";"66";"213";"6";"138";"95";"25";"544";"2";"64";"-";"331";"194";"16";"-";"-";"-";"-";"-";"-";"-";"26";"30";"10";"0";"-";"-";"-";"-";"-";"110";"6";"97";"-";"-";"-";"-";"-";"-";"-";"5";"1";"0";"-";"-";"-";"-";"-";"-";"37";"99";"2";"-";"-";"-";"-";"-";"-";"-";"40";"9";"46";"-";"-";"-";"-";"-";"-";"-";"9";"13";"3";"-";"-";"-";"-";"-";"-";"-";"-";"276";"109";"159";"-";"-";"-";"-";"-";"-";"-";"0";"0";"2";"-";"-";"-";"-";"-";"-";"53";"6";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"265002";"265002";"33";"6";"2";"1905";"569";"99";"284";"12";"104";"84";"16";"692";"3";"42";"-";"312";"240";"17";"-";"-";"-";"-";"-";"-";"-";"28";"45";"24";"2";"-";"-";"-";"-";"-";"188";"2";"94";"-";"-";"-";"-";"-";"-";"-";"5";"6";"1";"-";"-";"-";"-";"-";"-";"39";"61";"4";"-";"-";"-";"-";"-";"-";"-";"27";"8";"49";"-";"-";"-";"-";"-";"-";"-";"4";"9";"3";"-";"-";"-";"-";"-";"-";"-";"-";"403";"128";"161";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"-";"35";"5";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"265003";"265003";"33";"6";"2";"2271";"917";"104";"161";"8";"211";"159";"23";"601";"7";"80";"-";"456";"436";"25";"-";"-";"-";"-";"-";"-";"-";"31";"36";"32";"5";"-";"-";"-";"-";"-";"114";"4";"43";"-";"-";"-";"-";"-";"-";"-";"7";"1";"0";"-";"-";"-";"-";"-";"-";"66";"138";"7";"-";"-";"-";"-";"-";"-";"-";"60";"12";"87";"-";"-";"-";"-";"-";"-";"-";"4";"17";"2";"-";"-";"-";"-";"-";"-";"-";"-";"286";"151";"164";"-";"-";"-";"-";"-";"-";"-";"4";"2";"1";"-";"-";"-";"-";"-";"-";"71";"4";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"265004";"265004";"33";"6";"2";"1335";"505";"64";"103";"10";"110";"107";"9";"369";"4";"54";"-";"276";"209";"20";"-";"-";"-";"-";"-";"-";"-";"15";"22";"21";"6";"-";"-";"-";"-";"-";"78";"1";"24";"-";"-";"-";"-";"-";"-";"-";"7";"2";"1";"-";"-";"-";"-";"-";"-";"37";"68";"5";"-";"-";"-";"-";"-";"-";"-";"38";"8";"61";"-";"-";"-";"-";"-";"-";"-";"2";"5";"2";"-";"-";"-";"-";"-";"-";"-";"-";"175";"100";"94";"-";"-";"-";"-";"-";"-";"-";"4";"0";"0";"-";"-";"-";"-";"-";"-";"44";"4";"6";"-";"-";"-";"-";"-";"-";"-";"-"
