"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1994 - Stemmeberettigede";"FV1994 - Afgivne stemmer";"FV1994 - Blanke stemmer";"FV1994 - Andre ugyldige stemmer";"FV1994 - Gyldige stemmer";"FV1994 - A. Socialdemokratiet";"FV1994 - B. Det Radikale Venstre";"FV1994 - C. Det Konservative Folkeparti";"FV1994 - D. Centrum-Demokraterne";"FV1994 - F. Socialistisk Folkeparti";"FV1994 - Q. Kristeligt Folkeparti";"FV1994 - V. Venstre, Danmarks Liberale Parti";"FV1994 - Z. Fremskridtspartiet";"FV1994 - Ø. Enhedslisten - De Rød-Grønne";"FV1994 - 1. Uden for partierne";"FV1994 - 2. Uden for partierne";"FV1994 - 3. Uden for partierne";"FV1994 - 4. Uden for partierne";"FV1994 - 5. Uden for partierne"
"101078";"101078";"3";"1";"1";"13639";"10540";"79";"36";"10425";"4346";"416";"1212";"296";"1310";"134";"1206";"670";"782";"6";"40";"7";"-";"-"
"101080";"101080";"14";"3";"1";"6326";"5228";"37";"32";"5159";"1863";"262";"762";"125";"712";"65";"631";"281";"449";"9";"-";"-";"-";"-"
"101082";"101082";"14";"3";"1";"4962";"3996";"45";"12";"3939";"1678";"163";"496";"82";"521";"29";"427";"242";"294";"7";"-";"-";"-";"-"
"101084";"101084";"14";"3";"1";"5019";"4118";"28";"15";"4075";"1873";"120";"489";"108";"428";"33";"442";"324";"249";"9";"-";"-";"-";"-"
"101086";"101086";"9";"2";"1";"5780";"4811";"42";"26";"4743";"1180";"320";"1088";"170";"485";"81";"886";"234";"270";"7";"1";"21";"-";"-"
"101088";"101088";"14";"3";"1";"4445";"3627";"49";"12";"3566";"1372";"194";"475";"101";"401";"39";"493";"230";"253";"8";"-";"-";"-";"-"
"101090";"101090";"10";"2";"1";"8592";"6819";"85";"54";"6680";"2133";"486";"801";"179";"970";"102";"895";"356";"698";"20";"5";"35";"-";"-"
"101092";"101092";"11";"2";"1";"2017";"1756";"14";"3";"1739";"636";"116";"228";"48";"226";"17";"211";"84";"154";"6";"1";"12";"-";"-"
"101094";"101094";"16";"3";"1";"8790";"6642";"54";"36";"6552";"2909";"200";"561";"101";"987";"37";"592";"487";"664";"14";"-";"-";"-";"-"
"101096";"101096";"13";"2";"1";"3412";"2840";"29";"5";"2806";"952";"159";"426";"93";"332";"35";"429";"180";"187";"3";"0";"10";"-";"-"
"101098";"101098";"13";"2";"1";"4547";"3816";"7";"7";"3802";"1252";"200";"586";"118";"554";"41";"537";"228";"269";"9";"2";"6";"-";"-"
"147001";"147001";"17";"3";"1";"8014";"6894";"59";"26";"6809";"1577";"577";"1786";"233";"751";"71";"1065";"264";"471";"14";"-";"-";"-";"-"
"147002";"147002";"17";"3";"1";"8425";"7267";"52";"18";"7197";"1510";"596";"2119";"236";"714";"71";"1200";"292";"455";"4";"-";"-";"-";"-"
"147003";"147003";"18";"3";"1";"13320";"10934";"89";"28";"10817";"3318";"674";"2614";"269";"1097";"96";"1551";"581";"600";"17";"-";"-";"-";"-"
"147004";"147004";"18";"3";"1";"10161";"8411";"57";"40";"8314";"2046";"490";"2671";"273";"618";"152";"1209";"468";"377";"10";"-";"-";"-";"-"
"147005";"147005";"18";"3";"1";"12458";"10110";"91";"37";"9982";"2669";"776";"2224";"329";"1205";"132";"1541";"428";"670";"8";"-";"-";"-";"-"
"147007";"147007";"19";"3";"1";"8291";"7080";"59";"15";"7006";"1583";"580";"1799";"213";"777";"67";"1202";"316";"457";"12";"-";"-";"-";"-"
"147008";"147008";"19";"3";"1";"12791";"10709";"93";"31";"10585";"2676";"838";"2761";"345";"1045";"128";"1582";"544";"648";"18";"-";"-";"-";"-"
"151001";"151001";"22";"4";"2";"4526";"3894";"41";"4";"3849";"1884";"119";"394";"134";"393";"26";"466";"257";"125";"0";"29";"17";"4";"1"
"151002";"151002";"22";"4";"2";"7022";"5784";"44";"12";"5728";"2568";"183";"766";"190";"575";"49";"714";"384";"226";"0";"28";"24";"21";"0"
"151003";"151003";"22";"4";"2";"2682";"2395";"13";"2";"2380";"867";"103";"445";"118";"205";"25";"394";"111";"79";"2";"13";"4";"14";"0"
"151004";"151004";"22";"4";"2";"2820";"2299";"23";"8";"2268";"1105";"57";"220";"61";"262";"16";"257";"136";"93";"0";"36";"13";"11";"1"
"151005";"151005";"22";"4";"2";"3789";"3478";"25";"4";"3449";"1175";"176";"633";"190";"280";"40";"626";"182";"105";"1";"11";"10";"20";"0"
"151006";"151006";"22";"4";"2";"4316";"3646";"34";"6";"3606";"1840";"128";"350";"93";"389";"20";"323";"238";"166";"0";"22";"18";"19";"0"
"151007";"151007";"22";"4";"2";"1573";"1431";"17";"5";"1409";"459";"65";"311";"82";"114";"30";"182";"93";"55";"0";"8";"2";"8";"0"
"151009";"151009";"22";"4";"2";"2996";"2719";"29";"7";"2683";"767";"167";"607";"156";"237";"24";"490";"115";"87";"0";"9";"1";"23";"0"
"151109";"151109";"22";"4";"2";"4350";"3790";"31";"8";"3751";"1212";"201";"640";"195";"491";"43";"554";"208";"151";"1";"15";"13";"26";"1"
"153001";"153001";"26";"4";"2";"3450";"3079";"16";"9";"3054";"1208";"111";"530";"142";"236";"25";"474";"189";"97";"1";"13";"8";"20";"0"
"153002";"153002";"26";"4";"2";"3609";"2912";"27";"11";"2874";"1226";"108";"390";"91";"289";"29";"375";"193";"129";"0";"10";"20";"13";"1"
"153003";"153003";"26";"4";"2";"3261";"2731";"22";"6";"2703";"1154";"106";"354";"112";"268";"30";"317";"165";"148";"0";"21";"13";"15";"0"
"153004";"153004";"26";"4";"2";"2349";"1904";"14";"8";"1882";"942";"45";"201";"49";"206";"9";"168";"153";"75";"1";"11";"14";"7";"1"
"153005";"153005";"26";"4";"2";"3773";"3277";"26";"18";"3233";"1377";"138";"478";"126";"319";"26";"412";"195";"111";"0";"16";"16";"19";"0"
"153006";"153006";"26";"4";"2";"3700";"2979";"23";"7";"2949";"1257";"98";"391";"102";"302";"23";"343";"266";"95";"1";"37";"19";"15";"0"
"153007";"153007";"26";"4";"2";"3645";"3027";"25";"11";"2991";"1074";"101";"453";"139";"279";"26";"434";"287";"155";"0";"17";"12";"14";"0"
"155001";"155001";"27";"4";"2";"3221";"2821";"23";"10";"2788";"701";"140";"741";"111";"163";"33";"674";"134";"59";"0";"8";"5";"19";"0"
"155002";"155002";"27";"4";"2";"3374";"2945";"21";"1";"2923";"728";"118";"777";"125";"150";"18";"713";"217";"50";"0";"4";"13";"10";"0"
"155003";"155003";"27";"4";"2";"2885";"2560";"22";"5";"2533";"875";"107";"523";"101";"197";"21";"431";"168";"75";"0";"7";"19";"9";"0"
"157001";"157001";"20";"4";"2";"5460";"4861";"17";"12";"4832";"597";"347";"1850";"199";"235";"38";"1202";"182";"112";"0";"15";"8";"47";"0"
"157002";"157002";"20";"4";"2";"4639";"4091";"34";"5";"4052";"927";"245";"1152";"208";"330";"62";"752";"216";"114";"0";"13";"11";"22";"0"
"157003";"157003";"20";"4";"2";"5357";"4619";"25";"7";"4587";"630";"354";"1577";"201";"254";"56";"1186";"147";"131";"1";"13";"1";"32";"4"
"157004";"157004";"20";"4";"2";"5695";"4705";"39";"11";"4655";"1133";"316";"1287";"214";"305";"40";"883";"248";"149";"1";"21";"15";"43";"0"
"157005";"157005";"20";"4";"2";"5074";"4506";"39";"7";"4460";"664";"309";"1478";"253";"273";"56";"1053";"203";"107";"2";"16";"4";"41";"1"
"157006";"157006";"24";"4";"2";"5983";"5377";"33";"14";"5330";"594";"375";"2003";"212";"320";"46";"1429";"165";"138";"0";"7";"1";"40";"0"
"157007";"157007";"24";"4";"2";"5619";"4911";"29";"7";"4875";"731";"377";"1552";"221";"333";"95";"1183";"158";"167";"0";"13";"9";"36";"0"
"157008";"157008";"24";"4";"2";"4602";"4033";"23";"5";"4005";"572";"261";"1436";"170";"234";"31";"991";"134";"110";"0";"13";"10";"43";"0"
"157009";"157009";"24";"4";"2";"5239";"4636";"36";"11";"4589";"546";"282";"1743";"164";"208";"32";"1273";"167";"105";"0";"16";"8";"45";"0"
"157010";"157010";"24";"4";"2";"5098";"4338";"24";"17";"4297";"504";"256";"1716";"169";"154";"27";"1193";"163";"74";"1";"18";"3";"19";"0"
"159001";"159001";"25";"4";"2";"5091";"4348";"24";"8";"4316";"1144";"267";"975";"310";"330";"48";"755";"232";"170";"2";"23";"8";"52";"0"
"159002";"159002";"25";"4";"2";"3239";"2672";"18";"10";"2644";"893";"137";"450";"142";"240";"32";"425";"186";"102";"0";"16";"5";"16";"0"
"159003";"159003";"25";"4";"2";"6095";"5185";"40";"10";"5135";"1881";"207";"781";"356";"531";"52";"683";"310";"256";"0";"27";"10";"41";"0"
"159004";"159004";"25";"4";"2";"2872";"2365";"16";"10";"2339";"1117";"59";"204";"109";"252";"37";"208";"176";"114";"0";"24";"23";"16";"0"
"159005";"159005";"25";"4";"2";"3178";"2718";"32";"9";"2677";"977";"123";"441";"150";"268";"29";"370";"143";"135";"0";"15";"8";"18";"0"
"159006";"159006";"25";"4";"2";"3969";"3467";"23";"3";"3441";"1027";"201";"608";"225";"390";"53";"492";"200";"186";"0";"14";"11";"34";"0"
"159007";"159007";"25";"4";"2";"5138";"4407";"35";"9";"4363";"1808";"172";"507";"254";"488";"36";"497";"305";"213";"1";"24";"19";"39";"0"
"159008";"159008";"25";"4";"2";"6176";"5426";"53";"10";"5363";"1543";"415";"1038";"363";"509";"65";"925";"205";"213";"1";"20";"12";"54";"0"
"159009";"159009";"25";"4";"2";"3800";"3270";"26";"14";"3230";"1020";"193";"544";"226";"322";"44";"475";"167";"161";"0";"16";"13";"47";"2"
"159010";"159010";"25";"4";"2";"4654";"3942";"28";"5";"3909";"1397";"174";"659";"252";"371";"53";"600";"209";"139";"0";"21";"12";"22";"0"
"159011";"159011";"25";"4";"2";"2683";"2112";"16";"3";"2093";"696";"86";"326";"121";"211";"23";"373";"89";"125";"0";"19";"10";"14";"0"
"161001";"161001";"23";"4";"2";"2031";"1833";"11";"7";"1815";"652";"95";"372";"62";"148";"18";"264";"133";"41";"1";"11";"5";"13";"0"
"161002";"161002";"23";"4";"2";"2334";"1983";"18";"7";"1958";"619";"88";"439";"95";"135";"17";"361";"143";"40";"0";"8";"4";"9";"0"
"161003";"161003";"23";"4";"2";"4222";"3434";"27";"13";"3394";"1351";"131";"575";"132";"260";"27";"533";"222";"120";"0";"16";"9";"18";"0"
"161004";"161004";"23";"4";"2";"3553";"2960";"15";"14";"2931";"1493";"95";"384";"74";"262";"35";"273";"188";"83";"2";"21";"11";"10";"0"
"161005";"161005";"23";"4";"2";"1438";"1337";"9";"0";"1328";"275";"54";"333";"71";"79";"18";"359";"105";"16";"0";"4";"7";"6";"1"
"161006";"161006";"23";"4";"2";"2310";"2004";"16";"8";"1980";"769";"78";"306";"77";"243";"23";"311";"104";"45";"0";"6";"11";"7";"0"
"163001";"163001";"28";"4";"2";"2056";"1711";"16";"2";"1693";"790";"46";"260";"57";"179";"22";"143";"109";"57";"2";"9";"11";"8";"0"
"163002";"163002";"28";"4";"2";"4525";"3882";"39";"3";"3840";"1473";"139";"671";"136";"382";"72";"502";"255";"142";"3";"14";"24";"27";"0"
"163003";"163003";"28";"4";"2";"4238";"3654";"26";"6";"3622";"1229";"168";"666";"144";"430";"70";"505";"218";"149";"1";"14";"9";"19";"0"
"163004";"163004";"28";"4";"2";"5469";"4786";"24";"7";"4755";"1712";"225";"984";"225";"497";"88";"526";"251";"183";"0";"21";"15";"27";"1"
"163005";"163005";"28";"4";"2";"3682";"2978";"36";"7";"2935";"1203";"124";"423";"124";"308";"55";"379";"156";"130";"0";"11";"12";"10";"0"
"165001";"165001";"23";"4";"2";"4805";"4177";"49";"4";"4124";"1233";"187";"627";"168";"694";"31";"511";"160";"433";"0";"20";"10";"50";"0"
"165002";"165002";"23";"4";"2";"3640";"3241";"19";"4";"3218";"1158";"172";"595";"147";"394";"17";"358";"144";"176";"1";"17";"13";"26";"0"
"165003";"165003";"23";"4";"2";"2873";"2214";"9";"13";"2192";"1119";"52";"220";"52";"269";"17";"175";"127";"131";"1";"10";"9";"10";"0"
"165004";"165004";"23";"4";"2";"4258";"3449";"37";"11";"3401";"1540";"96";"291";"79";"597";"26";"258";"179";"265";"2";"24";"22";"22";"0"
"165005";"165005";"23";"4";"2";"4205";"3616";"28";"12";"3576";"1343";"161";"464";"140";"569";"47";"391";"167";"238";"1";"15";"16";"24";"0"
"167001";"167001";"26";"4";"2";"4102";"3460";"19";"10";"3431";"1195";"154";"557";"152";"340";"54";"550";"195";"177";"2";"17";"11";"27";"0"
"167002";"167002";"26";"4";"2";"3341";"2799";"32";"10";"2757";"1174";"87";"410";"96";"254";"19";"378";"195";"103";"1";"8";"16";"15";"1"
"167003";"167003";"26";"4";"2";"4587";"3887";"27";"9";"3851";"1699";"148";"450";"125";"424";"54";"429";"257";"195";"0";"19";"24";"26";"1"
"167004";"167004";"26";"4";"2";"4854";"4081";"27";"2";"4052";"1657";"159";"516";"150";"478";"29";"483";"261";"257";"0";"20";"24";"18";"0"
"167005";"167005";"26";"4";"2";"5093";"4380";"34";"13";"4333";"1617";"191";"670";"193";"350";"63";"629";"369";"209";"2";"10";"14";"16";"0"
"167006";"167006";"26";"4";"2";"5368";"4600";"29";"14";"4557";"1892";"177";"608";"169";"457";"30";"515";"341";"298";"0";"28";"26";"15";"1"
"167007";"167007";"26";"4";"2";"5424";"4687";"25";"10";"4652";"1749";"191";"726";"205";"398";"49";"753";"372";"160";"0";"16";"14";"16";"3"
"167008";"167008";"26";"4";"2";"3916";"3040";"14";"18";"3008";"1324";"97";"289";"97";"340";"34";"375";"202";"199";"0";"19";"20";"12";"0"
"169001";"169001";"23";"4";"2";"2684";"2064";"12";"8";"2044";"810";"76";"351";"73";"185";"22";"278";"140";"64";"1";"28";"6";"9";"1"
"169002";"169002";"23";"4";"2";"3326";"2886";"19";"5";"2862";"952";"112";"656";"114";"192";"31";"510";"175";"83";"2";"18";"7";"10";"0"
"169003";"169003";"23";"4";"2";"2660";"2362";"9";"4";"2349";"666";"107";"624";"119";"189";"22";"415";"111";"71";"0";"13";"2";"10";"0"
"169004";"169004";"23";"4";"2";"2060";"1825";"18";"5";"1802";"601";"69";"415";"105";"127";"24";"286";"108";"46";"1";"9";"5";"6";"0"
"169005";"169005";"23";"4";"2";"1675";"1493";"11";"2";"1480";"492";"68";"343";"73";"113";"16";"234";"72";"45";"0";"5";"8";"11";"0"
"169006";"169006";"23";"4";"2";"3790";"3039";"19";"6";"3014";"1102";"95";"535";"132";"305";"27";"461";"203";"83";"1";"40";"19";"11";"0"
"169007";"169007";"23";"4";"2";"3331";"2841";"30";"5";"2806";"1100";"119";"472";"125";"248";"39";"429";"177";"61";"1";"11";"7";"16";"1"
"169008";"169008";"23";"4";"2";"2061";"1728";"16";"10";"1702";"621";"65";"310";"62";"155";"18";"275";"119";"58";"0";"3";"5";"10";"1"
"169009";"169009";"23";"4";"2";"1791";"1560";"10";"5";"1545";"387";"56";"290";"82";"98";"24";"411";"114";"53";"0";"16";"4";"10";"0"
"169010";"169010";"23";"4";"2";"1734";"1395";"9";"0";"1386";"526";"50";"264";"59";"127";"9";"205";"79";"34";"3";"21";"8";"1";"0"
"169011";"169011";"23";"4";"2";"3387";"2853";"23";"2";"2828";"1095";"106";"496";"111";"186";"27";"539";"173";"59";"1";"21";"6";"8";"0"
"169012";"169012";"23";"4";"2";"3222";"2830";"22";"3";"2805";"1009";"164";"557";"117";"179";"11";"524";"157";"54";"1";"18";"4";"10";"0"
"169013";"169013";"23";"4";"2";"535";"472";"4";"1";"467";"118";"30";"90";"13";"39";"6";"124";"33";"8";"0";"4";"2";"0";"0"
"171001";"171001";"22";"4";"2";"779";"697";"11";"1";"685";"158";"22";"172";"25";"49";"5";"188";"35";"23";"0";"4";"1";"3";"0"
"171002";"171002";"22";"4";"2";"6422";"5695";"54";"10";"5631";"1646";"267";"1196";"287";"477";"52";"1227";"311";"124";"1";"16";"10";"14";"3"
"173001";"173001";"21";"4";"2";"4840";"4034";"33";"15";"3986";"1012";"250";"1055";"141";"338";"35";"768";"172";"149";"0";"17";"16";"25";"8"
"173002";"173002";"21";"4";"2";"4812";"4035";"19";"14";"4002";"1447";"198";"810";"144";"329";"44";"602";"230";"132";"1";"26";"13";"25";"1"
"173003";"173003";"21";"4";"2";"4944";"4294";"32";"11";"4251";"968";"261";"1108";"164";"298";"37";"1015";"191";"126";"0";"32";"6";"45";"0"
"173004";"173004";"21";"4";"2";"4788";"4226";"30";"6";"4190";"929";"305";"1222";"186";"293";"53";"846";"174";"121";"1";"17";"18";"23";"2"
"173005";"173005";"21";"4";"2";"1263";"1109";"17";"1";"1091";"208";"85";"318";"36";"69";"6";"241";"44";"68";"0";"5";"1";"10";"0"
"173006";"173006";"21";"4";"2";"4678";"4192";"19";"2";"4171";"663";"345";"1442";"200";"246";"36";"912";"164";"101";"0";"18";"2";"42";"0"
"173007";"173007";"21";"4";"2";"3613";"3276";"20";"5";"3251";"604";"282";"1069";"161";"231";"48";"607";"109";"80";"0";"19";"1";"39";"1"
"173008";"173008";"21";"4";"2";"3945";"3466";"20";"4";"3442";"831";"269";"985";"154";"245";"39";"636";"136";"106";"0";"11";"4";"25";"1"
"173009";"173009";"21";"4";"2";"2177";"2032";"12";"2";"2018";"412";"204";"550";"106";"168";"15";"410";"69";"56";"0";"6";"4";"18";"0"
"173010";"173010";"21";"4";"2";"4741";"4127";"22";"12";"4093";"1143";"323";"973";"177";"342";"50";"673";"171";"156";"0";"16";"10";"59";"0"
"175001";"175001";"28";"4";"2";"3046";"2623";"13";"5";"2605";"976";"114";"460";"118";"252";"42";"355";"148";"114";"0";"11";"7";"8";"0"
"175002";"175002";"28";"4";"2";"1974";"1665";"8";"2";"1655";"828";"61";"196";"34";"170";"12";"136";"110";"82";"1";"7";"10";"8";"0"
"175003";"175003";"28";"4";"2";"4152";"3400";"36";"5";"3359";"1275";"161";"581";"127";"348";"42";"468";"173";"133";"0";"12";"16";"23";"0"
"175004";"175004";"28";"4";"2";"3992";"3333";"24";"6";"3303";"1422";"118";"460";"110";"364";"20";"413";"207";"145";"0";"11";"17";"16";"0"
"175005";"175005";"28";"4";"2";"2837";"2349";"25";"2";"2322";"1026";"87";"319";"90";"247";"21";"240";"152";"107";"0";"12";"10";"11";"0"
"175006";"175006";"28";"4";"2";"3374";"2997";"26";"0";"2971";"1053";"166";"560";"157";"246";"47";"417";"175";"97";"1";"8";"9";"35";"0"
"175007";"175007";"28";"4";"2";"2845";"2443";"14";"3";"2426";"1110";"90";"340";"87";"221";"25";"282";"142";"93";"0";"7";"13";"16";"0"
"175008";"175008";"28";"4";"2";"4186";"3703";"22";"9";"3672";"1414";"140";"589";"176";"320";"41";"511";"269";"148";"1";"22";"14";"27";"0"
"175009";"175009";"28";"4";"2";"1219";"1030";"13";"2";"1015";"425";"49";"191";"23";"98";"6";"103";"61";"47";"0";"2";"6";"4";"0"
"181001";"181001";"21";"4";"2";"3259";"2901";"26";"2";"2873";"255";"204";"963";"108";"116";"33";"1044";"84";"37";"0";"4";"0";"25";"0"
"181002";"181002";"21";"4";"2";"2481";"2206";"12";"4";"2190";"322";"153";"705";"74";"86";"23";"687";"64";"55";"0";"6";"0";"15";"0"
"181003";"181003";"21";"4";"2";"2551";"2319";"11";"3";"2305";"255";"199";"735";"105";"133";"23";"674";"69";"70";"0";"5";"1";"36";"0"
"181004";"181004";"21";"4";"2";"2590";"2355";"11";"5";"2339";"324";"190";"726";"96";"93";"22";"709";"74";"75";"0";"2";"2";"26";"0"
"181005";"181005";"21";"4";"2";"4018";"3501";"20";"7";"3474";"892";"210";"919";"168";"221";"39";"751";"139";"82";"1";"11";"4";"37";"0"
"181006";"181006";"21";"4";"2";"4206";"3809";"15";"9";"3785";"721";"228";"1126";"169";"190";"25";"1074";"141";"69";"0";"15";"3";"24";"0"
"181008";"181008";"21";"4";"2";"1347";"1198";"3";"2";"1193";"92";"57";"513";"33";"27";"10";"381";"66";"9";"0";"2";"0";"3";"0"
