"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2007 - Stemmeberettigede";"FV2007 - Afgivne stemmer";"FV2007 - Blanke stemmer";"FV2007 - Andre ugyldige stemmer";"FV2007 - Gyldige stemmer";"FV2007 - A. Socialdemokratiet";"FV2007 - B. Det Radikale Venstre";"FV2007 - C. Det Konservative Folkeparti";"FV2007 - F. SF - Socialistisk Folkeparti";"FV2007 - K. Kristendemokraterne";"FV2007 - O. Dansk Folkeparti";"FV2007 - V. Venstre, Danmarks Liberale Parti";"FV2007 - Y. Ny Alliance";"FV2007 - Ø. Enhedslisten - De Rød-Grønne";"FV2007 - 1. Uden for partierne";"FV2007 - 2. Uden for partierne";"FV2007 - 3. Uden for partierne";"FV2007 - 4. Uden for partierne";"FV2007 - 5. Uden for partierne"
"101026";"101026";"5";"1";"1";"3109";"2472";"23";"15";"2434";"535";"304";"180";"624";"16";"144";"223";"106";"299";"1";"2";"0";"0";"0"
"101027";"101027";"6";"1";"1";"14474";"11311";"47";"37";"11227";"2876";"843";"914";"2627";"74";"1403";"1294";"397";"795";"1";"1";"1";"1";"0"
"101028";"101028";"6";"1";"1";"7082";"5732";"22";"12";"5698";"1561";"438";"441";"1267";"60";"743";"603";"200";"384";"0";"1";"0";"0";"0"
"101029";"101029";"6";"1";"1";"3997";"3331";"15";"12";"3304";"1032";"182";"237";"667";"16";"484";"368";"87";"231";"0";"0";"0";"0";"0"
"101030";"101030";"6";"1";"1";"8219";"6562";"32";"21";"6509";"1738";"557";"455";"1572";"46";"733";"673";"202";"529";"0";"4";"0";"0";"0"
"101031";"101031";"7";"1";"1";"3610";"3207";"12";"5";"3190";"801";"253";"298";"653";"21";"413";"472";"108";"170";"0";"0";"1";"0";"0"
"101032";"101032";"7";"1";"1";"2720";"2024";"8";"11";"2005";"709";"74";"40";"490";"7";"358";"110";"53";"164";"0";"0";"0";"0";"0"
"101033";"101033";"7";"1";"1";"3418";"2969";"12";"6";"2951";"782";"247";"238";"612";"26";"413";"362";"108";"163";"0";"0";"0";"0";"0"
"101034";"101034";"7";"1";"1";"2746";"2358";"9";"6";"2343";"614";"199";"185";"496";"11";"263";"296";"89";"189";"0";"1";"0";"0";"0"
"101035";"101035";"7";"1";"1";"6154";"4844";"22";"21";"4801";"1421";"264";"348";"986";"31";"763";"575";"150";"262";"0";"0";"0";"0";"1"
"101036";"101036";"7";"1";"1";"7800";"6650";"27";"18";"6605";"1868";"381";"522";"1230";"30";"1167";"890";"200";"317";"0";"0";"0";"0";"0"
"101037";"101037";"7";"1";"1";"4969";"4235";"17";"8";"4210";"1197";"250";"340";"838";"19";"607";"560";"158";"239";"0";"1";"0";"1";"0"
"101038";"101038";"7";"1";"1";"3261";"2823";"7";"19";"2797";"695";"239";"300";"550";"15";"308";"412";"128";"150";"0";"0";"0";"0";"0"
"101039";"101039";"7";"1";"1";"4204";"3686";"15";"4";"3667";"930";"284";"386";"754";"27";"443";"515";"151";"175";"1";"0";"0";"1";"0"
"101040";"101040";"7";"1";"1";"4768";"4238";"17";"7";"4214";"1028";"361";"420";"878";"29";"453";"612";"176";"256";"0";"1";"0";"0";"0"
"101041";"101041";"7";"1";"1";"9688";"8328";"33";"13";"8282";"2168";"636";"788";"1707";"53";"971";"1236";"312";"410";"0";"1";"0";"0";"0"
"101042";"101042";"8";"1";"1";"7647";"6539";"25";"26";"6488";"1666";"521";"635";"1384";"32";"717";"905";"255";"368";"0";"0";"2";"3";"0"
"101043";"101043";"8";"1";"1";"4680";"3942";"26";"15";"3901";"1020";"310";"388";"835";"17";"461";"514";"145";"208";"0";"0";"1";"0";"2"
"101044";"101044";"8";"1";"1";"4507";"3623";"25";"4";"3594";"1129";"169";"267";"643";"10";"635";"479";"119";"143";"0";"0";"0";"0";"0"
"101045";"101045";"8";"1";"1";"3137";"2741";"14";"3";"2724";"662";"265";"260";"571";"10";"257";"395";"119";"185";"0";"0";"0";"0";"0"
"101046";"101046";"8";"1";"1";"4876";"3838";"25";"29";"3784";"1154";"200";"241";"810";"21";"636";"452";"112";"158";"0";"0";"0";"0";"0"
"101047";"101047";"8";"1";"1";"3296";"2717";"11";"15";"2691";"743";"190";"152";"627";"7";"369";"295";"97";"211";"0";"0";"0";"0";"0"
"101048";"101048";"8";"1";"1";"5006";"4162";"21";"16";"4125";"1063";"290";"368";"962";"22";"507";"528";"141";"241";"1";"0";"0";"1";"1"
"101049";"101049";"9";"1";"1";"6496";"5713";"27";"25";"5661";"1300";"602";"319";"1694";"26";"352";"458";"223";"685";"1";"0";"1";"0";"0"
"101050";"101050";"9";"1";"1";"7597";"6545";"30";"18";"6497";"1359";"813";"417";"1828";"36";"367";"574";"298";"805";"0";"0";"0";"0";"0"
"101051";"101051";"9";"1";"1";"8159";"6455";"20";"34";"6401";"1902";"327";"363";"1562";"36";"937";"633";"164";"476";"0";"0";"0";"0";"1"
"101052";"101052";"9";"1";"1";"5776";"5042";"13";"8";"5021";"1008";"714";"354";"1375";"19";"266";"476";"232";"577";"0";"0";"0";"0";"0"
"101053";"101053";"9";"1";"1";"5063";"4355";"15";"9";"4331";"1013";"496";"254";"1241";"18";"311";"315";"176";"506";"0";"1";"0";"0";"0"
"101054";"101054";"9";"1";"1";"4161";"3421";"19";"9";"3393";"768";"280";"378";"738";"18";"304";"498";"175";"234";"0";"0";"0";"0";"0"
"147001";"147001";"10";"1";"1";"7811";"6975";"21";"20";"6934";"1380";"811";"1101";"1255";"32";"492";"1024";"414";"421";"1";"1";"1";"0";"1"
"147002";"147002";"10";"1";"1";"7933";"7111";"34";"9";"7068";"1411";"754";"1340";"1126";"17";"519";"1190";"389";"321";"0";"0";"0";"1";"0"
"147003";"147003";"10";"1";"1";"10368";"9203";"35";"12";"9156";"1922";"1013";"1444";"1660";"49";"736";"1383";"488";"458";"0";"3";"0";"0";"0"
"147004";"147004";"10";"1";"1";"9621";"8501";"31";"26";"8444";"1758";"874";"1472";"1394";"32";"707";"1321";"431";"449";"0";"3";"0";"0";"3"
"147005";"147005";"11";"1";"1";"9148";"7851";"25";"40";"7786";"1785";"646";"1185";"1426";"36";"873";"1099";"357";"378";"0";"0";"1";"0";"0"
"147006";"147006";"11";"1";"1";"8758";"7571";"40";"25";"7506";"1655";"526";"1416";"1107";"30";"910";"1275";"300";"286";"0";"1";"0";"0";"0"
"147007";"147007";"11";"1";"1";"9473";"8096";"33";"20";"8043";"1731";"760";"1332";"1367";"64";"696";"1223";"462";"405";"1";"1";"1";"0";"0"
"147008";"147008";"11";"1";"1";"7646";"6806";"21";"16";"6769";"1464";"759";"960";"1354";"45";"540";"973";"330";"341";"0";"1";"0";"2";"0"
"151001";"151001";"20";"2";"1";"4262";"3696";"26";"8";"3662";"1550";"92";"192";"453";"9";"719";"521";"68";"56";"0";"2";"-";"-";"-"
"151002";"151002";"20";"2";"1";"6334";"5244";"27";"18";"5199";"2076";"143";"341";"713";"13";"1021";"710";"87";"95";"0";"0";"-";"-";"-"
"151003";"151003";"20";"2";"1";"2569";"2316";"9";"1";"2306";"750";"95";"294";"270";"11";"329";"462";"56";"39";"0";"0";"-";"-";"-"
"151004";"151004";"20";"2";"1";"2794";"2349";"8";"5";"2336";"973";"48";"107";"334";"7";"469";"307";"36";"55";"0";"0";"-";"-";"-"
"151005";"151005";"20";"2";"1";"3587";"3377";"19";"5";"3353";"1024";"168";"424";"325";"26";"473";"775";"94";"44";"0";"0";"-";"-";"-"
"151006";"151006";"20";"2";"1";"3995";"3434";"15";"13";"3406";"1558";"72";"151";"474";"12";"680";"340";"46";"73";"0";"0";"-";"-";"-"
"151007";"151007";"20";"2";"1";"1660";"1513";"5";"0";"1508";"437";"70";"221";"163";"17";"198";"311";"51";"39";"0";"1";"-";"-";"-"
"151008";"151008";"20";"2";"1";"3462";"3169";"12";"1";"3156";"1011";"167";"441";"315";"13";"407";"628";"112";"62";"0";"0";"-";"-";"-"
"151009";"151009";"20";"2";"1";"3180";"2940";"11";"14";"2915";"825";"205";"381";"338";"12";"323";"636";"133";"62";"0";"0";"-";"-";"-"
"151010";"151010";"20";"2";"1";"2043";"1911";"14";"7";"1890";"556";"102";"226";"330";"1";"217";"321";"75";"61";"0";"1";"-";"-";"-"
"153001";"153001";"18";"2";"1";"3211";"2890";"13";"3";"2874";"877";"100";"284";"307";"16";"554";"621";"70";"44";"1";"0";"-";"-";"-"
"153002";"153002";"18";"2";"1";"3439";"2834";"22";"10";"2802";"1000";"76";"198";"399";"11";"557";"464";"53";"43";"0";"1";"-";"-";"-"
"153003";"153003";"18";"2";"1";"3059";"2590";"7";"16";"2567";"877";"72";"180";"424";"16";"491";"398";"54";"54";"1";"0";"-";"-";"-"
"153004";"153004";"18";"2";"1";"2141";"1759";"10";"7";"1742";"695";"55";"83";"266";"6";"375";"196";"41";"25";"0";"0";"-";"-";"-"
"153005";"153005";"18";"2";"1";"3432";"3027";"13";"9";"3005";"1045";"109";"239";"468";"11";"527";"462";"59";"84";"0";"1";"-";"-";"-"
"153006";"153006";"18";"2";"1";"4197";"3467";"14";"14";"3439";"1072";"154";"206";"595";"9";"671";"523";"106";"102";"0";"1";"-";"-";"-"
"153007";"153007";"18";"2";"1";"4348";"3592";"14";"15";"3563";"1145";"162";"275";"546";"22";"562";"629";"89";"131";"0";"2";"-";"-";"-"
"155001";"155001";"12";"1";"1";"3083";"2851";"8";"3";"2840";"509";"200";"539";"255";"8";"317";"834";"129";"49";"0";"0";"0";"0";"0"
"155002";"155002";"12";"1";"1";"3411";"3097";"12";"4";"3081";"481";"154";"616";"242";"8";"510";"931";"106";"31";"0";"0";"1";"1";"0"
"155003";"155003";"12";"1";"1";"3109";"2829";"10";"4";"2815";"671";"137";"406";"336";"13";"465";"651";"92";"44";"0";"0";"0";"0";"0"
"157001";"157001";"13";"2";"1";"5102";"4659";"8";"6";"4645";"554";"363";"1459";"360";"20";"298";"1258";"243";"90";"0";"0";"-";"-";"-"
"157002";"157002";"13";"2";"1";"4292";"3902";"16";"6";"3880";"739";"364";"794";"495";"21";"424";"753";"162";"128";"0";"0";"-";"-";"-"
"157003";"157003";"13";"2";"1";"4676";"4190";"12";"4";"4174";"512";"403";"1266";"327";"12";"251";"1051";"267";"85";"0";"0";"-";"-";"-"
"157004";"157004";"13";"2";"1";"5190";"4412";"27";"24";"4361";"900";"302";"882";"531";"20";"540";"886";"195";"105";"0";"0";"-";"-";"-"
"157005";"157005";"13";"2";"1";"4766";"4375";"12";"4";"4359";"593";"390";"1168";"444";"15";"321";"1029";"284";"115";"0";"0";"-";"-";"-"
"157006";"157006";"13";"2";"1";"5389";"4936";"6";"9";"4921";"554";"448";"1448";"371";"11";"332";"1353";"280";"124";"0";"0";"-";"-";"-"
"157007";"157007";"13";"2";"1";"5430";"4915";"9";"8";"4898";"677";"364";"1293";"508";"27";"314";"1255";"307";"153";"0";"0";"-";"-";"-"
"157008";"157008";"13";"2";"1";"4255";"3823";"8";"8";"3807";"502";"290";"1101";"298";"21";"305";"1006";"200";"84";"0";"0";"-";"-";"-"
"157009";"157009";"13";"2";"1";"4874";"4413";"8";"9";"4396";"445";"299";"1416";"260";"11";"302";"1300";"268";"95";"0";"0";"-";"-";"-"
"157010";"157010";"13";"2";"1";"4589";"4046";"17";"12";"4017";"462";"254";"1253";"257";"12";"333";"1194";"193";"59";"0";"0";"-";"-";"-"
"159001";"159001";"15";"2";"1";"4829";"4217";"20";"11";"4186";"995";"319";"591";"578";"34";"452";"907";"172";"138";"0";"0";"-";"-";"-"
"159002";"159002";"15";"2";"1";"3060";"2660";"16";"2";"2642";"685";"182";"305";"389";"13";"332";"552";"114";"70";"0";"0";"-";"-";"-"
"159003";"159003";"15";"2";"1";"5711";"4953";"19";"4";"4930";"1420";"224";"502";"732";"21";"768";"984";"140";"139";"0";"0";"-";"-";"-"
"159004";"159004";"15";"2";"1";"2635";"2153";"15";"13";"2125";"779";"105";"68";"391";"13";"397";"235";"47";"90";"0";"0";"-";"-";"-"
"159005";"159005";"15";"2";"1";"2903";"2511";"10";"0";"2501";"801";"145";"206";"384";"10";"394";"403";"73";"85";"0";"0";"-";"-";"-"
"159006";"159006";"15";"2";"1";"3735";"3419";"7";"2";"3410";"842";"322";"375";"561";"24";"355";"629";"141";"161";"0";"0";"-";"-";"-"
"159007";"159007";"15";"2";"1";"5520";"4814";"23";"5";"4786";"1497";"262";"409";"714";"9";"814";"775";"163";"142";"0";"1";"-";"-";"-"
"159008";"159008";"15";"2";"1";"5886";"5333";"30";"11";"5292";"1350";"456";"678";"883";"25";"498";"973";"230";"199";"0";"0";"-";"-";"-"
"159009";"159009";"15";"2";"1";"3686";"3245";"13";"1";"3231";"814";"265";"384";"535";"5";"424";"548";"137";"119";"0";"0";"-";"-";"-"
"159010";"159010";"15";"2";"1";"4337";"3776";"14";"5";"3757";"1071";"214";"421";"552";"27";"514";"747";"122";"88";"1";"0";"-";"-";"-"
"159011";"159011";"15";"2";"1";"2482";"2068";"6";"13";"2049";"526";"128";"205";"358";"15";"244";"411";"81";"81";"0";"0";"-";"-";"-"
"161001";"161001";"20";"2";"1";"2259";"2039";"6";"4";"2029";"566";"100";"264";"242";"9";"320";"447";"52";"29";"0";"0";"-";"-";"-"
"161002";"161002";"20";"2";"1";"2420";"2101";"11";"12";"2078";"594";"104";"272";"224";"9";"375";"408";"62";"30";"0";"0";"-";"-";"-"
"161003";"161003";"20";"2";"1";"3956";"3327";"11";"9";"3307";"1074";"123";"330";"397";"15";"593";"618";"84";"72";"1";"0";"-";"-";"-"
"161004";"161004";"20";"2";"1";"3198";"2686";"13";"7";"2666";"1051";"74";"124";"389";"8";"573";"344";"46";"57";"0";"0";"-";"-";"-"
"161005";"161005";"20";"2";"1";"1331";"1243";"7";"0";"1236";"205";"62";"184";"83";"9";"181";"469";"31";"12";"0";"0";"-";"-";"-"
"161006";"161006";"20";"2";"1";"2322";"2029";"9";"10";"2010";"683";"34";"183";"254";"2";"374";"412";"41";"27";"0";"0";"-";"-";"-"
"163001";"163001";"16";"2";"1";"1891";"1582";"9";"7";"1566";"618";"49";"107";"242";"11";"301";"175";"26";"37";"0";"0";"-";"-";"-"
"163002";"163002";"16";"2";"1";"4282";"3717";"30";"4";"3683";"1220";"187";"355";"512";"53";"589";"582";"93";"92";"0";"0";"-";"-";"-"
"163003";"163003";"16";"2";"1";"4393";"3878";"13";"6";"3859";"1131";"194";"438";"566";"49";"571";"689";"108";"113";"0";"0";"-";"-";"-"
"163004";"163004";"16";"2";"1";"5089";"4590";"14";"8";"4568";"1468";"184";"558";"583";"52";"652";"859";"118";"94";"0";"0";"-";"-";"-"
"163005";"163005";"16";"2";"1";"3534";"2903";"18";"4";"2881";"1000";"108";"230";"510";"21";"486";"394";"60";"72";"0";"0";"-";"-";"-"
"165001";"165001";"19";"2";"1";"4253";"3776";"24";"5";"3747";"1057";"177";"311";"810";"22";"449";"556";"85";"280";"0";"0";"-";"-";"-"
"165002";"165002";"19";"2";"1";"3316";"3009";"10";"5";"2994";"901";"118";"297";"551";"8";"432";"507";"69";"110";"0";"1";"-";"-";"-"
"165003";"165003";"19";"2";"1";"2778";"2269";"12";"19";"2238";"774";"107";"100";"491";"6";"411";"227";"42";"80";"0";"0";"-";"-";"-"
"165004";"165004";"19";"2";"1";"3734";"3042";"18";"16";"3008";"1076";"97";"105";"686";"10";"571";"246";"53";"163";"0";"1";"-";"-";"-"
"165005";"165005";"19";"2";"1";"4064";"3537";"14";"12";"3511";"1136";"215";"246";"792";"12";"420";"422";"86";"182";"0";"0";"-";"-";"-"
"167001";"167001";"17";"2";"1";"3990";"3406";"21";"5";"3380";"916";"189";"374";"510";"25";"585";"596";"89";"95";"0";"1";"-";"-";"-"
"167002";"167002";"17";"2";"1";"3154";"2666";"11";"5";"2650";"845";"117";"234";"355";"13";"476";"491";"63";"56";"0";"0";"-";"-";"-"
"167003";"167003";"17";"2";"1";"4264";"3620";"19";"6";"3595";"1224";"121";"210";"582";"16";"712";"511";"102";"116";"1";"0";"-";"-";"-"
"167004";"167004";"17";"2";"1";"4461";"3905";"18";"7";"3880";"1307";"144";"265";"637";"22";"689";"620";"79";"117";"0";"0";"-";"-";"-"
"167005";"167005";"17";"2";"1";"4840";"4292";"16";"2";"4274";"1241";"228";"423";"544";"19";"753";"822";"125";"118";"0";"1";"-";"-";"-"
"167006";"167006";"17";"2";"1";"5145";"4514";"22";"11";"4481";"1496";"178";"342";"633";"19";"876";"721";"100";"115";"0";"1";"-";"-";"-"
"167007";"167007";"17";"2";"1";"5243";"4540";"13";"13";"4514";"1268";"182";"433";"558";"21";"882";"997";"101";"71";"0";"1";"-";"-";"-"
"167008";"167008";"17";"2";"1";"4494";"3647";"13";"6";"3628";"1074";"123";"211";"649";"18";"778";"497";"125";"152";"0";"1";"-";"-";"-"
"169001";"169001";"19";"2";"1";"2628";"2075";"10";"5";"2060";"650";"102";"191";"313";"12";"342";"343";"59";"48";"0";"0";"-";"-";"-"
"169002";"169002";"19";"2";"1";"3191";"2777";"15";"9";"2753";"780";"114";"344";"344";"9";"459";"572";"76";"54";"0";"1";"-";"-";"-"
"169003";"169003";"19";"2";"1";"2473";"2268";"15";"3";"2250";"561";"102";"344";"236";"11";"334";"565";"62";"34";"0";"1";"-";"-";"-"
"169004";"169004";"19";"2";"1";"2098";"1830";"4";"6";"1820";"489";"70";"258";"210";"9";"309";"398";"55";"22";"0";"0";"-";"-";"-"
"169005";"169005";"19";"2";"1";"1578";"1434";"6";"1";"1427";"397";"60";"187";"144";"11";"228";"328";"37";"35";"0";"0";"-";"-";"-"
"169006";"169006";"19";"2";"1";"4681";"3772";"20";"7";"3745";"1122";"161";"396";"499";"17";"618";"720";"147";"65";"0";"0";"-";"-";"-"
"169007";"169007";"19";"2";"1";"3128";"2696";"20";"9";"2667";"896";"118";"245";"309";"12";"478";"527";"52";"29";"0";"1";"-";"-";"-"
"169008";"169008";"19";"2";"1";"2140";"1800";"16";"4";"1780";"546";"73";"146";"250";"10";"333";"327";"60";"35";"0";"0";"-";"-";"-"
"169009";"169009";"19";"2";"1";"1744";"1567";"11";"4";"1552";"337";"50";"229";"120";"9";"244";"485";"50";"27";"0";"1";"-";"-";"-"
"169010";"169010";"19";"2";"1";"1828";"1461";"5";"4";"1452";"488";"59";"121";"177";"4";"262";"292";"31";"18";"0";"0";"-";"-";"-"
"169011";"169011";"19";"2";"1";"3371";"2936";"19";"9";"2908";"783";"115";"291";"319";"13";"511";"766";"81";"29";"0";"0";"-";"-";"-"
"169012";"169012";"19";"2";"1";"3052";"2743";"16";"3";"2724";"729";"120";"379";"247";"5";"439";"715";"64";"26";"0";"0";"-";"-";"-"
"169013";"169013";"19";"2";"1";"594";"556";"2";"2";"552";"116";"25";"78";"48";"2";"78";"178";"18";"9";"0";"0";"-";"-";"-"
"173001";"173001";"14";"2";"1";"4837";"4173";"14";"21";"4138";"876";"335";"704";"512";"16";"473";"959";"187";"74";"1";"1";"-";"-";"-"
"173002";"173002";"14";"2";"1";"4400";"3800";"16";"13";"3771";"1038";"238";"471";"503";"23";"572";"686";"145";"94";"0";"1";"-";"-";"-"
"173003";"173003";"14";"2";"1";"4469";"3937";"24";"12";"3901";"778";"315";"698";"531";"19";"369";"909";"172";"109";"1";"0";"-";"-";"-"
"173004";"173004";"14";"2";"1";"4451";"4016";"13";"15";"3988";"708";"368";"758";"458";"16";"407";"995";"194";"84";"0";"0";"-";"-";"-"
"173005";"173005";"14";"2";"1";"1057";"950";"6";"1";"943";"164";"80";"207";"127";"2";"63";"220";"53";"27";"0";"0";"-";"-";"-"
"173006";"173006";"14";"2";"1";"4651";"4312";"5";"12";"4295";"630";"446";"1074";"380";"18";"240";"1153";"271";"83";"0";"0";"-";"-";"-"
"173007";"173007";"14";"2";"1";"3344";"3094";"6";"4";"3084";"577";"318";"640";"347";"15";"244";"689";"181";"72";"1";"0";"-";"-";"-"
"173008";"173008";"14";"2";"1";"3801";"3356";"17";"2";"3337";"707";"292";"632";"437";"12";"368";"701";"118";"69";"1";"0";"-";"-";"-"
"173009";"173009";"14";"2";"1";"2067";"1967";"9";"6";"1952";"399";"237";"358";"243";"12";"147";"393";"109";"54";"0";"0";"-";"-";"-"
"173010";"173010";"14";"2";"1";"4496";"3990";"14";"6";"3970";"905";"347";"727";"502";"19";"378";"808";"171";"113";"0";"0";"-";"-";"-"
"175001";"175001";"16";"2";"1";"3050";"2651";"9";"3";"2639";"745";"158";"285";"368";"14";"458";"466";"67";"78";"0";"0";"-";"-";"-"
"175002";"175002";"16";"2";"1";"1624";"1316";"5";"5";"1306";"565";"23";"51";"239";"3";"239";"124";"19";"43";"0";"0";"-";"-";"-"
"175003";"175003";"16";"2";"1";"4152";"3486";"14";"8";"3464";"1095";"203";"322";"546";"16";"487";"587";"94";"112";"0";"2";"-";"-";"-"
"175004";"175004";"16";"2";"1";"3727";"3028";"15";"2";"3011";"1114";"105";"181";"513";"9";"547";"406";"68";"68";"0";"0";"-";"-";"-"
"175005";"175005";"16";"2";"1";"2586";"2194";"13";"5";"2176";"817";"84";"135";"309";"12";"447";"285";"26";"61";"0";"0";"-";"-";"-"
"175006";"175006";"16";"2";"1";"3499";"3150";"11";"4";"3135";"938";"162";"374";"407";"24";"457";"624";"76";"73";"0";"0";"-";"-";"-"
"175007";"175007";"16";"2";"1";"2695";"2361";"11";"4";"2346";"823";"94";"166";"340";"10";"421";"404";"45";"43";"0";"0";"-";"-";"-"
"175008";"175008";"16";"2";"1";"4022";"3586";"21";"5";"3560";"1104";"144";"348";"462";"22";"648";"666";"97";"69";"0";"0";"-";"-";"-"
"175009";"175009";"16";"2";"1";"1316";"1117";"6";"3";"1108";"406";"47";"91";"153";"3";"171";"181";"26";"30";"0";"0";"-";"-";"-"
"183001";"183001";"18";"2";"1";"1150";"1047";"5";"7";"1035";"247";"40";"113";"108";"7";"185";"282";"35";"17";"0";"1";"-";"-";"-"
"183002";"183002";"18";"2";"1";"2665";"2328";"14";"5";"2309";"796";"73";"167";"253";"8";"461";"446";"57";"47";"0";"1";"-";"-";"-"
"183003";"183003";"18";"2";"1";"3163";"2654";"8";"20";"2626";"904";"71";"149";"416";"10";"541";"424";"50";"61";"0";"0";"-";"-";"-"
"183004";"183004";"18";"2";"1";"2383";"1710";"12";"14";"1684";"632";"65";"45";"396";"6";"293";"151";"40";"56";"0";"0";"-";"-";"-"
"183005";"183005";"18";"2";"1";"3741";"3234";"14";"19";"3201";"959";"105";"278";"353";"9";"697";"649";"80";"71";"0";"0";"-";"-";"-"
"185001";"185001";"12";"1";"1";"4195";"3736";"19";"15";"3702";"878";"102";"322";"403";"12";"910";"906";"106";"62";"0";"1";"0";"0";"0"
"185002";"185002";"12";"1";"1";"4945";"4443";"19";"9";"4415";"1139";"161";"467";"504";"30";"800";"1120";"132";"61";"0";"0";"1";"0";"0"
