"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1984 - Stemmeberettigede";"FV1984 - Afgivne stemmer";"FV1984 - Blanke stemmer";"FV1984 - Andre ugyldige stemmer";"FV1984 - Gyldige stemmer";"FV1984 - A. Socialdemokratiet";"FV1984 - B. Det Radikale Venstre";"FV1984 - C. Det Konservative Folkeparti";"FV1984 - E. Danmarks Retsforbund";"FV1984 - F. Socialistisk Folkeparti";"FV1984 - I. Internationalen";"FV1984 - K. Danmarks Kommunistiske Parti";"FV1984 - L. Marxistisk-Leninistisk Parti";"FV1984 - M. Centrum-Demokraterne";"FV1984 - Q. Kristeligt Folkeparti";"FV1984 - V. Venstre, Danmarks Liberale Parti";"FV1984 - Y. Venstresocialisterne";"FV1984 - Z. Fremskridtspartiet";"FV1984 - 1. Uden for partierne";"FV1984 - 2. Uden for partierne";"FV1984 - 3. Uden for partierne"
"153103";"153103";"26";"4";"2";"4594";"4071";"14";"6";"4051";"1597";"252";"861";"84";"676";"3";"40";"1";"138";"50";"130";"115";"104";"0";"0";"0"
"153107";"153107";"26";"4";"2";"3316";"2825";"16";"2";"2807";"1068";"135";"583";"66";"488";"1";"56";"0";"123";"33";"74";"71";"109";"0";"0";"0"
"155001";"155001";"27";"4";"2";"3206";"2911";"19";"4";"2888";"540";"213";"1214";"30";"301";"3";"13";"0";"151";"40";"204";"91";"88";"0";"0";"0"
"155002";"155002";"27";"4";"2";"3086";"2763";"19";"2";"2742";"554";"178";"1149";"40";"295";"1";"11";"0";"175";"31";"137";"58";"113";"0";"0";"0"
"155003";"155003";"27";"4";"2";"3029";"2793";"17";"2";"2774";"809";"180";"880";"52";"395";"3";"17";"0";"137";"34";"102";"76";"89";"0";"0";"0"
"157001";"157001";"20";"4";"2";"5703";"5230";"18";"6";"5206";"518";"471";"2384";"61";"436";"0";"15";"1";"387";"77";"512";"184";"160";"0";"0";"0"
"157002";"157002";"20";"4";"2";"4759";"4300";"30";"4";"4266";"933";"341";"1491";"76";"473";"3";"34";"1";"266";"102";"253";"147";"146";"0";"0";"0"
"157003";"157003";"20";"4";"2";"4728";"4303";"9";"2";"4292";"442";"383";"1878";"54";"339";"0";"14";"0";"290";"79";"466";"241";"105";"1";"0";"0"
"157004";"157004";"20";"4";"2";"6004";"5183";"25";"10";"5148";"1292";"361";"1772";"69";"624";"4";"39";"0";"286";"72";"317";"162";"149";"0";"1";"0"
"157005";"157005";"20";"4";"2";"5177";"4682";"14";"6";"4662";"610";"394";"1993";"53";"385";"0";"26";"0";"320";"101";"410";"192";"178";"0";"0";"0"
"157006";"157006";"24";"4";"2";"6034";"5530";"19";"3";"5508";"445";"470";"2593";"51";"369";"3";"25";"2";"378";"103";"622";"282";"165";"0";"0";"0"
"157007";"157007";"24";"4";"2";"5879";"5354";"26";"3";"5325";"750";"393";"2133";"67";"500";"4";"34";"2";"319";"157";"473";"326";"167";"0";"0";"0"
"157008";"157008";"24";"4";"2";"4583";"4129";"14";"3";"4112";"497";"306";"1904";"54";"324";"3";"11";"1";"269";"68";"343";"215";"117";"0";"0";"0"
"157009";"157009";"24";"4";"2";"5401";"4856";"21";"6";"4829";"605";"436";"2187";"46";"334";"1";"14";"1";"334";"68";"470";"163";"170";"0";"0";"0"
"157010";"157010";"24";"4";"2";"5248";"4622";"14";"5";"4603";"580";"323";"2225";"57";"275";"2";"9";"1";"340";"84";"489";"88";"129";"0";"1";"0"
"159001";"159001";"25";"4";"2";"5374";"4838";"32";"8";"4798";"1113";"386";"1383";"99";"600";"2";"25";"1";"447";"78";"303";"221";"139";"0";"0";"1"
"159002";"159002";"25";"4";"2";"3533";"3119";"9";"2";"3108";"1037";"164";"771";"55";"457";"4";"24";"0";"248";"51";"108";"92";"97";"0";"0";"0"
"159003";"159003";"25";"4";"2";"5716";"5146";"29";"3";"5114";"1708";"274";"982";"98";"916";"2";"58";"2";"433";"70";"146";"251";"172";"0";"2";"0"
"159004";"159004";"25";"4";"2";"3282";"2891";"21";"4";"2866";"1329";"108";"425";"60";"530";"0";"36";"0";"135";"39";"61";"87";"56";"0";"0";"0"
"159005";"159005";"25";"4";"2";"3408";"3058";"15";"7";"3036";"1121";"193";"580";"62";"525";"3";"43";"0";"188";"47";"96";"109";"69";"0";"0";"0"
"159006";"159006";"25";"4";"2";"4004";"3611";"11";"6";"3594";"943";"260";"806";"91";"580";"1";"46";"2";"340";"60";"144";"206";"114";"1";"0";"0"
"159007";"159007";"25";"4";"2";"5294";"4786";"23";"7";"4756";"1873";"238";"782";"91";"896";"1";"50";"3";"333";"50";"101";"184";"154";"0";"0";"0"
"159008";"159008";"25";"4";"2";"6455";"5899";"25";"9";"5865";"1401";"552";"1395";"119";"855";"3";"49";"0";"539";"117";"330";"335";"170";"0";"0";"0"
"159009";"159009";"25";"4";"2";"3787";"3397";"22";"4";"3371";"992";"192";"772";"74";"533";"7";"40";"0";"288";"70";"128";"174";"101";"0";"0";"0"
"159010";"159010";"25";"4";"2";"4725";"4040";"27";"1";"4012";"1347";"235";"871";"89";"586";"3";"35";"2";"381";"68";"150";"139";"106";"0";"0";"0"
"159011";"159011";"25";"4";"2";"3000";"2627";"15";"7";"2605";"842";"171";"544";"43";"432";"3";"32";"0";"196";"36";"119";"125";"60";"1";"1";"0"
"161001";"161001";"23";"4";"2";"3231";"2957";"15";"13";"2929";"980";"184";"767";"59";"401";"0";"30";"0";"153";"53";"137";"68";"96";"0";"1";"0"
"161002";"161002";"23";"4";"2";"2310";"2097";"10";"4";"2083";"708";"131";"620";"28";"216";"0";"15";"0";"88";"37";"112";"37";"91";"0";"0";"0"
"161003";"161003";"23";"4";"2";"4339";"3796";"17";"8";"3771";"1616";"183";"799";"67";"560";"2";"27";"2";"148";"34";"136";"82";"115";"0";"0";"0"
"161004";"161004";"23";"4";"2";"4013";"3613";"19";"12";"3582";"1673";"182";"592";"76";"644";"4";"27";"0";"95";"33";"101";"64";"91";"0";"0";"0"
"161005";"161005";"23";"4";"2";"1330";"1276";"8";"2";"1266";"234";"118";"469";"29";"128";"1";"5";"0";"105";"22";"97";"22";"36";"0";"0";"0"
"163001";"163001";"28";"4";"2";"2017";"1837";"6";"0";"1831";"817";"102";"343";"45";"284";"0";"16";"0";"67";"31";"47";"39";"40";"0";"0";"0"
"163002";"163002";"28";"4";"2";"4840";"4346";"37";"2";"4307";"1616";"256";"925";"106";"705";"3";"55";"0";"168";"86";"161";"114";"112";"0";"0";"0"
"163003";"163003";"28";"4";"2";"4150";"3703";"19";"2";"3682";"1119";"241";"815";"82";"674";"3";"49";"0";"221";"87";"136";"146";"109";"0";"0";"0"
"163004";"163004";"28";"4";"2";"5743";"5269";"23";"5";"5241";"1631";"404";"1248";"120";"816";"2";"71";"3";"322";"96";"194";"182";"152";"0";"0";"0"
"163005";"163005";"28";"4";"2";"3808";"3237";"29";"5";"3203";"1300";"159";"589";"63";"648";"5";"24";"0";"105";"54";"80";"95";"81";"0";"0";"0"
"165001";"165001";"23";"4";"2";"4678";"4236";"33";"9";"4194";"819";"221";"916";"59";"907";"6";"132";"3";"157";"34";"166";"669";"105";"0";"0";"0"
"165002";"165002";"23";"4";"2";"3766";"3461";"33";"5";"3423";"865";"250";"858";"48";"659";"2";"77";"0";"155";"22";"128";"281";"77";"0";"1";"0"
"165003";"165003";"23";"4";"2";"3099";"2639";"10";"16";"2613";"1172";"102";"378";"59";"604";"5";"34";"2";"57";"20";"25";"90";"64";"0";"1";"0"
"165004";"165004";"23";"4";"2";"4452";"3872";"19";"10";"3843";"1440";"156";"438";"98";"1073";"4";"102";"7";"64";"25";"61";"299";"76";"0";"0";"0"
"165005";"165005";"23";"4";"2";"3125";"2872";"22";"0";"2850";"763";"225";"636";"65";"568";"1";"108";"0";"114";"19";"91";"195";"65";"0";"0";"0"
"167001";"167001";"26";"4";"2";"4219";"3708";"14";"9";"3685";"1269";"223";"828";"62";"644";"0";"40";"0";"167";"50";"154";"140";"108";"0";"0";"0"
"167002";"167002";"26";"4";"2";"3344";"2955";"20";"3";"2932";"1305";"110";"519";"61";"541";"0";"29";"0";"98";"35";"64";"92";"78";"0";"0";"0"
"167003";"167003";"26";"4";"2";"4800";"4330";"38";"6";"4286";"1886";"187";"703";"89";"835";"4";"47";"0";"164";"46";"109";"104";"111";"0";"1";"0"
"167004";"167004";"26";"4";"2";"5092";"4604";"16";"6";"4582";"1906";"235";"827";"97";"815";"5";"55";"0";"196";"38";"111";"157";"139";"0";"1";"0"
"167005";"167005";"26";"4";"2";"5262";"4716";"39";"10";"4667";"1766";"250";"1109";"101";"683";"3";"48";"2";"222";"58";"135";"127";"162";"1";"0";"0"
"167006";"167006";"26";"4";"2";"5811";"5197";"33";"8";"5156";"2164";"285";"974";"101";"905";"0";"50";"0";"191";"42";"133";"157";"154";"0";"0";"0"
"167007";"167007";"26";"4";"2";"5267";"4749";"23";"6";"4720";"1732";"293";"1130";"102";"732";"5";"29";"0";"253";"42";"133";"88";"181";"0";"0";"0"
"167008";"167008";"26";"4";"2";"4529";"3946";"26";"5";"3915";"1656";"129";"597";"71";"928";"2";"61";"1";"104";"30";"76";"173";"87";"0";"0";"0"
"169001";"169001";"23";"4";"2";"2936";"2442";"16";"6";"2420";"955";"121";"526";"57";"385";"4";"35";"0";"98";"37";"86";"44";"72";"0";"0";"0"
"169002";"169002";"23";"4";"2";"3465";"3156";"20";"4";"3132";"1039";"190";"876";"53";"407";"0";"19";"1";"162";"37";"156";"80";"112";"0";"0";"0"
"169003";"169003";"23";"4";"2";"2612";"2422";"12";"1";"2409";"599";"187";"792";"33";"354";"1";"15";"1";"133";"24";"143";"65";"62";"0";"0";"0"
"169004";"169004";"23";"4";"2";"2182";"1904";"15";"4";"1885";"602";"130";"567";"41";"201";"0";"15";"0";"118";"24";"112";"33";"42";"0";"0";"0"
"169005";"169005";"23";"4";"2";"1666";"1557";"10";"0";"1547";"437";"105";"461";"19";"225";"2";"16";"0";"94";"16";"87";"44";"41";"0";"0";"0"
"169006";"169006";"23";"4";"2";"3832";"3229";"12";"3";"3214";"1094";"142";"882";"45";"516";"4";"18";"0";"153";"58";"123";"62";"116";"0";"1";"0"
"169007";"169007";"23";"4";"2";"3590";"3211";"33";"2";"3176";"1188";"195";"801";"52";"502";"1";"22";"0";"136";"21";"123";"51";"84";"0";"0";"0"
"169009";"169009";"23";"4";"2";"1625";"1472";"15";"1";"1456";"355";"100";"458";"26";"134";"2";"5";"0";"83";"38";"160";"33";"62";"0";"0";"0"
"169010";"169010";"23";"4";"2";"1924";"1640";"8";"3";"1629";"589";"81";"443";"34";"244";"1";"11";"1";"67";"15";"50";"33";"60";"0";"0";"0"
"169011";"169011";"23";"4";"2";"1930";"1724";"14";"1";"1709";"738";"96";"436";"32";"167";"5";"2";"0";"66";"19";"81";"21";"45";"0";"0";"1"
"169012";"169012";"23";"4";"2";"3047";"2780";"15";"3";"2762";"908";"222";"765";"58";"321";"1";"22";"0";"131";"33";"163";"43";"94";"0";"1";"0"
"169013";"169013";"23";"4";"2";"448";"425";"4";"0";"421";"113";"30";"138";"10";"38";"1";"0";"0";"20";"0";"46";"5";"20";"0";"0";"0"
"169111";"169111";"23";"4";"2";"1083";"957";"6";"0";"951";"373";"50";"266";"9";"105";"0";"9";"0";"48";"10";"43";"9";"29";"0";"0";"0"
"171001";"171001";"22";"4";"2";"658";"602";"6";"6";"590";"138";"36";"183";"11";"49";"0";"3";"0";"23";"8";"100";"20";"19";"0";"0";"0"
"171002";"171002";"22";"4";"2";"4740";"4400";"23";"3";"4374";"1186";"293";"1271";"89";"630";"3";"20";"2";"312";"50";"275";"102";"141";"0";"0";"0"
"171103";"171103";"22";"4";"2";"449";"403";"1";"0";"402";"98";"24";"119";"9";"32";"0";"1";"0";"17";"1";"69";"10";"22";"0";"0";"0"
"173001";"173001";"21";"4";"2";"3378";"3000";"15";"4";"2981";"906";"195";"948";"47";"354";"0";"32";"0";"123";"48";"148";"97";"83";"0";"0";"0"
"173002";"173002";"21";"4";"2";"5088";"4493";"6";"1";"4486";"1646";"302";"1148";"76";"617";"3";"25";"3";"187";"48";"189";"116";"125";"0";"0";"1"
"173003";"173003";"21";"4";"2";"5218";"4710";"24";"2";"4684";"1071";"417";"1387";"66";"732";"1";"31";"0";"216";"57";"391";"187";"127";"1";"0";"0"
"173004";"173004";"21";"4";"2";"3503";"3197";"21";"5";"3171";"740";"269";"1052";"49";"359";"1";"18";"1";"172";"68";"213";"122";"107";"0";"0";"0"
"173005";"173005";"21";"4";"2";"1333";"1203";"10";"1";"1192";"205";"115";"460";"16";"115";"1";"6";"0";"55";"15";"89";"76";"39";"0";"0";"0"
"173006";"173006";"21";"4";"2";"4898";"4513";"13";"4";"4496";"571";"446";"1918";"55";"356";"1";"21";"1";"316";"85";"455";"118";"152";"0";"1";"0"
"173007";"173007";"21";"4";"2";"3893";"3664";"21";"1";"3642";"529";"428";"1398";"46";"345";"1";"12";"0";"233";"59";"369";"115";"105";"1";"0";"1"
"173008";"173008";"21";"4";"2";"3380";"3128";"11";"1";"3116";"741";"309";"1063";"49";"339";"2";"12";"1";"175";"43";"197";"89";"96";"0";"0";"0"
"173009";"173009";"21";"4";"2";"2283";"2149";"9";"0";"2140";"305";"229";"792";"30";"227";"1";"13";"0";"170";"41";"189";"76";"67";"0";"0";"0"
"173010";"173010";"21";"4";"2";"4839";"4425";"23";"6";"4396";"1279";"414";"1215";"70";"540";"3";"32";"0";"207";"69";"330";"105";"131";"1";"0";"0"
"173105";"173105";"21";"4";"2";"3071";"2740";"10";"2";"2728";"796";"182";"870";"47";"322";"2";"9";"1";"120";"58";"174";"60";"86";"1";"0";"0"
"173111";"173111";"21";"4";"2";"65";"61";"1";"0";"60";"16";"1";"2";"1";"22";"0";"7";"0";"1";"0";"2";"8";"0";"0";"0";"0"
"175002";"175002";"28";"4";"2";"2378";"2139";"11";"0";"2128";"1011";"101";"333";"45";"393";"1";"31";"2";"61";"22";"40";"44";"44";"0";"0";"0"
