"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV1979 - Stemmeberettigede";"FV1979 - Afgivne stemmer";"FV1979 - Blanke stemmer";"FV1979 - Andre ugyldige stemmer";"FV1979 - Gyldige stemmer";"FV1979 - A. Socialdemokratiet";"FV1979 - B. Det Radikale Venstre";"FV1979 - C. Det Konservative Folkeparti";"FV1979 - E. Danmarks Retsforbund";"FV1979 - F. Socialistisk Folkeparti";"FV1979 - K. Danmarks Kommunistiske Parti";"FV1979 - M. Centrum-Demokraterne";"FV1979 - Q. Kristeligt Folkeparti";"FV1979 - R. Arbejderpartiet KAP";"FV1979 - V. Venstre, Danmarks Liberale Parti";"FV1979 - Y. Venstresocialisterne";"FV1979 - Z. Fremskridtspartiet";"FV1979 - 1. Uden for partierne";"FV1979 - 2. Uden for partierne"
"151002";"151002";"22";"4";"2";"7393";"6288";"41";"10";"6237";"3111";"315";"570";"218";"578";"200";"134";"70";"52";"252";"307";"430";"-";"-"
"151003";"151003";"22";"4";"2";"4628";"4130";"27";"7";"4096";"1373";"333";"666";"169";"318";"91";"196";"37";"14";"285";"239";"375";"-";"-"
"151004";"151004";"22";"4";"2";"2938";"2459";"22";"4";"2433";"1209";"91";"167";"112";"288";"97";"37";"11";"24";"64";"164";"169";"-";"-"
"151005";"151005";"22";"4";"2";"3622";"3330";"24";"3";"3303";"1222";"268";"479";"81";"240";"70";"169";"19";"18";"241";"162";"334";"-";"-"
"151006";"151006";"22";"4";"2";"4847";"4223";"20";"3";"4200";"2212";"201";"229";"196";"492";"172";"40";"30";"37";"81";"286";"224";"-";"-"
"151007";"151007";"22";"4";"2";"1574";"1437";"5";"1";"1431";"517";"85";"236";"48";"102";"36";"76";"20";"17";"67";"53";"174";"-";"-"
"151101";"151101";"22";"4";"2";"4669";"4073";"19";"3";"4051";"2095";"203";"299";"186";"460";"129";"99";"16";"21";"95";"218";"230";"-";"-"
"151109";"151109";"22";"4";"2";"3327";"2893";"24";"3";"2866";"1047";"191";"362";"100";"251";"102";"119";"26";"29";"136";"193";"310";"-";"-"
"153001";"153001";"26";"4";"2";"4072";"3617";"26";"3";"3588";"1550";"227";"444";"126";"268";"101";"131";"34";"21";"173";"174";"339";"-";"-"
"153004";"153004";"26";"4";"2";"1975";"1686";"6";"4";"1676";"879";"69";"131";"56";"164";"58";"20";"5";"13";"53";"110";"118";"-";"-"
"153005";"153005";"26";"4";"2";"3395";"2957";"10";"5";"2942";"1444";"138";"230";"136";"294";"126";"83";"20";"23";"78";"190";"180";"-";"-"
"153006";"153006";"26";"4";"2";"5073";"4125";"18";"6";"4101";"1848";"225";"361";"155";"438";"188";"96";"23";"43";"91";"209";"424";"-";"-"
"153102";"153102";"26";"4";"2";"3300";"2754";"14";"6";"2734";"1313";"158";"284";"91";"267";"76";"66";"18";"27";"104";"136";"194";"-";"-"
"153103";"153103";"26";"4";"2";"4456";"3854";"24";"7";"3823";"1722";"251";"430";"169";"357";"130";"92";"31";"26";"138";"207";"270";"-";"-"
"153107";"153107";"26";"4";"2";"3249";"2634";"13";"2";"2619";"1097";"119";"284";"117";"248";"141";"67";"21";"20";"87";"151";"267";"-";"-"
"155001";"155001";"27";"4";"2";"3238";"2818";"22";"3";"2793";"1090";"137";"493";"85";"193";"51";"81";"42";"11";"161";"182";"267";"-";"-"
"155002";"155002";"27";"4";"2";"5789";"5061";"33";"9";"5019";"1325";"395";"1313";"124";"257";"65";"225";"41";"6";"363";"217";"688";"-";"-"
"157001";"157001";"20";"4";"2";"4294";"3762";"16";"6";"3740";"791";"308";"1208";"84";"139";"26";"167";"39";"5";"417";"156";"400";"-";"-"
"157003";"157003";"20";"4";"2";"3834";"3521";"17";"3";"3501";"372";"266";"1425";"48";"107";"15";"196";"46";"8";"449";"141";"428";"-";"-"
"157004";"157004";"20";"4";"2";"6968";"5950";"29";"9";"5912";"1999";"407";"1422";"161";"327";"103";"224";"78";"17";"364";"288";"522";"-";"-"
"157005";"157005";"20";"4";"2";"6770";"5982";"32";"7";"5943";"1494";"459";"1676";"194";"266";"62";"276";"91";"22";"523";"280";"600";"-";"-"
"157006";"157006";"24";"4";"2";"7010";"6237";"28";"3";"6206";"895";"546";"2247";"131";"232";"51";"313";"70";"16";"715";"341";"649";"-";"-"
"157007";"157007";"24";"4";"2";"7021";"6218";"32";"12";"6174";"1263";"419";"1866";"140";"273";"85";"261";"155";"27";"627";"426";"632";"-";"-"
"157008";"157008";"24";"4";"2";"7641";"6664";"23";"7";"6634";"1354";"473";"2278";"142";"217";"50";"298";"104";"12";"713";"288";"705";"-";"-"
"157009";"157009";"24";"4";"2";"5535";"4912";"20";"7";"4885";"940";"386";"1660";"82";"150";"35";"212";"55";"7";"506";"245";"607";"-";"-"
"157102";"157102";"20";"4";"2";"4545";"4060";"18";"5";"4037";"643";"317";"1381";"89";"155";"35";"201";"65";"8";"463";"259";"421";"-";"-"
"159001";"159001";"25";"4";"2";"5324";"4723";"21";"7";"4695";"1432";"351";"871";"163";"303";"70";"362";"51";"21";"337";"342";"392";"-";"-"
"159002";"159002";"25";"4";"2";"3621";"3090";"12";"8";"3070";"1282";"167";"395";"109";"220";"65";"180";"54";"20";"122";"179";"277";"-";"-"
"159003";"159003";"25";"4";"2";"5724";"5026";"23";"5";"4998";"2014";"308";"475";"188";"398";"176";"300";"58";"41";"192";"427";"421";"-";"-"
"159004";"159004";"25";"4";"2";"3148";"2705";"10";"3";"2692";"1394";"108";"168";"114";"260";"102";"82";"34";"24";"61";"175";"170";"-";"-"
"159005";"159005";"25";"4";"2";"3338";"2907";"14";"4";"2889";"1335";"187";"297";"131";"260";"76";"88";"22";"20";"113";"180";"180";"-";"-"
"159006";"159006";"25";"4";"2";"4130";"3636";"13";"1";"3622";"1220";"308";"523";"110";"299";"92";"240";"60";"22";"153";"268";"327";"-";"-"
"159007";"159007";"25";"4";"2";"5388";"4719";"22";"4";"4693";"2224";"261";"400";"197";"444";"119";"231";"30";"28";"120";"276";"363";"-";"-"
"159008";"159008";"25";"4";"2";"6502";"5812";"34";"10";"5768";"1791";"513";"937";"197";"447";"115";"348";"66";"45";"332";"516";"461";"-";"-"
"159009";"159009";"25";"4";"2";"3873";"3427";"17";"7";"3403";"1255";"217";"467";"140";"244";"88";"198";"61";"16";"144";"259";"314";"-";"-"
"159010";"159010";"25";"4";"2";"4748";"3946";"29";"8";"3909";"1570";"286";"516";"152";"281";"83";"212";"54";"21";"205";"215";"314";"-";"-"
"159011";"159011";"25";"4";"2";"2865";"2445";"9";"8";"2428";"953";"140";"335";"69";"202";"84";"119";"26";"18";"109";"165";"208";"-";"-"
"161001";"161001";"23";"4";"2";"2629";"2428";"13";"2";"2413";"941";"168";"401";"76";"162";"64";"99";"40";"8";"154";"86";"214";"-";"-"
"161002";"161002";"23";"4";"2";"2401";"2133";"17";"5";"2111";"886";"123";"393";"62";"127";"39";"61";"30";"4";"121";"56";"209";"-";"-"
"161003";"161003";"23";"4";"2";"4263";"3661";"23";"7";"3631";"1793";"213";"400";"131";"274";"91";"89";"27";"11";"175";"137";"290";"-";"-"
"161004";"161004";"23";"4";"2";"4072";"3628";"20";"4";"3604";"1969";"189";"283";"159";"339";"91";"40";"28";"19";"106";"149";"232";"-";"-"
"161005";"161005";"23";"4";"2";"1250";"1169";"3";"2";"1164";"316";"104";"270";"44";"47";"13";"75";"16";"2";"81";"42";"154";"-";"-"
"163001";"163001";"28";"4";"2";"2150";"1911";"14";"1";"1896";"1003";"91";"168";"93";"161";"38";"43";"21";"11";"49";"95";"123";"-";"-"
"163002";"163002";"28";"4";"2";"4886";"4291";"30";"5";"4256";"1929";"267";"481";"187";"359";"118";"131";"80";"28";"150";"199";"327";"-";"-"
"163003";"163003";"28";"4";"2";"4732";"4025";"25";"7";"3993";"1595";"256";"496";"153";"378";"154";"121";"66";"24";"165";"251";"334";"-";"-"
"163004";"163004";"28";"4";"2";"5453";"4927";"31";"2";"4894";"1933";"381";"748";"180";"362";"103";"194";"99";"20";"224";"242";"408";"-";"-"
"163005";"163005";"28";"4";"2";"3152";"2647";"29";"3";"2615";"1225";"135";"254";"97";"274";"95";"60";"39";"16";"59";"152";"209";"-";"-"
"165001";"165001";"23";"4";"2";"4649";"4017";"22";"6";"3989";"949";"252";"513";"127";"406";"257";"137";"25";"69";"223";"703";"328";"-";"-"
"165002";"165002";"23";"4";"2";"3640";"3305";"15";"7";"3283";"1017";"269";"573";"136";"335";"141";"105";"17";"20";"139";"301";"230";"-";"-"
"165003";"165003";"23";"4";"2";"3160";"2584";"10";"5";"2569";"1293";"129";"187";"117";"309";"107";"30";"16";"20";"63";"145";"153";"-";"-"
"165004";"165004";"23";"4";"2";"4116";"3489";"24";"5";"3460";"1458";"172";"135";"167";"504";"209";"43";"28";"42";"49";"446";"207";"-";"-"
"165005";"165005";"23";"4";"2";"3054";"2736";"17";"2";"2717";"896";"223";"384";"100";"287";"125";"72";"26";"17";"118";"248";"221";"-";"-"
"167001";"167001";"26";"4";"2";"4288";"3705";"21";"4";"3680";"1514";"224";"449";"151";"342";"115";"127";"40";"20";"159";"242";"297";"-";"-"
"167002";"167002";"26";"4";"2";"3295";"2813";"17";"2";"2794";"1463";"133";"241";"117";"212";"74";"68";"19";"17";"76";"153";"221";"-";"-"
"167003";"167003";"26";"4";"2";"4812";"4216";"38";"6";"4172";"2119";"187";"366";"154";"393";"157";"109";"38";"22";"133";"219";"275";"-";"-"
"167004";"167004";"26";"4";"2";"5205";"4617";"16";"4";"4597";"2187";"285";"431";"182";"411";"125";"136";"36";"20";"132";"281";"371";"-";"-"
"167005";"167005";"26";"4";"2";"5255";"4590";"29";"3";"4558";"2046";"265";"553";"143";"328";"129";"171";"43";"26";"160";"229";"465";"-";"-"
"167006";"167006";"26";"4";"2";"5849";"5061";"28";"9";"5024";"2426";"278";"479";"196";"423";"169";"129";"38";"18";"146";"265";"457";"-";"-"
"167007";"167007";"26";"4";"2";"5037";"4386";"24";"7";"4355";"1872";"291";"582";"177";"354";"90";"170";"28";"20";"152";"157";"462";"-";"-"
"167008";"167008";"26";"4";"2";"3559";"2939";"23";"4";"2912";"1378";"128";"222";"121";"312";"120";"69";"23";"21";"79";"251";"188";"-";"-"
"169001";"169001";"23";"4";"2";"3083";"2509";"13";"2";"2494";"1094";"116";"355";"110";"199";"91";"66";"26";"17";"83";"133";"204";"-";"-"
"169002";"169002";"23";"4";"2";"3641";"3122";"18";"2";"3102";"1281";"164";"611";"98";"174";"70";"92";"45";"12";"154";"125";"276";"-";"-"
"169003";"169003";"23";"4";"2";"2557";"2277";"11";"2";"2264";"648";"184";"576";"74";"173";"63";"78";"17";"15";"117";"91";"228";"-";"-"
"169004";"169004";"23";"4";"2";"2461";"2198";"16";"4";"2178";"759";"204";"466";"72";"148";"33";"82";"26";"5";"158";"79";"146";"-";"-"
"169006";"169006";"23";"4";"2";"2905";"2340";"21";"0";"2319";"927";"139";"319";"83";"199";"79";"83";"21";"10";"90";"107";"262";"-";"-"
"169007";"169007";"23";"4";"2";"3600";"3148";"24";"2";"3122";"1368";"190";"426";"137";"273";"55";"100";"39";"14";"142";"112";"266";"-";"-"
"169009";"169009";"23";"4";"2";"1540";"1366";"6";"1";"1359";"434";"84";"249";"57";"40";"21";"48";"19";"1";"151";"47";"208";"-";"-"
"169010";"169010";"23";"4";"2";"1320";"1098";"11";"2";"1085";"440";"59";"198";"36";"77";"26";"46";"9";"9";"38";"37";"110";"-";"-"
"169011";"169011";"23";"4";"2";"2001";"1723";"18";"0";"1705";"850";"112";"261";"56";"78";"44";"36";"24";"6";"74";"37";"127";"-";"-"
"169012";"169012";"23";"4";"2";"3064";"2715";"16";"6";"2693";"1120";"225";"464";"65";"150";"37";"74";"28";"7";"186";"81";"256";"-";"-"
"169013";"169013";"23";"4";"2";"404";"362";"1";"0";"361";"126";"38";"55";"9";"16";"4";"8";"0";"3";"49";"9";"44";"-";"-"
"169102";"169102";"23";"4";"2";"1096";"991";"8";"0";"983";"318";"67";"227";"26";"63";"12";"60";"9";"3";"59";"43";"96";"-";"-"
"169111";"169111";"23";"4";"2";"875";"787";"5";"1";"781";"372";"48";"111";"17";"48";"26";"20";"12";"3";"41";"17";"66";"-";"-"
"171001";"171001";"22";"4";"2";"637";"575";"7";"2";"566";"152";"29";"110";"11";"27";"11";"23";"7";"0";"79";"37";"80";"-";"-"
"171002";"171002";"22";"4";"2";"3963";"3611";"25";"1";"3585";"1320";"272";"585";"124";"256";"46";"158";"32";"10";"287";"139";"356";"-";"-"
"171103";"171103";"22";"4";"2";"435";"380";"2";"0";"378";"109";"20";"68";"9";"15";"10";"9";"6";"1";"71";"14";"46";"-";"-"
"173001";"173001";"21";"4";"2";"3440";"2968";"15";"9";"2944";"1163";"226";"585";"77";"161";"53";"75";"38";"11";"152";"132";"271";"-";"-"
"173002";"173002";"21";"4";"2";"5326";"4624";"18";"4";"4602";"2056";"341";"674";"153";"333";"110";"92";"46";"22";"210";"214";"351";"-";"-"
"173003";"173003";"21";"4";"2";"4922";"4381";"26";"3";"4352";"1390";"409";"798";"151";"388";"75";"130";"24";"20";"352";"284";"331";"-";"-"
"173004";"173004";"21";"4";"2";"3440";"3040";"12";"5";"3023";"923";"257";"700";"76";"162";"38";"135";"48";"19";"211";"191";"263";"-";"-"
"173005";"173005";"21";"4";"2";"1346";"1185";"7";"0";"1178";"297";"77";"332";"36";"50";"18";"55";"5";"9";"84";"70";"145";"-";"-"
"173006";"173006";"21";"4";"2";"4912";"4472";"15";"2";"4455";"797";"485";"1410";"117";"171";"50";"240";"61";"13";"452";"164";"495";"-";"-"
"173007";"173007";"21";"4";"2";"3975";"3667";"17";"0";"3650";"715";"473";"1063";"83";"161";"13";"155";"43";"10";"436";"171";"327";"-";"-"
"173008";"173008";"21";"4";"2";"3551";"3173";"11";"3";"3159";"966";"284";"787";"91";"187";"24";"117";"33";"15";"247";"133";"275";"-";"-"
"173009";"173009";"21";"4";"2";"3236";"2929";"15";"2";"2912";"640";"317";"773";"77";"152";"37";"174";"39";"4";"317";"120";"262";"-";"-"
"173010";"173010";"21";"4";"2";"3876";"3472";"12";"5";"3455";"1328";"342";"578";"115";"211";"70";"95";"34";"13";"232";"163";"274";"-";"-"
"173105";"173105";"21";"4";"2";"3211";"2809";"7";"3";"2799";"1120";"202";"573";"67";"144";"41";"76";"46";"13";"178";"111";"228";"-";"-"
"173111";"173111";"21";"4";"2";"82";"75";"0";"0";"75";"31";"1";"2";"1";"13";"9";"1";"0";"2";"0";"12";"3";"-";"-"
"175002";"175002";"28";"4";"2";"2543";"2256";"10";"0";"2246";"1236";"114";"180";"101";"223";"73";"40";"15";"10";"51";"93";"110";"-";"-"
"175003";"175003";"28";"4";"2";"3763";"3239";"14";"3";"3222";"1341";"209";"453";"84";"235";"101";"90";"42";"20";"138";"171";"338";"-";"-"
"175004";"175004";"28";"4";"2";"4049";"3488";"27";"0";"3461";"1742";"196";"285";"160";"349";"94";"69";"18";"17";"120";"187";"224";"-";"-"
"175005";"175005";"28";"4";"2";"3081";"2621";"16";"1";"2604";"1331";"114";"245";"121";"249";"70";"50";"15";"30";"59";"129";"191";"-";"-"
"175006";"175006";"28";"4";"2";"3580";"3195";"17";"3";"3175";"1195";"245";"509";"117";"224";"65";"118";"45";"19";"172";"128";"338";"-";"-"
"175007";"175007";"28";"4";"2";"4429";"3894";"17";"3";"3874";"1788";"239";"432";"167";"318";"125";"120";"41";"21";"142";"181";"300";"-";"-"
"175008";"175008";"28";"4";"2";"4344";"3895";"35";"1";"3859";"1577";"288";"475";"153";"337";"133";"129";"57";"21";"143";"168";"378";"-";"-"
"175101";"175101";"28";"4";"2";"3058";"2639";"14";"4";"2621";"1179";"172";"327";"94";"172";"62";"91";"25";"16";"104";"131";"248";"-";"-"
"181001";"181001";"21";"4";"2";"3906";"3553";"18";"7";"3528";"562";"323";"1052";"59";"205";"26";"175";"42";"10";"497";"228";"349";"-";"-"
"181003";"181003";"21";"4";"2";"4636";"4137";"21";"5";"4111";"735";"392";"1244";"74";"187";"38";"224";"44";"18";"504";"193";"458";"-";"-"
"181004";"181004";"21";"4";"2";"2033";"1869";"11";"2";"1856";"333";"200";"499";"45";"86";"13";"99";"25";"12";"226";"105";"213";"-";"-"
"181005";"181005";"21";"4";"2";"3960";"3464";"22";"0";"3442";"1204";"304";"642";"98";"166";"55";"110";"37";"7";"305";"201";"313";"-";"-"
"181006";"181006";"21";"4";"2";"3699";"3393";"17";"3";"3373";"911";"306";"877";"65";"144";"33";"121";"22";"18";"361";"140";"375";"-";"-"
"181008";"181008";"21";"4";"2";"1292";"1157";"6";"1";"1150";"164";"78";"436";"24";"30";"10";"51";"17";"1";"126";"42";"171";"-";"-"
"181009";"181009";"21";"4";"2";"3633";"3235";"9";"3";"3223";"551";"283";"981";"56";"136";"28";"153";"18";"22";"393";"216";"386";"-";"-"
"183001";"183001";"23";"4";"2";"870";"762";"6";"0";"756";"260";"57";"99";"18";"34";"23";"27";"9";"2";"88";"39";"100";"-";"-"
