"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2013 - Stemmeberettigede";"KV2013 - Afgivne stemmer";"KV2013 - Blanke stemmer";"KV2013 - Andre ugyldige stemmer";"KV2013 - Gyldige stemmer";"KV2013 - A";"KV2013 - B";"KV2013 - C";"KV2013 - F";"KV2013 - I";"KV2013 - K";"KV2013 - J";"KV2013 - G";"KV2013 - O";"KV2013 - M";"KV2013 - N";"KV2013 - H";"KV2013 - V";"KV2013 - U";"KV2013 - S";"KV2013 - Z";"KV2013 - Ø";"KV2013 - L";"KV2013 - R";"KV2013 - Å";"KV2013 - D";"KV2013 - P";"KV2013 - E";"KV2013 - T";"KV2013 - W";"KV2013 - 01";"KV2013 - 04";"KV2013 - 05";"KV2013 - Q";"KV2013 - 02";"KV2013 - Æ";"KV2013 - 03";"KV2013 - 06";"KV2013 - Y"
"101025";"101025";"5";"1";"1";"11440";"7272";"142";"22";"7108";"1847";"863";"179";"969";"185";"11";"27";"4";"317";"14";"1";"0";"416";"2";"-";"0";"2023";"2";"67";"1";"32";"29";"17";"40";"-";"0";"8";"3";"9";"8";"0";"32";"1";"1"
"101026";"101026";"5";"1";"1";"3655";"2300";"43";"10";"2247";"563";"340";"78";"286";"80";"8";"8";"2";"85";"5";"0";"0";"182";"2";"-";"0";"530";"2";"11";"14";"10";"7";"6";"9";"-";"1";"1";"0";"2";"4";"1";"8";"2";"0"
"101027";"101027";"6";"1";"1";"18773";"9842";"211";"51";"9580";"2652";"919";"457";"967";"266";"35";"55";"3";"864";"20";"4";"1";"854";"6";"-";"4";"2141";"9";"82";"47";"36";"38";"21";"18";"-";"13";"9";"1";"11";"11";"3";"22";"8";"3"
"101028";"101028";"6";"1";"1";"8535";"4948";"89";"25";"4834";"1437";"462";"239";"435";"157";"22";"6";"3";"488";"9";"0";"0";"443";"9";"-";"8";"989";"4";"28";"22";"13";"16";"12";"10";"-";"2";"6";"0";"2";"1";"4";"5";"2";"0"
"101029";"101029";"6";"1";"1";"4711";"2693";"47";"15";"2631";"905";"191";"109";"211";"81";"6";"7";"3";"316";"5";"2";"0";"220";"2";"-";"0";"506";"4";"11";"8";"12";"4";"6";"3";"-";"4";"0";"0";"2";"1";"1";"9";"1";"1"
"101030";"101030";"6";"1";"1";"11169";"6326";"184";"36";"6106";"1625";"583";"243";"674";"195";"16";"25";"7";"469";"23";"1";"0";"495";"11";"-";"1";"1477";"5";"72";"44";"29";"35";"12";"17";"-";"3";"6";"0";"7";"5";"2";"15";"4";"5"
"101031";"101031";"7";"1";"1";"4140";"2885";"61";"5";"2819";"796";"286";"189";"253";"72";"9";"10";"2";"312";"5";"1";"0";"395";"6";"-";"12";"416";"3";"4";"13";"9";"5";"6";"1";"-";"2";"1";"0";"6";"0";"3";"2";"0";"0"
"101032";"101032";"7";"1";"1";"4395";"1804";"33";"25";"1746";"844";"129";"22";"90";"16";"2";"1";"3";"171";"1";"1";"1";"49";"0";"-";"0";"359";"1";"2";"6";"5";"1";"6";"1";"-";"25";"0";"0";"1";"1";"4";"4";"0";"0"
"101033";"101033";"7";"1";"1";"7734";"4918";"82";"11";"4825";"1366";"515";"340";"473";"155";"17";"8";"1";"447";"10";"0";"0";"552";"13";"-";"3";"828";"4";"24";"25";"5";"7";"4";"10";"-";"2";"4";"1";"1";"3";"0";"7";"0";"0"
"101034";"101034";"7";"1";"1";"8976";"5731";"101";"41";"5589";"1666";"532";"265";"587";"139";"26";"23";"1";"603";"9";"0";"1";"559";"10";"-";"5";"1050";"0";"27";"16";"17";"12";"10";"3";"-";"2";"2";"1";"5";"1";"2";"11";"0";"4"
"101035";"101035";"7";"1";"1";"7533";"3995";"85";"21";"3889";"1299";"277";"163";"294";"99";"14";"15";"2";"508";"9";"0";"0";"410";"9";"-";"1";"705";"3";"9";"17";"11";"4";"4";"1";"-";"16";"2";"3";"6";"0";"4";"3";"0";"1"
"101036";"101036";"7";"1";"1";"9055";"5739";"81";"23";"5635";"1810";"436";"289";"440";"141";"16";"17";"4";"775";"8";"3";"1";"686";"13";"-";"14";"874";"10";"17";"13";"15";"7";"10";"1";"-";"4";"7";"0";"5";"2";"4";"11";"0";"2"
"101039";"101039";"7";"1";"1";"4713";"3061";"79";"10";"2972";"869";"294";"188";"265";"111";"11";"3";"1";"262";"2";"0";"1";"428";"4";"-";"8";"457";"0";"10";"14";"10";"5";"4";"5";"-";"2";"5";"0";"1";"2";"2";"8";"0";"0"
"101040";"101040";"7";"1";"1";"5652";"3826";"57";"7";"3762";"1093";"356";"221";"388";"147";"20";"5";"4";"338";"5";"1";"0";"498";"4";"-";"33";"579";"5";"14";"7";"6";"6";"4";"6";"-";"1";"5";"2";"2";"1";"4";"5";"1";"1"
"101041";"101041";"7";"1";"1";"11130";"7301";"117";"24";"7160";"2160";"594";"373";"670";"257";"25";"20";"1";"693";"7";"6";"1";"1041";"12";"-";"25";"1124";"8";"5";"30";"21";"15";"13";"12";"-";"4";"4";"0";"11";"9";"2";"14";"1";"2"
"101042";"101042";"8";"1";"1";"8907";"5689";"100";"15";"5574";"1618";"534";"294";"534";"210";"15";"12";"2";"483";"9";"31";"0";"763";"12";"-";"3";"933";"6";"23";"19";"8";"11";"13";"5";"-";"4";"2";"1";"8";"11";"1";"8";"0";"1"
"101043";"101043";"8";"1";"1";"9393";"6093";"126";"9";"5958";"1624";"636";"289";"591";"256";"20";"11";"8";"502";"20";"53";"0";"808";"9";"-";"1";"990";"5";"21";"22";"18";"22";"12";"9";"-";"1";"7";"2";"3";"5";"0";"7";"2";"4"
"101044";"101044";"8";"1";"1";"5442";"2995";"67";"16";"2912";"962";"209";"111";"197";"77";"10";"4";"2";"435";"6";"25";"0";"333";"6";"-";"2";"451";"6";"13";"19";"18";"4";"7";"1";"-";"2";"3";"1";"1";"3";"1";"1";"1";"1"
"101046";"101046";"8";"1";"1";"5594";"3033";"67";"21";"2945";"945";"209";"86";"237";"117";"19";"9";"3";"391";"2";"34";"0";"314";"10";"-";"3";"500";"5";"6";"9";"6";"8";"8";"3";"-";"3";"3";"1";"5";"0";"1";"7";"0";"1"
"101047";"101047";"8";"1";"1";"4123";"2407";"40";"34";"2333";"726";"184";"88";"214";"65";"4";"8";"2";"232";"3";"41";"0";"234";"1";"-";"0";"470";"3";"16";"10";"6";"4";"4";"3";"-";"1";"1";"0";"1";"3";"1";"6";"2";"0"
"101048";"101048";"8";"1";"1";"6799";"4202";"58";"33";"4111";"1246";"385";"205";"370";"161";"19";"13";"2";"361";"12";"37";"0";"532";"5";"-";"4";"666";"3";"21";"11";"13";"11";"8";"6";"-";"0";"4";"0";"3";"3";"2";"7";"0";"1"
"101049";"101049";"9";"1";"1";"8022";"5188";"75";"20";"5093";"1431";"651";"143";"728";"94";"6";"13";"4";"173";"7";"0";"1";"339";"7";"-";"0";"1329";"3";"25";"36";"21";"7";"8";"11";"-";"1";"2";"0";"9";"5";"23";"15";"0";"1"
"101050";"101050";"9";"1";"1";"9584";"5848";"33";"25";"5790";"1535";"879";"199";"752";"191";"6";"16";"1";"178";"9";"1";"0";"471";"5";"-";"0";"1357";"3";"31";"29";"20";"14";"7";"10";"-";"5";"5";"7";"8";"4";"34";"9";"1";"3"
"101051";"101051";"9";"1";"1";"9945";"5635";"123";"46";"5466";"1754";"317";"145";"431";"121";"18";"24";"1";"575";"15";"2";"1";"390";"19";"-";"0";"1445";"2";"28";"48";"23";"18";"12";"8";"-";"4";"12";"11";"12";"2";"6";"7";"0";"15"
"101052";"101052";"9";"1";"1";"7584";"4805";"85";"5";"4715";"1291";"701";"148";"563";"181";"6";"12";"2";"159";"10";"3";"1";"400";"2";"-";"0";"1009";"0";"12";"16";"23";"11";"7";"8";"-";"1";"4";"5";"5";"5";"119";"9";"1";"1"
"101053";"101053";"9";"1";"1";"6296";"4176";"54";"21";"4101";"1208";"537";"135";"507";"95";"10";"16";"4";"176";"8";"0";"0";"305";"8";"-";"0";"955";"5";"21";"19";"17";"9";"9";"9";"-";"0";"4";"7";"4";"5";"15";"12";"1";"0"
"101054";"101054";"9";"1";"1";"3721";"1979";"63";"14";"1902";"565";"190";"51";"201";"54";"3";"5";"0";"142";"2";"1";"0";"163";"2";"-";"0";"462";"0";"9";"13";"11";"6";"5";"2";"-";"0";"1";"0";"1";"3";"1";"7";"1";"1"
"101055";"101055";"9";"1";"1";"4195";"2659";"45";"10";"2604";"554";"385";"247";"158";"254";"4";"4";"1";"110";"3";"0";"0";"621";"0";"-";"0";"217";"2";"2";"6";"7";"4";"2";"4";"-";"1";"5";"5";"2";"0";"1";"5";"0";"0"
"147001";"147001";"10";"1";"1";"9201";"6408";"71";"26";"6311";"1211";"647";"2175";"551";"303";"13";"-";"-";"182";"-";"-";"7";"397";"-";"-";"-";"821";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"147002";"147002";"10";"1";"1";"9457";"7059";"76";"21";"6962";"1136";"740";"2730";"598";"302";"8";"-";"-";"190";"-";"-";"8";"495";"-";"-";"-";"747";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"147003";"147003";"10";"1";"1";"12393";"8780";"107";"17";"8656";"1542";"967";"2946";"819";"407";"7";"-";"-";"265";"-";"-";"24";"584";"-";"-";"-";"1083";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"147004";"147004";"10";"1";"1";"11211";"7960";"107";"10";"7843";"1338";"841";"2612";"645";"502";"15";"-";"-";"309";"-";"-";"18";"663";"-";"-";"-";"873";"27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"147005";"147005";"11";"1";"1";"11334";"7631";"104";"44";"7483";"1345";"539";"2561";"605";"438";"6";"-";"-";"421";"-";"-";"10";"596";"-";"-";"-";"936";"26";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"147006";"147006";"11";"1";"1";"9646";"6851";"85";"20";"6746";"1151";"497";"2678";"468";"299";"10";"-";"-";"390";"-";"-";"23";"529";"-";"-";"-";"690";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"147007";"147007";"11";"1";"1";"11238";"7548";"93";"19";"7436";"1291";"609";"2798";"578";"385";"16";"-";"-";"312";"-";"-";"17";"572";"-";"-";"-";"847";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"147008";"147008";"11";"1";"1";"8897";"6412";"68";"21";"6323";"1108";"627";"2146";"628";"283";"17";"-";"-";"219";"-";"-";"14";"470";"-";"-";"-";"798";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151001";"151001";"20";"2";"1";"4855";"3183";"34";"17";"3132";"1864";"54";"102";"79";"28";"-";"-";"-";"460";"9";"-";"-";"329";"-";"-";"-";"207";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151002";"151002";"20";"2";"1";"7121";"4486";"62";"25";"4399";"2578";"63";"161";"142";"58";"-";"-";"-";"577";"10";"-";"-";"464";"-";"-";"-";"346";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151003";"151003";"20";"2";"1";"2749";"2154";"23";"3";"2128";"1089";"51";"138";"78";"58";"-";"-";"-";"241";"13";"-";"-";"349";"-";"-";"-";"111";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151004";"151004";"20";"2";"1";"3131";"2095";"15";"8";"2072";"1284";"23";"56";"51";"21";"-";"-";"-";"287";"11";"-";"-";"190";"-";"-";"-";"149";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151005";"151005";"20";"2";"1";"3847";"3079";"38";"3";"3038";"1567";"110";"200";"70";"61";"-";"-";"-";"317";"14";"-";"-";"576";"-";"-";"-";"123";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151006";"151006";"20";"2";"1";"4245";"2765";"33";"9";"2723";"1742";"35";"60";"53";"22";"-";"-";"-";"420";"8";"-";"-";"149";"-";"-";"-";"234";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151007";"151007";"20";"2";"1";"1819";"1288";"27";"0";"1261";"589";"47";"122";"44";"30";"-";"-";"-";"136";"5";"-";"-";"236";"-";"-";"-";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151008";"151008";"20";"2";"1";"4285";"3279";"28";"7";"3244";"1504";"114";"243";"141";"61";"-";"-";"-";"365";"12";"-";"-";"631";"-";"-";"-";"173";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151009";"151009";"20";"2";"1";"3330";"2655";"28";"11";"2616";"1275";"99";"207";"106";"68";"-";"-";"-";"229";"12";"-";"-";"443";"-";"-";"-";"177";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151010";"151010";"20";"2";"1";"2164";"1659";"23";"6";"1630";"686";"57";"156";"109";"30";"-";"-";"-";"150";"3";"-";"-";"257";"-";"-";"-";"182";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153001";"153001";"18";"2";"1";"3370";"2504";"38";"8";"2458";"975";"82";"79";"181";"63";"-";"-";"-";"483";"-";"-";"-";"451";"-";"-";"-";"110";"5";"-";"29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153002";"153002";"18";"2";"1";"3672";"2286";"37";"13";"2236";"955";"49";"62";"124";"54";"-";"-";"-";"467";"-";"-";"-";"329";"-";"-";"-";"130";"8";"-";"58";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153003";"153003";"18";"2";"1";"3254";"2212";"45";"7";"2160";"985";"30";"53";"132";"37";"-";"-";"-";"431";"-";"-";"-";"280";"-";"-";"-";"174";"6";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153004";"153004";"18";"2";"1";"6184";"3957";"47";"22";"3888";"1921";"120";"144";"212";"62";"-";"-";"-";"648";"-";"-";"-";"406";"-";"-";"-";"307";"10";"-";"58";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153005";"153005";"18";"2";"1";"10611";"6538";"72";"59";"6407";"2861";"418";"143";"288";"196";"-";"-";"-";"985";"-";"-";"-";"762";"-";"-";"-";"527";"11";"-";"216";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"155001";"155001";"12";"1";"1";"3472";"2782";"24";"6";"2752";"408";"108";"502";"-";"140";"-";"-";"-";"258";"-";"-";"-";"455";"-";"-";"-";"-";"98";"-";"-";"-";"-";"-";"783";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"155002";"155002";"12";"1";"1";"3827";"2921";"33";"4";"2884";"560";"98";"498";"-";"153";"-";"-";"-";"427";"-";"-";"-";"543";"-";"-";"-";"-";"194";"-";"-";"-";"-";"-";"411";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"155003";"155003";"12";"1";"1";"3413";"2723";"34";"8";"2681";"577";"98";"409";"-";"78";"-";"-";"-";"338";"-";"-";"-";"374";"-";"-";"-";"-";"137";"-";"-";"-";"-";"-";"670";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157001";"157001";"13";"2";"1";"5689";"4205";"39";"35";"4131";"475";"291";"2293";"111";"233";"7";"-";"-";"132";"-";"-";"-";"355";"-";"-";"-";"188";"-";"-";"-";"-";"-";"-";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157002";"157002";"13";"2";"1";"4821";"3530";"36";"42";"3452";"777";"218";"1423";"178";"115";"8";"-";"-";"178";"-";"-";"-";"251";"-";"-";"-";"251";"-";"-";"-";"-";"-";"-";"53";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157003";"157003";"13";"2";"1";"5540";"3916";"26";"12";"3878";"471";"318";"2021";"124";"202";"6";"-";"-";"138";"-";"-";"-";"362";"-";"-";"-";"191";"-";"-";"-";"-";"-";"-";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157004";"157004";"13";"2";"1";"5984";"3904";"53";"25";"3826";"705";"242";"1645";"166";"161";"16";"-";"-";"274";"-";"-";"-";"276";"-";"-";"-";"291";"-";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157005";"157005";"13";"2";"1";"5569";"4114";"48";"5";"4061";"518";"360";"2018";"164";"178";"2";"-";"-";"133";"-";"-";"-";"396";"-";"-";"-";"239";"-";"-";"-";"-";"-";"-";"53";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157006";"157006";"13";"2";"1";"5943";"4619";"32";"25";"4562";"489";"366";"2398";"157";"238";"6";"-";"-";"131";"-";"-";"-";"473";"-";"-";"-";"248";"-";"-";"-";"-";"-";"-";"56";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157007";"157007";"13";"2";"1";"6616";"4747";"47";"17";"4683";"525";"372";"2266";"236";"255";"14";"-";"-";"179";"-";"-";"-";"494";"-";"-";"-";"290";"-";"-";"-";"-";"-";"-";"52";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157008";"157008";"13";"2";"1";"4874";"3537";"21";"7";"3509";"341";"242";"1862";"141";"186";"10";"-";"-";"167";"-";"-";"-";"340";"-";"-";"-";"156";"-";"-";"-";"-";"-";"-";"64";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157009";"157009";"13";"2";"1";"5456";"4063";"36";"13";"4014";"286";"298";"2057";"108";"291";"15";"-";"-";"123";"-";"-";"-";"461";"-";"-";"-";"210";"-";"-";"-";"-";"-";"-";"165";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157010";"157010";"13";"2";"1";"5093";"3605";"29";"6";"3570";"357";"217";"1947";"91";"221";"12";"-";"-";"171";"-";"-";"-";"374";"-";"-";"-";"134";"-";"-";"-";"-";"-";"-";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159001";"159001";"15";"2";"1";"5135";"3738";"71";"17";"3650";"1151";"241";"393";"259";"229";"-";"9";"-";"332";"-";"-";"-";"659";"-";"-";"-";"377";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159002";"159002";"15";"2";"1";"3662";"2398";"29";"3";"2366";"859";"136";"170";"168";"110";"-";"13";"-";"250";"-";"-";"-";"368";"-";"-";"-";"292";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159003";"159003";"15";"2";"1";"6518";"4256";"66";"13";"4177";"1557";"164";"244";"268";"170";"-";"8";"-";"564";"-";"-";"-";"712";"-";"-";"-";"490";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159004";"159004";"15";"2";"1";"3059";"1798";"29";"14";"1755";"745";"43";"41";"176";"31";"-";"6";"-";"301";"-";"-";"-";"114";"-";"-";"-";"298";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159005";"159005";"15";"2";"1";"3072";"2145";"39";"8";"2098";"879";"117";"101";"133";"71";"-";"29";"-";"283";"-";"-";"-";"220";"-";"-";"-";"265";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159006";"159006";"15";"2";"1";"4120";"3155";"45";"11";"3099";"1037";"262";"199";"268";"139";"-";"26";"-";"262";"-";"-";"-";"398";"-";"-";"-";"508";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159007";"159007";"15";"2";"1";"6791";"4533";"92";"16";"4425";"1891";"219";"165";"300";"156";"-";"14";"-";"605";"-";"-";"-";"577";"-";"-";"-";"498";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159008";"159008";"15";"2";"1";"6454";"4739";"102";"14";"4623";"1645";"327";"325";"466";"217";"-";"8";"-";"358";"-";"-";"-";"793";"-";"-";"-";"484";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
