"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2005 - Stemmeberettigede";"KV2005 - Afgivne stemmer";"KV2005 - Blanke stemmer";"KV2005 - Andre ugyldige stemmer";"KV2005 - Gyldige stemmer";"KV2005 - A";"KV2005 - B";"KV2005 - C";"KV2005 - F";"KV2005 - I";"KV2005 - J";"KV2005 - K";"KV2005 - G";"KV2005 - M";"KV2005 - O";"KV2005 - N";"KV2005 - U";"KV2005 - S";"KV2005 - H";"KV2005 - Y";"KV2005 - V";"KV2005 - Z";"KV2005 - Ø";"KV2005 - R";"KV2005 - Å";"KV2005 - L";"KV2005 - D";"KV2005 - P";"KV2005 - E";"KV2005 - 1";"KV2005 - 2";"KV2005 - 3";"KV2005 - Æ";"KV2005 - Q";"KV2005 - T";"KV2005 - W"
"101025";"101025";"14";"3";"1";"-";"2982";"41";"13";"2928";"1337";"255";"144";"214";"2";"8";"16";"2";"14";"304";"0";"0";"-";"0";"6";"416";"8";"155";"9";"9";"0";"6";"7";"4";"4";"1";"2";"4";"1";"0";"-"
"101026";"101026";"14";"3";"1";"-";"3077";"26";"5";"3046";"1250";"309";"174";"319";"0";"16";"19";"0";"4";"235";"2";"1";"-";"1";"0";"393";"5";"266";"5";"22";"2";"4";"2";"5";"2";"3";"0";"6";"1";"0";"-"
"101027";"101027";"14";"3";"1";"-";"2877";"33";"14";"2830";"1256";"261";"145";"249";"1";"1";"26";"3";"17";"275";"0";"1";"-";"0";"2";"360";"7";"174";"2";"14";"2";"7";"15";"0";"5";"1";"0";"6";"0";"0";"-"
"101028";"101028";"5";"1";"1";"-";"8811";"82";"35";"8694";"3375";"1019";"469";"951";"5";"28";"67";"14";"29";"532";"4";"6";"-";"2";"3";"1185";"17";"746";"14";"140";"2";"20";"10";"8";"19";"2";"4";"15";"2";"6";"-"
"101029";"101029";"5";"1";"1";"-";"5983";"56";"16";"5911";"2324";"619";"304";"666";"0";"19";"41";"8";"16";"434";"7";"0";"-";"0";"3";"873";"11";"456";"13";"71";"4";"12";"4";"6";"3";"4";"1";"6";"1";"5";"-"
"101030";"101030";"9";"2";"1";"-";"9589";"85";"15";"9489";"3214";"1323";"763";"1144";"3";"27";"70";"12";"13";"337";"0";"0";"-";"1";"1";"1538";"6";"898";"14";"67";"0";"12";"3";"6";"13";"2";"0";"10";"7";"5";"-"
"101031";"101031";"9";"2";"1";"-";"3814";"26";"3";"3785";"1131";"485";"384";"354";"2";"12";"21";"5";"7";"215";"0";"1";"-";"1";"0";"909";"2";"205";"5";"20";"0";"2";"8";"4";"3";"6";"1";"2";"0";"0";"-"
"101032";"101032";"10";"2";"1";"-";"4727";"54";"22";"4651";"1736";"702";"197";"650";"2";"22";"16";"2";"31";"186";"1";"0";"-";"0";"0";"389";"3";"591";"7";"68";"0";"7";"1";"6";"9";"13";"0";"9";"0";"3";"-"
"101033";"101033";"10";"2";"1";"-";"6185";"68";"21";"6096";"2263";"800";"286";"765";"8";"24";"32";"6";"85";"248";"1";"2";"-";"3";"4";"738";"5";"690";"10";"43";"2";"16";"2";"1";"14";"21";"3";"12";"1";"11";"-"
"101034";"101034";"10";"2";"1";"-";"1918";"25";"10";"1883";"668";"291";"81";"238";"2";"3";"7";"1";"4";"69";"0";"0";"-";"1";"0";"172";"1";"294";"3";"27";"1";"6";"0";"4";"3";"3";"0";"3";"1";"0";"-"
"101035";"101035";"11";"2";"1";"-";"5957";"46";"8";"5903";"2237";"774";"240";"778";"5";"23";"32";"12";"47";"252";"1";"3";"-";"2";"4";"528";"6";"809";"18";"72";"4";"10";"5";"3";"9";"3";"3";"14";"0";"9";"-"
"101036";"101036";"11";"2";"1";"-";"5798";"72";"15";"5711";"2268";"654";"298";"596";"2";"30";"48";"9";"39";"433";"2";"2";"-";"0";"2";"748";"10";"438";"20";"46";"0";"21";"3";"4";"12";"10";"1";"12";"2";"1";"-"
"101037";"101037";"11";"2";"1";"-";"3568";"42";"7";"3519";"1354";"452";"160";"419";"2";"15";"16";"6";"26";"189";"0";"2";"-";"1";"2";"342";"4";"456";"6";"32";"1";"11";"1";"2";"7";"0";"0";"7";"2";"4";"-"
"101038";"101038";"11";"2";"1";"-";"1459";"11";"3";"1445";"532";"134";"121";"224";"0";"3";"18";"0";"0";"93";"0";"0";"-";"0";"0";"191";"2";"112";"5";"3";"1";"1";"0";"2";"3";"0";"0";"0";"0";"0";"-"
"101039";"101039";"15";"3";"1";"-";"4183";"36";"2";"4145";"1591";"611";"145";"517";"3";"14";"16";"5";"20";"110";"1";"2";"-";"4";"0";"374";"4";"613";"7";"67";"0";"4";"3";"6";"16";"1";"0";"7";"2";"2";"-"
"101040";"101040";"15";"3";"1";"-";"5126";"49";"4";"5073";"1785";"830";"233";"618";"3";"42";"22";"3";"8";"107";"2";"1";"-";"1";"2";"542";"2";"752";"13";"55";"5";"10";"0";"2";"21";"4";"0";"10";"0";"0";"-"
"101041";"101041";"15";"3";"1";"-";"4772";"53";"15";"4704";"1693";"665";"152";"661";"1";"25";"26";"7";"21";"153";"0";"0";"-";"0";"0";"457";"5";"693";"10";"83";"1";"7";"3";"4";"13";"3";"1";"13";"4";"3";"-"
"101042";"101042";"16";"3";"1";"-";"1889";"26";"13";"1850";"769";"192";"99";"260";"1";"7";"16";"1";"18";"132";"0";"0";"-";"0";"2";"152";"5";"158";"3";"14";"0";"11";"1";"1";"4";"1";"0";"2";"1";"0";"-"
"101043";"101043";"16";"3";"1";"-";"3702";"30";"14";"3658";"1365";"485";"115";"455";"1";"16";"18";"2";"29";"136";"0";"1";"-";"0";"11";"328";"4";"583";"12";"48";"0";"14";"2";"2";"12";"4";"4";"9";"0";"2";"-"
"101044";"101044";"16";"3";"1";"-";"5122";"59";"10";"5053";"2144";"433";"232";"525";"1";"27";"29";"5";"49";"416";"1";"0";"-";"2";"3";"562";"10";"499";"17";"53";"1";"10";"8";"4";"5";"5";"0";"10";"0";"2";"-"
"101045";"101045";"16";"3";"1";"-";"2490";"23";"12";"2455";"1037";"262";"107";"269";"4";"6";"11";"1";"22";"177";"1";"0";"-";"1";"4";"285";"4";"231";"5";"12";"0";"4";"1";"2";"3";"2";"0";"3";"1";"0";"-"
"101046";"101046";"16";"3";"1";"-";"2050";"22";"4";"2024";"751";"250";"142";"219";"0";"4";"21";"2";"1";"91";"0";"1";"-";"0";"1";"340";"3";"182";"2";"4";"0";"3";"0";"1";"2";"0";"0";"2";"2";"0";"-"
"101047";"101047";"12";"2";"1";"-";"8679";"98";"41";"8540";"3551";"871";"472";"839";"2";"35";"87";"14";"111";"661";"1";"7";"-";"3";"2";"1039";"13";"636";"12";"83";"3";"34";"10";"8";"15";"17";"1";"8";"0";"5";"-"
"101048";"101048";"12";"2";"1";"-";"2973";"24";"5";"2944";"1104";"341";"213";"328";"0";"10";"44";"4";"7";"219";"1";"1";"-";"1";"0";"394";"5";"230";"5";"20";"0";"3";"2";"4";"2";"2";"0";"2";"0";"2";"-"
"101049";"101049";"13";"2";"1";"-";"2890";"27";"5";"2858";"1011";"315";"247";"323";"7";"9";"19";"4";"10";"193";"0";"0";"-";"0";"2";"435";"1";"255";"0";"9";"0";"8";"1";"2";"2";"1";"0";"2";"1";"1";"-"
"101050";"101050";"13";"2";"1";"-";"3409";"38";"6";"3365";"1261";"326";"308";"368";"3";"13";"27";"2";"7";"297";"0";"0";"-";"2";"1";"446";"3";"250";"6";"13";"1";"12";"3";"3";"5";"3";"0";"5";"0";"0";"-"
"101051";"101051";"13";"2";"1";"-";"2339";"20";"2";"2317";"833";"279";"183";"251";"1";"9";"21";"4";"5";"131";"0";"0";"-";"1";"0";"392";"5";"170";"4";"13";"0";"5";"2";"1";"3";"0";"0";"4";"0";"0";"-"
"101052";"101052";"13";"2";"1";"-";"3071";"33";"4";"3034";"1098";"372";"269";"284";"0";"6";"27";"3";"9";"242";"0";"1";"-";"0";"2";"493";"5";"189";"1";"15";"0";"7";"4";"4";"1";"0";"0";"1";"1";"0";"-"
"101053";"101053";"13";"2";"1";"-";"3247";"32";"3";"3212";"1124";"340";"258";"407";"1";"5";"31";"1";"16";"202";"2";"0";"-";"0";"0";"505";"5";"263";"7";"17";"0";"4";"0";"10";"3";"1";"1";"7";"0";"2";"-"
"101054";"101054";"13";"2";"1";"-";"7070";"76";"15";"6979";"2497";"790";"569";"820";"1";"11";"59";"11";"20";"466";"0";"4";"-";"1";"1";"1140";"12";"491";"14";"36";"0";"16";"4";"1";"5";"1";"0";"7";"1";"1";"-"
"147001";"147001";"17";"3";"1";"8576";"5576";"53";"12";"5511";"890";"621";"2376";"598";"-";"-";"21";"-";"16";"164";"-";"-";"-";"-";"-";"309";"-";"509";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-"
"147002";"147002";"17";"3";"1";"8845";"5945";"41";"21";"5883";"895";"640";"2790";"635";"-";"-";"19";"-";"12";"143";"-";"-";"-";"-";"-";"318";"-";"423";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-"
"147003";"147003";"18";"3";"1";"9356";"6013";"51";"35";"5927";"1054";"443";"3027";"409";"-";"-";"31";"-";"13";"283";"-";"-";"-";"-";"-";"353";"-";"308";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-"
"147004";"147004";"18";"3";"1";"8297";"5498";"54";"17";"5427";"956";"557";"2294";"655";"-";"-";"37";"-";"6";"137";"-";"-";"-";"-";"-";"330";"-";"448";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-"
"147005";"147005";"18";"3";"1";"-";"5985";"40";"20";"5925";"1069";"520";"2724";"622";"-";"-";"41";"-";"10";"208";"-";"-";"-";"-";"-";"315";"-";"405";"-";"-";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"-"
"147007";"147007";"19";"3";"1";"-";"7441";"53";"18";"7370";"1263";"764";"3125";"827";"-";"-";"37";"-";"8";"257";"-";"-";"-";"-";"-";"465";"-";"617";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-"
"147008";"147008";"19";"3";"1";"-";"6858";"49";"23";"6786";"1143";"686";"3126";"666";"-";"-";"23";"-";"13";"233";"-";"-";"-";"-";"-";"441";"-";"447";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-"
"151001";"151001";"22";"4";"2";"4540";"2992";"26";"10";"2956";"1951";"57";"159";"146";"-";"-";"-";"-";"-";"290";"-";"-";"-";"-";"-";"266";"-";"82";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151002";"151002";"22";"4";"2";"6900";"4332";"45";"16";"4271";"2587";"112";"250";"280";"-";"-";"-";"-";"-";"408";"-";"-";"-";"-";"-";"449";"-";"161";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151003";"151003";"22";"4";"2";"2651";"1913";"7";"6";"1900";"1001";"60";"226";"128";"-";"-";"-";"-";"-";"153";"-";"-";"-";"-";"-";"277";"-";"52";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151004";"151004";"22";"4";"2";"3035";"1883";"6";"15";"1862";"1215";"36";"71";"94";"-";"-";"-";"-";"-";"195";"-";"-";"-";"-";"-";"163";"-";"81";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151005";"151005";"22";"4";"2";"3720";"2848";"24";"5";"2819";"1318";"135";"305";"193";"-";"-";"-";"-";"-";"223";"-";"-";"-";"-";"-";"537";"-";"54";"-";"54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151006";"151006";"22";"4";"2";"4323";"2741";"28";"10";"2703";"1779";"63";"80";"179";"-";"-";"-";"-";"-";"254";"-";"-";"-";"-";"-";"134";"-";"91";"-";"123";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151007";"151007";"22";"4";"2";"1590";"1139";"12";"1";"1126";"510";"63";"133";"85";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-";"-";"167";"-";"33";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151008";"151008";"22";"4";"2";"3461";"2488";"26";"4";"2458";"1187";"124";"295";"197";"-";"-";"-";"-";"-";"187";"-";"-";"-";"-";"-";"392";"-";"74";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151009";"151009";"22";"4";"2";"3290";"2476";"14";"5";"2457";"1165";"132";"316";"185";"-";"-";"-";"-";"-";"159";"-";"-";"-";"-";"-";"415";"-";"78";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151010";"151010";"22";"4";"2";"2147";"1629";"15";"1";"1613";"730";"95";"121";"228";"-";"-";"-";"-";"-";"103";"-";"-";"-";"-";"-";"245";"-";"88";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153001";"153001";"26";"4";"2";"3351";"2316";"20";"7";"2289";"1088";"77";"139";"170";"-";"-";"-";"-";"-";"273";"-";"-";"-";"-";"-";"468";"-";"-";"-";"64";"8";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153002";"153002";"26";"4";"2";"3505";"2027";"13";"11";"2003";"1139";"56";"87";"128";"-";"-";"-";"-";"-";"225";"-";"-";"-";"-";"-";"260";"-";"-";"-";"90";"15";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153003";"153003";"26";"4";"2";"3282";"2040";"23";"5";"2012";"1098";"66";"96";"153";"-";"-";"-";"-";"-";"233";"-";"-";"-";"-";"-";"291";"-";"-";"-";"62";"11";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153004";"153004";"26";"4";"2";"2343";"1375";"18";"8";"1349";"846";"56";"31";"81";"-";"-";"-";"-";"-";"185";"-";"-";"-";"-";"-";"90";"-";"-";"-";"53";"6";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153005";"153005";"26";"4";"2";"3675";"2493";"20";"6";"2467";"1327";"78";"146";"166";"-";"-";"-";"-";"-";"278";"-";"-";"-";"-";"-";"382";"-";"-";"-";"82";"5";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153006";"153006";"26";"4";"2";"5014";"2877";"14";"33";"2830";"1421";"119";"84";"251";"-";"-";"-";"-";"-";"354";"-";"-";"-";"-";"-";"413";"-";"-";"-";"172";"9";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153007";"153007";"26";"4";"2";"5195";"2975";"32";"63";"2880";"1391";"109";"114";"277";"-";"-";"-";"-";"-";"313";"-";"-";"-";"-";"-";"444";"-";"-";"-";"218";"7";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"155001";"155001";"27";"4";"2";"3324";"2687";"21";"1";"2665";"295";"99";"787";"-";"-";"-";"-";"-";"-";"97";"-";"-";"-";"-";"-";"249";"-";"-";"-";"-";"257";"-";"-";"-";"-";"-";"-";"-";"-";"881";"-"
"155002";"155002";"27";"4";"2";"3610";"2686";"9";"3";"2674";"373";"126";"1088";"-";"-";"-";"-";"-";"-";"176";"-";"-";"-";"-";"-";"275";"-";"-";"-";"-";"119";"-";"-";"-";"-";"-";"-";"-";"-";"517";"-"
"155003";"155003";"27";"4";"2";"3102";"2429";"22";"3";"2404";"488";"112";"654";"-";"-";"-";"-";"-";"-";"115";"-";"-";"-";"-";"-";"169";"-";"-";"-";"-";"152";"-";"-";"-";"-";"-";"-";"-";"-";"714";"-"
"157001";"157001";"20";"4";"2";"5429";"3923";"24";"9";"3890";"313";"408";"2036";"168";"-";"-";"17";"-";"-";"102";"-";"-";"-";"-";"-";"495";"-";"91";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"260";"-"
"157002";"157002";"20";"4";"2";"4565";"3227";"28";"6";"3193";"636";"301";"1228";"259";"-";"-";"16";"-";"-";"139";"-";"-";"-";"-";"-";"328";"-";"127";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"159";"-"
"157003";"157003";"20";"4";"2";"4973";"3501";"21";"8";"3472";"326";"406";"1778";"139";"-";"-";"20";"-";"-";"93";"-";"-";"-";"-";"-";"409";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"211";"-"
"157004";"157004";"20";"4";"2";"5491";"3602";"27";"14";"3561";"687";"318";"1403";"253";"-";"-";"24";"-";"-";"233";"-";"-";"-";"-";"-";"346";"-";"113";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"184";"-"
"157005";"157005";"20";"4";"2";"5197";"3505";"20";"1";"3484";"372";"446";"1570";"235";"-";"-";"17";"-";"-";"106";"-";"-";"-";"-";"-";"438";"-";"106";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"194";"-"
"157006";"157006";"24";"4";"2";"-";"4190";"21";"6";"4163";"324";"549";"2064";"176";"-";"-";"14";"-";"-";"118";"-";"-";"-";"-";"-";"516";"-";"127";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"275";"-"
"157007";"157007";"24";"4";"2";"-";"3825";"31";"10";"3784";"412";"448";"1747";"210";"-";"-";"29";"-";"-";"117";"-";"-";"-";"-";"-";"465";"-";"136";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"220";"-"
"157008";"157008";"24";"4";"2";"-";"3151";"20";"2";"3129";"284";"356";"1557";"138";"-";"-";"7";"-";"-";"119";"-";"-";"-";"-";"-";"372";"-";"107";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"189";"-"
"157009";"157009";"24";"4";"2";"-";"3647";"13";"5";"3629";"242";"337";"1862";"108";"-";"-";"17";"-";"-";"109";"-";"-";"-";"-";"-";"486";"-";"95";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"373";"-"
"157010";"157010";"24";"4";"2";"-";"3292";"16";"3";"3273";"228";"319";"1774";"110";"-";"-";"20";"-";"-";"105";"-";"-";"-";"-";"-";"489";"-";"62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"166";"-"
"157011";"157011";"24";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-";"-";"0";"-";"-";"0";"-";"-";"-";"-";"-";"0";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0";"-"
"159001";"159001";"25";"4";"2";"5148";"3586";"40";"8";"3538";"1153";"304";"474";"279";"-";"-";"28";"-";"-";"274";"-";"-";"-";"-";"-";"685";"-";"334";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159002";"159002";"25";"4";"2";"3177";"2038";"23";"5";"2010";"738";"146";"206";"144";"-";"-";"12";"-";"-";"176";"-";"-";"-";"-";"-";"355";"-";"230";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159003";"159003";"25";"4";"2";"6078";"3722";"22";"5";"3695";"1542";"238";"274";"269";"-";"-";"28";"-";"-";"376";"-";"-";"-";"-";"-";"599";"-";"362";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159004";"159004";"25";"4";"2";"2995";"1955";"15";"0";"1940";"1266";"60";"37";"98";"-";"-";"8";"-";"-";"169";"-";"-";"-";"-";"-";"82";"-";"217";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159005";"159005";"25";"4";"2";"3033";"2015";"26";"2";"1987";"912";"127";"127";"118";"-";"-";"16";"-";"-";"199";"-";"-";"-";"-";"-";"243";"-";"240";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159006";"159006";"25";"4";"2";"3945";"2889";"15";"6";"2868";"1003";"275";"214";"251";"-";"-";"50";"-";"-";"208";"-";"-";"-";"-";"-";"413";"-";"450";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159007";"159007";"25";"4";"2";"5220";"3367";"36";"1";"3330";"1712";"123";"168";"202";"-";"-";"15";"-";"-";"405";"-";"-";"-";"-";"-";"330";"-";"367";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159008";"159008";"25";"4";"2";"6175";"4307";"63";"1";"4243";"1517";"415";"474";"457";"-";"-";"26";"-";"-";"256";"-";"-";"-";"-";"-";"666";"-";"431";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159009";"159009";"25";"4";"2";"3864";"2602";"15";"5";"2582";"888";"232";"239";"205";"-";"-";"10";"-";"-";"215";"-";"-";"-";"-";"-";"382";"-";"408";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159010";"159010";"25";"4";"2";"4592";"3042";"47";"3";"2992";"1267";"203";"256";"173";"-";"-";"16";"-";"-";"264";"-";"-";"-";"-";"-";"488";"-";"319";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
