"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2017 - Stemmeberettigede";"KV2017 - Afgivne stemmer";"KV2017 - Blanke stemmer";"KV2017 - Andre ugyldige stemmer";"KV2017 - Gyldige stemmer";"KV2017 - A";"KV2017 - B";"KV2017 - C";"KV2017 - F";"KV2017 - I";"KV2017 - J";"KV2017 - K";"KV2017 - M";"KV2017 - G";"KV2017 - N";"KV2017 - O";"KV2017 - H";"KV2017 - S";"KV2017 - V";"KV2017 - U";"KV2017 - Z";"KV2017 - Ø";"KV2017 - L";"KV2017 - Å";"KV2017 - R";"KV2017 - D";"KV2017 - P";"KV2017 - E";"KV2017 - Q";"KV2017 - Å1";"KV2017 - K2";"KV2017 - K1";"KV2017 - Æ";"KV2017 - W";"KV2017 - Y";"KV2017 - T"
"101012";"101012";"3";"1";"1";"7267";"5254";"52";"11";"5191";"1423";"558";"513";"399";"273";"8";"11";"0";"5";"9";"165";"1";"-";"536";"7";"1";"720";"0";"479";"1";"45";"3";"11";"17";"-";"-";"-";"0";"-";"1";"5"
"101013";"101013";"3";"1";"1";"10786";"7295";"72";"30";"7193";"1839";"616";"329";"570";"285";"25";"10";"0";"21";"12";"197";"3";"-";"554";"3";"1";"1601";"1";"805";"37";"41";"4";"187";"44";"-";"-";"-";"3";"-";"0";"5"
"101014";"101014";"3";"1";"1";"14177";"8748";"98";"25";"8625";"2116";"831";"922";"603";"565";"6";"14";"1";"8";"16";"285";"0";"-";"1139";"2";"2";"1152";"5";"757";"23";"90";"1";"26";"49";"-";"-";"-";"5";"-";"0";"7"
"101016";"101016";"4";"1";"1";"10292";"5988";"96";"36";"5856";"1615";"517";"301";"465";"242";"4";"20";"1";"16";"16";"418";"4";"-";"454";"11";"0";"972";"2";"613";"22";"69";"6";"24";"53";"-";"-";"-";"6";"-";"2";"3"
"101017";"101017";"4";"1";"1";"17262";"10053";"174";"47";"9832";"2613";"803";"475";"839";"405";"24";"23";"0";"36";"40";"570";"2";"-";"689";"12";"2";"1846";"2";"1148";"37";"96";"5";"60";"84";"-";"-";"-";"11";"-";"2";"8"
"101018";"101018";"4";"1";"1";"9303";"5774";"82";"30";"5662";"1727";"426";"342";"442";"196";"15";"16";"0";"14";"12";"448";"3";"-";"494";"2";"1";"888";"4";"471";"15";"74";"7";"14";"38";"-";"-";"-";"5";"-";"1";"7"
"101019";"101019";"4";"1";"1";"10391";"6709";"90";"11";"6608";"1999";"600";"460";"556";"291";"14";"18";"0";"9";"20";"427";"2";"-";"689";"6";"1";"869";"4";"525";"8";"57";"3";"15";"26";"-";"-";"-";"6";"-";"1";"2"
"101020";"101020";"5";"1";"1";"12227";"7549";"69";"26";"7454";"1766";"723";"196";"806";"184";"13";"7";"1";"5";"34";"195";"3";"-";"308";"2";"3";"1927";"2";"1068";"52";"35";"2";"16";"84";"-";"-";"-";"8";"-";"0";"14"
"101021";"101021";"5";"1";"1";"16995";"10628";"119";"31";"10478";"2433";"928";"310";"882";"287";"27";"22";"0";"26";"79";"295";"2";"-";"506";"6";"12";"2817";"2";"1526";"70";"57";"7";"23";"147";"-";"-";"-";"6";"-";"0";"8"
"101022";"101022";"5";"1";"1";"7171";"4510";"43";"12";"4455";"1009";"367";"144";"387";"113";"8";"5";"1";"12";"24";"136";"2";"-";"187";"3";"2";"1337";"0";"581";"54";"27";"1";"12";"40";"-";"-";"-";"0";"-";"0";"3"
"101023";"101023";"5";"1";"1";"6266";"4375";"49";"29";"4297";"1017";"469";"193";"363";"185";"8";"5";"0";"8";"16";"85";"1";"-";"239";"2";"3";"932";"0";"665";"20";"16";"1";"12";"56";"-";"-";"-";"1";"-";"0";"0"
"101024";"101024";"5";"1";"1";"8097";"5613";"73";"19";"5521";"1340";"481";"147";"581";"130";"7";"13";"0";"12";"19";"176";"1";"-";"221";"4";"2";"1472";"4";"752";"40";"33";"1";"11";"63";"-";"-";"-";"4";"-";"0";"7"
"101025";"101025";"5";"1";"1";"11980";"7979";"107";"25";"7847";"1603";"821";"219";"750";"236";"25";"14";"0";"11";"39";"227";"5";"-";"269";"5";"4";"2129";"2";"1239";"59";"29";"2";"20";"124";"-";"-";"-";"11";"-";"0";"4"
"101026";"101026";"5";"1";"1";"3663";"2414";"28";"8";"2378";"555";"233";"91";"236";"67";"6";"3";"0";"4";"3";"69";"1";"-";"127";"3";"0";"550";"0";"360";"9";"20";"0";"8";"29";"-";"-";"-";"2";"-";"0";"2"
"101027";"101027";"6";"1";"1";"20204";"10694";"170";"31";"10493";"2944";"764";"373";"808";"330";"27";"51";"1";"22";"109";"559";"1";"-";"558";"11";"10";"2379";"3";"1220";"76";"84";"8";"32";"108";"-";"-";"-";"7";"-";"2";"6"
"101028";"101028";"6";"1";"1";"8791";"5156";"74";"30";"5052";"1659";"332";"249";"402";"125";"12";"17";"1";"5";"25";"389";"2";"-";"327";"5";"1";"960";"1";"403";"29";"57";"3";"15";"25";"-";"-";"-";"2";"-";"2";"4"
"101029";"101029";"6";"1";"1";"4983";"2853";"45";"11";"2797";"996";"150";"129";"182";"90";"7";"8";"0";"10";"23";"254";"1";"-";"168";"4";"1";"484";"1";"199";"21";"44";"0";"8";"10";"-";"-";"-";"4";"-";"1";"2"
"101030";"101030";"6";"1";"1";"11678";"6464";"111";"25";"6328";"1490";"473";"216";"498";"199";"25";"21";"0";"18";"32";"226";"3";"-";"338";"4";"8";"1559";"0";"980";"43";"62";"6";"12";"104";"-";"-";"-";"5";"-";"0";"6"
"101031";"101031";"7";"1";"1";"4256";"2962";"46";"12";"2904";"931";"224";"214";"243";"92";"11";"4";"0";"6";"11";"241";"4";"-";"237";"1";"2";"423";"1";"202";"6";"40";"2";"1";"6";"-";"-";"-";"1";"-";"1";"0"
"101032";"101032";"7";"1";"1";"4734";"1889";"27";"26";"1836";"635";"119";"22";"65";"21";"1";"4";"0";"4";"73";"123";"0";"-";"40";"1";"1";"532";"2";"156";"9";"7";"1";"7";"7";"-";"-";"-";"2";"-";"0";"4"
"101033";"101033";"7";"1";"1";"8083";"5324";"84";"20";"5220";"1550";"405";"427";"487";"167";"13";"28";"1";"7";"17";"353";"2";"-";"366";"8";"0";"828";"1";"437";"14";"57";"4";"19";"20";"-";"-";"-";"2";"-";"1";"6"
"101034";"101034";"7";"1";"1";"9307";"5969";"77";"23";"5869";"1868";"424";"283";"541";"143";"13";"20";"0";"14";"57";"445";"0";"-";"364";"1";"2";"1107";"3";"444";"30";"62";"4";"10";"20";"-";"-";"-";"6";"-";"2";"6"
"101035";"101035";"7";"1";"1";"7893";"4136";"66";"20";"4050";"1385";"263";"185";"278";"101";"5";"17";"1";"8";"57";"396";"2";"-";"280";"0";"1";"736";"2";"254";"10";"44";"4";"5";"5";"-";"-";"-";"9";"-";"1";"1"
"101036";"101036";"7";"1";"1";"9374";"5894";"74";"24";"5796";"2103";"394";"302";"467";"137";"15";"14";"1";"12";"24";"628";"1";"-";"412";"2";"2";"788";"6";"354";"30";"68";"3";"8";"16";"-";"-";"-";"5";"-";"1";"3"
"101039";"101039";"7";"1";"1";"4828";"3304";"44";"17";"3243";"1044";"246";"216";"280";"136";"5";"19";"0";"4";"13";"223";"1";"-";"301";"2";"1";"464";"4";"207";"14";"34";"1";"5";"15";"-";"-";"-";"3";"-";"0";"5"
"101040";"101040";"7";"1";"1";"5893";"4102";"53";"13";"4036";"1247";"330";"272";"396";"147";"9";"31";"0";"9";"11";"256";"2";"-";"351";"2";"2";"620";"2";"254";"15";"44";"1";"8";"19";"-";"-";"-";"1";"-";"0";"7"
"101041";"101041";"7";"1";"1";"11514";"7592";"121";"42";"7429";"2551";"507";"476";"630";"301";"13";"27";"3";"15";"31";"530";"5";"-";"672";"10";"1";"1045";"3";"453";"20";"76";"8";"14";"29";"-";"-";"-";"4";"-";"1";"4"
"101042";"101042";"8";"1";"1";"9259";"5942";"90";"31";"5821";"1735";"506";"379";"549";"248";"10";"13";"6";"7";"24";"325";"3";"-";"505";"1";"2";"905";"3";"461";"15";"75";"5";"5";"27";"-";"-";"-";"3";"-";"3";"6"
"101043";"101043";"8";"1";"1";"10056";"6379";"126";"31";"6222";"1801";"553";"298";"493";"252";"9";"10";"4";"16";"15";"384";"4";"-";"582";"9";"0";"983";"0";"686";"15";"60";"2";"10";"33";"-";"-";"-";"2";"-";"0";"1"
"101044";"101044";"8";"1";"1";"6169";"3264";"71";"17";"3176";"1164";"206";"142";"177";"123";"5";"14";"2";"6";"45";"297";"1";"-";"267";"2";"0";"436";"0";"220";"11";"34";"1";"6";"13";"-";"-";"-";"2";"-";"2";"0"
"101046";"101046";"8";"1";"1";"5928";"3152";"59";"14";"3079";"1046";"191";"160";"203";"126";"7";"19";"2";"5";"40";"299";"3";"-";"215";"2";"0";"512";"5";"192";"8";"31";"5";"3";"3";"-";"-";"-";"0";"-";"1";"1"
"101047";"101047";"8";"1";"1";"4983";"2941";"43";"14";"2884";"840";"207";"105";"265";"69";"11";"6";"8";"6";"33";"184";"2";"-";"207";"3";"0";"606";"1";"271";"9";"23";"3";"8";"11";"-";"-";"-";"2";"-";"0";"4"
"101048";"101048";"8";"1";"1";"7771";"4944";"84";"26";"4834";"1503";"404";"263";"376";"220";"7";"12";"8";"8";"20";"279";"2";"-";"444";"0";"0";"749";"0";"434";"19";"52";"1";"10";"16";"-";"-";"-";"3";"-";"1";"3"
"101049";"101049";"9";"1";"1";"8104";"5799";"62";"12";"5725";"1319";"553";"211";"581";"130";"12";"7";"0";"15";"19";"154";"3";"-";"275";"2";"0";"1473";"2";"847";"27";"37";"3";"14";"34";"-";"-";"-";"0";"-";"0";"7"
"101050";"101050";"9";"1";"1";"9644";"6385";"102";"11";"6272";"1468";"713";"276";"519";"241";"17";"7";"0";"9";"21";"109";"2";"-";"339";"2";"2";"1359";"0";"1020";"30";"50";"2";"17";"59";"-";"-";"-";"1";"-";"1";"8"
"101051";"101051";"9";"1";"1";"10162";"5780";"100";"32";"5648";"1723";"276";"153";"386";"141";"18";"10";"3";"18";"79";"411";"7";"-";"251";"4";"3";"1366";"7";"612";"49";"69";"7";"16";"28";"-";"-";"-";"8";"-";"1";"2"
"101052";"101052";"9";"1";"1";"7592";"5167";"61";"8";"5098";"1166";"542";"228";"484";"230";"4";"5";"0";"10";"6";"107";"4";"-";"314";"5";"0";"1074";"1";"797";"18";"42";"3";"11";"44";"-";"-";"-";"1";"-";"1";"1"
"101053";"101053";"9";"1";"1";"6633";"4644";"51";"13";"4580";"1129";"478";"189";"407";"140";"10";"8";"0";"12";"19";"133";"3";"-";"227";"5";"2";"1057";"2";"669";"13";"26";"1";"12";"32";"-";"-";"-";"3";"-";"0";"3"
"101054";"101054";"9";"1";"1";"4074";"2207";"44";"5";"2158";"600";"157";"82";"169";"92";"5";"6";"0";"6";"23";"101";"3";"-";"115";"2";"0";"440";"1";"294";"9";"16";"3";"7";"24";"-";"-";"-";"1";"-";"0";"2"
"101055";"101055";"9";"1";"1";"8790";"5281";"69";"25";"5187";"1279";"635";"471";"241";"519";"6";"7";"2";"8";"20";"145";"3";"-";"798";"5";"1";"476";"3";"452";"4";"63";"1";"11";"33";"-";"-";"-";"2";"-";"0";"2"
"147001";"147001";"10";"1";"1";"9413";"6948";"49";"24";"6875";"1098";"738";"2485";"453";"249";"-";"7";"21";"19";"-";"85";"-";"-";"335";"-";"-";"887";"11";"452";"-";"26";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-"
"147002";"147002";"10";"1";"1";"9456";"7143";"53";"7";"7083";"1084";"706";"2868";"416";"233";"-";"6";"15";"17";"-";"98";"-";"-";"407";"-";"-";"753";"6";"439";"-";"31";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"147003";"147003";"10";"1";"1";"12478";"8953";"79";"30";"8844";"1379";"1038";"3002";"608";"297";"-";"8";"7";"17";"-";"139";"-";"-";"538";"-";"-";"1149";"9";"607";"-";"41";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-"
"147004";"147004";"10";"1";"1";"11501";"8291";"95";"13";"8183";"1261";"935";"2897";"511";"312";"-";"7";"8";"17";"-";"173";"-";"-";"595";"-";"-";"949";"8";"457";"-";"43";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-"
"147005";"147005";"11";"1";"1";"11425";"7545";"93";"23";"7429";"1290";"607";"2663";"422";"320";"-";"12";"10";"28";"-";"215";"-";"-";"484";"-";"-";"969";"30";"310";"-";"57";"-";"12";"-";"-";"-";"-";"-";"-";"-";"-"
"147006";"147006";"11";"1";"1";"9920";"6918";"70";"28";"6820";"1157";"498";"2723";"370";"230";"-";"14";"6";"9";"-";"243";"-";"-";"489";"-";"-";"764";"9";"258";"-";"46";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"147007";"147007";"11";"1";"1";"11101";"7614";"73";"9";"7532";"1205";"622";"2976";"442";"241";"-";"15";"4";"23";"-";"189";"-";"-";"535";"-";"-";"830";"11";"382";"-";"53";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"147008";"147008";"11";"1";"1";"8990";"6608";"62";"14";"6532";"1033";"594";"2381";"438";"279";"-";"11";"7";"26";"-";"127";"-";"-";"365";"-";"-";"867";"5";"362";"-";"29";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-"
"151001";"151001";"20";"2";"1";"4800";"3126";"41";"15";"3070";"1982";"54";"86";"75";"29";"-";"-";"-";"-";"-";"366";"-";"-";"215";"-";"-";"156";"-";"42";"-";"65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151002";"151002";"20";"2";"1";"6785";"4222";"69";"19";"4134";"2631";"60";"132";"130";"50";"-";"-";"-";"-";"-";"433";"-";"-";"315";"-";"-";"238";"-";"83";"-";"62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151003";"151003";"20";"2";"1";"2738";"2103";"21";"5";"2077";"1109";"45";"151";"64";"41";"-";"-";"-";"-";"-";"193";"-";"-";"295";"-";"-";"98";"-";"36";"-";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151004";"151004";"20";"2";"1";"3219";"2128";"26";"8";"2094";"1363";"27";"59";"44";"25";"-";"-";"-";"-";"-";"248";"-";"-";"118";"-";"-";"108";"-";"68";"-";"34";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151005";"151005";"20";"2";"1";"3873";"3097";"34";"12";"3051";"1722";"96";"189";"85";"47";"-";"-";"-";"-";"-";"238";"-";"-";"447";"-";"-";"122";"-";"39";"-";"66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151006";"151006";"20";"2";"1";"6108";"3934";"45";"17";"3872";"2343";"101";"124";"106";"36";"-";"-";"-";"-";"-";"436";"-";"-";"271";"-";"-";"292";"-";"99";"-";"64";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151008";"151008";"20";"2";"1";"4355";"3274";"32";"7";"3235";"1745";"122";"222";"106";"49";"-";"-";"-";"-";"-";"229";"-";"-";"464";"-";"-";"187";"-";"48";"-";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151009";"151009";"20";"2";"1";"3394";"2693";"35";"7";"2651";"1427";"115";"139";"81";"51";"-";"-";"-";"-";"-";"177";"-";"-";"401";"-";"-";"165";"-";"60";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151010";"151010";"20";"2";"1";"2295";"1781";"14";"2";"1765";"887";"79";"79";"97";"32";"-";"-";"-";"-";"-";"124";"-";"-";"213";"-";"-";"161";"-";"58";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153001";"153001";"18";"2";"1";"3512";"2531";"35";"12";"2484";"1189";"45";"69";"171";"56";"-";"-";"-";"-";"8";"411";"-";"-";"376";"-";"-";"84";"3";"37";"-";"30";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5"
"153002";"153002";"18";"2";"1";"3700";"2237";"24";"11";"2202";"1162";"34";"61";"135";"29";"-";"-";"-";"-";"5";"340";"-";"-";"264";"-";"-";"111";"4";"29";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12"
"153003";"153003";"18";"2";"1";"3320";"2170";"34";"8";"2128";"1239";"39";"47";"121";"22";"-";"-";"-";"-";"6";"297";"-";"-";"201";"-";"-";"103";"2";"33";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8"
"153004";"153004";"18";"2";"1";"6308";"3887";"46";"26";"3815";"2188";"87";"93";"195";"34";"-";"-";"-";"-";"33";"516";"-";"-";"304";"-";"-";"244";"4";"72";"-";"38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7"
"153005";"153005";"18";"2";"1";"10974";"6432";"85";"55";"6292";"3174";"332";"107";"267";"99";"-";"-";"-";"-";"109";"825";"-";"-";"544";"-";"-";"438";"9";"348";"-";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9"
"155001";"155001";"12";"1";"1";"4085";"3298";"31";"8";"3259";"418";"109";"579";"45";"63";"-";"-";"-";"20";"-";"261";"-";"-";"654";"-";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1033"
"155004";"155004";"12";"1";"1";"6831";"5204";"44";"16";"5144";"858";"169";"781";"99";"124";"-";"-";"-";"18";"-";"619";"-";"-";"1078";"-";"-";"-";"-";"196";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1202"
"157001";"157001";"13";"2";"1";"5885";"4345";"32";"12";"4301";"428";"284";"2579";"111";"84";"-";"10";"-";"-";"-";"77";"-";"-";"329";"-";"-";"234";"-";"105";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157002";"157002";"13";"2";"1";"4938";"3646";"36";"9";"3601";"694";"288";"1683";"164";"59";"-";"9";"-";"-";"-";"105";"-";"-";"179";"-";"-";"262";"-";"112";"-";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157003";"157003";"13";"2";"1";"5788";"3909";"30";"6";"3873";"394";"320";"2359";"109";"67";"-";"6";"-";"-";"-";"72";"-";"-";"237";"-";"-";"168";"-";"88";"-";"53";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157004";"157004";"13";"2";"1";"6010";"3898";"50";"18";"3830";"615";"292";"1982";"126";"72";"-";"13";"-";"-";"-";"132";"-";"-";"169";"-";"-";"265";"-";"101";"-";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157005";"157005";"13";"2";"1";"5652";"4189";"24";"15";"4150";"495";"385";"2370";"145";"70";"-";"11";"-";"-";"-";"64";"-";"-";"232";"-";"-";"198";"-";"121";"-";"59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157006";"157006";"13";"2";"1";"6091";"4638";"17";"14";"4607";"374";"401";"2846";"117";"63";"-";"5";"-";"-";"-";"48";"-";"-";"320";"-";"-";"233";"-";"138";"-";"62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157007";"157007";"13";"2";"1";"6826";"4793";"37";"3";"4753";"472";"364";"2666";"182";"98";"-";"17";"-";"-";"-";"103";"-";"-";"337";"-";"-";"260";"-";"185";"-";"69";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157008";"157008";"13";"2";"1";"4967";"3606";"19";"1";"3586";"295";"269";"2174";"104";"78";"-";"6";"-";"-";"-";"72";"-";"-";"246";"-";"-";"162";"-";"121";"-";"59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157009";"157009";"13";"2";"1";"5608";"4090";"26";"13";"4051";"274";"287";"2555";"83";"88";"-";"4";"-";"-";"-";"58";"-";"-";"336";"-";"-";"203";"-";"109";"-";"54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"157010";"157010";"13";"2";"1";"5228";"3715";"23";"14";"3678";"310";"231";"2292";"90";"78";"-";"5";"-";"-";"-";"81";"-";"-";"264";"-";"-";"162";"-";"100";"-";"65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159001";"159001";"15";"2";"1";"5482";"3878";"59";"12";"3807";"1138";"299";"435";"338";"130";"-";"-";"-";"-";"-";"257";"-";"-";"735";"-";"-";"334";"-";"99";"-";"42";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159002";"159002";"15";"2";"1";"6921";"4543";"63";"19";"4461";"1683";"257";"292";"418";"101";"-";"-";"-";"-";"-";"436";"-";"-";"647";"-";"-";"484";"-";"108";"-";"35";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159003";"159003";"15";"2";"1";"6691";"4197";"63";"8";"4126";"1578";"187";"264";"415";"96";"-";"-";"-";"-";"-";"436";"-";"-";"674";"-";"-";"339";"-";"88";"-";"49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159004";"159004";"15";"2";"1";"7499";"4866";"66";"20";"4780";"1761";"358";"258";"515";"75";"-";"-";"-";"-";"-";"389";"-";"-";"501";"-";"-";"709";"-";"171";"-";"43";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159005";"159005";"15";"2";"1";"7622";"4584";"63";"17";"4504";"1859";"268";"233";"399";"95";"-";"-";"-";"-";"-";"458";"-";"-";"571";"-";"-";"464";"-";"119";"-";"38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159006";"159006";"15";"2";"1";"6477";"4790";"92";"5";"4693";"1615";"411";"390";"515";"131";"-";"-";"-";"-";"-";"254";"-";"-";"816";"-";"-";"407";"-";"123";"-";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159007";"159007";"15";"2";"1";"4358";"3078";"36";"11";"3031";"955";"239";"254";"370";"85";"-";"-";"-";"-";"-";"227";"-";"-";"426";"-";"-";"343";"-";"111";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159008";"159008";"15";"2";"1";"4818";"3203";"31";"7";"3165";"1186";"192";"235";"264";"72";"-";"-";"-";"-";"-";"292";"-";"-";"538";"-";"-";"282";"-";"79";"-";"25";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"159009";"159009";"15";"2";"1";"3265";"1758";"14";"4";"1740";"586";"142";"133";"195";"54";"-";"-";"-";"-";"-";"123";"-";"-";"260";"-";"-";"202";"-";"30";"-";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"161001";"161001";"20";"2";"1";"2475";"1845";"24";"10";"1811";"571";"55";"94";"114";"15";"-";"-";"-";"-";"-";"193";"-";"-";"641";"-";"-";"76";"-";"36";"-";"15";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"161002";"161002";"20";"2";"1";"2963";"1801";"28";"10";"1763";"588";"67";"57";"94";"9";"-";"-";"-";"-";"-";"202";"-";"-";"593";"-";"-";"82";"-";"32";"-";"35";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"161003";"161003";"20";"2";"1";"4696";"2656";"34";"8";"2614";"955";"91";"120";"155";"19";"-";"-";"-";"-";"-";"355";"-";"-";"634";"-";"-";"175";"-";"54";"-";"45";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"161004";"161004";"20";"2";"1";"3253";"1956";"18";"14";"1924";"953";"56";"26";"89";"8";"-";"-";"-";"-";"-";"299";"-";"-";"299";"-";"-";"136";"-";"26";"-";"25";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"161005";"161005";"20";"2";"1";"1496";"1208";"16";"5";"1187";"228";"23";"47";"45";"17";"-";"-";"-";"-";"-";"94";"-";"-";"653";"-";"-";"39";"-";"24";"-";"16";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"161006";"161006";"20";"2";"1";"2921";"2073";"13";"10";"2050";"735";"40";"83";"150";"18";"-";"-";"-";"-";"-";"246";"-";"-";"618";"-";"-";"93";"-";"43";"-";"23";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"163001";"163001";"16";"2";"1";"7974";"5087";"55";"27";"5005";"2865";"163";"429";"414";"38";"-";"-";"-";"-";"-";"403";"35";"-";"235";"-";"-";"352";"-";"71";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
