"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2009 - Stemmeberettigede";"KV2009 - Afgivne stemmer";"KV2009 - Blanke stemmer";"KV2009 - Andre ugyldige stemmer";"KV2009 - Gyldige stemmer";"KV2009 - A";"KV2009 - B";"KV2009 - C";"KV2009 - F";"KV2009 - I";"KV2009 - J";"KV2009 - K";"KV2009 - M";"KV2009 - G";"KV2009 - N";"KV2009 - O";"KV2009 - H";"KV2009 - S";"KV2009 - V";"KV2009 - U";"KV2009 - Z";"KV2009 - Ø";"KV2009 - L";"KV2009 - Å";"KV2009 - R";"KV2009 - D";"KV2009 - P";"KV2009 - E";"KV2009 - 1";"KV2009 - 2";"KV2009 - 3";"KV2009 - Æ";"KV2009 - W";"KV2009 - Q";"KV2009 - Y";"KV2009 - T"
"101037";"101037";"7";"1";"1";"5444";"3173";"49";"7";"3117";"1102";"210";"195";"601";"14";"8";"10";"0";"1";"6";"365";"2";"-";"282";"2";"14";"273";"1";"9";"0";"9";"1";"1";"4";"0";"0";"5";"-";"0";"2";"0"
"101038";"101038";"7";"1";"1";"3590";"2107";"27";"5";"2075";"651";"159";"178";"476";"18";"8";"2";"0";"1";"9";"188";"2";"-";"211";"0";"6";"148";"1";"9";"0";"1";"1";"1";"1";"0";"0";"2";"-";"1";"1";"0"
"101039";"101039";"7";"1";"1";"4488";"2670";"30";"3";"2637";"839";"202";"213";"586";"12";"3";"5";"0";"1";"8";"235";"0";"-";"286";"2";"13";"204";"0";"7";"2";"4";"3";"4";"3";"0";"0";"4";"-";"0";"1";"0"
"101040";"101040";"7";"1";"1";"5288";"3360";"29";"5";"3326";"1002";"235";"277";"795";"19";"4";"10";"0";"1";"9";"258";"0";"-";"360";"2";"7";"294";"2";"15";"0";"18";"0";"2";"4";"1";"1";"6";"-";"1";"1";"2"
"101041";"101041";"7";"1";"1";"10484";"6179";"66";"22";"6091";"2007";"383";"435";"1392";"32";"13";"10";"1";"0";"22";"569";"1";"-";"695";"2";"11";"457";"0";"21";"2";"13";"0";"0";"6";"2";"3";"9";"-";"1";"3";"1"
"101042";"101042";"8";"1";"1";"8563";"4904";"60";"16";"4828";"1619";"357";"368";"1015";"17";"10";"5";"1";"1";"14";"394";"1";"-";"505";"7";"14";"412";"0";"19";"1";"50";"1";"4";"7";"1";"0";"3";"-";"0";"1";"1"
"101043";"101043";"8";"1";"1";"5378";"2980";"47";"6";"2927";"924";"223";"196";"643";"27";"10";"2";"2";"1";"11";"253";"0";"-";"325";"4";"7";"255";"1";"22";"0";"10";"0";"2";"1";"0";"1";"4";"-";"0";"1";"2"
"101044";"101044";"8";"1";"1";"5139";"2583";"36";"7";"2540";"1030";"110";"145";"484";"9";"8";"7";"0";"0";"4";"324";"0";"-";"227";"2";"10";"127";"2";"16";"0";"25";"0";"1";"2";"0";"1";"1";"-";"2";"2";"1"
"101045";"101045";"8";"1";"1";"3403";"2091";"30";"3";"2058";"632";"171";"136";"469";"20";"0";"3";"0";"0";"4";"146";"0";"-";"221";"4";"4";"225";"1";"10";"0";"5";"0";"1";"2";"1";"0";"1";"-";"0";"1";"1"
"101046";"101046";"8";"1";"1";"5433";"2675";"27";"10";"2638";"1046";"134";"122";"534";"11";"6";"9";"0";"0";"6";"316";"0";"-";"229";"3";"7";"160";"0";"13";"3";"28";"0";"2";"2";"0";"0";"6";"-";"0";"1";"0"
"101047";"101047";"8";"1";"1";"3913";"2044";"19";"15";"2010";"707";"142";"97";"433";"11";"4";"3";"0";"0";"8";"179";"0";"-";"160";"6";"4";"205";"0";"15";"0";"26";"0";"1";"1";"1";"0";"3";"-";"1";"2";"1"
"101048";"101048";"8";"1";"1";"5862";"3173";"40";"9";"3124";"1082";"233";"217";"636";"21";"9";"5";"0";"1";"15";"263";"0";"-";"307";"1";"12";"283";"1";"15";"1";"12";"0";"2";"1";"0";"1";"4";"-";"1";"1";"0"
"101049";"101049";"9";"1";"1";"7582";"4475";"31";"24";"4420";"1213";"445";"160";"1228";"25";"15";"9";"0";"3";"28";"186";"0";"-";"229";"7";"3";"750";"2";"56";"2";"21";"2";"7";"14";"2";"0";"13";"-";"0";"0";"0"
"101050";"101050";"9";"1";"1";"8915";"4916";"32";"17";"4867";"1283";"522";"218";"1319";"33";"23";"14";"1";"1";"28";"185";"0";"-";"289";"10";"7";"776";"8";"68";"1";"42";"2";"5";"11";"6";"2";"8";"-";"1";"2";"2"
"101051";"101051";"9";"1";"1";"9453";"4527";"55";"18";"4454";"1645";"226";"182";"892";"16";"18";"7";"1";"2";"21";"438";"2";"-";"295";"1";"17";"562";"3";"42";"0";"43";"1";"4";"6";"0";"2";"7";"-";"1";"19";"1"
"101052";"101052";"9";"1";"1";"7063";"4003";"30";"9";"3964";"992";"514";"193";"1013";"50";"10";"13";"0";"1";"21";"137";"0";"-";"287";"10";"4";"612";"2";"40";"3";"24";"1";"5";"9";"5";"5";"10";"-";"0";"1";"2"
"101053";"101053";"9";"1";"1";"6022";"3621";"34";"7";"3580";"1007";"359";"150";"918";"37";"11";"16";"1";"1";"15";"173";"0";"-";"191";"4";"2";"582";"2";"34";"2";"54";"0";"2";"6";"1";"1";"9";"-";"0";"0";"2"
"101054";"101054";"9";"1";"1";"6528";"3235";"46";"8";"3181";"905";"295";"315";"573";"34";"6";"4";"0";"0";"13";"187";"1";"-";"457";"1";"1";"301";"1";"38";"0";"25";"2";"0";"6";"1";"3";"6";"-";"1";"4";"1"
"147001";"147001";"10";"1";"1";"8730";"5731";"24";"12";"5695";"1115";"425";"2213";"1039";"25";"-";"6";"-";"-";"19";"162";"-";"-";"274";"-";"-";"397";"-";"3";"-";"5";"-";"4";"-";"-";"-";"-";"-";"8";"-";"-"
"147002";"147002";"10";"1";"1";"8959";"6038";"24";"17";"5997";"1061";"414";"2616";"1003";"34";"-";"9";"-";"-";"6";"171";"-";"-";"277";"-";"-";"394";"-";"4";"-";"2";"-";"5";"-";"-";"-";"-";"-";"1";"-";"-"
"147003";"147003";"10";"1";"1";"11612";"7498";"64";"16";"7418";"1397";"470";"2820";"1534";"19";"-";"9";"-";"-";"25";"260";"-";"-";"349";"-";"-";"503";"-";"5";"-";"4";"-";"21";"-";"-";"-";"-";"-";"2";"-";"-"
"147004";"147004";"10";"1";"1";"10578";"6873";"49";"21";"6803";"1269";"416";"2768";"1237";"24";"-";"6";"-";"-";"13";"226";"-";"-";"367";"-";"-";"450";"-";"3";"-";"8";"-";"15";"-";"-";"-";"-";"-";"1";"-";"-"
"147005";"147005";"11";"1";"1";"10705";"6454";"45";"17";"6392";"1422";"287";"2485";"1134";"19";"-";"4";"-";"-";"20";"292";"-";"-";"365";"-";"-";"340";"-";"10";"-";"6";"-";"6";"-";"-";"-";"-";"-";"2";"-";"-"
"147006";"147006";"11";"1";"1";"9469";"6075";"48";"27";"6000";"1177";"254";"2619";"873";"9";"-";"9";"-";"-";"10";"285";"-";"-";"442";"-";"-";"309";"-";"1";"-";"5";"-";"7";"-";"-";"-";"-";"-";"0";"-";"-"
"147007";"147007";"11";"1";"1";"10517";"6549";"55";"8";"6486";"1319";"385";"2576";"1187";"19";"-";"8";"-";"-";"11";"217";"-";"-";"346";"-";"-";"400";"-";"6";"-";"3";"-";"9";"-";"-";"-";"-";"-";"0";"-";"-"
"147008";"147008";"11";"1";"1";"8345";"5468";"54";"6";"5408";"1115";"331";"1852";"1205";"18";"-";"8";"-";"-";"16";"181";"-";"-";"299";"-";"-";"365";"-";"3";"-";"2";"-";"10";"-";"-";"-";"-";"-";"3";"-";"-"
"151001";"151001";"20";"2";"1";"4812";"2846";"14";"19";"2813";"1798";"26";"130";"326";"-";"-";"-";"-";"-";"-";"262";"-";"-";"226";"-";"-";"35";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151002";"151002";"20";"2";"1";"6892";"3945";"27";"19";"3899";"2441";"41";"207";"472";"-";"-";"-";"-";"-";"-";"336";"-";"-";"308";"-";"-";"83";"-";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151003";"151003";"20";"2";"1";"2657";"1856";"12";"3";"1841";"958";"40";"209";"205";"-";"-";"-";"-";"-";"-";"131";"-";"-";"252";"-";"-";"45";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151004";"151004";"20";"2";"1";"3094";"1795";"11";"11";"1773";"1189";"10";"71";"184";"-";"-";"-";"-";"-";"-";"162";"-";"-";"105";"-";"-";"46";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151005";"151005";"20";"2";"1";"3685";"2748";"30";"5";"2713";"1348";"78";"271";"322";"-";"-";"-";"-";"-";"-";"213";"-";"-";"439";"-";"-";"39";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151006";"151006";"20";"2";"1";"4263";"2491";"30";"9";"2452";"1664";"24";"62";"311";"-";"-";"-";"-";"-";"-";"228";"-";"-";"86";"-";"-";"70";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151007";"151007";"20";"2";"1";"1792";"1162";"15";"7";"1140";"515";"34";"144";"154";"-";"-";"-";"-";"-";"-";"96";"-";"-";"170";"-";"-";"27";"-";"-";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151008";"151008";"20";"2";"1";"3957";"2671";"29";"2";"2640";"1310";"83";"310";"348";"-";"-";"-";"-";"-";"-";"187";"-";"-";"347";"-";"-";"51";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151009";"151009";"20";"2";"1";"3273";"2365";"21";"8";"2336";"1200";"95";"258";"278";"-";"-";"-";"-";"-";"-";"134";"-";"-";"312";"-";"-";"53";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"151010";"151010";"20";"2";"1";"2115";"1546";"16";"6";"1524";"676";"41";"140";"312";"-";"-";"-";"-";"-";"-";"110";"-";"-";"172";"-";"-";"71";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153001";"153001";"18";"2";"1";"3356";"2252";"20";"4";"2228";"750";"60";"225";"389";"-";"-";"-";"-";"-";"-";"360";"-";"-";"360";"-";"-";"-";"18";"66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153002";"153002";"18";"2";"1";"3554";"2000";"14";"6";"1980";"799";"31";"136";"373";"-";"-";"-";"-";"-";"-";"318";"-";"-";"209";"-";"-";"-";"9";"105";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153003";"153003";"18";"2";"1";"3164";"1920";"30";"4";"1886";"792";"31";"138";"346";"-";"-";"-";"-";"-";"-";"297";"-";"-";"211";"-";"-";"-";"6";"65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153004";"153004";"18";"2";"1";"2317";"1258";"17";"3";"1238";"573";"23";"76";"254";"-";"-";"-";"-";"-";"-";"182";"-";"-";"82";"-";"-";"-";"2";"46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153005";"153005";"18";"2";"1";"3647";"2387";"16";"8";"2363";"1017";"55";"176";"428";"-";"-";"-";"-";"-";"-";"312";"-";"-";"277";"-";"-";"-";"5";"93";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153006";"153006";"18";"2";"1";"5022";"2597";"24";"22";"2551";"870";"107";"148";"600";"-";"-";"-";"-";"-";"-";"428";"-";"-";"219";"-";"-";"-";"6";"173";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"153007";"153007";"18";"2";"1";"5161";"2838";"24";"46";"2768";"859";"132";"222";"690";"-";"-";"-";"-";"-";"-";"355";"-";"-";"302";"-";"-";"-";"7";"201";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"155001";"155001";"12";"1";"1";"3273";"2477";"14";"4";"2459";"458";"54";"463";"152";"-";"-";"-";"-";"-";"-";"160";"-";"-";"456";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"716"
"155002";"155002";"12";"1";"1";"3724";"2589";"23";"7";"2559";"578";"81";"614";"178";"-";"-";"-";"-";"-";"-";"313";"-";"-";"469";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"326"
"155003";"155003";"12";"1";"1";"3358";"2458";"16";"7";"2435";"635";"73";"408";"207";"-";"-";"-";"-";"-";"-";"213";"-";"-";"350";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"549"
"157001";"157001";"13";"2";"1";"5459";"3831";"16";"6";"3809";"459";"327";"1943";"280";"-";"-";"-";"-";"4";"15";"129";"-";"-";"469";"-";"-";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"120"
"157002";"157002";"13";"2";"1";"4556";"3115";"26";"3";"3086";"717";"281";"1081";"393";"-";"-";"-";"-";"3";"14";"163";"-";"-";"260";"-";"-";"84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90"
"157003";"157003";"13";"2";"1";"5046";"3379";"15";"15";"3349";"387";"351";"1530";"302";"-";"-";"-";"-";"10";"11";"129";"-";"-";"436";"-";"-";"65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"128"
"157004";"157004";"13";"2";"1";"5704";"3388";"39";"13";"3336";"707";"240";"1259";"398";"-";"-";"-";"-";"6";"9";"211";"-";"-";"318";"-";"-";"87";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"101"
"157005";"157005";"13";"2";"1";"5274";"3464";"14";"9";"3441";"446";"348";"1484";"403";"-";"-";"-";"-";"8";"7";"143";"-";"-";"412";"-";"-";"78";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"112"
"157006";"157006";"13";"2";"1";"5811";"4070";"15";"16";"4039";"416";"423";"1966";"349";"-";"-";"-";"-";"9";"11";"152";"-";"-";"466";"-";"-";"76";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"171"
"157007";"157007";"13";"2";"1";"6158";"3945";"32";"5";"3908";"538";"344";"1677";"427";"-";"-";"-";"-";"5";"11";"168";"-";"-";"506";"-";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"142"
"157008";"157008";"13";"2";"1";"4609";"3114";"11";"6";"3097";"397";"253";"1489";"259";"-";"-";"-";"-";"6";"4";"166";"-";"-";"347";"-";"-";"78";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"98"
"157009";"157009";"13";"2";"1";"5273";"3519";"18";"10";"3491";"334";"297";"1738";"216";"-";"-";"-";"-";"2";"15";"119";"-";"-";"427";"-";"-";"78";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"265"
"157010";"157010";"13";"2";"1";"4886";"3150";"27";"8";"3115";"334";"238";"1613";"214";"-";"-";"-";"-";"3";"9";"170";"-";"-";"382";"-";"-";"49";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"103"
"159001";"159001";"15";"2";"1";"5052";"3345";"28";"5";"3312";"930";"203";"545";"575";"11";"-";"-";"-";"-";"-";"275";"-";"-";"551";"-";"-";"215";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7"
"159002";"159002";"15";"2";"1";"3439";"2066";"18";"5";"2043";"693";"86";"240";"372";"3";"-";"-";"-";"-";"-";"197";"-";"-";"315";"-";"-";"131";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6"
"159003";"159003";"15";"2";"1";"6319";"3623";"40";"10";"3573";"1262";"128";"365";"603";"10";"-";"-";"-";"-";"-";"426";"-";"-";"516";"-";"-";"247";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16"
"159004";"159004";"15";"2";"1";"2954";"1709";"16";"6";"1687";"880";"37";"53";"348";"2";"-";"-";"-";"-";"-";"221";"-";"-";"71";"-";"-";"74";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1"
"159005";"159005";"15";"2";"1";"2984";"1920";"18";"5";"1897";"723";"75";"141";"385";"4";"-";"-";"-";"-";"-";"226";"-";"-";"194";"-";"-";"146";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3"
"159006";"159006";"15";"2";"1";"3963";"2713";"31";"3";"2679";"844";"159";"305";"540";"5";"-";"-";"-";"-";"-";"208";"-";"-";"325";"-";"-";"285";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8"
"159007";"159007";"15";"2";"1";"6267";"3799";"62";"15";"3722";"1563";"154";"264";"616";"9";"-";"-";"-";"-";"-";"475";"-";"-";"371";"-";"-";"254";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16"
"159008";"159008";"15";"2";"1";"6186";"4123";"62";"5";"4056";"1322";"272";"511";"805";"9";"-";"-";"-";"-";"-";"244";"-";"-";"592";"-";"-";"293";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8"
"159009";"159009";"15";"2";"1";"3965";"2625";"23";"6";"2596";"806";"179";"285";"529";"8";"-";"-";"-";"-";"-";"279";"-";"-";"284";"-";"-";"221";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5"
